Overall Rank,Player,Position,Team,Position Rank,Proj Rank (Pos),Personal Rank (Pos),Blended Points,VORP,Weighted VORP,Tier,Auction Value ($)
1,Jahmyr Gibbs,RB,DET,1,1,2,313.8,212.4,474.42,1,59
2,Bijan Robinson,RB,ATL,2,2,1,312.4,211.0,470.82,1,58
3,Puka Nacua,WR,LAR,1,1,2,276.5,174.9,379.48,1,51
4,Ja'Marr Chase,WR,CIN,2,2,1,275.9,174.4,378.13,1,51
5,Christian McCaffrey,RB,SF,3,3,4,286.3,184.9,404.68,2,50
6,Jonathan Taylor,RB,IND,4,4,3,284.7,183.4,400.66,2,50
7,Jaxon Smith-Njigba,WR,SEA,3,3,3,260.3,158.7,339.41,2,46
8,Amon-Ra St. Brown,WR,DET,4,4,4,251.5,149.9,317.93,2,43
9,James Cook III,RB,BUF,5,5,5,250.6,149.2,316.19,3,39
10,De'Von Achane,RB,MIA,6,6,7,249.8,148.4,314.2,3,39
11,Ashton Jeanty,RB,LV,7,7,6,243.0,141.6,297.64,4,37
12,Saquon Barkley,RB,PHI,8,8,8,236.2,134.8,281.38,4,35
13,Derrick Henry,RB,BAL,9,9,12,236.1,134.7,281.0,4,35
14,Chase Brown,RB,CIN,10,10,9,233.0,131.7,273.75,4,34
15,CeeDee Lamb,WR,DAL,5,5,5,222.5,120.9,248.19,3,34
16,Drake London,WR,ATL,6,6,7,219.8,118.2,241.8,3,33
17,Omarion Hampton,RB,LAC,11,11,10,228.1,126.7,261.94,4,33
18,Justin Jefferson,WR,MIN,7,7,6,218.7,117.1,239.27,3,33
19,Kenneth Walker III,RB,KC,12,12,11,224.2,122.8,252.79,4,32
20,Josh Jacobs,RB,GB,13,13,13,223.1,121.7,250.03,4,31
21,Jeremiyah Love,RB,ARI,14,14,14,217.5,116.1,236.98,4,30
22,A.J. Brown,WR,NE,8,8,9,206.1,104.5,209.88,4,29
23,Breece Hall,RB,NYJ,15,15,16,213.1,111.7,226.64,4,29
24,George Pickens,WR,DAL,9,9,11,203.9,102.3,204.9,4,28
25,Kyren Williams,RB,LAR,16,16,18,211.4,110.0,222.67,4,28
26,Javonte Williams,RB,DAL,17,17,15,211.1,109.8,222.07,4,28
27,Nico Collins,WR,HOU,10,10,8,203.4,101.8,203.75,4,28
28,Rashee Rice,WR,KC,11,11,10,203.0,101.4,202.76,4,28
29,Travis Etienne Jr.,RB,NO,18,18,17,204.2,102.8,205.94,4,26
30,Cam Skattebo,RB,NYG,19,19,19,203.6,102.3,204.72,4,26
31,Chris Olave,WR,NO,12,12,13,195.9,94.3,186.43,5,26
32,Zay Flowers,WR,BAL,13,13,18,189.3,87.7,171.62,6,24
33,DeVonta Smith,WR,PHI,14,14,14,189.1,87.5,171.03,6,24
34,Tee Higgins,WR,CIN,15,15,15,188.7,87.1,170.31,6,24
