QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$23,7,1,Jahmyr Gibbs,DET,$59,6,1,Ja'Marr Chase,CIN,$55,6,1,Trey McBride,ARI,$23,14
2,Lamar Jackson,BAL,$14,13,2,Bijan Robinson,ATL,$56,11,2,Puka Nacua,LAR,$53,11,2,Brock Bowers,LV,$19,13
3,Drake Maye,NE,$6,11,3,Jonathan Taylor,IND,$56,13,3,Jaxon Smith-Njigba,SEA,$52,11,3,Colston Loveland,CHI,$17,10
4,Jayden Daniels,WAS,$5,7,4,Christian McCaffrey,SF,$53,8,4,Amon-Ra St. Brown,DET,$43,6,4,Tucker Kraft,GB,$16,11
5,Jalen Hurts,PHI,$5,10,5,De'Von Achane,MIA,$52,6,5,Drake London,ATL,$37,11,5,Tyler Warren,IND,$13,13
6,Joe Burrow,CIN,$5,6,6,Ashton Jeanty,LV,$36,13,6,A.J. Brown,NE,$30,11,6,Harold Fannin,CLE,$12,11
7,Justin Herbert,LAC,$2,7,7,James Cook,BUF,$33,7,7,Justin Jefferson,MIN,$29,6,7,Sam LaPorta,DET,$9,6
8,Trevor Lawrence,JAX,$2,7,8,Kyren Williams,LAR,$31,11,8,CeeDee Lamb,DAL,$26,14,8,George Kittle,SF,$8,8
9,Dak Prescott,DAL,$2,14,9,Saquon Barkley,PHI,$31,10,9,Nico Collins,HOU,$24,8,9,Kyle Pitts,ATL,$6,11
10,Caleb Williams,CHI,$1,10,10,Chase Brown,CIN,$31,6,10,George Pickens,DAL,$24,14,10,Travis Kelce,KC,$5,5
11,Brock Purdy,SF,$1,8,11,Omarion Hampton,LAC,$30,7,11,Chris Olave,NO,$23,8,11,Mark Andrews,BAL,$4,13
12,Jaxson Dart,NYG,$1,8,12,Derrick Henry,BAL,$29,13,12,DeVonta Smith,PHI,$22,10,12,Dallas Goedert,PHI,$4,10
13,Patrick Mahomes,KC,$1,5,13,Kenneth Walker,KC,$29,5,13,Tee Higgins,CIN,$22,6,13,Jake Ferguson,DAL,$3,14
14,Bo Nix,DEN,$1,10,14,Jeremiyah Love,ARI,$27,14,14,Tetairoa McMillan,CAR,$22,5,14,Dalton Kincaid,BUF,$3,7
15,Jared Goff,DET,$1,6,15,Cam Skattebo,NYG,$26,8,15,Garrett Wilson,NYJ,$22,13,15,Hunter Henry,NE,$1,11
16,Matthew Stafford,LAR,$1,11,16,Josh Jacobs,GB,$25,11,16,Jaylen Waddle,DEN,$22,10,16,Oronde Gadsden,LAC,$1,7
17,Kyler Murray,MIN,$1,6,17,Quinshon Judkins,CLE,$25,11,17,Ladd McConkey,LAC,$22,7,17,Isaiah Likely,NYG,$1,8
18,Jordan Love,GB,$1,11,18,Travis Etienne,NO,$22,8,18,Zay Flowers,BAL,$21,13,18,Juwan Johnson,NO,$1,8
19,Malik Willis,MIA,$1,6,19,Breece Hall,NYJ,$21,13,19,Rashee Rice,KC,$21,5,19,Chigoziem Okonkwo,WAS,$1,7
20,Baker Mayfield,TB,$1,10,20,Javonte Williams,DAL,$21,14,20,Davante Adams,LAR,$19,11,20,Brenton Strange,JAX,$1,7
21,Tyler Shough,NO,$1,8,21,D'Andre Swift,CHI,$20,10,21,Christian Watson,GB,$18,11,21,Kenyon Sadiq,NYJ,$1,13
22,C.J. Stroud,HOU,$1,8,22,David Montgomery,HOU,$19,8,22,Terry McLaurin,WAS,$18,7,22,Dalton Schultz,HOU,$1,8
23,Sam Darnold,SEA,$1,11,23,TreVeyon Henderson,NE,$18,11,23,Jameson Williams,DET,$15,6,23,AJ Barner,SEA,$1,11
24,Bryce Young,CAR,$1,5,24,Bucky Irving,TB,$18,10,24,Luther Burden,CHI,$15,10,24,T.J. Hockenson,MIN,$1,6
25,Aaron Rodgers,PIT,$1,9,25,Bhayshul Tuten,JAX,$18,7,25,Emeka Egbuka,TB,$12,10,25,Cade Otton,TB,$1,10
 , , , , ,26,Jaylen Warren,PIT,$17,9,26,Mike Evans,SF,$9,8,26,Greg Dulcich,MIA,$1,6
 , , , , ,27,Rhamondre Stevenson,NE,$17,11,27,DK Metcalf,PIT,$9,9,27,Pat Freiermuth,PIT,$1,9
 , , , , ,28,Rico Dowdle,PIT,$17,9,28,Brian Thomas Jr.,JAX,$9,7,28,David Njoku,LAC,$1,7
 , , , , ,29,Jadarian Price,SEA,$17,11,29,Rome Odunze,CHI,$9,10,29,Gunnar Helm,TEN,$1,9
 , , , , ,30,Tony Pollard,TEN,$15,9,30,D.J. Moore,BUF,$8,7,30,Darnell Washington,PIT,$1,9
 , , , , ,31,Kenneth Gainwell,TB,$11,10,31,Chris Godwin,TB,$8,10,31,Mason Taylor,NYJ,$1,13
 , , , , ,32,J.K. Dobbins,DEN,$4,10,32,Carnell Tate,TEN,$7,9,32,Colby Parkinson,LAR,$1,11
 , , , , ,33,Chuba Hubbard,CAR,$3,5,33,Parker Washington,JAX,$7,7,33,Mike Gesicki,CIN,$1,6
 , , , , ,34,Jonathon Brooks,CAR,$1,5,34,Michael Wilson,ARI,$7,14,34,Jake Tonges,SF,$1,8
 , , , , ,35,Kyle Monangai,CHI,$1,10,35,Jayden Reed,GB,$6,11,35,Terrance Ferguson,LAR,$1,11
 , , , , ,36,RJ Harvey,DEN,$1,10,36,Quentin Johnston,LAC,$5,7,36,Dawson Knox,BUF,$1,7
 , , , , ,37,Blake Corum,LAR,$1,11,37,Josh Downs,IND,$5,13,37,Cole Kmet,CHI,$1,10
 , , , , ,38,Chris Rodriguez,JAX,$1,7,38,Malik Nabers,NYG,$5,8, , , , , 
 , , , , ,39,Rachaad White,WAS,$1,7,39,Michael Pittman Jr.,PIT,$5,9, , , , , 
 , , , , ,40,Aaron Jones,MIN,$1,6,40,Jordyn Tyson,NO,$5,8, , , , , 
 , , , , ,41,Jordan Mason,MIN,$1,6,41,Courtland Sutton,DEN,$5,10, , , , , 
 , , , , ,42,Tyjae Spears,TEN,$1,9,42,Jakobi Meyers,JAX,$4,7, , , , , 
 , , , , ,43,Isiah Pacheco,DET,$1,6,43,Marvin Harrison Jr.,ARI,$3,14, , , , , 
 , , , , ,44,Brian Robinson,ATL,$1,11,44,Alec Pierce,IND,$2,13, , , , , 
 , , , , ,45,Jacory Croskey-Merritt,WAS,$1,7,45,Romeo Doubs,NE,$2,11, , , , , 
 , , , , ,46,Woody Marks,HOU,$1,8,46,Wan'Dale Robinson,TEN,$1,9, , , , , 
