QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$25,7,1,Jonathan Taylor,IND,$60,13,1,Ja'Marr Chase,CIN,$49,6,1,Trey McBride,ARI,$18,14
2,Lamar Jackson,BAL,$16,13,2,Jahmyr Gibbs,DET,$57,6,2,Jaxon Smith-Njigba,SEA,$49,11,2,Tucker Kraft,GB,$17,11
3,Drake Maye,NE,$8,11,3,Bijan Robinson,ATL,$55,11,3,Puka Nacua,LAR,$47,11,3,Brock Bowers,LV,$16,13
4,Jayden Daniels,WAS,$7,7,4,De'Von Achane,MIA,$52,6,4,Amon-Ra St. Brown,DET,$38,6,4,Colston Loveland,CHI,$16,10
5,Jalen Hurts,PHI,$7,10,5,Christian McCaffrey,SF,$51,8,5,Drake London,ATL,$37,11,5,Harold Fannin,CLE,$12,11
6,Joe Burrow,CIN,$7,6,6,Ashton Jeanty,LV,$40,13,6,A.J. Brown,NE,$30,11,6,Tyler Warren,IND,$9,13
7,Justin Herbert,LAC,$4,7,7,James Cook,BUF,$39,7,7,Justin Jefferson,MIN,$29,6,7,George Kittle,SF,$9,8
8,Trevor Lawrence,JAX,$4,7,8,Derrick Henry,BAL,$38,13,8,Nico Collins,HOU,$27,8,8,Sam LaPorta,DET,$8,6
9,Dak Prescott,DAL,$3,14,9,Kyren Williams,LAR,$37,11,9,CeeDee Lamb,DAL,$26,14,9,Mark Andrews,BAL,$7,13
10,Caleb Williams,CHI,$3,10,10,Saquon Barkley,PHI,$37,10,10,George Pickens,DAL,$26,14,10,Dalton Kincaid,BUF,$6,7
11,Brock Purdy,SF,$2,8,11,Kenneth Walker,KC,$33,5,11,Tee Higgins,CIN,$25,6,11,Kyle Pitts,ATL,$4,11
12,Jaxson Dart,NYG,$2,8,12,Quinshon Judkins,CLE,$33,11,12,Tetairoa McMillan,CAR,$25,5,12,Travis Kelce,KC,$4,5
13,Patrick Mahomes,KC,$1,5,13,Omarion Hampton,LAC,$32,7,13,Christian Watson,GB,$24,11,13,Dallas Goedert,PHI,$4,10
14,Bo Nix,DEN,$1,10,14,Josh Jacobs,GB,$30,11,14,Chris Olave,NO,$24,8,14,Jake Ferguson,DAL,$3,14
15,Jared Goff,DET,$1,6,15,Chase Brown,CIN,$30,6,15,Zay Flowers,BAL,$24,13,15,Hunter Henry,NE,$2,11
16,Kyler Murray,MIN,$1,6,16,Cam Skattebo,NYG,$30,8,16,DeVonta Smith,PHI,$24,10,16,Oronde Gadsden,LAC,$2,7
17,Matthew Stafford,LAR,$1,11,17,Jeremiyah Love,ARI,$28,14,17,Ladd McConkey,LAC,$24,7,17,Isaiah Likely,NYG,$1,8
18,Baker Mayfield,TB,$1,10,18,Travis Etienne,NO,$27,8,18,Davante Adams,LAR,$23,11,18,Juwan Johnson,NO,$1,8
19,Malik Willis,MIA,$1,6,19,Javonte Williams,DAL,$27,14,19,Terry McLaurin,WAS,$23,7,19,Brenton Strange,JAX,$1,7
20,Jordan Love,GB,$1,11,20,D'Andre Swift,CHI,$25,10,20,Jaylen Waddle,DEN,$23,10,20,AJ Barner,SEA,$1,11
21,Tyler Shough,NO,$1,8,21,Breece Hall,NYJ,$25,13,21,Rashee Rice,KC,$22,5,21,Chigoziem Okonkwo,WAS,$1,7
22,C.J. Stroud,HOU,$1,8,22,David Montgomery,HOU,$24,8,22,Jameson Williams,DET,$20,6,22,Kenyon Sadiq,NYJ,$1,13
 , , , , ,23,TreVeyon Henderson,NE,$23,11,23,Garrett Wilson,NYJ,$20,13,23,Pat Freiermuth,PIT,$1,9
 , , , , ,24,Jadarian Price,SEA,$23,11,24,Luther Burden,CHI,$20,10,24,Dalton Schultz,HOU,$1,8
 , , , , ,25,Bhayshul Tuten,JAX,$22,7,25,Emeka Egbuka,TB,$17,10,25,David Njoku,LAC,$1,7
 , , , , ,26,Jaylen Warren,PIT,$22,9,26,DK Metcalf,PIT,$16,9,26,T.J. Hockenson,MIN,$1,6
 , , , , ,27,Bucky Irving,TB,$22,10,27,Mike Evans,SF,$15,8,27,Greg Dulcich,MIA,$1,6
 , , , , ,28,Rhamondre Stevenson,NE,$22,11,28,Brian Thomas Jr.,JAX,$15,7,28,Gunnar Helm,TEN,$1,9
 , , , , ,29,Rico Dowdle,PIT,$21,9,29,Rome Odunze,CHI,$15,10,29,Cade Otton,TB,$1,10
 , , , , ,30,Tony Pollard,TEN,$21,9,30,Quentin Johnston,LAC,$13,7,30,Darnell Washington,PIT,$1,9
 , , , , ,31,J.K. Dobbins,DEN,$13,10,31,D.J. Moore,BUF,$13,7,31,Colby Parkinson,LAR,$1,11
 , , , , ,32,Kenneth Gainwell,TB,$12,10,32,Jayden Reed,GB,$12,11,32,Mason Taylor,NYJ,$1,13
 , , , , ,33,Blake Corum,LAR,$11,11,33,Carnell Tate,TEN,$12,9, , , , , 
 , , , , ,34,Chuba Hubbard,CAR,$10,5,34,Michael Wilson,ARI,$11,14, , , , , 
 , , , , ,35,Chris Rodriguez,JAX,$10,7,35,Alec Pierce,IND,$11,13, , , , , 
 , , , , ,36,Jonathon Brooks,CAR,$9,5,36,Courtland Sutton,DEN,$11,10, , , , , 
 , , , , ,37,Kyle Monangai,CHI,$9,10,37,Marvin Harrison Jr.,ARI,$11,14, , , , , 
 , , , , ,38,Jordan Mason,MIN,$8,6,38,Chris Godwin,TB,$11,10, , , , , 
 , , , , ,39,Isiah Pacheco,DET,$7,6,39,Parker Washington,JAX,$10,7, , , , , 
 , , , , ,40,RJ Harvey,DEN,$6,10,40,Malik Nabers,NYG,$10,8, , , , , 
 , , , , ,41,Brian Robinson,ATL,$5,11,41,Jordyn Tyson,NO,$9,8, , , , , 
 , , , , ,42,Aaron Jones,MIN,$4,6,42,Michael Pittman Jr.,PIT,$8,9, , , , , 
 , , , , ,43,Rachaad White,WAS,$4,7,43,Jakobi Meyers,JAX,$8,7, , , , , 
 , , , , ,44,Tyjae Spears,TEN,$4,9,44,Rashid Shaheed,SEA,$8,11, , , , , 
 , , , , ,45,Braelon Allen,NYJ,$1,13,45,Josh Downs,IND,$8,13, , , , , 
 , , , , ,46,Jacory Croskey-Merritt,WAS,$1,7,46,Romeo Doubs,NE,$8,11, , , , , 
 , , , , ,47,Woody Marks,HOU,$1,8,47,Ricky Pearsall,SF,$7,8, , , , , 
 , , , , ,48,Tyrone Tracy,NYG,$1,8,48,Xavier Worthy,KC,$7,5, , , , , 
 , , , , ,49,Ty Johnson,BUF,$1,7,49,Jayden Higgins,HOU,$7,8, , , , , 
 , , , , ,50,Samaje Perine,CIN,$1,6,50,Jordan Addison,MIN,$6,6, , , , , 
 , , , , ,51,Tyler Allgeier,ARI,$1,14,51,Matthew Golden,GB,$5,11, , , , , 
 , , , , ,52,Justice Hill,BAL,$1,13,52,Wan'Dale Robinson,TEN,$4,9, , , , , 
 , , , , ,53,Sean Tucker,TB,$1,10,53,KC Concepcion,CLE,$3,11, , , , , 
 , , , , ,54,Ray Davis,BUF,$1,7,54,Khalil Shakir,BUF,$3,7, , , , , 
 , , , , ,55,Emanuel Wilson,SEA,$1,11,55,Tyquan Thornton,KC,$3,5, , , , , 
 , , , , ,56,Alvin Kamara,NO,$1,8,56,Tre Tucker,LV,$1,13, , , , , 
 , , , , ,57,DJ Giddens,IND,$1,13,57,Ryan Flournoy,DAL,$1,14, , , , , 
 , , , , ,58,Tank Bigsby,PHI,$1,10,58,Isaac TeSlaa,DET,$1,6, , , , , 
 , , , , , , , , , ,59,Adonai Mitchell,NYJ,$1,13, , , , , 
 , , , , , , , , , ,60,Jalen Coker,CAR,$1,5, , , , , 
 , , , , , , , , , ,61,Antonio Williams,WAS,$1,7, , , , , 
 , , , , , , , , , ,62,Jaylin Noel,HOU,$1,8, , , , , 
 , , , , , , , , , ,63,Jauan Jennings,MIN,$1,6, , , , , 
 , , , , , , , , , ,64,Troy Franklin,DEN,$1,10, , , , , 
 , , , , , , , , , ,65,Chris Bell,MIA,$1,6, , , , , 
 , , , , , , , , , ,66,Rashod Bateman,BAL,$1,13, , , , , 
 , , , , , , , , , ,67,Jalen McMillan,TB,$1,10, , , , , 
 , , , , , , , , , ,68,Denzel Boston,CLE,$1,11, , , , , 
 , , , , , , , , , ,69,Darius Slayton,NYG,$1,8, , , , , 
 , , , , , , , , , ,70,Omar Cooper Jr.,NYJ,$1,13, , , , , 
 , , , , , , , , , ,71,Caleb Douglas,MIA,$1,6, , , , , 
 , , , , , , , , , ,72,Jalen Nailor,LV,$1,13, , , , , 
 , , , , , , , , , ,73,Travis Hunter,JAX,$1,7, , , , , 
 , , , , , , , , , ,74,Andrei Iosivas,CIN,$1,6, , , , , 
 , , , , , , , , , ,75,Makai Lemon,PHI,$1,10, , , , , 
 , , , , , , , , , ,76,Germie Bernard,PIT,$1,9, , , , , 
 , , , , , , , , , ,77,KaVontae Turpin,DAL,$1,14, , , , , 
 , , , , , , , , , ,78,Calvin Ridley,TEN,$1,9, , , , , 
 , , , , , , , , , ,79,Jack Bech,LV,$1,13, , , , , 
 , , , , , , , , , ,80,Ashton Dulin,IND,$1,13, , , , , 
 , , , , , , , , , ,81,Joshua Palmer,BUF,$1,7, , , , , 
 , , , , , , , , , ,82,Cooper Kupp,SEA,$1,11, , , , , 
 , , , , , , , , , ,83,Xavier Legette,CAR,$1,5, , , , , 
 , , , , , , , , , ,84,Hollywood Brown,PHI,$1,10, , , , , 
 , , , , , , , , , ,85,Devontez Walker,BAL,$1,13, , , , , 
 , , , , , , , , , ,86,Kayshon Boutte,NE,$1,11, , , , , 
 , , , , , , , , , ,87,Jerry Jeudy,CLE,$1,11, , , , , 
 , , , , , , , , , ,88,Zachariah Branch,ATL,$1,11, , , , , 
