QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$19,7,1,Jahmyr Gibbs,DET,$55,6,1,Ja'Marr Chase,CIN,$56,6,1,Trey McBride,ARI,$21,14
2,Lamar Jackson,BAL,$13,13,2,Bijan Robinson,ATL,$53,11,2,Puka Nacua,LAR,$55,11,2,Brock Bowers,LV,$16,13
3,Drake Maye,NE,$7,11,3,Christian McCaffrey,SF,$51,8,3,Jaxon Smith-Njigba,SEA,$52,11,3,Colston Loveland,CHI,$15,10
4,Jayden Daniels,WAS,$7,7,4,De'Von Achane,MIA,$50,6,4,Amon-Ra St. Brown,DET,$47,6,4,Tyler Warren,IND,$14,13
5,Jalen Hurts,PHI,$7,10,5,Jonathan Taylor,IND,$49,13,5,Drake London,ATL,$41,11,5,Tucker Kraft,GB,$12,11
6,Joe Burrow,CIN,$6,6,6,Ashton Jeanty,LV,$37,13,6,Justin Jefferson,MIN,$35,6,6,Harold Fannin,CLE,$11,11
7,Justin Herbert,LAC,$5,7,7,Chase Brown,CIN,$36,6,7,A.J. Brown,NE,$35,11,7,Sam LaPorta,DET,$9,6
8,Trevor Lawrence,JAX,$4,7,8,Omarion Hampton,LAC,$34,7,8,CeeDee Lamb,DAL,$32,14,8,Kyle Pitts,ATL,$7,11
9,Dak Prescott,DAL,$4,14,9,Jeremiyah Love,ARI,$34,14,9,Garrett Wilson,NYJ,$31,13,9,George Kittle,SF,$7,8
10,Caleb Williams,CHI,$4,10,10,James Cook,BUF,$33,7,10,George Pickens,DAL,$30,14,10,Travis Kelce,KC,$6,5
11,Brock Purdy,SF,$3,8,11,Saquon Barkley,PHI,$32,10,11,Chris Olave,NO,$30,8,11,Jake Ferguson,DAL,$5,14
12,Jaxson Dart,NYG,$3,8,12,Kyren Williams,LAR,$32,11,12,DeVonta Smith,PHI,$30,10,12,Dallas Goedert,PHI,$5,10
13,Patrick Mahomes,KC,$3,5,13,Kenneth Walker,KC,$32,5,13,Nico Collins,HOU,$29,8,13,Mark Andrews,BAL,$3,13
14,Bo Nix,DEN,$2,10,14,Cam Skattebo,NYG,$30,8,14,Rashee Rice,KC,$29,5,14,Dalton Kincaid,BUF,$3,7
15,Jared Goff,DET,$1,6,15,Derrick Henry,BAL,$29,13,15,Jaylen Waddle,DEN,$29,10,15,Hunter Henry,NE,$1,11
16,Kyler Murray,MIN,$1,6,16,Josh Jacobs,GB,$28,11,16,Ladd McConkey,LAC,$29,7,16,Oronde Gadsden,LAC,$1,7
17,Matthew Stafford,LAR,$1,11,17,Breece Hall,NYJ,$27,13,17,Tee Higgins,CIN,$28,6,17,Isaiah Likely,NYG,$1,8
18,Baker Mayfield,TB,$1,10,18,Quinshon Judkins,CLE,$27,11,18,Tetairoa McMillan,CAR,$28,5,18,Kenyon Sadiq,NYJ,$1,13
19,Malik Willis,MIA,$1,6,19,Travis Etienne,NO,$26,8,19,Zay Flowers,BAL,$28,13,19,Dalton Schultz,HOU,$1,8
20,Jordan Love,GB,$1,11,20,Javonte Williams,DAL,$25,14,20,Davante Adams,LAR,$25,11,20,Juwan Johnson,NO,$1,8
21,Tyler Shough,NO,$1,8,21,D'Andre Swift,CHI,$25,10,21,Terry McLaurin,WAS,$25,7,21,Chigoziem Okonkwo,WAS,$1,7
22,C.J. Stroud,HOU,$1,8,22,Bucky Irving,TB,$25,10,22,Christian Watson,GB,$24,11,22,Brenton Strange,JAX,$1,7
 , , , , ,23,David Montgomery,HOU,$24,8,23,Luther Burden,CHI,$23,10,23,T.J. Hockenson,MIN,$1,6
 , , , , ,24,Jaylen Warren,PIT,$24,9,24,Jameson Williams,DET,$23,6,24,AJ Barner,SEA,$1,11
 , , , , ,25,Bhayshul Tuten,JAX,$24,7,25,Emeka Egbuka,TB,$20,10,25,Cade Otton,TB,$1,10
 , , , , ,26,Rico Dowdle,PIT,$24,9,26,Chris Godwin,TB,$19,10,26,Greg Dulcich,MIA,$1,6
 , , , , ,27,TreVeyon Henderson,NE,$24,11,27,D.J. Moore,BUF,$19,7,27,Gunnar Helm,TEN,$1,9
 , , , , ,28,Rhamondre Stevenson,NE,$24,11,28,Mike Evans,SF,$18,8,28,David Njoku,LAC,$1,7
