QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$15,7,1,Jahmyr Gibbs,DET,$49,6,1,Ja'Marr Chase,CIN,$47,6,1,Trey McBride,ARI,$20,14
2,Lamar Jackson,BAL,$10,13,2,Bijan Robinson,ATL,$47,11,2,Puka Nacua,LAR,$46,11,2,Brock Bowers,LV,$17,13
3,Drake Maye,NE,$6,11,3,Christian McCaffrey,SF,$46,8,3,Jaxon Smith-Njigba,SEA,$44,11,3,Colston Loveland,CHI,$15,10
4,Jayden Daniels,WAS,$6,7,4,De'Von Achane,MIA,$45,6,4,Amon-Ra St. Brown,DET,$40,6,4,Tyler Warren,IND,$15,13
5,Jalen Hurts,PHI,$5,10,5,Jonathan Taylor,IND,$44,13,5,Drake London,ATL,$35,11,5,Tucker Kraft,GB,$13,11
6,Joe Burrow,CIN,$5,6,6,Ashton Jeanty,LV,$34,13,6,Justin Jefferson,MIN,$31,6,6,Harold Fannin,CLE,$12,11
7,Justin Herbert,LAC,$4,7,7,Chase Brown,CIN,$34,6,7,A.J. Brown,NE,$30,11,7,Sam LaPorta,DET,$11,6
8,Trevor Lawrence,JAX,$4,7,8,Omarion Hampton,LAC,$32,7,8,CeeDee Lamb,DAL,$28,14,8,Kyle Pitts,ATL,$9,11
9,Dak Prescott,DAL,$4,14,9,Jeremiyah Love,ARI,$32,14,9,Garrett Wilson,NYJ,$27,13,9,George Kittle,SF,$9,8
10,Caleb Williams,CHI,$3,10,10,James Cook,BUF,$31,7,10,George Pickens,DAL,$26,14,10,Travis Kelce,KC,$8,5
11,Brock Purdy,SF,$3,8,11,Saquon Barkley,PHI,$31,10,11,Chris Olave,NO,$26,8,11,Jake Ferguson,DAL,$8,14
12,Jaxson Dart,NYG,$3,8,12,Kyren Williams,LAR,$30,11,12,DeVonta Smith,PHI,$26,10,12,Dallas Goedert,PHI,$7,10
13,Patrick Mahomes,KC,$2,5,13,Kenneth Walker,KC,$30,5,13,Nico Collins,HOU,$26,8,13,Mark Andrews,BAL,$6,13
14,Bo Nix,DEN,$2,10,14,Cam Skattebo,NYG,$28,8,14,Rashee Rice,KC,$26,5,14,Dalton Kincaid,BUF,$6,7
15,Jared Goff,DET,$1,6,15,Derrick Henry,BAL,$28,13,15,Jaylen Waddle,DEN,$26,10,15,Hunter Henry,NE,$4,11
16,Kyler Murray,MIN,$1,6,16,Josh Jacobs,GB,$27,11,16,Ladd McConkey,LAC,$25,7,16,Oronde Gadsden,LAC,$4,7
17,Matthew Stafford,LAR,$1,11,17,Breece Hall,NYJ,$26,13,17,Tee Higgins,CIN,$25,6,17,Isaiah Likely,NYG,$4,8
18,Baker Mayfield,TB,$1,10,18,Quinshon Judkins,CLE,$26,11,18,Tetairoa McMillan,CAR,$25,5,18,Kenyon Sadiq,NYJ,$4,13
19,Malik Willis,MIA,$1,6,19,Travis Etienne,NO,$25,8,19,Zay Flowers,BAL,$24,13,19,Dalton Schultz,HOU,$4,8
20,Jordan Love,GB,$1,11,20,Javonte Williams,DAL,$25,14,20,Davante Adams,LAR,$22,11,20,Juwan Johnson,NO,$3,8
 , , , , ,21,D'Andre Swift,CHI,$24,10,21,Terry McLaurin,WAS,$22,7,21,Chigoziem Okonkwo,WAS,$3,7
 , , , , ,22,Bucky Irving,TB,$24,10,22,Christian Watson,GB,$21,11,22,Brenton Strange,JAX,$3,7
 , , , , ,23,David Montgomery,HOU,$24,8,23,Luther Burden,CHI,$20,10,23,T.J. Hockenson,MIN,$2,6
 , , , , ,24,Jaylen Warren,PIT,$24,9,24,Jameson Williams,DET,$20,6,24,AJ Barner,SEA,$1,11
 , , , , ,25,Bhayshul Tuten,JAX,$24,7,25,Emeka Egbuka,TB,$18,10,25,Cade Otton,TB,$1,10
 , , , , ,26,Rico Dowdle,PIT,$24,9,26,Chris Godwin,TB,$17,10,26,Greg Dulcich,MIA,$1,6
