"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Josh Allen","1.0","1.0","QB","BUF","7","1.01","306.7","362.0","378.7","439.3","382.1","100.0","$75","$61"
"","2","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.04","266.8","312.0","321.4","376.0","326.4","81.4","$54","$50"
"","3","Puka Nacua","1.0","1.0","WR","LAR","11","1.06","244.9","259.0","298.6","328.5","297.0","80.9","$48","$49"
"","4","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","268.7","315.0","316.1","369.8","322.1","79.1","$54","$48"
"","5","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.05","248.2","266.0","282.0","332.8","289.7","76.6","$47","$47"
"","6","Lamar Jackson","1.0","1.0","QB","BAL","13","1.11","298.7","329.0","339.4","437.8","358.8","73.8","$45","$45"
"","7","Christian McCaffrey","1.0","1.0","RB","SF","8","1.09","247.3","286.0","297.9","372.4","309.0","72.0","$43","$44"
"","8","Drake Maye","1.0","1.0","QB","NE","11","1.03","296.0","317.0","340.2","428.7","356.3","71.0","$48","$43"
"","9","Joe Burrow","2.0","2.0","QB","CIN","6","1.10","293.8","315.0","341.6","423.6","355.3","69.9","$34","$43"
"","10","Jaxon Smith-Njigba","2.0","1.0","WR","SEA","11","1.07","243.4","248.0","267.5","318.3","277.0","69.2","$42","$42"
"","11","Jalen Hurts","2.0","2.0","QB","PHI","10","3.01","292.8","320.0","332.7","432.5","352.7","67.0","$34","$41"
"","12","Jayden Daniels","2.0","2.0","QB","WAS","7","1.08","285.9","314.0","332.4","432.1","351.1","65.2","$38","$40"
"","13","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","2.04","239.2","243.0","265.8","295.0","268.9","64.5","$37","$39"
"","14","Jonathan Taylor","2.0","2.0","RB","IND","13","1.12","247.2","286.0","287.4","339.1","294.2","64.1","$51","$39"
"","15","CeeDee Lamb","2.0","2.0","WR","DAL","14","2.03","223.4","219.0","253.9","304.7","262.2","60.5","$37","$37"
"","16","James Cook","2.0","2.0","RB","BUF","7","2.01","239.3","253.0","275.0","335.5","285.0","59.1","$46","$36"
"","17","Justin Jefferson","2.0","2.0","WR","MIN","6","2.05","210.5","220.0","244.8","318.2","258.6","58.4","$32","$36"
"","18","Ashton Jeanty","2.0","2.0","RB","LVR","13","2.08","237.8","243.0","267.2","342.0","282.3","57.6","$36","$35"
"","19","Caleb Williams","2.0","2.0","QB","CHI","10","2.02","282.4","299.0","324.6","418.7","342.6","55.6","$23","$34"
"Value","20","Trevor Lawrence","2.0","2.0","QB","JAC","7","3.07","278.3","303.0","327.4","412.5","341.7","54.6","$29","$33"
"","21","Justin Herbert","2.0","2.0","QB","LAC","7","2.12","279.1","305.0","324.5","415.4","341.0","53.9","$29","$33"
"","22","Saquon Barkley","2.0","2.0","RB","PHI","10","3.05","230.2","238.0","253.0","349.1","275.1","53.8","$39","$33"
"","23","Derrick Henry","3.0","3.0","RB","BAL","13","4.09","219.4","252.0","258.1","327.8","270.1","51.1","$47","$31"
"","24","Brock Purdy","3.0","2.0","QB","SF","8","3.12","278.2","297.0","323.5","407.6","338.2","50.7","$19","$31"
"","25","Nico Collins","3.0","3.0","WR","HOU","8","3.08","211.5","201.0","235.0","284.4","244.2","50.0","$29","$31"
"","26","Dak Prescott","3.0","2.0","QB","DAL","14","4.08","281.1","307.0","323.1","403.9","337.5","49.9","$28","$30"
"","27","A.J. Brown","3.0","3.0","WR","NE","11","4.05","199.1","215.0","234.2","290.4","243.2","49.5","$29","$30"
"","28","Jaxson Dart","3.0","2.0","QB","NYG","8","2.11","278.2","302.0","316.1","417.3","336.8","49.1","$21","$30"
"","29","Drake London","3.0","3.0","WR","ATL","11","2.06","214.3","224.0","232.9","279.5","242.2","48.9","$30","$30"
"Injured","30","De'Von Achane","3.0","3.0","RB","MIA","6","2.09","227.3","257.0","249.8","319.7","264.8","48.2","$33","$29"
"","31","Rashee Rice","3.0","3.0","WR","KC","5","4.07","173.7","191.0","241.3","277.5","238.9","46.9","$23","$29"
"","32","Kenneth Walker III","3.0","3.0","RB","KC","5","2.07","216.0","225.0","242.7","332.5","262.3","46.9","$29","$29"
"","33","Omarion Hampton","3.0","3.0","RB","LAC","7","3.03","209.8","234.0","241.1","337.5","261.7","46.5","$32","$28"
"","34","George Pickens","3.0","3.0","WR","DAL","14","3.11","202.1","207.0","224.5","280.6","235.7","45.1","$29","$28"
"","35","Brock Bowers","3.0","1.0","TE","LVR","13","4.01","195.7","192.0","210.4","254.6","219.8","44.2","$24","$27"
"Injured","36","Bo Nix","3.0","2.0","QB","DEN","10","3.09","279.2","290.0","310.2","409.5","331.7","43.4","$20","$26"
"Injured","37","Patrick Mahomes","3.0","2.0","QB","KC","5","3.02","276.2","306.0","306.9","417.4","331.5","43.2","$18","$26"
"","38","Chase Brown","3.0","3.0","RB","CIN","6","3.10","203.3","236.0","242.0","317.0","255.4","43.1","$28","$26"
"Value","39","Kyler Murray","3.0","2.0","QB","MIN","6","7.12","271.3","290.0","308.3","416.2","331.0","42.6","$16","$26"
"","40","Trey McBride","3.0","1.0","TE","ARI","14","2.10","190.9","201.0","205.3","246.4","213.9","42.0","$23","$26"
"","41","Jeremiyah Love","3.0","3.0","RB","ARI","14","3.06","204.7","222.0","230.0","326.6","251.8","41.2","$31","$25"
"","42","Colston Loveland","3.0","1.0","TE","CHI","10","5.10","165.6","184.0","202.0","238.4","205.3","38.7","$21","$24"
"","43","Jared Goff","3.0","3.0","QB","DET","6","6.05","278.2","289.0","302.4","402.2","325.2","36.1","$10","$22"
"Value","44","Josh Jacobs","4.0","4.0","RB","GB","11","4.04","173.2","232.0","240.6","291.1","242.1","36.0","$26","$22"
"","45","Tee Higgins","4.0","4.0","WR","CIN","6","4.10","186.8","198.0","209.9","260.3","219.5","35.6","$19","$22"
"Value","46","Zay Flowers","4.0","4.0","WR","BAL","13","5.11","188.3","194.0","214.0","248.2","218.7","35.1","$20","$21"
"Injured","47","Chris Olave","4.0","4.0","WR","NO","8","4.02","182.2","200.0","211.9","252.2","217.5","34.4","$22","$21"
"","48","Breece Hall","4.0","4.0","RB","NYJ","13","4.12","197.1","220.0","226.5","292.2","239.1","34.4","$24","$21"
"","49","Javonte Williams","4.0","4.0","RB","DAL","14","5.06","197.1","213.0","229.2","286.5","239.0","34.3","$23","$21"
"","50","Tyler Warren","4.0","2.0","TE","IND","13","6.07","157.9","164.0","190.2","220.6","192.6","33.8","$18","$21"
"","51","Kyren Williams","4.0","4.0","RB","LAR","11","5.02","205.9","215.0","223.8","286.5","237.7","33.6","$24","$20"
"Value","52","DeVonta Smith","4.0","4.0","WR","PHI","10","6.02","187.6","191.0","203.9","256.9","215.4","33.2","$17","$20"
"","53","Jordan Love","4.0","3.0","QB","GB","11","5.01","279.6","276.0","294.3","406.1","322.1","32.6","$7","$20"
"","54","Travis Etienne","4.0","4.0","RB","NO","8","5.05","197.7","205.0","217.2","295.4","235.0","32.2","$21","$20"
"","55","Matthew Stafford","4.0","3.0","QB","LAR","11","8.04","276.1","286.0","296.9","400.8","321.5","32.0","$7","$20"
"Injured","56","Malik Nabers","4.0","4.0","WR","NYG","8","3.04","159.7","184.0","197.1","279.9","212.9","31.8","$16","$19"
"Sleeper","57","Tyler Shough","4.0","3.0","QB","NO","8","7.06","269.0","269.0","295.6","405.0","320.6","30.9","$10","$19"
"","58","Garrett Wilson","4.0","4.0","WR","NYJ","13","5.03","181.9","186.0","202.1","248.6","211.1","30.7","$19","$19"
"Injured","59","Tucker Kraft","4.0","2.0","TE","GB","11","8.05","146.1","157.0","176.0","223.5","183.5","30.2","$16","$18"
"Value","60","Christian Watson","4.0","4.0","WR","GB","11","7.09","169.6","160.0","199.5","253.4","208.8","29.9","$14","$18"
"","61","Baker Mayfield","4.0","3.0","QB","TB","10","6.04","274.8","277.0","289.3","402.1","317.4","29.9","$11","$18"
"Value","62","Davante Adams","4.0","4.0","WR","LAR","11","5.08","172.4","180.0","198.2","249.7","207.6","29.5","$14","$18"
"Value","63","Jaylen Waddle","5.0","5.0","WR","DEN","10","5.07","168.3","174.0","193.4","249.5","204.1","28.3","$13","$17"
"Injured","64","Cameron 'Cam' Skattebo","5.0","5.0","RB","NYG","8","6.10","178.2","207.0","212.1","280.0","224.5","28.1","$17","$17"
"Value","65","Terry McLaurin","5.0","5.0","WR","WAS","7","6.06","170.8","185.0","191.9","247.6","203.3","28.0","$17","$17"
"","66","Malik Willis","5.0","3.0","QB","MIA","6","8.10","266.7","266.0","274.9","409.6","310.2","27.9","$6","$17"
"Injured","67","Tetairoa McMillan","5.0","5.0","WR","CAR","5","4.11","171.2","188.0","190.2","247.3","202.3","27.6","$20","$17"
"","68","Emeka Egbuka","5.0","5.0","WR","TB","10","6.03","164.4","171.0","189.0","251.4","201.6","27.4","$19","$17"
"","69","D'Andre Swift","5.0","5.0","RB","CHI","10","7.03","184.1","194.0","209.2","274.1","222.3","27.3","$16","$17"
"","70","Luther Burden III","5.0","5.0","WR","CHI","10","5.04","161.7","171.0","188.0","251.9","200.7","27.1","$14","$17"
"","71","C.J. Stroud","5.0","3.0","QB","HOU","8","7.04","269.9","265.0","278.2","389.5","307.1","27.1","$10","$17"
"","72","Ladd McConkey","5.0","5.0","WR","LAC","7","5.09","164.5","179.0","186.9","250.4","200.2","26.9","$14","$16"
"Injured","73","Daniel Jones","5.0","3.0","QB","IND","13","8.08","259.1","255.0","275.6","394.1","304.9","26.5","$7","$16"
"","74","Jameson Williams","5.0","5.0","WR","DET","6","5.12","166.1","170.0","184.6","243.7","197.4","26.0","$22","$16"
"","75","Sam LaPorta","5.0","3.0","TE","DET","6","9.05","148.1","159.0","164.6","212.3","174.6","25.2","$14","$15"
"Value","76","Mike Evans","5.0","5.0","WR","SF","8","7.01","156.1","170.0","181.5","243.2","193.7","24.7","$16","$15"
"","77","David Montgomery","5.0","5.0","RB","HOU","8","7.10","168.0","182.0","197.6","274.7","213.3","24.3","$14","$15"
"","78","Rome Odunze","5.0","5.0","WR","CHI","10","8.01","154.7","164.0","175.8","247.9","191.6","24.0","$14","$15"
"Injured","79","Bucky Irving","5.0","5.0","RB","TB","10","4.06","171.7","192.0","192.9","277.8","212.2","23.9","$16","$15"
"","80","Harold Fannin Jr.","5.0","3.0","TE","CLE","11","7.07","147.3","154.0","163.7","206.3","172.3","23.9","$12","$15"
"Injured","81","Quinshon Judkins","5.0","5.0","RB","CLE","11","7.05","174.3","193.0","191.5","275.8","211.4","23.6","$18","$14"
"","82","Sam Darnold","5.0","4.0","QB","SEA","11","7.08","256.3","260.0","258.9","388.4","293.8","23.5","$3","$14"
"Sleeper","83","Cameron 'Cam' Ward","5.0","4.0","QB","TEN","9","6.12","252.8","239.0","258.0","392.2","293.7","23.5","$6","$14"
"","84","Aaron Rodgers","5.0","4.0","QB","PIT","9","19.02","254.1","228.0","259.3","386.4","293.0","23.3","$4","$14"
"Value","85","D.K. Metcalf","6.0","6.0","WR","PIT","9","8.09","153.3","164.0","182.5","224.5","188.7","22.9","$9","$14"
"","86","TreVeyon Henderson","6.0","6.0","RB","NE","11","6.01","163.9","181.0","182.1","291.4","208.6","22.7","$9","$14"
"","87","Parker Washington","6.0","6.0","WR","JAC","7","10.04","149.8","148.0","178.3","228.2","186.7","22.3","$11","$14"
"","88","D.J. Moore","6.0","6.0","WR","BUF","7","6.09","149.6","158.0","172.0","235.6","185.3","21.8","$9","$13"
"","89","Marvin Harrison Jr.","6.0","6.0","WR","ARI","14","9.07","148.4","160.0","168.6","236.0","183.3","21.1","$9","$13"
"","90","Bryce Young","6.0","4.0","QB","CAR","5","8.03","242.3","244.0","244.7","391.5","284.3","20.9","$4","$13"
"Injured","91","Alec Pierce","6.0","6.0","WR","IND","13","10.02","147.1","165.0","171.0","229.1","182.5","20.8","$14","$13"
"","92","Courtland Sutton","6.0","6.0","WR","DEN","10","8.06","147.9","151.0","172.0","221.9","181.2","20.4","$7","$12"
"","93","Jacoby Brissett","6.0","4.0","QB","ARI","14","14.03","234.1","245.0","246.4","381.9","281.1","20.1","$6","$12"
"","94","Carnell Tate","6.0","6.0","WR","TEN","9","7.02","139.9","159.0","166.5","234.8","180.3","20.0","$11","$12"
"","95","Brian Thomas Jr.","6.0","6.0","WR","JAC","7","9.03","141.9","147.0","161.3","242.0","179.8","19.9","$14","$12"
"Value","96","Jayden Reed","6.0","6.0","WR","GB","11","12.05","143.7","143.0","169.0","224.8","179.6","19.8","$6","$12"
"","97","Jordyn Tyson","6.0","6.0","WR","NO","8","8.02","137.8","144.0","166.0","234.1","179.5","19.8","$8","$12"
"","98","Jordan Addison","6.0","6.0","WR","MIN","6","10.11","142.9","140.0","168.1","223.6","178.7","19.5","$6","$12"
"","99","Fernando Mendoza","6.0","4.0","QB","LVR","13","4.03","232.7","243.0","237.4","391.7","278.6","19.4","$6","$12"
"","100","Quentin Johnston","6.0","6.0","WR","LAC","7","11.09","135.4","140.0","163.1","234.9","177.7","19.1","$6","$12"
"","101","Deshaun Watson","6.0","4.0","QB","CLE","11","22.03","207.8","174.0","218.7","437.4","276.4","18.8","$11","$11"
"","102","Geno Smith","6.0","4.0","QB","NYJ","13","16.05","228.1","240.0","237.6","384.9","276.1","18.7","$11","$11"
"","103","Kyle Pitts","6.0","3.0","TE","ATL","11","8.07","140.6","148.0","152.8","198.6","163.1","18.7","$9","$11"
"","104","Bhayshul Tuten","6.0","6.0","RB","JAC","7","6.11","146.9","178.0","168.9","285.4","196.7","18.7","$8","$11"
"Injured","105","George Kittle","6.0","3.0","TE","SF","8","11.01","92.1","148.0","153.5","228.7","162.9","18.6","$10","$11"
"","106","Ricky Pearsall","6.0","6.0","WR","SF","8","10.01","133.2","135.0","164.5","227.0","175.9","18.5","$6","$11"
"Value","107","Michael Pittman Jr.","6.0","6.0","WR","PIT","9","11.07","145.5","151.0","167.2","212.3","175.6","18.4","$7","$11"
"Value","108","Jakobi Meyers","7.0","7.0","WR","JAC","7","9.02","144.3","139.0","165.9","210.7","174.2","17.9","$4","$11"
"","109","Jadarian Price","6.0","6.0","RB","SEA","11","12.11","138.2","171.0","164.5","291.2","194.3","17.9","$10","$11"
"","110","Xavier Worthy","7.0","7.0","WR","KC","5","12.08","131.3","141.0","158.2","232.6","173.6","17.7","$5","$11"
"","111","Tony Pollard","7.0","7.0","RB","TEN","9","9.08","151.8","171.0","172.5","260.5","192.7","17.3","$6","$11"
"","112","Rhamondre Stevenson","7.0","7.0","RB","NE","11","8.11","152.0","165.0","174.7","255.1","192.5","17.3","$5","$11"
"","113","Jaylen Warren","7.0","7.0","RB","PIT","9","7.11","154.7","170.0","182.0","236.6","191.9","17.1","$4","$10"
"","114","Chuba Hubbard","7.0","7.0","RB","CAR","5","9.11","142.4","162.0","167.5","266.3","189.9","16.4","$5","$10"
"","115","J.K. Dobbins","7.0","7.0","RB","DEN","10","10.07","141.3","160.0","166.2","262.6","188.0","15.8","$5","$10"
"","116","Makai Lemon","7.0","7.0","WR","PHI","10","9.01","125.0","129.0","147.0","235.2","167.1","15.5","$5","$9"
"","117","Josh Downs","7.0","7.0","WR","IND","13","13.12","128.7","142.0","153.2","220.6","167.1","15.5","$4","$9"
"","118","Chris Godwin","7.0","7.0","WR","TB","10","10.03","128.0","147.0","152.4","221.0","166.7","15.3","$3","$9"
"","119","Romeo Doubs","7.0","7.0","WR","NE","11","12.03","128.2","139.0","152.6","215.2","165.2","14.8","$5","$9"
"","120","Brandon Aubrey","7.0","1.0","K","DAL","14","498.08","157.4","147.0","176.8","190.9","177.1","14.4","$7","$9"
"","121","KC Concepcion","7.0","7.0","WR","CLE","11","13.05","120.2","123.0","150.2","217.8","163.2","14.1","$6","$9"
"","122","Travis Kelce","7.0","4.0","TE","KC","5","11.06","129.3","148.0","150.3","180.4","154.7","14.0","$7","$9"
"Sleeper","123","Jayden Higgins","7.0","7.0","WR","HOU","8","13.02","125.3","130.0","142.4","226.4","162.2","13.8","$4","$8"
"","124","Matthew Golden","8.0","8.0","WR","GB","11","16.02","125.2","126.0","137.6","235.3","162.0","13.7","$6","$8"
"","125","Stefon Diggs","8.0","8.0","WR","UNS","18","12.01","109.3","134.0","154.0","212.5","161.8","13.7","$3","$8"
