"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","298.7","316.0","364.3","400.7","362.3","100.0","$56","$57"
"","2","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","296.9","346.0","357.7","418.5","363.2","99.0","$60","$56"
"","3","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","298.8","352.0","351.5","411.3","358.2","96.6","$62","$55"
"","4","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","303.7","324.0","345.1","407.2","354.5","95.9","$55","$55"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","279.6","325.0","336.9","421.1","349.5","92.5","$52","$53"
"","6","Jaxon Smith-Njigba","2.0","2.0","WR","SEA","11","1.06","292.4","300.0","321.3","382.3","332.7","84.6","$48","$48"
"","7","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","292.2","300.0","324.7","360.4","328.5","82.4","$44","$47"
"","8","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","266.7","308.0","310.1","365.9","317.4","77.0","$58","$44"
"","9","CeeDee Lamb","2.0","2.0","WR","DAL","14","1.09","270.7","267.0","307.6","369.1","317.7","76.8","$44","$44"
"","10","Ashton Jeanty","2.0","2.0","RB","LVR","13","1.13","265.8","272.0","298.6","382.2","315.4","76.1","$44","$43"
"","11","Justin Jefferson","2.0","2.0","WR","MIN","6","1.11","255.2","270.0","296.7","385.7","313.4","74.6","$38","$43"
"","12","James Cook","2.0","2.0","RB","BUF","7","1.12","256.0","269.0","294.3","359.0","305.0","71.1","$53","$41"
"Injured","13","De'Von Achane","2.0","2.0","RB","MIA","6","1.10","255.0","289.0","280.2","358.7","297.0","67.2","$43","$38"
"","14","Saquon Barkley","2.0","2.0","RB","PHI","10","1.14","248.6","257.0","273.2","377.0","297.0","67.2","$44","$38"
"","15","Drake London","3.0","3.0","WR","ATL","11","2.03","260.6","271.0","283.3","340.0","294.6","64.8","$37","$37"
"","16","A.J. Brown","3.0","3.0","WR","NE","11","2.12","240.5","258.0","282.9","350.8","293.7","64.3","$35","$37"
"","17","Rashee Rice","3.0","3.0","WR","KC","5","2.09","213.3","237.0","296.3","340.7","293.3","64.1","$30","$37"
"","18","Nico Collins","3.0","3.0","WR","HOU","8","2.07","253.1","241.0","281.2","340.3","292.2","63.5","$34","$36"
"","19","Kenneth Walker III","3.0","3.0","RB","KC","5","2.14","237.4","248.0","266.7","365.4","288.3","63.1","$36","$36"
"","20","Chase Brown","3.0","3.0","RB","CIN","6","2.11","228.7","268.0","272.3","356.7","287.4","62.6","$39","$36"
"","21","Omarion Hampton","3.0","3.0","RB","LAC","7","2.04","230.3","261.0","264.7","370.6","287.3","62.6","$41","$36"
"","22","Derrick Henry","3.0","3.0","RB","BAL","13","2.02","227.9","261.0","268.1","340.5","280.5","59.3","$52","$34"
"","23","Jeremiyah Love","3.0","3.0","RB","ARI","14","2.01","227.1","250.0","255.2","362.4","279.3","58.7","$41","$33"
"","24","George Pickens","3.0","3.0","WR","DAL","14","2.13","241.2","248.0","268.0","335.0","281.4","57.9","$34","$33"
"","25","Brock Bowers","3.0","1.0","TE","LVR","13","2.06","242.6","240.0","260.9","315.7","272.5","53.8","$28","$31"
"","26","Breece Hall","4.0","4.0","RB","NYJ","13","3.03","220.5","244.0","253.5","327.0","267.6","53.1","$34","$30"
"","27","Trey McBride","4.0","1.0","TE","ARI","14","2.05","240.9","254.0","259.0","310.8","269.8","52.9","$26","$30"
"","28","Josh Allen","4.0","1.0","QB","BUF","7","2.08","306.7","362.0","378.7","439.3","382.1","52.5","$37","$30"
"Value","29","Josh Jacobs","4.0","4.0","RB","GB","11","2.10","188.1","251.0","261.2","316.1","262.9","50.9","$34","$29"
"Value","30","Zay Flowers","4.0","4.0","WR","BAL","13","3.13","229.7","235.0","261.0","302.8","266.7","50.3","$28","$29"
"Injured","31","Chris Olave","4.0","4.0","WR","NO","8","3.02","222.0","244.0","258.1","307.1","264.9","49.3","$29","$28"
"","32","Javonte Williams","4.0","4.0","RB","DAL","14","3.06","213.7","231.0","248.5","310.6","259.1","49.0","$31","$28"
"","33","Travis Etienne","4.0","4.0","RB","NO","8","3.12","216.8","225.0","238.2","324.0","257.7","48.4","$29","$28"
"Value","34","DeVonta Smith","4.0","4.0","WR","PHI","10","3.05","228.5","233.0","248.4","313.0","262.4","48.0","$23","$27"
"","35","Tee Higgins","4.0","4.0","WR","CIN","6","4.04","222.6","237.0","250.1","310.1","261.5","47.6","$23","$27"
"","36","Garrett Wilson","4.0","4.0","WR","NYJ","13","3.08","224.9","233.0","249.9","307.4","261.0","47.3","$27","$27"
"","37","Kyren Williams","4.0","4.0","RB","LAR","11","3.07","221.3","232.0","240.5","307.8","255.4","47.3","$32","$27"
"Injured","38","Malik Nabers","4.0","4.0","WR","NYG","8","3.01","194.5","223.0","240.1","340.9","259.3","46.4","$22","$26"
"","39","Colston Loveland","4.0","2.0","TE","CHI","10","3.11","202.0","226.0","246.3","290.6","250.3","46.2","$23","$26"
"Injured","40","Cameron 'Cam' Skattebo","4.0","4.0","RB","NYG","8","3.10","197.9","231.0","235.6","311.0","249.3","44.3","$25","$25"
"","41","Tyler Warren","4.0","2.0","TE","IND","13","4.01","194.6","207.0","234.5","272.0","237.5","41.9","$21","$24"
"Value","42","Jaylen Waddle","4.0","4.0","WR","DEN","10","4.14","204.7","213.0","235.3","303.5","248.3","40.7","$18","$23"
"Value","43","Davante Adams","5.0","5.0","WR","LAR","11","3.14","205.9","214.0","236.7","298.2","247.9","40.5","$18","$23"
"","44","D'Andre Swift","5.0","5.0","RB","CHI","10","5.06","199.6","212.0","226.8","297.1","241.0","40.3","$22","$23"
"Value","45","Terry McLaurin","5.0","5.0","WR","WAS","7","4.06","205.8","222.0","231.2","298.2","244.9","38.9","$22","$22"
"","46","Emeka Egbuka","5.0","5.0","WR","TB","10","4.03","199.4","205.0","229.2","304.8","244.4","38.7","$24","$22"
"Injured","47","Tetairoa McMillan","5.0","5.0","WR","CAR","5","3.09","206.6","226.0","229.5","298.4","244.1","38.5","$25","$22"
"Value","48","Christian Watson","5.0","5.0","WR","GB","11","6.14","198.1","189.0","233.0","295.9","243.8","38.4","$18","$22"
"","49","Luther Burden III","5.0","5.0","WR","CHI","10","5.10","196.3","209.0","228.2","305.8","243.6","38.3","$18","$22"
"","50","Ladd McConkey","5.0","5.0","WR","LAC","7","4.10","199.8","218.0","227.1","304.3","243.2","38.0","$20","$22"
"Injured","51","Bucky Irving","5.0","5.0","RB","TB","10","4.07","190.4","213.0","213.9","308.0","235.3","37.6","$22","$21"
"Injured","52","Tucker Kraft","5.0","3.0","TE","GB","11","8.02","177.2","191.0","213.5","271.1","222.6","36.8","$19","$21"
"","53","Lamar Jackson","5.0","1.0","QB","BAL","13","3.04","298.7","329.0","339.4","437.8","358.8","36.6","$21","$21"
"","54","David Montgomery","5.0","5.0","RB","HOU","8","5.07","181.5","199.0","213.5","296.8","230.4","35.3","$19","$20"
"","55","Drake Maye","5.0","1.0","QB","NE","11","4.02","296.0","317.0","340.2","428.7","356.3","34.9","$22","$20"
"","56","TreVeyon Henderson","5.0","5.0","RB","NE","11","4.12","179.7","199.0","199.7","319.5","228.7","34.4","$13","$20"
"","57","Joe Burrow","5.0","2.0","QB","CIN","6","4.08","293.8","315.0","341.6","423.6","355.3","34.2","$15","$19"
"","58","Harold Fannin Jr.","5.0","3.0","TE","CLE","11","5.03","183.2","193.0","203.6","256.5","214.3","34.0","$15","$19"
"","59","Sam LaPorta","5.0","3.0","TE","DET","6","5.11","181.2","195.0","201.3","259.7","213.6","33.7","$18","$19"
"Injured","60","Quinshon Judkins","5.0","5.0","RB","CLE","11","4.09","187.2","209.0","205.7","296.2","227.0","33.6","$24","$19"
"","61","Jalen Hurts","5.0","2.0","QB","PHI","10","4.11","292.8","320.0","332.7","432.5","352.7","32.8","$16","$19"
"","62","Jameson Williams","5.0","5.0","WR","DET","6","5.05","195.4","202.0","217.1","286.6","232.1","32.4","$24","$18"
"","63","Jayden Daniels","5.0","2.0","QB","WAS","7","4.05","285.9","314.0","332.4","432.1","351.1","32.2","$17","$18"
"Value","64","Mike Evans","5.0","5.0","WR","SF","8","5.14","185.9","203.0","216.2","289.7","230.7","31.9","$19","$18"
"","65","Jaylen Warren","6.0","6.0","RB","PIT","9","6.13","177.6","192.0","208.9","271.6","220.3","31.9","$8","$18"
"","66","Rome Odunze","6.0","6.0","WR","CHI","10","5.09","184.1","195.0","209.2","295.0","228.0","30.7","$16","$17"
"","67","Rhamondre Stevenson","6.0","6.0","RB","NE","11","8.07","168.8","183.0","194.0","283.2","213.8","30.6","$7","$17"
"","68","Bhayshul Tuten","6.0","6.0","RB","JAC","7","5.12","158.5","194.0","182.2","307.9","212.2","30.3","$13","$17"
"Value","69","D.K. Metcalf","6.0","6.0","WR","PIT","9","6.05","184.2","196.0","219.3","269.7","226.7","30.2","$11","$17"
"","70","Parker Washington","6.0","6.0","WR","JAC","7","7.12","180.7","181.0","215.1","275.3","225.3","29.6","$13","$17"
"","71","Tony Pollard","6.0","6.0","RB","TEN","9","6.10","164.3","186.0","186.7","281.9","208.6","29.6","$9","$17"
"","72","Caleb Williams","6.0","2.0","QB","CHI","10","7.05","282.4","299.0","324.6","418.7","342.6","29.5","$11","$17"
"","73","Chuba Hubbard","6.0","6.0","RB","CAR","5","6.03","155.9","179.0","183.4","291.6","207.9","29.5","$8","$17"
"","74","Kyle Pitts","6.0","4.0","TE","ATL","11","5.04","175.9","186.0","191.2","248.6","204.1","29.3","$14","$17"
"Value","75","Trevor Lawrence","6.0","2.0","QB","JAC","7","8.11","278.3","303.0","327.4","412.5","341.7","29.2","$15","$17"
"","76","Justin Herbert","6.0","2.0","QB","LAC","7","9.04","279.1","305.0","324.5","415.4","341.0","29.0","$15","$17"
"","77","Jadarian Price","7.0","7.0","RB","SEA","11","5.01","145.6","183.0","173.3","306.7","204.7","28.8","$15","$16"
"","78","D.J. Moore","7.0","6.0","WR","BUF","7","5.02","180.2","191.0","207.1","283.7","223.1","28.7","$11","$16"
"","79","Brock Purdy","7.0","2.0","QB","SF","8","7.09","278.2","297.0","323.5","407.6","338.2","28.1","$10","$16"
"Injured","80","George Kittle","7.0","4.0","TE","SF","8","6.01","113.9","183.0","189.8","282.8","201.4","28.0","$15","$16"
"","81","Rico Dowdle","7.0","7.0","RB","PIT","9","7.06","154.5","181.0","175.6","279.2","200.0","27.9","$8","$16"
"","82","Dak Prescott","7.0","2.0","QB","DAL","14","7.02","281.1","307.0","323.1","403.9","337.5","27.8","$15","$16"
