"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","236.6","277.0","285.0","333.5","289.4","100.0","$65","$61"
"","2","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","238.4","278.0","280.5","328.2","285.9","97.6","$68","$60"
"","3","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","191.0","201.0","232.9","256.2","231.6","90.5","$54","$55"
"","4","Jonathan Taylor","1.0","1.0","RB","IND","13","1.08","227.6","265.0","264.6","312.2","270.9","87.4","$69","$53"
"","5","Christian McCaffrey","2.0","2.0","RB","SF","8","1.05","214.9","248.0","258.9","323.6","268.6","85.8","$51","$52"
"","6","Ja'Marr Chase","2.0","1.0","WR","CIN","6","1.04","192.5","208.0","218.8","258.2","224.8","85.5","$52","$52"
"","7","James Cook","2.0","2.0","RB","BUF","7","1.12","222.4","236.0","255.6","311.8","264.9","83.3","$66","$51"
"","8","Jaxon Smith-Njigba","2.0","1.0","WR","SEA","11","1.06","194.5","195.0","213.7","254.3","221.3","82.9","$51","$51"
"","9","Derrick Henry","2.0","2.0","RB","BAL","13","2.02","210.9","243.0","248.1","315.1","259.6","79.7","$75","$49"
"","10","Saquon Barkley","2.0","2.0","RB","PHI","10","1.14","211.8","218.0","232.8","321.3","253.1","75.3","$54","$46"
"","11","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","186.2","186.0","206.9","229.7","209.4","74.1","$42","$45"
"","12","Ashton Jeanty","3.0","3.0","RB","LVR","13","1.13","209.8","214.0","235.7","301.7","249.0","72.5","$45","$44"
"","13","CeeDee Lamb","3.0","2.0","WR","DAL","14","1.09","176.1","170.0","200.1","240.1","206.7","72.2","$44","$44"
"","14","Justin Jefferson","3.0","2.0","WR","MIN","6","1.11","165.9","170.0","192.9","250.8","203.8","70.0","$38","$43"
"","15","Nico Collins","3.0","2.0","WR","HOU","8","2.07","170.0","160.0","188.9","228.6","196.3","64.5","$37","$39"
"","16","Kenneth Walker III","3.0","3.0","RB","KC","5","2.14","194.6","202.0","218.6","299.5","236.3","63.8","$39","$39"
"","17","Omarion Hampton","3.0","3.0","RB","LAC","7","2.04","189.2","208.0","217.5","304.5","236.1","63.7","$44","$39"
"","18","A.J. Brown","3.0","3.0","WR","NE","11","2.12","157.7","172.0","185.5","230.0","192.6","61.8","$36","$38"
"Injured","19","De'Von Achane","3.0","3.0","RB","MIA","6","1.10","199.7","224.0","219.4","280.8","232.6","61.3","$42","$37"
"","20","Josh Allen","3.0","1.0","QB","BUF","7","2.08","306.7","362.0","378.7","439.3","382.1","60.6","$46","$37"
"","21","George Pickens","3.0","3.0","WR","DAL","14","2.13","162.8","166.0","180.9","226.1","189.9","59.8","$37","$36"
"","22","Drake London","3.0","3.0","WR","ATL","11","2.03","167.9","178.0","182.5","219.0","189.8","59.7","$36","$36"
"","23","Rashee Rice","3.0","3.0","WR","KC","5","2.09","134.1","145.0","186.2","214.1","184.3","55.6","$28","$34"
"","24","Jeremiyah Love","4.0","4.0","RB","ARI","14","2.01","182.1","193.0","204.6","290.5","223.9","55.4","$42","$34"
"","25","Chase Brown","4.0","4.0","RB","CIN","6","2.11","177.7","203.0","211.5","277.1","223.3","55.0","$37","$34"
"Value","26","Josh Jacobs","4.0","4.0","RB","GB","11","2.10","158.5","213.0","220.1","266.3","221.5","53.8","$39","$33"
"","27","Kyren Williams","4.0","4.0","RB","LAR","11","3.07","190.3","199.0","206.9","264.8","219.7","52.5","$38","$32"
"","28","Javonte Williams","4.0","4.0","RB","DAL","14","3.06","180.4","195.0","209.8","262.3","218.8","51.9","$35","$32"
"","29","Tee Higgins","4.0","4.0","WR","CIN","6","4.04","151.0","159.0","169.7","210.4","177.4","50.5","$26","$31"
"","30","Brock Bowers","4.0","1.0","TE","LVR","13","2.06","148.6","144.0","159.8","193.4","166.9","49.9","$27","$30"
"Value","31","Christian Watson","4.0","4.0","WR","GB","11","6.14","141.1","130.0","166.0","210.8","173.7","47.8","$23","$29"
"","32","Travis Etienne","4.0","4.0","RB","NO","8","3.12","178.5","184.0","196.1","266.7","212.2","47.4","$30","$29"
"","33","Colston Loveland","4.0","1.0","TE","CHI","10","3.11","129.2","143.0","157.5","185.9","160.1","46.6","$25","$28"
"","34","Breece Hall","4.0","4.0","RB","NYJ","13","3.03","173.6","197.0","199.5","257.4","210.6","46.3","$31","$28"
"Value","35","Zay Flowers","4.0","4.0","WR","BAL","13","3.13","147.0","153.0","167.0","193.7","170.7","45.6","$27","$28"
"","36","Trey McBride","4.0","1.0","TE","ARI","14","2.05","140.9","149.0","151.5","181.8","157.8","45.5","$24","$28"
"Injured","37","Chris Olave","4.0","4.0","WR","NO","8","3.02","142.6","156.0","165.8","197.3","170.2","45.2","$29","$28"
"Value","38","DeVonta Smith","4.0","4.0","WR","PHI","10","3.05","146.7","149.0","159.5","201.0","168.5","44.0","$23","$27"
"Value","39","Davante Adams","4.0","4.0","WR","LAR","11","3.14","138.9","146.0","159.7","201.2","167.2","43.0","$20","$26"
"Injured","40","Malik Nabers","4.0","4.0","WR","NYG","8","3.01","124.9","144.0","154.2","219.0","166.6","42.6","$22","$26"
"","41","D'Andre Swift","5.0","5.0","RB","CHI","10","5.06","168.6","177.0","191.6","251.0","203.6","41.6","$24","$25"
"","42","Tyler Warren","5.0","2.0","TE","IND","13","4.01","120.9","121.0","145.7","169.0","147.6","40.6","$22","$25"
"","43","Jameson Williams","5.0","5.0","WR","DET","6","5.05","136.8","138.0","152.0","200.6","162.5","39.5","$32","$24"
"Injured","44","Tucker Kraft","5.0","2.0","TE","GB","11","8.02","114.9","123.0","138.4","175.8","144.3","39.0","$21","$24"
"Value","45","Terry McLaurin","5.0","5.0","WR","WAS","7","4.06","135.7","147.0","152.5","196.7","161.5","38.8","$24","$24"
"Injured","46","Cameron 'Cam' Skattebo","5.0","5.0","RB","NYG","8","3.10","158.3","185.0","188.4","248.7","199.4","38.7","$24","$24"
"","47","Garrett Wilson","5.0","5.0","WR","NYJ","13","3.08","139.0","140.0","154.4","189.9","161.3","38.7","$24","$24"
"","48","Lamar Jackson","5.0","1.0","QB","BAL","13","3.04","298.7","329.0","339.4","437.8","358.8","38.2","$23","$23"
"Injured","49","Tetairoa McMillan","5.0","5.0","WR","CAR","5","3.09","135.7","150.0","150.8","196.0","160.4","38.0","$26","$23"
"Value","50","Jaylen Waddle","5.0","5.0","WR","DEN","10","4.14","131.8","135.0","151.5","195.4","159.9","37.6","$18","$23"
"","51","Emeka Egbuka","5.0","5.0","WR","TB","10","4.03","129.5","137.0","148.8","197.9","158.7","36.7","$24","$22"
"","52","David Montgomery","5.0","5.0","RB","HOU","8","5.07","154.4","166.0","181.6","252.4","196.0","36.4","$21","$22"
"Injured","53","Quinshon Judkins","5.0","5.0","RB","CLE","11","4.09","161.3","178.0","177.3","255.3","195.7","36.2","$28","$22"
"","54","Luther Burden III","5.0","5.0","WR","CHI","10","5.10","127.1","133.0","147.8","198.1","157.8","36.1","$18","$22"
"","55","Drake Maye","5.0","1.0","QB","NE","11","4.02","296.0","317.0","340.2","428.7","356.3","35.8","$24","$22"
"","56","Ladd McConkey","5.0","5.0","WR","LAC","7","4.10","129.1","141.0","146.7","196.6","157.1","35.6","$20","$22"
"Value","57","Mike Evans","5.0","5.0","WR","SF","8","5.14","126.3","137.0","146.9","196.8","156.8","35.3","$23","$22"
"","58","Sam LaPorta","5.0","3.0","TE","DET","6","5.11","115.0","122.0","127.8","164.9","135.6","34.8","$20","$21"
"","59","Joe Burrow","5.0","2.0","QB","CIN","6","4.08","293.8","315.0","341.6","423.6","355.3","34.8","$16","$21"
"","60","Rome Odunze","5.0","5.0","WR","CHI","10","5.09","125.2","134.0","142.3","200.6","155.1","34.1","$20","$21"
"","61","Jalen Hurts","5.0","2.0","QB","PHI","10","4.11","292.8","320.0","332.7","432.5","352.7","32.7","$16","$20"
"Injured","62","Bucky Irving","6.0","6.0","RB","TB","10","4.07","152.9","172.0","171.8","247.4","189.0","32.5","$21","$20"
"","63","TreVeyon Henderson","6.0","6.0","RB","NE","11","4.12","148.0","162.0","164.4","263.0","188.3","32.3","$13","$20"
"","64","Jayden Daniels","6.0","2.0","QB","WAS","7","4.05","285.9","314.0","332.4","432.1","351.1","32.0","$19","$20"
"","65","Harold Fannin Jr.","6.0","3.0","TE","CLE","11","5.03","111.3","115.0","123.7","155.9","130.2","31.8","$15","$19"
"Value","66","D.K. Metcalf","6.0","6.0","WR","PIT","9","6.05","122.4","132.0","145.7","179.2","150.6","31.3","$13","$19"
"","67","Jadarian Price","6.0","6.0","RB","SEA","11","5.01","130.7","159.0","155.6","275.4","183.8","31.0","$17","$19"
"Injured","68","Alec Pierce","6.0","6.0","WR","IND","13","6.08","119.9","135.0","139.4","186.8","148.8","30.2","$19","$18"
"","69","Bhayshul Tuten","6.0","6.0","RB","JAC","7","5.12","135.2","163.0","155.4","262.6","181.0","30.2","$14","$18"
"","70","Parker Washington","6.0","6.0","WR","JAC","7","7.12","118.9","116.0","141.5","181.1","148.2","29.9","$14","$18"
"","71","D.J. Moore","6.0","6.0","WR","BUF","7","5.02","119.1","125.0","136.9","187.6","147.5","29.4","$13","$18"
"","72","Marvin Harrison Jr.","6.0","6.0","WR","ARI","14","5.13","119.2","129.0","135.4","189.6","147.2","29.3","$12","$18"
"","73","Tony Pollard","6.0","6.0","RB","TEN","9","6.10","139.2","155.0","158.2","238.9","176.8","29.0","$10","$18"
"","74","J.K. Dobbins","6.0","6.0","RB","DEN","10","7.14","132.7","151.0","156.1","246.6","176.5","28.9","$8","$18"
"","75","Caleb Williams","6.0","2.0","QB","CHI","10","7.05","282.4","299.0","324.6","418.7","342.6","28.0","$11","$17"
