"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","244.9","259.0","298.6","328.5","297.0","100.0","$56","$57"
"","2","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","266.8","312.0","321.4","376.0","326.4","94.0","$58","$54"
"","3","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","248.2","266.0","282.0","332.8","289.7","93.9","$54","$54"
"","4","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","268.7","315.0","316.1","369.8","322.1","90.7","$59","$52"
"","5","Jaxon Smith-Njigba","1.0","1.0","WR","SEA","11","1.06","243.4","248.0","267.5","318.3","277.0","83.2","$47","$47"
"","6","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","247.3","286.0","297.9","372.4","309.0","80.6","$45","$46"
"","7","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","239.2","243.0","265.8","295.0","268.9","76.5","$41","$44"
"","8","CeeDee Lamb","2.0","2.0","WR","DAL","14","2.01","223.4","219.0","253.9","304.7","262.2","70.8","$40","$40"
"","9","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","247.2","286.0","287.4","339.1","294.2","69.1","$51","$39"
"","10","Justin Jefferson","2.0","2.0","WR","MIN","6","2.03","210.5","220.0","244.8","318.2","258.6","67.8","$35","$39"
"","11","James Cook","2.0","2.0","RB","BUF","7","2.04","239.3","253.0","275.0","335.5","285.0","62.0","$45","$35"
"","12","Ashton Jeanty","2.0","2.0","RB","LVR","13","2.05","237.8","243.0","267.2","342.0","282.3","59.9","$35","$34"
"","13","Josh Allen","2.0","1.0","QB","BUF","7","3.06","306.7","362.0","378.7","439.3","382.1","57.4","$41","$33"
"","14","Nico Collins","3.0","3.0","WR","HOU","8","3.05","211.5","201.0","235.0","284.4","244.2","55.8","$30","$32"
"","15","A.J. Brown","3.0","3.0","WR","NE","11","4.02","199.1","215.0","234.2","290.4","243.2","54.9","$29","$31"
"","16","Saquon Barkley","3.0","2.0","RB","PHI","10","2.06","230.2","238.0","253.0","349.1","275.1","54.3","$36","$31"
"","17","Drake London","3.0","3.0","WR","ATL","11","3.01","214.3","224.0","232.9","279.5","242.2","54.1","$31","$31"
"","18","Rashee Rice","3.0","3.0","WR","KC","5","3.07","173.7","191.0","241.3","277.5","238.9","51.3","$23","$29"
"","19","Derrick Henry","3.0","3.0","RB","BAL","13","2.08","219.4","252.0","258.1","327.8","270.1","50.5","$44","$29"
"","20","Brock Bowers","3.0","1.0","TE","LVR","13","3.04","195.7","192.0","210.4","254.6","219.8","50.3","$26","$29"
"","21","George Pickens","3.0","3.0","WR","DAL","14","4.03","202.1","207.0","224.5","280.6","235.7","48.6","$29","$28"
"","22","Trey McBride","3.0","1.0","TE","ARI","14","3.03","190.9","201.0","205.3","246.4","213.9","47.1","$23","$27"
"Injured","23","De'Von Achane","3.0","3.0","RB","MIA","6","2.02","227.3","257.0","249.8","319.7","264.8","46.4","$30","$26"
"","24","Kenneth Walker III","3.0","3.0","RB","KC","5","4.04","216.0","225.0","242.7","332.5","262.3","44.4","$25","$25"
"","25","Omarion Hampton","3.0","3.0","RB","LAC","7","3.02","209.8","234.0","241.1","337.5","261.7","44.0","$28","$25"
"","26","Colston Loveland","3.0","1.0","TE","CHI","10","5.07","165.6","184.0","202.0","238.4","205.3","42.4","$21","$24"
"","27","Chase Brown","3.0","3.0","RB","CIN","6","4.01","203.3","236.0","242.0","317.0","255.4","39.1","$24","$22"
"","28","Jeremiyah Love","3.0","3.0","RB","ARI","14","2.07","204.7","222.0","230.0","326.6","251.8","36.3","$26","$21"
"","29","Tyler Warren","3.0","2.0","TE","IND","13","6.03","157.9","164.0","190.2","220.6","192.6","35.4","$17","$20"
"","30","Tee Higgins","4.0","4.0","WR","CIN","6","6.06","186.8","198.0","209.9","260.3","219.5","35.1","$17","$20"
"Value","31","Zay Flowers","4.0","4.0","WR","BAL","13","6.01","188.3","194.0","214.0","248.2","218.7","34.4","$19","$20"
"Injured","32","Chris Olave","4.0","4.0","WR","NO","8","4.06","182.2","200.0","211.9","252.2","217.5","33.6","$20","$19"
"","33","Lamar Jackson","4.0","1.0","QB","BAL","13","4.08","298.7","329.0","339.4","437.8","358.8","33.2","$19","$19"
"Value","34","DeVonta Smith","4.0","4.0","WR","PHI","10","5.01","187.6","191.0","203.9","256.9","215.4","32.2","$15","$18"
"Value","35","Josh Jacobs","4.0","4.0","RB","GB","11","3.08","173.2","232.0","240.6","291.1","242.1","32.0","$21","$18"
"","36","Drake Maye","4.0","1.0","QB","NE","11","6.04","296.0","317.0","340.2","428.7","356.3","31.9","$20","$18"
"","37","Joe Burrow","4.0","2.0","QB","CIN","6","7.02","293.8","315.0","341.6","423.6","355.3","31.3","$14","$18"
"","38","Breece Hall","4.0","4.0","RB","NYJ","13","4.07","197.1","220.0","226.5","292.2","239.1","31.1","$20","$18"
"","39","Javonte Williams","4.0","4.0","RB","DAL","14","5.02","197.1","213.0","229.2","286.5","239.0","31.0","$20","$18"
"","40","Kyren Williams","4.0","4.0","RB","LAR","11","5.03","205.9","215.0","223.8","286.5","237.7","30.6","$20","$17"
"Injured","41","Malik Nabers","4.0","4.0","WR","NYG","8","4.05","159.7","184.0","197.1","279.9","212.9","30.5","$14","$17"
"","42","Jalen Hurts","4.0","2.0","QB","PHI","10","7.05","292.8","320.0","332.7","432.5","352.7","30.0","$14","$17"
"","43","Travis Etienne","4.0","4.0","RB","NO","8","5.08","197.7","205.0","217.2","295.4","235.0","29.8","$18","$17"
"","44","Garrett Wilson","4.0","4.0","WR","NYJ","13","5.04","181.9","186.0","202.1","248.6","211.1","29.4","$17","$17"
"","45","Jayden Daniels","4.0","2.0","QB","WAS","7","6.07","285.9","314.0","332.4","432.1","351.1","29.2","$16","$17"
"Injured","46","Tucker Kraft","4.0","2.0","TE","GB","11","13.04","146.1","157.0","176.0","223.5","183.5","28.6","$14","$16"
"Value","47","Christian Watson","4.0","4.0","WR","GB","11","11.04","169.6","160.0","199.5","253.4","208.8","27.8","$13","$16"
"Value","48","Davante Adams","4.0","4.0","WR","LAR","11","6.02","172.4","180.0","198.2","249.7","207.6","27.0","$12","$15"
"Injured","49","Cameron 'Cam' Skattebo","5.0","5.0","RB","NYG","8","5.06","178.2","207.0","212.1","280.0","224.5","26.4","$15","$15"
"","50","D'Andre Swift","5.0","5.0","RB","CHI","10","8.06","184.1","194.0","209.2","274.1","222.3","25.7","$14","$15"
"Value","51","Jaylen Waddle","5.0","5.0","WR","DEN","10","7.08","168.3","174.0","193.4","249.5","204.1","24.7","$11","$14"
"","52","Caleb Williams","5.0","2.0","QB","CHI","10","12.01","282.4","299.0","324.6","418.7","342.6","24.7","$9","$14"
"Value","53","Trevor Lawrence","5.0","2.0","QB","JAC","7","14.05","278.3","303.0","327.4","412.5","341.7","24.3","$12","$14"
"Value","54","Terry McLaurin","5.0","5.0","WR","WAS","7","6.08","170.8","185.0","191.9","247.6","203.3","24.2","$14","$14"
"","55","Justin Herbert","5.0","2.0","QB","LAC","7","15.04","279.1","305.0","324.5","415.4","341.0","23.9","$12","$14"
"Injured","56","Tetairoa McMillan","5.0","5.0","WR","CAR","5","5.05","171.2","188.0","190.2","247.3","202.3","23.5","$15","$13"
"","57","Emeka Egbuka","5.0","5.0","WR","TB","10","6.05","164.4","171.0","189.0","251.4","201.6","23.1","$14","$13"
"","58","David Montgomery","5.0","5.0","RB","HOU","8","8.07","168.0","182.0","197.6","274.7","213.3","22.8","$12","$13"
"","59","Luther Burden III","5.0","5.0","WR","CHI","10","9.02","161.7","171.0","188.0","251.9","200.7","22.5","$10","$13"
"","60","Brock Purdy","5.0","2.0","QB","SF","8","12.05","278.2","297.0","323.5","407.6","338.2","22.4","$8","$13"
"Injured","61","Bucky Irving","5.0","5.0","RB","TB","10","7.01","171.7","192.0","192.9","277.8","212.2","22.4","$14","$13"
"","62","Ladd McConkey","5.0","5.0","WR","LAC","7","7.04","164.5","179.0","186.9","250.4","200.2","22.2","$12","$13"
"Injured","63","Quinshon Judkins","5.0","5.0","RB","CLE","11","7.03","174.3","193.0","191.5","275.8","211.4","22.1","$17","$13"
"","64","Dak Prescott","5.0","2.0","QB","DAL","14","11.05","281.1","307.0","323.1","403.9","337.5","22.1","$12","$13"
"","65","Jaxson Dart","5.0","2.0","QB","NYG","8","8.08","278.2","302.0","316.1","417.3","336.8","21.7","$9","$12"
"","66","Sam LaPorta","5.0","3.0","TE","DET","6","9.03","148.1","159.0","164.6","212.3","174.6","21.4","$11","$12"
"","67","TreVeyon Henderson","6.0","6.0","RB","NE","11","7.06","163.9","181.0","182.1","291.4","208.6","21.2","$8","$12"
"","68","Jameson Williams","6.0","5.0","WR","DET","6","8.04","166.1","170.0","184.6","243.7","197.4","20.3","$16","$12"
"","69","Harold Fannin Jr.","6.0","3.0","TE","CLE","11","8.03","147.3","154.0","163.7","206.3","172.3","19.5","$9","$11"
"Injured","70","Bo Nix","6.0","2.0","QB","DEN","10","15.02","279.2","290.0","310.2","409.5","331.7","19.0","$8","$11"
"Injured","71","Patrick Mahomes","6.0","2.0","QB","KC","5","14.03","276.2","306.0","306.9","417.4","331.5","18.9","$8","$11"
"Value","72","Kyler Murray","6.0","2.0","QB","MIN","6","20.01","271.3","290.0","308.3","416.2","331.0","18.7","$7","$11"
"Value","73","Mike Evans","6.0","5.0","WR","SF","8","9.06","156.1","170.0","181.5","243.2","193.7","17.9","$11","$10"
"","74","Bhayshul Tuten","6.0","6.0","RB","JAC","7","9.04","146.9","178.0","168.9","285.4","196.7","17.4","$8","$10"
"","75","Jadarian Price","6.0","6.0","RB","SEA","11","8.01","138.2","171.0","164.5","291.2","194.3","16.6","$8","$9"
"","76","Rome Odunze","6.0","5.0","WR","CHI","10","9.01","154.7","164.0","175.8","247.9","191.6","16.5","$8","$9"
"","77","Rhamondre Stevenson","7.0","7.0","RB","NE","11","14.01","152.0","165.0","174.7","255.1","192.5","16.1","$4","$9"
"","78","Tony Pollard","7.0","7.0","RB","TEN","9","10.08","151.8","171.0","172.5","260.5","192.7","16.1","$5","$9"
"","79","Jaylen Warren","7.0","7.0","RB","PIT","9","11.03","154.7","170.0","182.0","236.6","191.9","15.9","$4","$9"
"","80","Jared Goff","7.0","3.0","QB","DET","6","19.04","278.2","289.0","302.4","402.2","325.2","15.7","$4","$9"
"","81","Chuba Hubbard","7.0","7.0","RB","CAR","5","10.01","142.4","162.0","167.5","266.3","189.9","15.2","$4","$9"
"","82","J.K. Dobbins","7.0","7.0","RB","DEN","10","13.02","141.3","160.0","166.2","262.6","188.0","14.6","$4","$8"
"Value","83","D.K. Metcalf","7.0","6.0","WR","PIT","9","10.03","153.3","164.0","182.5","224.5","188.7","14.6","$5","$8"
"","84","Jordan Love","7.0","3.0","QB","GB","11","21.05","279.6","276.0","294.3","406.1","322.1","14.0","$3","$8"
"","85","Matthew Stafford","7.0","3.0","QB","LAR","11","11.06","276.1","286.0","296.9","400.8","321.5","13.7","$3","$8"
"Sleeper","86","Tyler Shough","7.0","3.0","QB","NO","8","19.08","269.0","269.0","295.6","405.0","320.6","13.3","$4","$8"
"","87","Parker Washington","7.0","6.0","WR","JAC","7","12.08","149.8","148.0","178.3","228.2","186.7","13.2","$6","$8"
"","88","Brandon Aubrey","7.0","1.0","K","DAL","14","9.08","157.4","147.0","176.8","190.9","177.1","12.5","$5","$7"
