"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","298.7","316.0","364.3","400.7","362.3","100.0","$63","$64"
"","2","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","303.7","324.0","345.1","407.2","354.5","94.5","$60","$60"
"","3","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","296.9","346.0","357.7","418.5","363.2","89.1","$61","$57"
"","4","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","298.8","352.0","351.5","411.3","358.2","85.9","$62","$55"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","279.6","325.0","336.9","421.1","349.5","80.2","$50","$51"
"","6","Jaxon Smith-Njigba","2.0","2.0","WR","SEA","11","1.06","292.4","300.0","321.3","382.3","332.7","79.2","$51","$51"
"","7","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","292.2","300.0","324.7","360.4","328.5","76.2","$46","$49"
"","8","CeeDee Lamb","2.0","2.0","WR","DAL","14","2.01","270.7","267.0","307.6","369.1","317.7","68.6","$44","$44"
"","9","Justin Jefferson","2.0","2.0","WR","MIN","6","2.03","255.2","270.0","296.7","385.7","313.4","65.6","$37","$42"
"","10","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","266.7","308.0","310.1","365.9","317.4","59.4","$50","$38"
"","11","Ashton Jeanty","2.0","2.0","RB","LVR","13","2.05","265.8","272.0","298.6","382.2","315.4","58.1","$38","$37"
"","12","Drake London","3.0","3.0","WR","ATL","11","3.01","260.6","271.0","283.3","340.0","294.6","52.4","$34","$34"
"","13","A.J. Brown","3.0","3.0","WR","NE","11","4.02","240.5","258.0","282.9","350.8","293.7","51.7","$31","$33"
"","14","Rashee Rice","3.0","3.0","WR","KC","5","3.07","213.3","237.0","296.3","340.7","293.3","51.5","$27","$33"
"","15","James Cook","3.0","2.0","RB","BUF","7","2.04","256.0","269.0","294.3","359.0","305.0","51.3","$43","$33"
"","16","Nico Collins","3.0","3.0","WR","HOU","8","3.05","253.1","241.0","281.2","340.3","292.2","50.7","$30","$32"
"","17","Josh Allen","3.0","1.0","QB","BUF","7","3.06","306.7","362.0","378.7","439.3","382.1","50.3","$39","$32"
"","18","Brock Bowers","3.0","1.0","TE","LVR","13","3.04","242.6","240.0","260.9","315.7","272.5","47.9","$28","$31"
"","19","Trey McBride","3.0","1.0","TE","ARI","14","3.03","240.9","254.0","259.0","310.8","269.8","46.6","$26","$30"
"Injured","20","De'Von Achane","3.0","2.0","RB","MIA","6","2.02","255.0","289.0","280.2","358.7","297.0","46.1","$34","$30"
"","21","Saquon Barkley","3.0","2.0","RB","PHI","10","2.06","248.6","257.0","273.2","377.0","297.0","46.1","$35","$30"
"","22","George Pickens","3.0","3.0","WR","DAL","14","4.03","241.2","248.0","268.0","335.0","281.4","43.1","$29","$28"
"","23","Kenneth Walker III","3.0","3.0","RB","KC","5","4.04","237.4","248.0","266.7","365.4","288.3","40.5","$26","$26"
"","24","Chase Brown","3.0","3.0","RB","CIN","6","4.01","228.7","268.0","272.3","356.7","287.4","39.9","$28","$26"
"","25","Omarion Hampton","3.0","3.0","RB","LAC","7","3.02","230.3","261.0","264.7","370.6","287.3","39.8","$28","$25"
"","26","Colston Loveland","3.0","2.0","TE","CHI","10","5.07","202.0","226.0","246.3","290.6","250.3","37.7","$21","$24"
"","27","Derrick Henry","3.0","3.0","RB","BAL","13","2.08","227.9","261.0","268.1","340.5","280.5","35.4","$35","$23"
"","28","Jeremiyah Love","3.0","3.0","RB","ARI","14","2.07","227.1","250.0","255.2","362.4","279.3","34.6","$27","$22"
"Value","29","Zay Flowers","4.0","4.0","WR","BAL","13","6.01","229.7","235.0","261.0","302.8","266.7","32.8","$20","$21"
"","30","Tyler Warren","4.0","2.0","TE","IND","13","6.03","194.6","207.0","234.5","272.0","237.5","31.8","$17","$20"
"Injured","31","Chris Olave","4.0","4.0","WR","NO","8","4.06","222.0","244.0","258.1","307.1","264.9","31.5","$21","$20"
"Value","32","DeVonta Smith","4.0","4.0","WR","PHI","10","5.01","228.5","233.0","248.4","313.0","262.4","30.0","$16","$19"
"","33","Lamar Jackson","4.0","1.0","QB","BAL","13","4.08","298.7","329.0","339.4","437.8","358.8","29.9","$19","$19"
"","34","Tee Higgins","4.0","4.0","WR","CIN","6","6.06","222.6","237.0","250.1","310.1","261.5","29.5","$16","$19"
"","35","Breece Hall","4.0","4.0","RB","NYJ","13","4.07","220.5","244.0","253.5","327.0","267.6","29.3","$21","$19"
"","36","Garrett Wilson","4.0","4.0","WR","NYJ","13","5.04","224.9","233.0","249.9","307.4","261.0","29.2","$19","$19"
"","37","Drake Maye","4.0","1.0","QB","NE","11","6.04","296.0","317.0","340.2","428.7","356.3","28.8","$20","$18"
"","38","Joe Burrow","4.0","2.0","QB","CIN","6","7.02","293.8","315.0","341.6","423.6","355.3","28.4","$14","$18"
"Injured","39","Malik Nabers","4.0","4.0","WR","NYG","8","4.05","194.5","223.0","240.1","340.9","259.3","28.3","$15","$18"
"Value","40","Josh Jacobs","4.0","4.0","RB","GB","11","3.08","188.1","251.0","261.2","316.1","262.9","28.0","$21","$18"
"","41","Jalen Hurts","4.0","2.0","QB","PHI","10","7.05","292.8","320.0","332.7","432.5","352.7","27.2","$14","$17"
"","42","Javonte Williams","4.0","4.0","RB","DAL","14","5.02","213.7","231.0","248.5","310.6","259.1","27.0","$19","$17"
"","43","Travis Etienne","4.0","4.0","RB","NO","8","5.08","216.8","225.0","238.2","324.0","257.7","26.6","$18","$17"
