Salary Cap Values #12
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Josh Allen (QB - BUF),7,$54,,,,Josh Allen - BUF,7,$54,,,,Jahmyr Gibbs - DET,6,$40,,,,Puka Nacua - LAR,11,$39,,,,Trey McBride - ARI,14,$25,,,,Brandon Aubrey - DAL,14,$1,,,,Houston Texans,8,$2,,,,Travis Hunter - JAC,7,$0,,,,
Drake Maye (QB - NE),11,$41,,,,Drake Maye - NE,11,$41,,,,Bijan Robinson - ATL,11,$38,,,,Ja'Marr Chase - CIN,6,$37,,,,Brock Bowers - LV,13,$23,,,,Jason Myers - SEA,11,$1,,,,Denver Broncos,10,$2,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$40,,,,Lamar Jackson - BAL,13,$40,,,,Christian McCaffrey - SF,8,$33,,,,Jaxon Smith-Njigba - SEA,11,$35,,,,Colston Loveland - CHI,10,$14,,,,Ka'imi Fairbairn - HOU,8,$1,,,,Pittsburgh Steelers,9,$1,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$40,,,,Jayden Daniels - WAS,7,$40,,,,Jonathan Taylor - IND,13,$30,,,,Amon-Ra St. Brown - DET,6,$34,,,,Tyler Warren - IND,13,$12,,,,Cameron Dicker - LAC,7,$1,,,,Minnesota Vikings,6,$1,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$40,,,,Jalen Hurts - PHI,10,$40,,,,De'Von Achane - MIA,6,$27,,,,Drake London - ATL,11,$28,,,,Kyle Pitts Sr. - ATL,11,$10,,,,Harrison Mevis - LAR,11,$1,,,,Seattle Seahawks,11,$1,,,,,,,,,,
Jahmyr Gibbs (RB - DET),6,$40,,,,Jaxson Dart - NYG,8,$37,,,,Derrick Henry - BAL,13,$25,,,,CeeDee Lamb - DAL,14,$24,,,,Harold Fannin Jr. - CLE,11,$9,,,,Jake Bates - DET,6,$1,,,,Detroit Lions,6,$1,,,,,,,,,,
Puka Nacua (WR - LAR),11,$39,,,,Joe Burrow - CIN,6,$36,,,,James Cook III - BUF,7,$23,,,,Rashee Rice - KC,5,$24,,,,Sam LaPorta - DET,6,$8,,,,Chase McLaughlin - TB,10,$1,,,,Buffalo Bills,7,$1,,,,,,,,,,
Bijan Robinson (RB - ATL),11,$38,,,,Brock Purdy - SF,8,$35,,,,Ashton Jeanty - LV,13,$22,,,,Justin Jefferson - MIN,6,$23,,,,Dallas Goedert - PHI,10,$7,,,,Cairo Santos - CHI,10,$1,,,,Los Angeles Rams,11,$1,,,,,,,,,,
Jaxson Dart (QB - NYG),8,$37,,,,Dak Prescott - DAL,14,$35,,,,Chase Brown - CIN,6,$22,,,,A.J. Brown - NE,11,$22,,,,Travis Kelce - KC,5,$7,,,,Eddy Pineiro - SF,8,$1,,,,Los Angeles Chargers,7,$1,,,,,,,,,,
Ja'Marr Chase (WR - CIN),6,$37,,,,Trevor Lawrence - JAC,7,$34,,,,Saquon Barkley - PHI,10,$22,,,,George Pickens - DAL,14,$21,,,,Tucker Kraft - GB,11,$5,,,,Tyler Loop - BAL,13,$1,,,,Atlanta Falcons,11,$1,,,,,,,,,,
Joe Burrow (QB - CIN),6,$36,,,,Patrick Mahomes II - KC,5,$34,,,,Josh Jacobs - GB,11,$21,,,,Chris Olave - NO,8,$21,,,,George Kittle - SF,8,$4,,,,Harrison Butker - KC,5,$1,,,,Philadelphia Eagles,10,$1,,,,,,,,,,
Brock Purdy (QB - SF),8,$35,,,,Justin Herbert - LAC,7,$33,,,,Omarion Hampton - LAC,7,$20,,,,Nico Collins - HOU,8,$20,,,,Mark Andrews - BAL,13,$4,,,,Will Reichard - MIN,6,$1,,,,Chicago Bears,10,$1,,,,,,,,,,
Dak Prescott (QB - DAL),14,$35,,,,Caleb Williams - CHI,10,$33,,,,Breece Hall - NYJ,13,$19,,,,Zay Flowers - BAL,13,$19,,,,Isaiah Likely - NYG,8,$4,,,,Cam Little - JAC,7,$0,,,,Baltimore Ravens,13,$0,,,,,,,,,,
Jaxon Smith-Njigba (WR - SEA),11,$35,,,,Bo Nix - DEN,10,$33,,,,Kenneth Walker III - KC,5,$19,,,,Garrett Wilson - NYJ,13,$17,,,,Dalton Kincaid - BUF,7,$3,,,,Evan McPherson - CIN,6,$0,,,,Cleveland Browns,11,$0,,,,,,,,,,
Trevor Lawrence (QB - JAC),7,$34,,,,Matthew Stafford - LAR,11,$31,,,,Jeremiyah Love - ARI,14,$19,,,,DeVonta Smith - PHI,10,$16,,,,Jake Ferguson - DAL,14,$3,,,,Nick Folk - ATL,11,$0,,,,New Orleans Saints,8,$0,,,,,,,,,,
Patrick Mahomes II (QB - KC),5,$34,,,,Jared Goff - DET,6,$30,,,,Kyren Williams - LAR,11,$18,,,,Emeka Egbuka - TB,10,$16,,,,Hunter Henry - NE,11,$2,,,,Wil Lutz - DEN,10,$0,,,,Cincinnati Bengals,6,$0,,,,,,,,,,
