Salary Cap Values #13
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Jahmyr Gibbs (RB - DET),6,$47,,,,Josh Allen - BUF,7,$19,,,,Jahmyr Gibbs - DET,6,$47,,,,Puka Nacua - LAR,11,$44,,,,Trey McBride - ARI,14,$23,,,,Travis Hunter - JAC,7,$4,,,,
Bijan Robinson (RB - ATL),11,$47,,,,Drake Maye - NE,11,$10,,,,Bijan Robinson - ATL,11,$47,,,,Ja'Marr Chase - CIN,6,$43,,,,Brock Bowers - LV,13,$20,,,,,,,,,,
Puka Nacua (WR - LAR),11,$44,,,,Lamar Jackson - BAL,13,$10,,,,Christian McCaffrey - SF,8,$42,,,,Jaxon Smith-Njigba - SEA,11,$41,,,,Colston Loveland - CHI,10,$14,,,,,,,,,,
Ja'Marr Chase (WR - CIN),6,$43,,,,Jayden Daniels - WAS,7,$10,,,,Jonathan Taylor - IND,13,$38,,,,Amon-Ra St. Brown - DET,6,$40,,,,Tyler Warren - IND,13,$13,,,,,,,,,,
Christian McCaffrey (RB - SF),8,$42,,,,Jalen Hurts - PHI,10,$9,,,,De'Von Achane - MIA,6,$37,,,,Drake London - ATL,11,$34,,,,Kyle Pitts Sr. - ATL,11,$12,,,,,,,,,,
Jaxon Smith-Njigba (WR - SEA),11,$41,,,,Jaxson Dart - NYG,8,$7,,,,Chase Brown - CIN,6,$33,,,,CeeDee Lamb - DAL,14,$32,,,,Harold Fannin Jr. - CLE,11,$11,,,,,,,,,,
Amon-Ra St. Brown (WR - DET),6,$40,,,,Joe Burrow - CIN,6,$7,,,,Ashton Jeanty - LV,13,$33,,,,Rashee Rice - KC,5,$31,,,,Travis Kelce - KC,5,$10,,,,,,,,,,
Jonathan Taylor (RB - IND),13,$38,,,,Brock Purdy - SF,8,$6,,,,Derrick Henry - BAL,13,$32,,,,Justin Jefferson - MIN,6,$31,,,,Sam LaPorta - DET,6,$9,,,,,,,,,,
De'Von Achane (RB - MIA),6,$37,,,,Dak Prescott - DAL,14,$6,,,,James Cook III - BUF,7,$32,,,,A.J. Brown - NE,11,$29,,,,Dallas Goedert - PHI,10,$9,,,,,,,,,,
Drake London (WR - ATL),11,$34,,,,Trevor Lawrence - JAC,7,$6,,,,Saquon Barkley - PHI,10,$31,,,,Chris Olave - NO,8,$29,,,,Tucker Kraft - GB,11,$7,,,,,,,,,,
Chase Brown (RB - CIN),6,$33,,,,Patrick Mahomes II - KC,5,$6,,,,Omarion Hampton - LAC,7,$31,,,,George Pickens - DAL,14,$28,,,,Jake Ferguson - DAL,14,$7,,,,,,,,,,
Ashton Jeanty (RB - LV),13,$33,,,,Justin Herbert - LAC,7,$5,,,,Josh Jacobs - GB,11,$30,,,,Nico Collins - HOU,8,$27,,,,George Kittle - SF,8,$7,,,,,,,,,,
Derrick Henry (RB - BAL),13,$32,,,,Caleb Williams - CHI,10,$5,,,,Jeremiyah Love - ARI,14,$29,,,,Garrett Wilson - NYJ,13,$26,,,,Isaiah Likely - NYG,8,$6,,,,,,,,,,
James Cook III (RB - BUF),7,$32,,,,Bo Nix - DEN,10,$5,,,,Breece Hall - NYJ,13,$29,,,,Zay Flowers - BAL,13,$26,,,,Mark Andrews - BAL,13,$6,,,,,,,,,,
CeeDee Lamb (WR - DAL),14,$32,,,,Matthew Stafford - LAR,11,$4,,,,Kenneth Walker III - KC,5,$29,,,,DeVonta Smith - PHI,10,$25,,,,Dalton Kincaid - BUF,7,$5,,,,,,,,,,
Saquon Barkley (RB - PHI),10,$31,,,,Jared Goff - DET,6,$3,,,,Cam Skattebo - NYG,8,$28,,,,Emeka Egbuka - TB,10,$23,,,,Juwan Johnson - NO,8,$4,,,,,,,,,,
Omarion Hampton (RB - LAC),7,$31,,,,Tyler Shough - NO,8,$3,,,,Kyren Williams - LAR,11,$27,,,,Tetairoa McMillan - CAR,5,$23,,,,Hunter Henry - NE,11,$4,,,,,,,,,,
Rashee Rice (WR - KC),5,$31,,,,Baker Mayfield - TB,10,$2,,,,Travis Etienne Jr. - NO,8,$26,,,,Malik Nabers - NYG,8,$23,,,,Brenton Strange - JAC,7,$4,,,,,,,,,,
Justin Jefferson (WR - MIN),6,$31,,,,Kyler Murray - MIN,6,$2,,,,Javonte Williams - DAL,14,$25,,,,Davante Adams - LAR,11,$22,,,,Dalton Schultz - HOU,8,$3,,,,,,,,,,
Josh Jacobs (RB - GB),11,$30,,,,Malik Willis - MIA,6,$1,,,,Bucky Irving - TB,10,$25,,,,Tee Higgins - CIN,6,$22,,,,T.J. Hockenson - MIN,6,$2,,,,,,,,,,
Jeremiyah Love (RB - ARI),14,$29,,,,Jordan Love - GB,11,$0,,,,D'Andre Swift - CHI,10,$24,,,,Jameson Williams - DET,6,$21,,,,Pat Freiermuth - PIT,9,$2,,,,,,,,,,
Breece Hall (RB - NYJ),13,$29,,,,Sam Darnold - SEA,11,$0,,,,Quinshon Judkins - CLE,11,$23,,,,Terry McLaurin - WAS,7,$21,,,,Greg Dulcich - MIA,6,$2,,,,,,,,,,
Kenneth Walker III (RB - KC),5,$29,,,,C.J. Stroud - HOU,8,$0,,,,Bhayshul Tuten - JAC,7,$22,,,,Ladd McConkey - LAC,7,$20,,,,Connor Heyward - LV,13,$1,,,,,,,,,,
A.J. Brown (WR - NE),11,$29,,,,Daniel Jones - IND,13,$0,,,,TreVeyon Henderson - NE,11,$21,,,,Rome Odunze - CHI,10,$20,,,,Kenyon Sadiq - NYJ,13,$1,,,,,,,,,,
Chris Olave (WR - NO),8,$29,,,,Bryce Young - CAR,5,$0,,,,Jaylen Warren - PIT,9,$20,,,,Jaylen Waddle - DEN,10,$20,,,,Cade Otton - TB,10,$1,,,,,,,,,,
Cam Skattebo (RB - NYG),8,$28,,,,Geno Smith - NYJ,13,$0,,,,David Montgomery - HOU,8,$20,,,,DJ Moore - BUF,7,$20,,,,Chig Okonkwo - WAS,7,$0,,,,,,,,,,
George Pickens (WR - DAL),14,$28,,,,Jacoby Brissett - ARI,14,$0,,,,Tony Pollard - TEN,9,$20,,,,Alec Pierce - IND,13,$20,,,,AJ Barner - SEA,11,$0,,,,,,,,,,
Kyren Williams (RB - LAR),11,$27,,,,Cam Ward - TEN,9,$0,,,,Jadarian Price - SEA,11,$19,,,,Luther Burden III - CHI,10,$19,,,,Oronde Gadsden II - LAC,7,$0,,,,,,,,,,
Nico Collins (WR - HOU),8,$27,,,,Aaron Rodgers - PIT,9,$0,,,,Chuba Hubbard - CAR,5,$19,,,,Courtland Sutton - DEN,10,$19,,,,Evan Engram - DEN,10,$0,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$26,,,,Fernando Mendoza - LV,13,$0,,,,Rhamondre Stevenson - NE,11,$19,,,,Marvin Harrison Jr. - ARI,14,$18,,,,Mike Gesicki - CIN,6,$0,,,,,,,,,,
Garrett Wilson (WR - NYJ),13,$26,,,,Tua Tagovailoa - ATL,11,$0,,,,Rico Dowdle - PIT,9,$19,,,,Mike Evans - SF,8,$18,,,,Terrance Ferguson - LAR,11,$0,,,,,,,,,,
