Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Jahmyr Gibbs",DET,"RB",22968,,"Josh Allen",BUF,"QB",17298,,"Jahmyr Gibbs",DET,"RB",22968,,"Ja'Marr Chase",CIN,"WR",19788,,"Brock Bowers",LV,"TE",22955,,"Houston Texans",HOU,"DST",8120,,"Jahmyr Gibbs",DET,"RB",22968,,"Brandon Aubrey",DAL,"K",26068,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,
"Bijan Robinson",ATL,"RB",23133,,"Lamar Jackson",BAL,"QB",17233,,"Bijan Robinson",ATL,"RB",23133,,"Puka Nacua",LAR,"WR",23180,,"Trey McBride",ARI,"TE",22936,,"Los Angeles Rams",LAR,"DST",8280,,"Bijan Robinson",ATL,"RB",23133,,"Ka'imi Fairbairn",HOU,"K",15756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ja'Marr Chase",CIN,"WR",19788,,"Drake Maye",NE,"QB",23046,,"Christian McCaffrey",SF,"RB",16393,,"Jaxon Smith-Njigba",SEA,"WR",23070,,"Colston Loveland",CHI,"TE",26006,,"Denver Broncos",DEN,"DST",8090,,"Ja'Marr Chase",CIN,"WR",19788,,"Cameron Dicker",LAC,"K",23901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Puka Nacua",LAR,"WR",23180,,"Joe Burrow",CIN,"QB",19196,,"Jonathan Taylor",IND,"RB",19217,,"Amon-Ra St. Brown",DET,"WR",19799,,"Tyler Warren",IND,"TE",26434,,"Seattle Seahawks",SEA,"DST",8260,,"Puka Nacua",LAR,"WR",23180,,"Cam Little",JAC,"K",26475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian McCaffrey",SF,"RB",16393,,"Jayden Daniels",WAS,"QB",22902,,"James Cook III",BUF,"RB",22958,,"Justin Jefferson",MIN,"WR",19236,,"Tucker Kraft",GB,"TE",25298,,"Philadelphia Eagles",PHI,"DST",8230,,"Christian McCaffrey",SF,"RB",16393,,"Jason Myers",SEA,"K",14003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaxon Smith-Njigba",SEA,"WR",23070,,"Jalen Hurts",PHI,"QB",19275,,"Saquon Barkley",PHI,"RB",17240,,"CeeDee Lamb",DAL,"WR",19202,,"Sam LaPorta",DET,"TE",22978,,"Pittsburgh Steelers",PIT,"DST",8240,,"Jaxon Smith-Njigba",SEA,"WR",23070,,"Charlie Smyth",NO,"K",26444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amon-Ra St. Brown",DET,"WR",19799,,"Caleb Williams",CHI,"QB",23084,,"Chase Brown",CIN,"RB",25324,,"A.J. Brown",NE,"WR",18218,,"Harold Fannin Jr.",CLE,"TE",27050,,"New England Patriots",NE,"DST",8180,,"Amon-Ra St. Brown",DET,"WR",19799,,"Ben Sauls",FA,"K",27798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonathan Taylor",IND,"RB",19217,,"Trevor Lawrence",JAC,"QB",19780,,"Kenneth Walker III",KC,"RB",23021,,"Drake London",ATL,"WR",23163,,"Kyle Pitts Sr.",ATL,"TE",20164,,"Kansas City Chiefs",KC,"DST",8150,,"Jonathan Taylor",IND,"RB",19217,,"Eddy Pineiro",SF,"K",17575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Cook III",BUF,"RB",22958,,"Justin Herbert",LAC,"QB",18635,,"Derrick Henry",BAL,"RB",15514,,"Nico Collins",HOU,"WR",20130,,"George Kittle",SF,"TE",16499,,"Baltimore Ravens",BAL,"DST",8020,,"James Cook III",BUF,"RB",22958,,"Chase McLaughlin",TB,"K",19058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justin Jefferson",MIN,"WR",19236,,"Brock Purdy",SF,"QB",19797,,"Omarion Hampton",LAC,"RB",25395,,"George Pickens",DAL,"WR",22963,,"Travis Kelce",KC,"TE",11594,,"Jacksonville Jaguars",JAC,"DST",8140,,"Justin Jefferson",MIN,"WR",19236,,"Trey Smack",GB,"K",28507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
