Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Ja'Marr Chase",CIN,"WR",19788,,"Josh Allen",BUF,"QB",17298,,"Bijan Robinson",ATL,"RB",23133,,"Ja'Marr Chase",CIN,"WR",19788,,"Trey McBride",ARI,"TE",22936,,"Houston Texans",HOU,"DST",8120,,"Josh Allen",BUF,"QB",17298,,"Brandon Aubrey",DAL,"K",26068,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,
"Puka Nacua",LAR,"WR",23180,,"Lamar Jackson",BAL,"QB",17233,,"Jahmyr Gibbs",DET,"RB",22968,,"Puka Nacua",LAR,"WR",23180,,"Brock Bowers",LV,"TE",22955,,"Los Angeles Rams",LAR,"DST",8280,,"Lamar Jackson",BAL,"QB",17233,,"Ka'imi Fairbairn",HOU,"K",15756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaxon Smith-Njigba",SEA,"WR",23070,,"Drake Maye",NE,"QB",23046,,"Christian McCaffrey",SF,"RB",16393,,"Jaxon Smith-Njigba",SEA,"WR",23070,,"Colston Loveland",CHI,"TE",26006,,"Denver Broncos",DEN,"DST",8090,,"Drake Maye",NE,"QB",23046,,"Cameron Dicker",LAC,"K",23901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bijan Robinson",ATL,"RB",23133,,"Jayden Daniels",WAS,"QB",22902,,"Jonathan Taylor",IND,"RB",19217,,"Amon-Ra St. Brown",DET,"WR",19799,,"Tyler Warren",IND,"TE",26434,,"Seattle Seahawks",SEA,"DST",8260,,"Jayden Daniels",WAS,"QB",22902,,"Cam Little",JAC,"K",26475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amon-Ra St. Brown",DET,"WR",19799,,"Joe Burrow",CIN,"QB",19196,,"Ashton Jeanty",LV,"RB",25989,,"CeeDee Lamb",DAL,"WR",19202,,"Harold Fannin Jr.",CLE,"TE",27050,,"Pittsburgh Steelers",PIT,"DST",8240,,"Joe Burrow",CIN,"QB",19196,,"Eddy Pineiro",SF,"K",17575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jahmyr Gibbs",DET,"RB",22968,,"Jalen Hurts",PHI,"QB",19275,,"De'Von Achane",MIA,"RB",23136,,"Drake London",ATL,"WR",23163,,"Tucker Kraft",GB,"TE",25298,,"Minnesota Vikings",MIN,"DST",8170,,"Ja'Marr Chase",CIN,"WR",19788,,"Tyler Loop",BAL,"K",27534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CeeDee Lamb",DAL,"WR",19202,,"Caleb Williams",CHI,"QB",23084,,"Chase Brown",CIN,"RB",25324,,"Justin Jefferson",MIN,"WR",19236,,"Sam LaPorta",DET,"TE",22978,,"Philadelphia Eagles",PHI,"DST",8230,,"Jalen Hurts",PHI,"QB",19275,,"Cairo Santos",CHI,"K",13731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian McCaffrey",SF,"RB",16393,,"Justin Herbert",LAC,"QB",18635,,"James Cook III",BUF,"RB",22958,,"Nico Collins",HOU,"WR",20130,,"Kyle Pitts Sr.",ATL,"TE",20164,,"Baltimore Ravens",BAL,"DST",8020,,"Caleb Williams",CHI,"QB",23084,,"Jason Myers",SEA,"K",14003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drake London",ATL,"WR",23163,,"Jaxson Dart",NYG,"QB",23160,,"Saquon Barkley",PHI,"RB",17240,,"A.J. Brown",NE,"WR",18218,,"Travis Kelce",KC,"TE",11594,,"New England Patriots",NE,"DST",8180,,"Justin Herbert",LAC,"QB",18635,,"Chase McLaughlin",TB,"K",19058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justin Jefferson",MIN,"WR",19236,,"Trevor Lawrence",JAC,"QB",19780,,"Omarion Hampton",LAC,"RB",25395,,"Rashee Rice",KC,"WR",23113,,"George Kittle",SF,"TE",16499,,"Jacksonville Jaguars",JAC,"DST",8140,,"Puka Nacua",LAR,"WR",23180,,"Andy Borregales",NE,"K",27291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonathan Taylor",IND,"RB",19217,,"Dak Prescott",DAL,"QB",15600,,"Kenneth Walker III",KC,"RB",23021,,"George Pickens",DAL,"WR",22963,,"Dalton Kincaid",BUF,"TE",25247,,"Green Bay Packers",GB,"DST",8110,,"Jaxon Smith-Njigba",SEA,"WR",23070,,"Harrison Mevis",LAR,"K",26638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashton Jeanty",LV,"RB",25989,,"Brock Purdy",SF,"QB",19797,,"Jeremiyah Love",ARI,"RB",25403,,"Malik Nabers",NYG,"WR",25409,,"Jake Ferguson",DAL,"TE",22718,,"Detroit Lions",DET,"DST",8100,,"Bijan Robinson",ATL,"RB",23133,,"Harrison Butker",KC,"K",16712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De'Von Achane",MIA,"RB",23136,,"Bo Nix",DEN,"QB",22910,,"Josh Jacobs",GB,"RB",18269,,"DeVonta Smith",PHI,"WR",19222,,"Mark Andrews",BAL,"TE",17269,,"Buffalo Bills",BUF,"DST",8030,,"Amon-Ra St. Brown",DET,"WR",19799,,"Evan McPherson",CIN,"K",23297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nico Collins",HOU,"WR",20130,,"Patrick Mahomes II",KC,"QB",16413,,"Breece Hall",NYJ,"RB",22982,,"Chris Olave",NO,"WR",20111,,"Isaiah Likely",NYG,"TE",23781,,"Los Angeles Chargers",LAC,"DST",8250,,"Jahmyr Gibbs",DET,"RB",22968,,"Jake Bates",DET,"K",26075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chase Brown",CIN,"RB",25324,,"Kyler Murray",MIN,"QB",18600,,"Derrick Henry",BAL,"RB",15514,,"Tee Higgins",CIN,"WR",19211,,"Dallas Goedert",PHI,"TE",17270,,"Kansas City Chiefs",KC,"DST",8150,,"CeeDee Lamb",DAL,"WR",19202,,"Will Reichard",MIN,"K",26341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trey McBride",ARI,"TE",22936,,"Matthew Stafford",LAR,"QB",9451,,"Javonte Williams",DAL,"RB",22739,,"Garrett Wilson",NYJ,"WR",23072,,"Hunter Henry",NE,"TE",15561,,"San Francisco 49ers",SF,"DST",8270,,"Jaxson Dart",NYG,"QB",23160,,"Chris Boswell",PIT,"K",13029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
