Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,RB1,Bijan Robinson,ATL,RB,11,1,1,1,0.00
2,RB2,Jahmyr Gibbs,DET,RB,6,1,2,2,0.00
3,WR1,Ja'Marr Chase,CIN,WR,6,1,3,3,0.00
4,WR2,Jaxon Smith-Njigba,SEA,WR,11,1,4,4,0.00
5,WR3,Puka Nacua,LAR,WR,11,2,5,5,0.00
6,RB3,Jonathan Taylor,IND,RB,13,2,6,6,0.00
7,RB4,Christian McCaffrey,SF,RB,8,2,7,7,0.00
8,WR4,CeeDee Lamb,DAL,WR,14,2,8,8,0.00
9,WR5,Amon-Ra St. Brown,DET,WR,6,2,9,9,0.00
10,RB5,James Cook III,BUF,RB,7,3,10,10,0.00
11,RB6,Ashton Jeanty,LV,RB,13,3,11,11,0.00
12,WR6,Justin Jefferson,MIN,WR,6,3,12,12,0.00
13,RB7,Chase Brown,CIN,RB,6,3,13,13,0.00
14,RB8,De'Von Achane,MIA,RB,6,3,14,14,0.00
15,RB9,Omarion Hampton,LAC,RB,7,3,15,15,0.00
16,RB10,Saquon Barkley,PHI,RB,10,3,16,16,0.00
17,RB11,Kenneth Walker III,KC,RB,5,4,17,17,0.00
18,TE1,Brock Bowers,LV,TE,13,4,18,18,0.00
19,WR7,Drake London,ATL,WR,11,4,19,19,0.00
20,RB12,Jeremiyah Love,ARI,RB,14,4,20,20,0.00
21,WR8,Rashee Rice,KC,WR,5,4,21,21,0.00
22,WR9,Nico Collins,HOU,WR,8,4,22,22,0.00
23,WR10,DeVonta Smith,PHI,WR,10,4,23,23,0.00
24,WR11,A.J. Brown,NE,WR,11,4,24,24,0.00
25,WR12,Chris Olave,NO,WR,8,5,26,26,0.00
26,TE2,Trey McBride,ARI,TE,14,5,27,27,0.00
27,WR13,George Pickens,DAL,WR,14,5,28,28,0.00
28,RB13,Kyren Williams,LAR,RB,11,5,29,29,0.00
29,RB14,Derrick Henry,BAL,RB,13,5,30,30,0.00
30,RB15,Cam Skattebo,NYG,RB,8,5,31,31,0.00
31,RB16,Javonte Williams,DAL,RB,14,5,32,32,0.00
32,RB17,Breece Hall,NYJ,RB,13,5,33,33,0.00
33,WR14,Zay Flowers,BAL,WR,13,5,34,34,0.00
34,WR15,Jaylen Waddle,DEN,WR,10,5,35,35,0.00
35,WR16,Tee Higgins,CIN,WR,6,5,36,36,0.00
36,TE3,Colston Loveland,CHI,TE,10,6,37,37,0.00
37,WR17,Tetairoa McMillan,CAR,WR,5,6,38,38,0.00
38,WR18,Luther Burden III,CHI,WR,10,6,39,39,0.00
39,WR19,Terry McLaurin,WAS,WR,7,6,40,40,0.00
40,RB18,D'Andre Swift,CHI,RB,10,6,41,41,0.00
41,RB19,Josh Jacobs,GB,RB,11,6,42,42,0.00
42,WR20,Garrett Wilson,NYJ,WR,13,6,43,43,0.00
43,WR21,Ladd McConkey,LAC,WR,7,6,44,44,0.00
44,RB20,Travis Etienne Jr.,NO,RB,8,6,45,45,0.00
45,WR22,Christian Watson,GB,WR,11,6,47,47,0.00
46,RB21,David Montgomery,HOU,RB,8,6,48,48,0.00
47,RB22,Quinshon Judkins,CLE,RB,11,6,49,49,0.00
48,WR23,Malik Nabers,NYG,WR,8,6,50,50,0.00
49,RB23,TreVeyon Henderson,NE,RB,11,7,51,51,0.00
50,WR24,Carnell Tate,TEN,WR,9,7,52,52,0.00
51,WR25,Emeka Egbuka,TB,WR,10,7,53,53,0.00
52,RB24,Bhayshul Tuten,JAC,RB,7,7,54,54,0.00
53,WR26,Davante Adams,LAR,WR,11,7,55,55,0.00
54,WR27,Jameson Williams,DET,WR,6,7,56,56,0.00
55,WR28,DJ Moore,BUF,WR,7,7,57,57,0.00
56,TE4,Tyler Warren,IND,TE,13,7,58,58,0.00
57,RB25,Chuba Hubbard,CAR,RB,5,7,59,59,0.00
58,RB26,Jadarian Price,SEA,RB,11,7,60,60,0.00
59,WR29,Makai Lemon,PHI,WR,10,7,61,61,0.00
60,WR30,Rome Odunze,CHI,WR,10,7,62,62,0.00
61,WR31,Jordyn Tyson,NO,WR,8,7,65,65,0.00
62,WR32,Parker Washington,JAC,WR,7,7,66,66,0.00
63,WR33,Mike Evans,SF,WR,8,7,67,67,0.00
64,TE5,Tucker Kraft,GB,TE,11,8,71,71,0.00
65,RB27,Bucky Irving,TB,RB,10,8,72,72,0.00
66,RB28,Rhamondre Stevenson,NE,RB,11,8,73,73,0.00
67,WR34,Brian Thomas Jr.,JAC,WR,7,8,74,74,0.00
68,WR35,Marvin Harrison Jr.,ARI,WR,14,8,75,75,0.00
69,WR36,Alec Pierce,IND,WR,13,8,77,77,0.00
70,WR37,Chris Godwin Jr.,TB,WR,10,8,78,78,0.00
71,WR38,Courtland Sutton,DEN,WR,10,8,79,79,0.00
72,WR39,DK Metcalf,PIT,WR,9,8,80,80,0.00
73,WR40,Quentin Johnston,LAC,WR,7,8,81,81,0.00
74,RB29,Jaylen Warren,PIT,RB,9,8,82,82,0.00
75,WR41,Jayden Reed,GB,WR,11,8,83,83,0.00
76,WR42,Ricky Pearsall,SF,WR,8,8,84,84,0.00
77,RB30,Rico Dowdle,PIT,RB,9,8,85,85,0.00
78,RB31,Tony Pollard,TEN,RB,9,8,86,86,0.00
79,RB32,Kenny Gainwell,TB,RB,10,8,87,87,0.00
80,RB33,Kyle Monangai,CHI,RB,10,9,89,89,0.00
81,RB34,Blake Corum,LAR,RB,11,9,90,90,0.00
82,RB35,J.K. Dobbins,DEN,RB,10,9,93,93,0.00
83,TE6,Harold Fannin Jr.,CLE,TE,11,9,94,94,0.00
84,TE7,Sam LaPorta,DET,TE,6,9,95,95,0.00
85,TE8,Kyle Pitts Sr.,ATL,TE,11,9,96,96,0.00
86,TE9,George Kittle,SF,TE,8,9,97,97,0.00
87,RB36,Jonathon Brooks,CAR,RB,5,9,98,98,0.00
88,RB37,RJ Harvey,DEN,RB,10,9,99,99,0.00
89,RB38,Jacory Croskey-Merritt,WAS,RB,7,9,100,100,0.00
90,RB39,Rachaad White,WAS,RB,7,9,101,101,0.00
91,WR43,Jordan Addison,MIN,WR,6,9,104,104,0.00
92,WR44,Jakobi Meyers,JAC,WR,7,9,105,105,0.00
93,TE10,Dalton Kincaid,BUF,TE,7,9,106,106,0.00
94,WR45,Wan'Dale Robinson,TEN,WR,9,9,107,107,0.00
95,WR46,Josh Downs,IND,WR,13,9,108,108,0.00
96,WR47,Jalen Coker,CAR,WR,5,9,109,109,0.00
97,WR48,Michael Wilson,ARI,WR,14,9,110,110,0.00
98,WR49,KC Concepcion,CLE,WR,11,9,111,111,0.00
99,RB40,Aaron Jones Sr.,MIN,RB,6,10,112,112,0.00
100,RB41,Jordan Mason,MIN,RB,6,10,113,113,0.00
101,WR50,Xavier Worthy,KC,WR,5,10,114,114,0.00
102,TE11,Travis Kelce,KC,TE,5,10,116,116,0.00
103,TE12,Isaiah Likely,NYG,TE,8,10,117,117,0.00
104,WR51,Michael Pittman Jr.,PIT,WR,9,10,118,118,0.00
105,WR52,Stefon Diggs,FA,WR,,10,119,119,0.00
106,WR53,Jayden Higgins,HOU,WR,8,10,120,120,0.00
107,WR54,Rashid Shaheed,SEA,WR,11,10,121,121,0.00
108,WR55,Jalen McMillan,TB,WR,10,10,122,122,0.00
