Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,,Trey McBride,ARI,TE,14,,,,
2,,Brock Bowers,LV,TE,13,,,,
3,,Colston Loveland,CHI,TE,10,,,,
4,,Tyler Warren,IND,TE,13,,,,
5,,Tucker Kraft,GB,TE,11,,,,
6,,Harold Fannin Jr.,CLE,TE,11,,,,
7,,Kyle Pitts Sr.,ATL,TE,11,,,,
8,,Sam LaPorta,DET,TE,6,,,,
9,,Travis Kelce,KC,TE,5,,,,
10,,George Kittle,SF,TE,8,,,,
11,,Dalton Kincaid,BUF,TE,7,,,,
12,,Dallas Goedert,PHI,TE,10,,,,
13,,Isaiah Likely,NYG,TE,8,,,,
14,,Jake Ferguson,DAL,TE,14,,,,
15,,Mark Andrews,BAL,TE,13,,,,
16,,Chig Okonkwo,WAS,TE,7,,,,
17,,Brenton Strange,JAC,TE,7,,,,
18,,Hunter Henry,NE,TE,11,,,,
19,,Kenyon Sadiq,NYJ,TE,13,,,,
20,,Dalton Schultz,HOU,TE,8,,,,
21,,Juwan Johnson,NO,TE,8,,,,
22,,Oronde Gadsden II,LAC,TE,7,,,,
23,,T.J. Hockenson,MIN,TE,6,,,,
24,,AJ Barner,SEA,TE,11,,,,
25,,Cade Otton,TB,TE,10,,,,
26,,Gunnar Helm,TEN,TE,9,,,,
27,,Greg Dulcich,MIA,TE,6,,,,
28,,Pat Freiermuth,PIT,TE,9,,,,
29,,Terrance Ferguson,LAR,TE,11,,,,
30,,Darnell Washington,PIT,TE,9,,,,
31,,David Njoku,LAC,TE,7,,,,
32,,Eli Stowers,PHI,TE,10,,,,
33,,Mason Taylor,NYJ,TE,13,,,,
34,,Evan Engram,DEN,TE,10,,,,
35,,Mike Gesicki,CIN,TE,6,,,,
36,,Michael Mayer,LV,TE,13,,,,
37,,Erick All Jr.,CIN,TE,6,,,,
38,,Darren Waller,FA,TE,,,,,
39,,Theo Johnson,NYG,TE,8,,,,
40,,Jake Tonges,SF,TE,8,,,,
41,,Tyler Higbee,LAR,TE,11,,,,
42,,Elijah Arroyo,SEA,TE,11,,,,
43,,Colby Parkinson,LAR,TE,11,,,,
44,,Cole Kmet,CHI,TE,10,,,,
45,,Ja'Tavion Sanders,CAR,TE,5,,,,
46,,Justin Joly,DEN,TE,10,,,,
47,,Noah Gray,KC,TE,5,,,,
48,,Dawson Knox,BUF,TE,7,,,,
49,,Oscar Delp,NO,TE,8,,,,
50,,Ben Sinnott,WAS,TE,7,,,,
51,,Luke Musgrave,GB,TE,11,,,,
52,,Daniel Bellinger,TEN,TE,9,,,,
53,,Eli Raridon,NE,TE,11,,,,
54,,Austin Hooper,ATL,TE,11,,,,
55,,Max Klare,LAR,TE,11,,,,
56,,Zach Ertz,FA,TE,,,,,
57,,Josh Oliver,MIN,TE,6,,,,
58,,Tommy Tremble,CAR,TE,5,,,,
59,,Marlin Klein,HOU,TE,8,,,,
60,,Noah Fant,NO,TE,8,,,,
