Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,,Brock Bowers,LV,TE,13,,,,
2,,Colston Loveland,CHI,TE,10,,,,
3,,Trey McBride,ARI,TE,14,,,,
4,,Tucker Kraft,GB,TE,11,,,,
5,,Tyler Warren,IND,TE,13,,,,
6,,Harold Fannin Jr.,CLE,TE,11,,,,
7,,Sam LaPorta,DET,TE,6,,,,
8,,George Kittle,SF,TE,8,,,,
9,,Dalton Kincaid,BUF,TE,7,,,,
10,,Kyle Pitts Sr.,ATL,TE,11,,,,
11,,Isaiah Likely,NYG,TE,8,,,,
12,,Travis Kelce,KC,TE,5,,,,
13,,Mark Andrews,BAL,TE,13,,,,
14,,Dallas Goedert,PHI,TE,10,,,,
15,,Chig Okonkwo,WAS,TE,7,,,,
16,,Brenton Strange,JAC,TE,7,,,,
17,,Oronde Gadsden II,LAC,TE,7,,,,
18,,Hunter Henry,NE,TE,11,,,,
19,,AJ Barner,SEA,TE,11,,,,
20,,Kenyon Sadiq,NYJ,TE,13,,,,
21,,Jake Ferguson,DAL,TE,14,,,,
22,,Dalton Schultz,HOU,TE,8,,,,
23,,Juwan Johnson,NO,TE,8,,,,
24,,Terrance Ferguson,LAR,TE,11,,,,
25,,Eli Stowers,PHI,TE,10,,,,
26,,T.J. Hockenson,MIN,TE,6,,,,
27,,Gunnar Helm,TEN,TE,9,,,,
28,,Greg Dulcich,MIA,TE,6,,,,
29,,Darnell Washington,PIT,TE,9,,,,
30,,Erick All Jr.,CIN,TE,6,,,,
31,,Pat Freiermuth,PIT,TE,9,,,,
32,,David Njoku,LAC,TE,7,,,,
33,,Mason Taylor,NYJ,TE,13,,,,
34,,Oscar Delp,NO,TE,8,,,,
35,,Darren Waller,FA,TE,,,,,
36,,Mike Gesicki,CIN,TE,6,,,,
37,,Evan Engram,DEN,TE,10,,,,
38,,Cade Otton,TB,TE,10,,,,
39,,Theo Johnson,NYG,TE,8,,,,
40,,Michael Mayer,LV,TE,13,,,,
41,,Jake Tonges,SF,TE,8,,,,
42,,Tyler Higbee,LAR,TE,11,,,,
43,,Elijah Arroyo,SEA,TE,11,,,,
44,,Justin Joly,DEN,TE,10,,,,
45,,Cole Kmet,CHI,TE,10,,,,
46,,Ja'Tavion Sanders,CAR,TE,5,,,,
47,,Noah Gray,KC,TE,5,,,,
48,,Ben Sinnott,WAS,TE,7,,,,
49,,Dawson Knox,BUF,TE,7,,,,
50,,Luke Musgrave,GB,TE,11,,,,
51,,Daniel Bellinger,TEN,TE,9,,,,
52,,Max Klare,LAR,TE,11,,,,
53,,Eli Raridon,NE,TE,11,,,,
54,,Zach Ertz,FA,TE,,,,,
55,,Colby Parkinson,LAR,TE,11,,,,
56,,Austin Hooper,ATL,TE,11,,,,
57,,Josh Oliver,MIN,TE,6,,,,
58,,Marlin Klein,HOU,TE,8,,,,
59,,Tommy Tremble,CAR,TE,5,,,,
60,,Noah Fant,NO,TE,8,,,,
