Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,,Ja'Marr Chase,CIN,WR,6,,,,
2,,Jaxon Smith-Njigba,SEA,WR,11,,,,
3,,Puka Nacua,LAR,WR,11,,,,
4,,CeeDee Lamb,DAL,WR,14,,,,
5,,Amon-Ra St. Brown,DET,WR,6,,,,
6,,Justin Jefferson,MIN,WR,6,,,,
7,,Drake London,ATL,WR,11,,,,
8,,Nico Collins,HOU,WR,8,,,,
9,,Rashee Rice,KC,WR,5,,,,
10,,DeVonta Smith,PHI,WR,10,,,,
11,,A.J. Brown,NE,WR,11,,,,
12,,Christian Watson,GB,WR,11,,,,
13,,Chris Olave,NO,WR,8,,,,
14,,George Pickens,DAL,WR,14,,,,
15,,Jaylen Waddle,DEN,WR,10,,,,
16,,Zay Flowers,BAL,WR,13,,,,
17,,Tee Higgins,CIN,WR,6,,,,
18,,Tetairoa McMillan,CAR,WR,5,,,,
19,,Luther Burden III,CHI,WR,10,,,,
20,,Terry McLaurin,WAS,WR,7,,,,
21,,Ladd McConkey,LAC,WR,7,,,,
22,,Carnell Tate,TEN,WR,9,,,,
23,,Emeka Egbuka,TB,WR,10,,,,
24,,Garrett Wilson,NYJ,WR,13,,,,
25,,Davante Adams,LAR,WR,11,,,,
26,,Jameson Williams,DET,WR,6,,,,
27,,Makai Lemon,PHI,WR,10,,,,
28,,Malik Nabers,NYG,WR,8,,,,
29,,DJ Moore,BUF,WR,7,,,,
30,,Rome Odunze,CHI,WR,10,,,,
31,,Alec Pierce,IND,WR,13,,,,
32,,Jordyn Tyson,NO,WR,8,,,,
33,,Brian Thomas Jr.,JAC,WR,7,,,,
34,,Parker Washington,JAC,WR,7,,,,
35,,Mike Evans,SF,WR,8,,,,
36,,Marvin Harrison Jr.,ARI,WR,14,,,,
37,,Quentin Johnston,LAC,WR,7,,,,
38,,Courtland Sutton,DEN,WR,10,,,,
39,,Chris Godwin Jr.,TB,WR,10,,,,
40,,DK Metcalf,PIT,WR,9,,,,
41,,Jayden Reed,GB,WR,11,,,,
42,,Ricky Pearsall,SF,WR,8,,,,
43,,Jordan Addison,MIN,WR,6,,,,
44,,Jalen Coker,CAR,WR,5,,,,
45,,Jakobi Meyers,JAC,WR,7,,,,
46,,KC Concepcion,CLE,WR,11,,,,
47,,Xavier Worthy,KC,WR,5,,,,
48,,Michael Wilson,ARI,WR,14,,,,
49,,Wan'Dale Robinson,TEN,WR,9,,,,
50,,Rashid Shaheed,SEA,WR,11,,,,
51,,Jayden Higgins,HOU,WR,8,,,,
