Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Ja'Marr Chase,CIN,WR,4,1,1,1,1
2,Jahmyr Gibbs,DET,RB,4,2,2,2,2
3,Puka Nacua,LAR,WR,4,3,3,3,3
4,Amon-Ra St. Brown,DET,WR,4,4,4,4,4
5,Bijan Robinson,ATL,RB,4,5,5,5,5
6,Jaxon Smith-Njigba,SEA,WR,4,6,6,6,6
7,Christian McCaffrey,SF,RB,4,7,7,7,7
8,Justin Jefferson,MIN,WR,4,9,8,8,9
9,CeeDee Lamb,DAL,WR,4,8,9,11,8
10,Jonathan Taylor,IND,RB,4,10,10,13,10
11,A.J. Brown,NE,WR,4,12,11,12,12
12,Drake London,ATL,WR,4,15,14,9,11
13,Nico Collins,HOU,WR,4,14,12,14,14
14,Chris Olave,NO,WR,4,11,15,15,15
15,Trey McBride,ARI,TE,4,16,16,16,16
16,James Cook,BUF,RB,4,17,21,10,17
17,DeVonta Smith,PHI,WR,4,18,18,18,18
18,George Pickens,DAL,WR,4,20,20,19,19
19,Saquon Barkley,PHI,RB,4,23,17,21,21
20,Malik Nabers,NYG,WR,4,19,19,26,20
21,Colston Loveland,CHI,TE,4,22,22,22,32
22,Derrick Henry,BAL,RB,4,24,24,24,24
23,Josh Allen,BUF,QB,4,25,25,25,25
24,Chase Brown,CIN,RB,4,33,31,17,13
25,Zay Flowers,BAL,WR,4,28,26,20,26
26,Omarion Hampton,LAC,RB,4,31,13,34,31
27,Kenneth Walker III,KC,RB,4,34,23,23,23
28,De'Von Achane,MIA,RB,4,13,33,33,33
29,Garrett Wilson,NYJ,WR,4,26,28,29,28
30,Drake Maye,NE,QB,4,27,27,27,30
31,Rashee Rice,KC,WR,4,29,29,28,29
32,Ashton Jeanty,LV,RB,4,21,34,31,34
33,Joe Burrow,CIN,QB,4,30,30,30,37
34,Brock Bowers,LV,TE,4,32,32,57,22
35,Tee Higgins,CIN,WR,4,36,38,38,35
36,Ladd McConkey,LAC,WR,4,42,36,36,36
37,Jaylen Waddle,DEN,WR,4,44,35,35,38
38,Jeremiyah Love,ARI,RB,4,39,39,39,43
39,Lamar Jackson,BAL,QB,4,54,37,37,27
40,Emeka Egbuka,TB,WR,4,38,40,40,44
41,Luther Burden,CHI,WR,4,35,45,48,42
42,Kyren Williams,LAR,RB,4,41,41,41,46
43,Tetairoa McMillan,CAR,WR,4,40,42,42,48
44,Davante Adams,LAR,WR,4,45,44,44,40
45,Breece Hall,NYJ,RB,4,43,43,43,50
46,Javonte Williams,DAL,RB,4,46,46,46,39
47,Travis Etienne,NO,RB,4,47,47,53,41
48,Jameson Williams,DET,WR,4,51,48,45,45
49,Terry McLaurin,WAS,WR,4,48,49,49,49
50,Jayden Daniels,WAS,QB,4,37,54,59,59
51,Tyler Warren,IND,TE,4,57,57,32,57
52,DJ Moore,BUF,WR,4,49,51,60,51
53,Bucky Irving,TB,RB,4,53,50,56,53
54,Cam Skattebo,NYG,RB,4,50,53,58,56
55,D'Andre Swift,CHI,RB,4,58,61,47,47
56,Parker Washington,JAC,WR,4,60,52,62,55
57,Rhamondre Stevenson,NE,RB,4,56,56,61,58
58,Marvin Harrison,ARI,WR,4,55,55,64,60
59,Trevor Lawrence,JAC,QB,4,59,59,63,63
60,DK Metcalf,PIT,WR,4,52,60,69,69
61,Jalen Hurts,PHI,QB,4,70,63,54,54
62,Quinshon Judkins,CLE,RB,4,61,58,65,67
63,Rome Odunze,CHI,WR,4,62,62,68,62
64,Christian Watson,GB,WR,4,71,64,51,68
65,David Montgomery,HOU,RB,4,67,75,50,61
66,Caleb Williams,CHI,QB,4,63,70,70,74
67,Jaylen Warren,PIT,RB,4,65,65,75,75
68,Kyle Pitts,ATL,TE,4,66,66,66,85
69,Rico Dowdle,PIT,RB,4,72,67,72,72
70,Mike Evans,SF,WR,4,88,68,55,64
71,Carnell Tate,TEN,WR,4,76,69,52,88
72,Harold Fannin,CLE,TE,4,73,73,73,66
73,Michael Pittman,PIT,WR,4,69,71,71,82
74,Justin Herbert,LAC,QB,4,79,74,74,70
75,Bhayshul Tuten,JAC,RB,4,75,80,78,65
76,Jadarian Price,SEA,RB,4,78,72,67,84
77,Stefon Diggs,WAS,WR,4,64,76,88,81
78,TreVeyon Henderson,NE,RB,4,77,77,80,77
79,Chris Godwin,TB,WR,4,83,91,81,52
80,Josh Downs,IND,WR,4,81,82,83,71
81,Tony Pollard,TEN,RB,4,80,78,84,78
82,Jonathon Brooks,CAR,RB,4,84,84,86,89
83,Brock Purdy,SF,QB,4,92,79,79,92
84,Courtland Sutton,DEN,WR,4,82,83,90,91
85,Quentin Johnston,LAC,WR,4,94,81,76,90
86,Brian Thomas,JAC,WR,4,68,96,100,83
87,Chuba Hubbard,CAR,RB,4,93,93,77,80
88,Travis Kelce,KC,TE,4,85,85,87,95
89,Dak Prescott,DAL,QB,4,74,98,101,79
90,Sam LaPorta,DET,TE,4,97,95,85,73
91,Jayden Reed,GB,WR,4,90,107,82,76
92,Tucker Kraft,GB,TE,4,95,87,97,87
93,RJ Harvey,DEN,RB,4,89,89,93,99
94,Alec Pierce,IND,WR,4,91,94,96,96
95,Kenny Gainwell,TB,RB,4,99,99,89,93
96,Patrick Mahomes,KC,QB,4,98,92,104,98
97,Wan'Dale Robinson,TEN,WR,4,100,100,94,100
98,George Kittle,SF,TE,4,106,97,95,97
99,Blake Corum,LAR,RB,4,86,86,120,120
