Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Josh Allen,BUF,QB,4,1,1,1,1
2,Drake Maye,NE,QB,4,2,2,2,3
3,Joe Burrow,CIN,QB,4,3,3,3,4
4,Lamar Jackson,BAL,QB,4,5,4,4,2
5,Jayden Daniels,WAS,QB,4,4,5,6,6
6,Trevor Lawrence,JAC,QB,4,6,6,7,7
7,Jalen Hurts,PHI,QB,4,8,7,5,5
8,Caleb Williams,CHI,QB,4,7,8,8,9
9,Justin Herbert,LAC,QB,4,10,9,9,8
10,Brock Purdy,SF,QB,4,11,10,10,11
11,Dak Prescott,DAL,QB,4,9,12,13,10
12,Patrick Mahomes,KC,QB,4,12,11,14,12
13,Jared Goff,DET,QB,4,13,13,12,13
14,Bo Nix,DEN,QB,4,16,14,11,15
15,Matthew Stafford,LAR,QB,4,15,15,16,16
16,Jaxson Dart,NYG,QB,4,14,17,17,14
17,Kyler Murray,MIN,QB,4,17,16,15,18
18,Baker Mayfield,TB,QB,4,18,18,19,17
19,Jordan Love,GB,QB,4,20,19,18,19
20,Tyler Shough,NO,QB,4,19,20,21,20
21,Malik Willis,MIA,QB,4,21,21,20,21
22,Sam Darnold,SEA,QB,4,23,23,22,22
23,C.J. Stroud,HOU,QB,4,22,24,25,23
24,Daniel Jones,IND,QB,4,25,22,24,24
25,Cam Ward,TEN,QB,4,24,25,26,25
26,Aaron Rodgers,PIT,QB,4,27,26,23,27
27,Bryce Young,CAR,QB,4,26,27,27,26
28,Jacoby Brissett,ARI,QB,4,28,29,29,28
29,Geno Smith,NYJ,QB,4,29,28,28,29
30,Fernando Mendoza,LV,QB,4,30,30,30,31
31,Michael Penix,ATL,QB,4,31,31,31,30
32,Deshaun Watson,CLE,QB,4,32,32,34,32
33,Shedeur Sanders,CLE,QB,4,33,34,33,34
34,Tua Tagovailoa,ATL,QB,4,36,33,32,35
35,Kirk Cousins,LV,QB,4,34,35,35,33
36,Carson Beck,ARI,QB,3,35,36,36,-42
37,Mac Jones,SF,QB,4,37,37,38,36
38,J.J. McCarthy,MIN,QB,4,41,38,37,37
39,Anthony Richardson,IND,QB,4,45,39,41,40
40,Cade Klubnik,NYJ,QB,2,38,-45,42,-43
41,Justin Fields,KC,QB,2,39,-46,39,-44
42,Ty Simpson,LAR,QB,4,47,41,40,39
43,Joe Flacco,CIN,QB,3,42,40,44,-46
44,Jameis Winston,NYG,QB,2,40,-47,43,-45
45,Davis Mills,HOU,QB,3,48,42,47,-50
46,Trey Lance,LAC,QB,2,43,-48,52,-47
47,Marcus Mariota,WAS,QB,2,46,-50,45,-49
48,Jalon Daniels,TB,QB,1,44,-49,-63,-48
49,Drew Allar,PIT,QB,2,49,43,-64,-51
50,Tyler Huntley,BAL,QB,2,50,-51,51,-52
51,Tyrod Taylor,GB,QB,2,53,-54,46,-55
52,Mitchell Trubisky,TEN,QB,1,51,-52,-65,-53
53,Tommy DeVito,NE,QB,1,52,-53,-66,-54
54,Spencer Rattler,NO,QB,2,55,-56,54,-57
55,Tyson Bagent,CHI,QB,2,57,-58,49,-59
56,Quinn Ewers,JAC,QB,2,56,-57,55,-58
57,Kyle McCord,MIA,QB,1,54,-55,-67,-56
58,Jarrett Stidham,DEN,QB,2,59,-60,56,-61
59,Tanner McKee,PHI,QB,1,58,-59,-68,-60
60,Joshua Dobbs,DET,QB,2,60,-61,60,-62
61,Taylen Green,CLE,QB,2,63,-64,48,-65
62,Gardner Minshew,ARI,QB,2,-76,44,53,-76
63,Kenny Pickett,CAR,QB,2,62,-63,61,-64
64,Haynes King,CAR,QB,2,68,-69,-72,38
65,Kyle Allen,BUF,QB,1,61,-62,-69,-63
66,Sam Howell,DAL,QB,2,64,-65,59,-66
67,Jalen Milroe,SEA,QB,2,65,-66,57,-67
68,Joe Milton,DAL,QB,2,70,-71,-74,41
69,Riley Leonard,IND,QB,1,66,-67,-70,-68
70,Carson Wentz,MIN,QB,2,72,-73,50,-72
71,Jimmy Garoppolo,LAR,QB,1,67,-68,-71,-69
72,Drew Lock,SEA,QB,1,69,-70,-73,-70
73,Jack Strand,ATL,QB,2,74,-75,58,-74
74,Dillon Gabriel,CLE,QB,1,71,-72,-75,-71
75,Zach Wilson,NO,QB,1,73,-74,-76,-73
76,Andy Dalton,PHI,QB,1,-77,-77,62,-77
77,Aidan O'Connell,LV,QB,1,75,-76,-77,-75
