Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Jahmyr Gibbs,DET,RB,4,1,1,1,1
2,Bijan Robinson,ATL,RB,4,2,2,2,2
3,Christian McCaffrey,SF,RB,4,4,3,3,3
4,Jonathan Taylor,IND,RB,4,3,4,5,4
5,James Cook,BUF,RB,4,5,6,4,5
6,Derrick Henry,BAL,RB,4,6,5,6,6
7,Saquon Barkley,PHI,RB,4,7,7,7,7
8,Kenneth Walker III,KC,RB,4,11,9,9,8
9,Omarion Hampton,LAC,RB,4,10,8,11,10
10,Chase Brown,CIN,RB,4,12,10,8,9
11,De'Von Achane,MIA,RB,4,8,12,12,11
12,Ashton Jeanty,LV,RB,4,9,11,10,13
13,Kyren Williams,LAR,RB,4,13,13,13,14
14,Javonte Williams,DAL,RB,4,15,15,15,12
15,Jeremiyah Love,ARI,RB,4,14,14,14,17
16,Breece Hall,NYJ,RB,4,16,16,16,18
17,Travis Etienne,NO,RB,4,17,17,19,15
18,Bucky Irving,TB,RB,4,19,18,20,19
19,D'Andre Swift,CHI,RB,4,20,22,17,16
20,Cam Skattebo,NYG,RB,4,18,19,21,20
21,Rhamondre Stevenson,NE,RB,4,21,20,22,22
22,Quinshon Judkins,CLE,RB,4,22,21,23,24
23,David Montgomery,HOU,RB,4,23,26,18,21
24,Rico Dowdle,PIT,RB,4,25,24,25,25
25,Jaylen Warren,PIT,RB,4,24,25,27,26
26,Jadarian Price,SEA,RB,4,28,23,24,27
27,Bhayshul Tuten,JAC,RB,4,26,27,26,23
28,TreVeyon Henderson,NE,RB,4,29,28,29,28
29,Tony Pollard,TEN,RB,4,30,29,30,29
30,Blake Corum,LAR,RB,4,27,30,33,33
31,Chuba Hubbard,CAR,RB,4,32,32,28,31
32,Jonathon Brooks,CAR,RB,4,31,31,31,32
33,MarShawn Lloyd,GB,RB,4,35,34,35,34
34,J.K. Dobbins,DEN,RB,4,37,38,32,30
35,RJ Harvey,DEN,RB,4,33,33,37,41
36,Jordan Mason,MIN,RB,4,38,35,34,35
37,Kyle Monangai,CHI,RB,4,34,36,40,36
38,Rachaad White,WAS,RB,4,36,37,39,40
39,Kenny Gainwell,TB,RB,4,39,39,38,39
40,Jacory Croskey-Merritt,WAS,RB,4,43,40,36,37
41,Aaron Jones,MIN,RB,4,41,42,41,43
42,Woody Marks,HOU,RB,4,42,41,45,45
43,Keaton Mitchell,LAC,RB,4,40,43,48,44
44,Chris Rodriguez,JAC,RB,4,48,46,42,38
45,Tyjae Spears,TEN,RB,4,46,44,43,48
46,Jonah Coleman,DEN,RB,4,45,45,46,49
47,Tyler Allgeier,ARI,RB,4,47,47,44,47
48,Josh Jacobs,GB,RB,4,44,49,52,42
49,Mike Washington,LV,RB,4,49,48,47,50
50,Dylan Sampson,CLE,RB,4,50,51,49,52
51,Brian Robinson,ATL,RB,4,51,52,50,51
52,Tank Bigsby,PHI,RB,4,55,55,54,46
53,Alvin Kamara,NO,RB,4,53,53,53,55
54,Emmett Johnson,KC,RB,4,60,50,51,54
55,Zach Charbonnet,SEA,RB,4,52,54,56,56
56,Braelon Allen,NYJ,RB,4,57,56,55,57
57,Malik Davis,DAL,RB,4,58,59,63,53
58,Tyrone Tracy,NYG,RB,4,56,58,57,65
59,Nicholas Singleton,TEN,RB,4,54,57,69,61
60,Ray Davis,BUF,RB,4,63,60,60,59
61,George Holani,SEA,RB,4,59,61,65,62
62,Justice Hill,BAL,RB,4,67,63,58,60
63,Sean Tucker,TB,RB,4,62,62,62,71
