Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Jahmyr Gibbs,DET,RB,4,1,1,1,1
2,Bijan Robinson,ATL,RB,4,2,2,2,2
3,Christian McCaffrey,SF,RB,4,3,3,3,3
4,Jonathan Taylor,IND,RB,4,4,4,5,4
5,James Cook,BUF,RB,4,6,7,4,6
6,Saquon Barkley,PHI,RB,4,8,6,7,7
7,Chase Brown,CIN,RB,4,11,10,6,5
8,Omarion Hampton,LAC,RB,4,10,5,12,10
9,Derrick Henry,BAL,RB,4,9,9,9,9
10,De'Von Achane,MIA,RB,4,5,11,11,11
11,Kenneth Walker III,KC,RB,4,12,8,8,8
12,Ashton Jeanty,LV,RB,4,7,12,10,12
13,Jeremiyah Love,ARI,RB,4,13,13,13,15
14,Kyren Williams,LAR,RB,4,14,14,14,16
15,Javonte Williams,DAL,RB,4,16,16,16,13
16,Breece Hall,NYJ,RB,4,15,15,15,18
17,Travis Etienne,NO,RB,4,17,17,19,14
18,Bucky Irving,TB,RB,4,19,18,20,19
19,Cam Skattebo,NYG,RB,4,18,19,21,20
20,D'Andre Swift,CHI,RB,4,21,22,17,17
21,Rhamondre Stevenson,NE,RB,4,20,20,22,21
22,Quinshon Judkins,CLE,RB,4,22,21,23,24
23,David Montgomery,HOU,RB,4,24,26,18,22
24,Jaylen Warren,PIT,RB,4,23,23,26,26
25,Rico Dowdle,PIT,RB,4,25,24,25,25
26,Bhayshul Tuten,JAC,RB,4,26,29,28,23
27,Jadarian Price,SEA,RB,4,28,25,24,30
28,TreVeyon Henderson,NE,RB,4,27,27,29,27
29,Tony Pollard,TEN,RB,4,29,28,30,28
30,Jonathon Brooks,CAR,RB,4,30,30,31,32
31,Chuba Hubbard,CAR,RB,4,33,33,27,29
32,RJ Harvey,DEN,RB,4,32,32,33,34
33,Kenny Gainwell,TB,RB,4,34,34,32,33
34,Blake Corum,LAR,RB,4,31,31,39,39
35,Rachaad White,WAS,RB,4,35,35,35,37
36,MarShawn Lloyd,GB,RB,4,37,36,37,35
37,J.K. Dobbins,DEN,RB,4,41,40,34,31
38,Jordan Mason,MIN,RB,4,40,37,36,36
39,Kyle Monangai,CHI,RB,4,36,38,40,38
40,Aaron Jones,MIN,RB,4,38,42,38,42
41,Jacory Croskey-Merritt,WAS,RB,4,43,41,41,40
42,Woody Marks,HOU,RB,4,42,39,44,44
43,Keaton Mitchell,LAC,RB,4,39,44,48,45
44,Tyjae Spears,TEN,RB,4,46,43,42,46
45,Jonah Coleman,DEN,RB,4,44,45,47,49
46,Tyler Allgeier,ARI,RB,4,48,46,43,47
47,Chris Rodriguez,JAC,RB,4,50,49,45,41
48,Dylan Sampson,CLE,RB,4,47,47,46,50
49,Josh Jacobs,GB,RB,4,45,51,53,43
50,Mike Washington,LV,RB,4,49,48,49,51
51,Alvin Kamara,NO,RB,4,51,52,50,52
52,Brian Robinson,ATL,RB,4,52,54,51,53
53,Zach Charbonnet,SEA,RB,4,53,53,56,56
54,Emmett Johnson,KC,RB,4,60,50,52,54
55,Tank Bigsby,PHI,RB,4,56,56,57,48
56,Braelon Allen,NYJ,RB,4,58,55,55,58
57,Tyrone Tracy,NYG,RB,4,54,57,58,66
58,Malik Davis,DAL,RB,4,59,60,67,55
59,Ray Davis,BUF,RB,4,63,58,60,59
60,Nicholas Singleton,TEN,RB,4,55,59,69,61
61,George Holani,SEA,RB,4,57,61,64,62
62,Justice Hill,BAL,RB,4,66,63,54,57
63,Sean Tucker,TB,RB,4,61,62,61,71
