Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Jahmyr Gibbs,DET,RB,4,1,1,1,1
2,Bijan Robinson,ATL,RB,4,2,2,2,2
3,Jonathan Taylor,IND,RB,4,3,3,6,3
4,Christian McCaffrey,SF,RB,4,5,4,4,4
5,Derrick Henry,BAL,RB,4,4,5,5,5
6,James Cook,BUF,RB,4,6,6,3,6
7,Saquon Barkley,PHI,RB,4,7,7,7,7
8,Kenneth Walker III,KC,RB,4,12,8,8,8
9,Omarion Hampton,LAC,RB,4,10,9,12,10
10,Ashton Jeanty,LV,RB,4,8,12,10,13
11,Kyren Williams,LAR,RB,4,11,10,11,12
12,Chase Brown,CIN,RB,4,14,11,9,9
13,De'Von Achane,MIA,RB,4,9,14,14,14
14,Javonte Williams,DAL,RB,4,13,13,13,11
15,Jeremiyah Love,ARI,RB,4,15,15,15,19
16,Breece Hall,NYJ,RB,4,16,16,17,17
17,Travis Etienne,NO,RB,4,17,18,19,16
18,Bucky Irving,TB,RB,4,19,17,20,18
19,D'Andre Swift,CHI,RB,4,20,22,18,15
20,Cam Skattebo,NYG,RB,4,18,19,21,21
21,Quinshon Judkins,CLE,RB,4,21,20,23,24
22,Rhamondre Stevenson,NE,RB,4,22,21,22,22
23,David Montgomery,HOU,RB,4,23,26,16,20
24,Rico Dowdle,PIT,RB,4,24,24,25,25
25,Jadarian Price,SEA,RB,4,28,23,24,26
26,Bhayshul Tuten,JAC,RB,4,27,27,26,23
27,Jaylen Warren,PIT,RB,4,25,25,29,29
28,TreVeyon Henderson,NE,RB,4,29,29,28,28
29,Blake Corum,LAR,RB,4,26,28,33,32
30,Tony Pollard,TEN,RB,4,30,30,30,30
31,Chuba Hubbard,CAR,RB,4,32,32,27,31
32,Jonathon Brooks,CAR,RB,4,31,31,31,34
33,J.K. Dobbins,DEN,RB,4,35,35,32,27
34,MarShawn Lloyd,GB,RB,4,33,33,35,35
35,Jordan Mason,MIN,RB,4,36,34,34,36
36,Kyle Monangai,CHI,RB,4,34,37,37,38
37,Rachaad White,WAS,RB,4,37,38,38,39
38,Jacory Croskey-Merritt,WAS,RB,4,42,36,36,37
39,RJ Harvey,DEN,RB,4,39,39,39,41
40,Kenny Gainwell,TB,RB,4,41,41,40,40
41,Aaron Jones,MIN,RB,4,40,43,42,43
42,Chris Rodriguez,JAC,RB,4,46,45,41,33
43,Woody Marks,HOU,RB,4,43,40,43,45
44,Keaton Mitchell,LAC,RB,4,38,42,49,44
45,Jonah Coleman,DEN,RB,4,45,44,46,48
46,Josh Jacobs,GB,RB,4,44,49,52,42
47,Tyler Allgeier,ARI,RB,4,47,48,44,49
48,Tyjae Spears,TEN,RB,4,50,46,45,51
49,Mike Washington,LV,RB,4,48,47,48,50
50,Brian Robinson,ATL,RB,4,49,51,47,47
51,Tank Bigsby,PHI,RB,4,51,52,50,46
52,Zach Charbonnet,SEA,RB,4,53,53,54,54
53,Emmett Johnson,KC,RB,4,60,50,51,53
54,Braelon Allen,NYJ,RB,4,57,54,53,55
55,Dylan Sampson,CLE,RB,4,54,58,55,57
56,Alvin Kamara,NO,RB,4,58,56,56,56
57,Malik Davis,DAL,RB,4,56,57,63,52
58,Nicholas Singleton,TEN,RB,4,52,55,69,59
59,Tyrone Tracy,NYG,RB,4,55,59,57,67
60,Ray Davis,BUF,RB,4,63,60,60,60
61,George Holani,SEA,RB,4,59,62,65,63
62,Kaelon Black,SF,RB,4,66,63,61,61
63,Sean Tucker,TB,RB,4,62,61,62,70
