Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Trey McBride,ARI,TE,4,1,1,1,1
2,Colston Loveland,CHI,TE,4,2,2,2,3
3,Brock Bowers,LV,TE,4,3,3,4,2
4,Tyler Warren,IND,TE,4,4,4,3,4
5,Kyle Pitts,ATL,TE,4,5,5,5,8
6,Harold Fannin,CLE,TE,4,6,6,6,7
7,Tucker Kraft,GB,TE,4,7,7,8,6
8,Sam LaPorta,DET,TE,4,9,8,7,5
9,Travis Kelce,KC,TE,4,8,9,10,10
10,George Kittle,SF,TE,4,10,10,9,9
11,Dalton Kincaid,BUF,TE,4,13,11,11,11
12,Dallas Goedert,PHI,TE,4,14,12,12,12
13,Jake Ferguson,DAL,TE,4,11,13,16,14
14,Mark Andrews,BAL,TE,4,12,15,13,13
15,Isaiah Likely,NYG,TE,4,15,14,14,15
16,Juwan Johnson,NO,TE,4,16,19,15,16
17,Hunter Henry,NE,TE,4,17,16,18,17
18,Dalton Schultz,HOU,TE,4,18,17,19,18
19,Brenton Strange,JAC,TE,4,21,18,17,19
20,T.J. Hockenson,MIN,TE,4,19,20,22,20
21,Chig Okonkwo,WAS,TE,4,20,21,20,22
22,AJ Barner,SEA,TE,4,23,22,21,24
23,Pat Freiermuth,PIT,TE,4,25,23,23,23
24,Cade Otton,TB,TE,4,24,24,25,26
25,Terrance Ferguson,LAR,TE,4,26,26,24,21
26,Kenyon Sadiq,NYJ,TE,4,22,25,28,25
27,Michael Mayer,LV,TE,4,27,27,26,28
28,Gunnar Helm,TEN,TE,4,30,28,27,32
29,Oronde Gadsden,LAC,TE,4,28,29,30,31
30,Greg Dulcich,MIA,TE,4,29,30,31,30
31,Darren Waller,CAR,TE,4,31,33,37,33
32,Colby Parkinson,LAR,TE,4,36,34,32,29
33,Evan Engram,DEN,TE,4,37,31,29,35
34,David Njoku,LAC,TE,4,34,32,34,36
35,Mike Gesicki,CIN,TE,4,32,35,36,34
36,Charlie Kolar,LAC,TE,4,39,36,33,27
37,Elijah Arroyo,SEA,TE,4,35,37,40,37
38,Mason Taylor,NYJ,TE,4,38,38,39,41
39,Darnell Washington,PIT,TE,4,44,39,35,38
40,Eli Raridon,NE,TE,4,40,41,44,40
41,Theo Johnson,NYG,TE,4,42,42,45,42
42,Eli Stowers,PHI,TE,4,33,40,46,58
43,Erick All,CIN,TE,4,45,43,43,45
44,Cole Kmet,CHI,TE,4,49,46,41,39
45,Dawson Knox,BUF,TE,4,47,44,42,46
46,Oscar Delp,NO,TE,4,43,45,47,47
47,Matt Hibner,BAL,TE,4,41,47,52,43
48,Jake Tonges,SF,TE,4,46,49,48,48
49,Jonnu Smith,GB,TE,4,50,51,51,44
50,Tyler Higbee,LAR,TE,4,56,48,38,54
51,Noah Gray,KC,TE,4,51,50,50,50
52,Ben Sinnott,WAS,TE,4,48,52,56,52
53,Ja'Tavion Sanders,CAR,TE,4,52,54,54,56
54,Max Klare,LAR,TE,4,55,53,49,61
55,Noah Fant,NO,TE,4,57,55,55,49
56,Marlin Klein,HOU,TE,4,53,56,61,53
57,Daniel Bellinger,TEN,TE,4,60,57,58,51
58,Mitchell Evans,CAR,TE,4,63,58,57,66
59,Elijah Higgins,ARI,TE,4,64,60,59,60
60,Austin Hooper,ATL,TE,4,65,62,60,55
61,Tommy Tremble,CAR,TE,4,69,59,53,65
62,Josh Oliver,MIN,TE,4,59,61,65,68
63,Tanner Koziol,JAC,TE,3,58,63,68,-76
64,Jackson Hawes,BUF,TE,4,67,65,62,69
65,Luke Schoonmaker,DAL,TE,4,73,69,69,57
66,Zach Ertz,FA,TE,2,54,-73,74,-75
67,Will Kacmarek,MIA,TE,3,66,66,67,-78
68,John Bates,WAS,TE,3,-81,64,63,63
69,Adam Trautman,DEN,TE,4,71,67,66,72
70,Justin Joly,MIA,TE,4,62,72,86,67
71,Brock Wright,DET,TE,4,76,71,70,71
72,Cade Stover,HOU,TE,3,74,-78,73,62
73,Mo Alie-Cox,IND,TE,2,68,-75,77,-79
74,Nate Boerkircher,JAC,TE,2,-84,-84,64,59
75,Sam Roush,CHI,TE,2,72,-77,75,-81
76,Foster Moreau,HOU,TE,2,-82,68,71,-87
77,Luke Musgrave,GB,TE,2,-83,70,72,-88
78,Ian Thomas,LV,TE,2,70,-76,98,-80
79,Taysom Hill,FA,TE,1,61,-74,-118,-77
80,Jared Wiley,KC,TE,2,78,-81,90,-84
81,Tyler Conklin,DET,TE,2,-90,-90,82,64
82,Davis Allen,LAR,TE,2,-88,-88,80,74
83,Hunter Long,ARI,TE,2,77,-80,100,-83
84,Durham Smythe,BAL,TE,1,-85,-85,76,-89
85,Josh Whyle,GB,TE,2,80,-83,91,-86
86,Riley Nowakowski,PIT,TE,2,79,-82,99,-85
87,Jack Endries,CIN,TE,1,-86,-86,78,-90
88,Tanner Hudson,CIN,TE,2,-91,-91,83,70
89,Drew Sample,CIN,TE,1,-87,-87,79,-91
90,Joe Royer,CLE,TE,1,75,-79,-119,-82
91,Luke Farrell,SF,TE,2,-93,-93,85,73
92,Seydou Traore,MIA,TE,1,-89,-89,81,-92
93,Jeremy Ruckert,NYJ,TE,1,-92,-92,84,-93
94,Payne Durham,TB,TE,1,-94,-94,87,-94
95,Brevyn Spann-Ford,DAL,TE,1,-95,-95,88,-95
96,Grant Calcaterra,PHI,TE,1,-96,-96,89,-96
97,Charlie Woerner,ATL,TE,1,-97,-97,92,-97
98,Drew Ogletree,IND,TE,1,-98,-98,93,-98
99,Bauer Sharp,TB,TE,1,-99,-99,94,-99
100,Jelani Woods,NYJ,TE,1,-100,-100,95,-100
101,Nate Adkins,DEN,TE,1,-101,-101,96,-101
102,Josh Cuevas,BAL,TE,1,-102,-102,97,-102
103,Johnny Mundt,PHI,TE,1,-103,-103,101,-103
104,Thomas Fidone,NYG,TE,1,-104,-104,102,-104
105,Blake Whiteheart,CLE,TE,1,-105,-105,103,-105
106,Dallen Bentley,DEN,TE,1,-106,-106,104,-106
107,Kylen Granson,TEN,TE,1,-107,-107,105,-107
108,Carsen Ryan,CLE,TE,1,-108,-108,106,-108
109,Eric Saubert,SEA,TE,1,-109,-109,107,-109
110,Ben Yurosek,MIN,TE,1,-110,-110,108,-110
111,Chris Manhertz,NYG,TE,1,-111,-111,109,-111
112,Robert Tonyan,PIT,TE,1,-112,-112,110,-112
113,Brevin Jordan,HOU,TE,1,-113,-113,111,-113
114,Ko Kieft,TB,TE,1,-114,-114,112,-114
115,Keleki Latu,BUF,TE,1,-115,-115,113,-115
116,Connor Heyward,LV,TE,1,-116,-116,114,-116
117,Tanner Arkin,NE,TE,1,-117,-117,115,-117
118,Colson Yankoff,WAS,TE,1,-118,-118,116,-118
119,Brady Russell,SEA,TE,1,-119,-119,117,-119
