Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Trey McBride,ARI,TE,4,1,1,1,1
2,Colston Loveland,CHI,TE,4,2,2,2,3
3,Brock Bowers,LV,TE,4,3,3,4,2
4,Tyler Warren,IND,TE,4,4,4,3,4
5,Kyle Pitts,ATL,TE,4,5,5,5,7
6,Harold Fannin,CLE,TE,4,6,6,6,5
7,Travis Kelce,KC,TE,4,7,7,8,9
8,Sam LaPorta,DET,TE,4,10,9,7,6
9,Tucker Kraft,GB,TE,4,9,8,10,8
10,George Kittle,SF,TE,4,11,10,9,10
11,Dalton Kincaid,BUF,TE,4,13,11,11,11
12,Jake Ferguson,DAL,TE,4,8,13,16,13
13,Dallas Goedert,PHI,TE,4,14,12,12,12
14,Mark Andrews,BAL,TE,4,12,16,13,14
15,Isaiah Likely,NYG,TE,4,15,14,15,15
16,Dalton Schultz,HOU,TE,4,16,15,19,16
17,Juwan Johnson,NO,TE,4,17,20,14,17
18,Hunter Henry,NE,TE,4,18,18,18,18
19,Brenton Strange,JAC,TE,4,21,17,17,20
20,T.J. Hockenson,MIN,TE,4,19,19,21,19
21,Chig Okonkwo,WAS,TE,4,20,21,20,21
22,AJ Barner,SEA,TE,4,23,22,22,25
23,Pat Freiermuth,PIT,TE,4,25,23,23,22
24,Cade Otton,TB,TE,4,24,24,24,26
25,Kenyon Sadiq,NYJ,TE,4,22,25,29,24
26,Terrance Ferguson,LAR,TE,4,27,27,26,23
27,Michael Mayer,LV,TE,4,26,26,25,28
28,Gunnar Helm,TEN,TE,4,28,28,27,32
29,Greg Dulcich,MIA,TE,4,29,30,31,29
30,Oronde Gadsden,LAC,TE,4,30,31,30,31
31,Evan Engram,DEN,TE,4,36,29,28,35
32,Darren Waller,CAR,TE,4,31,33,37,33
33,David Njoku,LAC,TE,4,34,32,34,36
34,Colby Parkinson,LAR,TE,4,38,34,32,30
35,Mike Gesicki,CIN,TE,4,33,35,36,34
36,Charlie Kolar,LAC,TE,4,40,37,33,27
37,Elijah Arroyo,SEA,TE,4,35,38,40,37
38,Mason Taylor,NYJ,TE,4,37,36,39,41
39,Darnell Washington,PIT,TE,4,45,39,35,38
40,Eli Raridon,NE,TE,4,39,41,44,40
41,Eli Stowers,PHI,TE,4,32,40,45,59
42,Theo Johnson,NYG,TE,4,42,42,46,42
43,Erick All,CIN,TE,4,44,43,43,44
44,Cole Kmet,CHI,TE,4,49,46,41,39
45,Oscar Delp,NO,TE,4,43,44,47,46
46,Matt Hibner,BAL,TE,4,41,47,52,43
47,Dawson Knox,BUF,TE,4,47,45,42,47
48,Jake Tonges,SF,TE,4,46,49,48,48
49,Jonnu Smith,GB,TE,4,51,51,51,45
50,Tyler Higbee,LAR,TE,4,57,48,38,55
51,Noah Gray,KC,TE,4,52,50,50,50
52,Ben Sinnott,WAS,TE,4,48,52,56,52
53,Ja'Tavion Sanders,CAR,TE,4,50,53,53,56
54,Noah Fant,NO,TE,4,56,54,55,49
55,Marlin Klein,HOU,TE,4,53,56,59,53
56,Max Klare,LAR,TE,4,55,55,49,63
57,Daniel Bellinger,TEN,TE,4,62,57,61,51
58,Elijah Higgins,ARI,TE,4,60,58,57,58
59,Austin Hooper,ATL,TE,4,66,60,60,54
60,Tommy Tremble,CAR,TE,4,67,59,54,65
61,Mitchell Evans,CAR,TE,4,64,61,58,67
62,Josh Oliver,MIN,TE,4,61,63,69,69
63,Tanner Koziol,JAC,TE,3,59,64,68,-77
64,Luke Schoonmaker,DAL,TE,4,71,66,67,57
65,Will Kacmarek,MIA,TE,3,65,65,65,-78
66,Zach Ertz,FA,TE,2,54,-73,73,-75
67,John Bates,WAS,TE,3,-81,62,62,62
68,Jackson Hawes,BUF,TE,4,70,70,63,71
69,Adam Trautman,DEN,TE,4,73,67,66,72
70,Justin Joly,MIA,TE,4,63,72,86,66
71,Cade Stover,HOU,TE,3,72,-77,72,61
72,Brock Wright,DET,TE,4,78,71,70,73
73,Mo Alie-Cox,IND,TE,2,69,-76,78,-80
74,Nate Boerkircher,JAC,TE,2,-84,-84,64,60
75,Luke Musgrave,GB,TE,2,-82,68,71,-87
76,Sam Roush,CHI,TE,2,74,-78,75,-81
77,Foster Moreau,HOU,TE,2,-83,69,74,-88
78,Taysom Hill,FA,TE,1,58,-74,-118,-76
79,Ian Thomas,LV,TE,2,68,-75,99,-79
80,Riley Nowakowski,PIT,TE,2,75,-79,96,-82
81,Jared Wiley,KC,TE,2,79,-82,88,-85
82,Drew Sample,CIN,TE,1,-85,-85,76,-89
83,Tyler Conklin,DET,TE,2,-91,-91,83,64
84,Hunter Long,ARI,TE,2,77,-81,101,-84
85,Davis Allen,LAR,TE,2,-89,-89,81,74
86,Josh Whyle,GB,TE,2,80,-83,92,-86
87,Durham Smythe,BAL,TE,1,-86,-86,77,-90
88,Luke Farrell,SF,TE,2,-92,-92,84,70
89,Jack Endries,CIN,TE,1,-87,-87,79,-91
90,Tanner Hudson,CIN,TE,2,-93,-93,85,68
91,Joe Royer,CLE,TE,1,76,-80,-119,-83
92,Seydou Traore,MIA,TE,1,-88,-88,80,-92
93,Jeremy Ruckert,NYJ,TE,1,-90,-90,82,-93
94,Grant Calcaterra,PHI,TE,1,-94,-94,87,-94
95,Brevyn Spann-Ford,DAL,TE,1,-95,-95,89,-95
96,Payne Durham,TB,TE,1,-96,-96,90,-96
97,Charlie Woerner,ATL,TE,1,-97,-97,91,-97
98,Drew Ogletree,IND,TE,1,-98,-98,93,-98
99,Bauer Sharp,TB,TE,1,-99,-99,94,-99
100,Jelani Woods,NYJ,TE,1,-100,-100,95,-100
101,Blake Whiteheart,CLE,TE,1,-101,-101,97,-101
102,Nate Adkins,DEN,TE,1,-102,-102,98,-102
103,Josh Cuevas,BAL,TE,1,-103,-103,100,-103
104,Dallen Bentley,DEN,TE,1,-104,-104,102,-104
105,Johnny Mundt,PHI,TE,1,-105,-105,103,-105
106,Kylen Granson,TEN,TE,1,-106,-106,104,-106
107,Thomas Fidone,NYG,TE,1,-107,-107,105,-107
108,Ben Yurosek,MIN,TE,1,-108,-108,106,-108
109,Carsen Ryan,CLE,TE,1,-109,-109,107,-109
110,Eric Saubert,SEA,TE,1,-110,-110,108,-110
111,Chris Manhertz,NYG,TE,1,-111,-111,109,-111
112,Colson Yankoff,WAS,TE,1,-112,-112,110,-112
113,Robert Tonyan,PIT,TE,1,-113,-113,111,-113
114,Brady Russell,SEA,TE,1,-114,-114,112,-114
115,Brevin Jordan,HOU,TE,1,-115,-115,113,-115
116,Keleki Latu,BUF,TE,1,-116,-116,114,-116
117,Ko Kieft,TB,TE,1,-117,-117,115,-117
118,Tanner Arkin,NE,TE,1,-118,-118,116,-118
119,Connor Heyward,LV,TE,1,-119,-119,117,-119
