Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Colston Loveland,CHI,TE,4,1,1,1,3
2,Trey McBride,ARI,TE,4,2,2,2,2
3,Brock Bowers,LV,TE,4,3,3,4,1
4,Tucker Kraft,GB,TE,4,4,4,5,4
5,Tyler Warren,IND,TE,4,5,5,3,5
6,Sam LaPorta,DET,TE,4,8,7,6,6
7,Kyle Pitts,ATL,TE,4,6,6,7,10
8,Harold Fannin,CLE,TE,4,7,8,9,8
9,George Kittle,SF,TE,4,9,9,8,7
10,Dalton Kincaid,BUF,TE,4,13,10,10,9
11,Travis Kelce,KC,TE,4,11,11,11,11
12,Mark Andrews,BAL,TE,4,10,13,13,13
13,Dallas Goedert,PHI,TE,4,14,12,12,12
14,Isaiah Likely,NYG,TE,4,15,14,14,14
15,Jake Ferguson,DAL,TE,4,12,15,18,16
16,Hunter Henry,NE,TE,4,16,16,16,15
17,Juwan Johnson,NO,TE,4,17,19,15,17
18,Brenton Strange,JAC,TE,4,20,17,17,20
19,Dalton Schultz,HOU,TE,4,18,18,22,18
20,Chig Okonkwo,WAS,TE,4,19,23,19,22
21,Terrance Ferguson,LAR,TE,4,23,21,20,19
22,T.J. Hockenson,MIN,TE,4,22,22,24,21
23,AJ Barner,SEA,TE,4,24,20,21,24
24,Pat Freiermuth,PIT,TE,4,25,24,23,23
25,Kenyon Sadiq,NYJ,TE,4,21,25,28,25
26,Cade Otton,TB,TE,4,26,26,25,26
27,Michael Mayer,LV,TE,4,27,27,26,31
28,Oronde Gadsden,LAC,TE,4,28,28,29,29
29,Greg Dulcich,MIA,TE,4,30,29,30,30
30,Gunnar Helm,TEN,TE,4,31,30,27,33
31,Darren Waller,CAR,TE,4,29,32,36,32
32,Colby Parkinson,LAR,TE,4,36,34,32,28
33,David Njoku,LAC,TE,4,34,33,34,35
34,Evan Engram,DEN,TE,4,37,31,31,37
35,Mike Gesicki,CIN,TE,4,32,35,37,34
36,Charlie Kolar,LAC,TE,4,39,36,33,27
37,Elijah Arroyo,SEA,TE,4,35,37,39,36
38,Mason Taylor,NYJ,TE,4,38,38,41,41
39,Darnell Washington,PIT,TE,4,45,39,35,38
40,Eli Raridon,NE,TE,4,40,41,44,40
41,Theo Johnson,NYG,TE,4,42,42,43,42
42,Eli Stowers,PHI,TE,4,33,40,46,59
43,Dawson Knox,BUF,TE,4,43,43,42,44
44,Cole Kmet,CHI,TE,4,49,44,40,39
45,Oscar Delp,NO,TE,4,44,45,47,46
46,Matt Hibner,BAL,TE,4,41,47,52,43
47,Erick All,CIN,TE,4,47,46,45,47
48,Jake Tonges,SF,TE,4,46,49,48,48
49,Tyler Higbee,LAR,TE,4,56,48,38,53
50,Jonnu Smith,GB,TE,4,50,51,51,45
51,Noah Gray,KC,TE,4,51,50,50,50
52,Ben Sinnott,WAS,TE,4,48,52,56,51
53,Max Klare,LAR,TE,4,54,53,49,60
54,Ja'Tavion Sanders,CAR,TE,4,52,54,54,57
55,Noah Fant,NO,TE,4,60,55,55,52
56,Daniel Bellinger,TEN,TE,4,59,56,59,49
57,Marlin Klein,HOU,TE,4,55,57,65,54
58,Mitchell Evans,CAR,TE,4,61,58,57,64
59,Josh Oliver,MIN,TE,4,57,59,62,65
60,Jackson Hawes,BUF,TE,4,63,62,58,62
61,Austin Hooper,ATL,TE,4,66,63,60,55
62,Tommy Tremble,CAR,TE,4,69,60,53,69
63,Tanner Koziol,JAC,TE,3,58,61,66,-76
64,Elijah Higgins,ARI,TE,4,68,65,63,67
65,Zach Ertz,FA,TE,2,53,-73,72,-75
66,Luke Schoonmaker,DAL,TE,4,74,69,70,56
67,Adam Trautman,DEN,TE,4,70,67,67,73
68,Justin Joly,MIA,TE,4,62,70,86,68
69,John Bates,WAS,TE,3,-82,66,64,66
70,Will Kacmarek,MIA,TE,3,67,68,71,-79
71,Cade Stover,HOU,TE,3,72,-77,73,61
72,Brock Wright,DET,TE,4,76,71,68,72
73,Mo Alie-Cox,IND,TE,2,65,-75,75,-78
74,Nate Boerkircher,JAC,TE,2,-84,-84,61,58
75,Foster Moreau,HOU,TE,2,-81,64,69,-87
76,Sam Roush,CHI,TE,2,71,-76,77,-80
77,Luke Musgrave,GB,TE,2,-83,72,74,-88
78,Taysom Hill,FA,TE,1,64,-74,-118,-77
79,Tyler Conklin,DET,TE,2,-88,-88,80,63
80,Jared Wiley,KC,TE,2,77,-80,89,-83
81,Ian Thomas,LV,TE,2,73,-78,104,-81
82,Josh Whyle,GB,TE,2,79,-82,91,-85
83,Tanner Hudson,CIN,TE,2,-89,-89,81,71
84,Durham Smythe,BAL,TE,1,-85,-85,76,-89
85,Davis Allen,LAR,TE,2,-90,-90,82,70
86,Hunter Long,ARI,TE,2,78,-81,103,-84
87,Jack Endries,CIN,TE,1,-86,-86,78,-90
88,Drew Sample,CIN,TE,1,-87,-87,79,-91
89,Joe Royer,CLE,TE,1,75,-79,-119,-82
90,Luke Farrell,SF,TE,2,-92,-92,84,74
91,Riley Nowakowski,PIT,TE,2,80,-83,116,-86
92,Seydou Traore,MIA,TE,1,-91,-91,83,-92
93,Jeremy Ruckert,NYJ,TE,1,-93,-93,85,-93
94,Payne Durham,TB,TE,1,-94,-94,87,-94
95,Brevyn Spann-Ford,DAL,TE,1,-95,-95,88,-95
96,Grant Calcaterra,PHI,TE,1,-96,-96,90,-96
97,Drew Ogletree,IND,TE,1,-97,-97,92,-97
98,Bauer Sharp,TB,TE,1,-98,-98,93,-98
99,Charlie Woerner,ATL,TE,1,-99,-99,94,-99
100,Jelani Woods,NYJ,TE,1,-100,-100,95,-100
101,Josh Cuevas,BAL,TE,1,-101,-101,96,-101
102,Nate Adkins,DEN,TE,1,-102,-102,97,-102
103,Thomas Fidone,NYG,TE,1,-103,-103,98,-103
104,Johnny Mundt,PHI,TE,1,-104,-104,99,-104
105,Carsen Ryan,CLE,TE,1,-105,-105,100,-105
106,Kylen Granson,TEN,TE,1,-106,-106,101,-106
107,Dallen Bentley,DEN,TE,1,-107,-107,102,-107
108,Eric Saubert,SEA,TE,1,-108,-108,105,-108
109,Blake Whiteheart,CLE,TE,1,-109,-109,106,-109
110,Ben Yurosek,MIN,TE,1,-110,-110,107,-110
111,Chris Manhertz,NYG,TE,1,-111,-111,108,-111
112,Connor Heyward,LV,TE,1,-112,-112,109,-112
113,Ko Kieft,TB,TE,1,-113,-113,110,-113
114,Robert Tonyan,PIT,TE,1,-114,-114,111,-114
115,Brevin Jordan,HOU,TE,1,-115,-115,112,-115
116,Keleki Latu,BUF,TE,1,-116,-116,113,-116
117,Tanner Arkin,NE,TE,1,-117,-117,114,-117
118,Colson Yankoff,WAS,TE,1,-118,-118,115,-118
119,Brady Russell,SEA,TE,1,-119,-119,117,-119
