Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Ja'Marr Chase,CIN,WR,4,1,1,1,1
2,Puka Nacua,LAR,WR,4,2,2,2,2
3,Amon-Ra St. Brown,DET,WR,4,4,3,3,3
4,Jaxon Smith-Njigba,SEA,WR,4,3,4,4,4
5,CeeDee Lamb,DAL,WR,4,5,6,6,5
6,Justin Jefferson,MIN,WR,4,6,5,5,6
7,A.J. Brown,NE,WR,4,7,7,7,7
8,Nico Collins,HOU,WR,4,8,8,9,9
9,Drake London,ATL,WR,4,10,9,8,8
10,Chris Olave,NO,WR,4,9,10,10,11
11,DeVonta Smith,PHI,WR,4,11,11,12,12
12,George Pickens,DAL,WR,4,12,13,11,10
13,Malik Nabers,NYG,WR,4,13,12,14,13
14,Zay Flowers,BAL,WR,4,14,14,13,14
15,Rashee Rice,KC,WR,4,15,15,15,16
16,Tee Higgins,CIN,WR,4,17,16,16,15
17,Garrett Wilson,NYJ,WR,4,16,17,20,17
18,Emeka Egbuka,TB,WR,4,18,18,19,23
19,Ladd McConkey,LAC,WR,4,22,20,18,19
20,Jaylen Waddle,DEN,WR,4,23,19,17,20
21,Davante Adams,LAR,WR,4,21,21,21,18
22,Tetairoa McMillan,CAR,WR,4,20,22,22,24
23,Luther Burden,CHI,WR,4,19,24,25,21
24,Jameson Williams,DET,WR,4,24,23,23,22
25,Terry McLaurin,WAS,WR,4,25,25,26,25
26,DJ Moore,BUF,WR,4,26,26,29,26
27,Rome Odunze,CHI,WR,4,27,28,28,27
28,Christian Watson,GB,WR,4,30,27,24,29
29,Parker Washington,JAC,WR,4,31,30,30,28
30,Marvin Harrison,ARI,WR,4,29,31,31,30
31,DK Metcalf,PIT,WR,4,28,29,33,33
32,Mike Evans,SF,WR,4,37,32,27,31
33,Carnell Tate,TEN,WR,4,35,33,32,39
34,Stefon Diggs,WAS,WR,4,33,36,39,36
35,Michael Pittman,PIT,WR,4,34,35,38,41
36,Brian Thomas,JAC,WR,4,32,39,43,35
37,Quentin Johnston,LAC,WR,4,41,34,34,38
38,Courtland Sutton,DEN,WR,4,36,37,36,40
39,Jayden Reed,GB,WR,4,39,44,35,34
40,Chris Godwin,TB,WR,4,40,43,37,32
41,Alec Pierce,IND,WR,4,38,38,40,42
42,Josh Downs,IND,WR,4,42,41,42,37
43,De'Zhaun Stribling,SF,WR,4,44,40,47,45
44,Michael Wilson,ARI,WR,4,47,42,44,46
45,Romeo Doubs,NE,WR,4,43,45,48,49
46,Wan'Dale Robinson,TEN,WR,4,46,46,46,48
47,Jordan Addison,MIN,WR,4,53,48,41,43
48,Jakobi Meyers,JAC,WR,4,49,47,45,52
49,Matthew Golden,GB,WR,4,48,50,51,44
50,Xavier Worthy,KC,WR,4,50,51,52,47
51,Makai Lemon,PHI,WR,4,52,49,54,54
52,Deebo Samuel,SF,WR,4,45,56,56,53
53,Khalil Shakir,BUF,WR,4,51,53,55,50
54,KC Concepcion,CLE,WR,4,54,52,49,56
55,Jalen Coker,CAR,WR,4,55,55,53,51
56,Tre Tucker,LV,WR,4,57,54,50,59
57,Rashid Shaheed,SEA,WR,4,63,58,57,55
58,Kayshon Boutte,HOU,WR,4,60,57,59,62
59,Jalen McMillan,TB,WR,4,58,59,63,64
60,Jordyn Tyson,NO,WR,4,56,64,66,57
61,Denzel Boston,CLE,WR,4,67,61,58,58
62,Adonai Mitchell,NYJ,WR,4,62,60,61,68
63,Jalen Nailor,LV,WR,4,59,62,67,65
64,Keenan Allen,IND,WR,4,61,65,69,61
65,Dontayvion Wicks,PHI,WR,4,68,63,60,69
66,Tre' Harris,LAC,WR,4,70,66,64,63
67,Caleb Douglas,MIA,WR,4,65,67,70,67
68,Ryan Flournoy,DAL,WR,4,78,69,62,60
69,Jerry Jeudy,CLE,WR,4,72,68,65,71
70,Ja'Kobi Lane,BAL,WR,4,71,72,74,74
71,Jauan Jennings,MIN,WR,4,74,71,68,78
72,Pat Bryant,DEN,WR,4,77,74,71,70
73,Ted Hurst,TB,WR,4,64,78,91,66
74,Omar Cooper,NYJ,WR,4,73,73,72,82
75,Calvin Ridley,TEN,WR,4,75,75,73,75
76,Malachi Fields,NYG,WR,4,82,70,79,79
77,Chris Bell,MIA,WR,4,81,76,75,77
78,Malik Washington,MIA,WR,4,76,77,77,85
79,Isaac TeSlaa,DET,WR,4,80,81,81,73
80,Cyrus Allen,KC,WR,4,69,80,93,80
81,Jaylin Noel,HOU,WR,4,83,79,80,83
82,Travis Hunter,JAC,WR,4,66,89,87,88
83,Rashod Bateman,BAL,WR,4,85,85,85,72
84,Antonio Williams,WAS,WR,4,79,84,90,84
85,Cooper Kupp,SEA,WR,4,87,83,76,89
86,Darnell Mooney,NYG,WR,4,86,82,78,92
87,Zachariah Branch,ATL,WR,4,84,86,86,86
88,Devaughn Vele,NO,WR,4,90,87,82,81
89,Germie Bernard,PIT,WR,4,91,90,88,76
90,Xavier Legette,CAR,WR,4,88,88,84,97
91,Keon Coleman,BUF,WR,4,92,91,92,91
92,Jahan Dotson,ATL,WR,4,96,95,96,90
93,Andrei Iosivas,CIN,WR,4,101,93,89,94
94,Jack Bech,LV,WR,4,89,92,99,104
95,Tyquan Thornton,KC,WR,4,109,94,83,87
96,Kyle Williams,NE,WR,4,97,98,102,99
97,Tory Horton,SEA,WR,4,98,97,101,101
98,Zavion Thomas,CHI,WR,4,93,100,111,98
99,Troy Franklin,DEN,WR,4,99,96,98,108
100,Tank Dell,HOU,WR,4,94,102,113,95
101,Skyler Bell,BUF,WR,4,100,99,103,107
102,DeMario Douglas,NE,WR,4,115,104,95,93
103,KaVontae Turpin,DAL,WR,4,102,101,104,109
104,Kendrick Bourne,ARI,WR,4,106,106,107,103
105,Malik Benson,LV,WR,4,95,109,127,102
106,Marvin Mims,DEN,WR,4,116,103,94,113
107,Bryce Lance,NO,WR,4,114,105,100,114
108,Xavier Hutchinson,HOU,WR,4,123,108,97,106
109,Jalen Tolbert,MIA,WR,4,104,111,119,110
110,Roman Wilson,PIT,WR,4,111,107,109,117
111,Hollywood Brown,PHI,WR,4,108,112,116,116
112,Mack Hollins,NE,WR,4,127,114,105,100
113,Elijah Sarratt,BAL,WR,4,107,110,115,128
114,Odell Beckham,NYG,WR,4,103,116,130,111
115,Elic Ayomanor,TEN,WR,4,113,113,112,122
116,Chimere Dike,TEN,WR,4,118,115,114,112
117,Brenen Thompson,LAC,WR,4,110,117,125,125
118,Kalif Raymond,CHI,WR,4,133,120,108,105
119,Isaiah Bond,CLE,WR,4,120,118,117,126
120,Joshua Palmer,BUF,WR,4,130,125,124,96
121,Colbie Young,CIN,WR,4,112,122,134,120
122,Olamide Zaccheaus,ATL,WR,4,129,119,106,130
123,Treylon Burks,WAS,WR,4,124,124,126,115
124,Jalen Royals,KC,WR,4,122,121,121,129
125,CJ Daniels,LAR,WR,4,117,126,137,127
126,Darius Slayton,FA,WR,3,105,-156,118,121
127,Christian Kirk,SF,WR,4,128,123,122,136
128,Deion Burks,IND,WR,4,119,129,144,124
129,Jahdae Walker,CHI,WR,4,121,131,146,118
130,Luke McCaffrey,WAS,WR,4,135,127,123,133
131,Tez Johnson,TB,WR,4,142,128,120,132
132,Tutu Atwell,LAR,WR,4,131,130,132,134
133,Isaiah Williams,NYJ,WR,3,125,-157,110,131
134,Kevin Coleman,MIA,WR,4,139,132,129,142
135,Demarcus Robinson,SF,WR,3,-152,134,135,123
136,Devontez Walker,BAL,WR,4,134,136,143,140
137,Savion Williams,GB,WR,4,143,135,131,143
138,John Metchie,CAR,WR,4,138,137,140,139
139,Dyami Brown,WAS,WR,4,136,138,141,145
140,Konata Mumpfield,LAR,WR,3,132,-158,128,137
141,Jaylin Lane,WAS,WR,4,147,140,133,138
142,Kaden Wetjen,PIT,WR,3,126,139,151,-157
143,Jordan Whittington,LAR,WR,4,148,143,136,135
144,Dont'e Thornton,LV,WR,3,-151,133,138,150
145,Barion Brown,NO,WR,3,-153,141,139,141
146,Ashton Dulin,IND,WR,3,-154,142,142,148
147,Jimmy Horn,CAR,WR,3,141,145,149,-160
148,Tai Felton,MIN,WR,3,-155,144,145,151
149,KeAndre Lambert-Smith,LAC,WR,4,149,148,148,152
150,Cedric Tillman,NO,WR,3,146,146,-192,119
151,Dohnte Meyers,CIN,WR,3,144,149,157,-161
152,Jalen Brooks,ARI,WR,3,137,151,170,-158
153,Reggie Virgil,ARI,WR,2,-156,147,147,-163
154,Tay Martin,DET,WR,3,145,-160,166,154
155,Efton Chism,NE,WR,2,-157,150,153,-164
156,Jacob Cowing,SF,WR,2,-162,-162,150,146
157,Xavier Smith,LAR,WR,2,-158,152,154,-165
158,Darius Cooper,PHI,WR,2,-165,-165,156,144
159,Brandon Aiyuk,SF,WR,1,140,-159,-191,-159
160,Lil'Jordan Humphrey,DEN,WR,2,-159,153,168,-166
161,Devin Duvernay,ARI,WR,2,-160,154,169,-167
162,Tim Patrick,NYJ,WR,1,-163,-163,152,-169
163,Josh Cameron,JAC,WR,1,-164,-164,155,-170
164,JuJu Smith-Schuster,FA,WR,1,150,-161,-193,-162
165,LaJohntay Wester,BAL,WR,2,-161,155,180,-168
166,Elijah Moore,PHI,WR,1,-166,-166,158,-171
167,Derius Davis,LAC,WR,1,-167,-167,159,-172
168,Jared Wayne,HOU,WR,1,-168,-168,160,-173
169,Arian Smith,NYJ,WR,1,-169,-169,161,-174
170,Laquon Treadwell,IND,WR,2,-174,-174,167,155
171,Skyy Moore,GB,WR,1,-170,-170,162,-175
172,Malachi Corley,CLE,WR,1,-171,-171,163,-176
173,Jonathan Mingo,DAL,WR,1,-172,-172,164,-177
174,Jordan Watkins,SF,WR,1,-173,-173,165,-178
175,Kameron Johnson,TB,WR,1,-175,-175,171,-179
176,Bo Melton,GB,WR,1,-176,-176,172,-180
177,Camden Brown,DAL,WR,1,-177,-177,173,-181
178,Ben Skowronek,PIT,WR,1,-178,-178,174,-182
179,Myles Price,MIN,WR,1,-179,-179,175,-183
180,J. Michael Sturdivant,GB,WR,1,-180,-180,176,-184
181,CJ Williams,JAC,WR,1,-181,-181,177,-185
182,Tyrell Shavers,BUF,WR,1,-182,-182,178,-186
183,Brycen Tremayne,CAR,WR,1,-183,-183,179,-187
184,Nikko Remigio,KC,WR,1,-184,-184,181,-188
185,Tom Kennedy,DET,WR,1,-194,-194,-194,147
186,Dareke Young,LV,WR,1,-185,-185,182,-189
187,Tyreek Hill,FA,WR,1,-195,-195,-195,149
188,Montorie Foster,SEA,WR,1,-186,-186,183,-190
189,Chris Blair,ATL,WR,1,-187,-187,184,-191
190,Nick Westbrook-Ikhine,IND,WR,1,-196,-196,-196,153
191,Ke'Shawn Williams,CIN,WR,1,-188,-188,185,-192
192,Dominic Lovett,DET,WR,1,-197,-197,-197,156
193,Tylan Wallace,CLE,WR,1,-189,-189,186,-193
194,David Sills,TB,WR,1,-190,-190,187,-194
195,Simi Fehoko,ARI,WR,1,-191,-191,188,-195
196,Ryan Miller,MIA,WR,1,-192,-192,189,-196
197,Braxton Berrios,NYG,WR,1,-193,-193,190,-197
