Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Ja'Marr Chase,CIN,WR,4,1,1,1,1
2,Puka Nacua,LAR,WR,4,2,2,2,2
3,Amon-Ra St. Brown,DET,WR,4,3,3,3,3
4,Jaxon Smith-Njigba,SEA,WR,4,4,4,4,4
5,Justin Jefferson,MIN,WR,4,6,5,5,6
6,CeeDee Lamb,DAL,WR,4,5,6,7,5
7,A.J. Brown,NE,WR,4,8,7,8,8
8,Drake London,ATL,WR,4,10,9,6,7
9,Nico Collins,HOU,WR,4,9,8,9,9
10,Chris Olave,NO,WR,4,7,10,10,10
11,DeVonta Smith,PHI,WR,4,11,11,11,11
12,Malik Nabers,NYG,WR,4,12,12,14,13
13,George Pickens,DAL,WR,4,13,13,12,12
14,Zay Flowers,BAL,WR,4,15,14,13,14
15,Garrett Wilson,NYJ,WR,4,14,15,16,15
16,Rashee Rice,KC,WR,4,16,16,15,16
17,Tee Higgins,CIN,WR,4,18,19,19,17
18,Ladd McConkey,LAC,WR,4,21,18,18,18
19,Jaylen Waddle,DEN,WR,4,22,17,17,19
20,Emeka Egbuka,TB,WR,4,19,20,20,22
21,Luther Burden,CHI,WR,4,17,23,24,21
22,Tetairoa McMillan,CAR,WR,4,20,21,21,24
23,Davante Adams,LAR,WR,4,23,22,22,20
24,Jameson Williams,DET,WR,4,26,24,23,23
25,Terry McLaurin,WAS,WR,4,24,25,25,25
26,DJ Moore,BUF,WR,4,25,26,29,26
27,Parker Washington,JAC,WR,4,29,27,30,28
28,Marvin Harrison,ARI,WR,4,28,28,31,29
29,DK Metcalf,PIT,WR,4,27,29,33,33
30,Rome Odunze,CHI,WR,4,30,30,32,30
31,Christian Watson,GB,WR,4,34,31,26,32
32,Mike Evans,SF,WR,4,39,32,28,31
33,Carnell Tate,TEN,WR,4,35,33,27,39
34,Michael Pittman,PIT,WR,4,33,34,34,37
35,Stefon Diggs,WAS,WR,4,31,35,39,36
36,Josh Downs,IND,WR,4,36,37,38,34
37,Chris Godwin,TB,WR,4,38,41,36,27
38,Quentin Johnston,LAC,WR,4,42,36,35,40
39,Courtland Sutton,DEN,WR,4,37,38,40,41
40,Brian Thomas,JAC,WR,4,32,43,44,38
41,Jayden Reed,GB,WR,4,40,45,37,35
42,Alec Pierce,IND,WR,4,41,42,43,43
43,Wan'Dale Robinson,TEN,WR,4,44,44,42,44
44,Michael Wilson,ARI,WR,4,46,39,45,46
45,De'Zhaun Stribling,SF,WR,4,45,40,48,47
46,Romeo Doubs,NE,WR,4,43,47,49,50
47,Jakobi Meyers,JAC,WR,4,48,46,46,52
48,Jordan Addison,MIN,WR,4,55,49,41,42
49,Matthew Golden,GB,WR,4,50,51,51,45
50,Khalil Shakir,BUF,WR,4,49,50,52,49
51,KC Concepcion,CLE,WR,4,51,52,47,55
52,Makai Lemon,PHI,WR,4,53,48,54,53
53,Xavier Worthy,KC,WR,4,52,53,55,48
54,Deebo Samuel,SF,WR,4,47,56,56,54
55,Jalen Coker,CAR,WR,4,54,54,53,51
56,Tre Tucker,LV,WR,4,57,55,50,59
57,Kayshon Boutte,HOU,WR,4,61,57,59,63
58,Rashid Shaheed,SEA,WR,4,65,60,58,56
59,Jalen McMillan,TB,WR,4,58,58,64,64
60,Denzel Boston,CLE,WR,4,66,59,57,58
61,Jordyn Tyson,NO,WR,4,56,65,66,57
62,Keenan Allen,IND,WR,4,60,64,68,60
63,Adonai Mitchell,NYJ,WR,4,62,61,62,68
64,Jalen Nailor,LV,WR,4,59,63,67,65
65,Dontayvion Wicks,PHI,WR,4,68,62,60,69
66,Tre' Harris,LAC,WR,4,70,66,63,62
67,Caleb Douglas,MIA,WR,4,64,67,70,67
68,Ryan Flournoy,DAL,WR,4,77,69,61,61
69,Jerry Jeudy,CLE,WR,4,72,68,65,71
70,Pat Bryant,DEN,WR,4,74,74,71,70
71,Jauan Jennings,MIN,WR,4,75,71,69,75
72,Ted Hurst,TB,WR,4,63,78,91,66
73,Malik Washington,MIA,WR,4,71,72,73,84
74,Omar Cooper,NYJ,WR,4,73,73,72,82
75,Malachi Fields,NYG,WR,4,82,70,76,74
76,Chris Bell,MIA,WR,4,80,75,74,73
77,Ja'Kobi Lane,BAL,WR,4,76,77,80,78
78,Calvin Ridley,TEN,WR,4,78,79,78,77
79,Cyrus Allen,KC,WR,4,69,80,92,80
80,Jaylin Noel,HOU,WR,4,83,76,77,83
81,Isaac TeSlaa,DET,WR,4,81,83,83,76
82,Travis Hunter,JAC,WR,4,67,91,88,90
83,Darnell Mooney,NYG,WR,4,85,81,79,91
84,Antonio Williams,WAS,WR,4,79,84,90,85
85,Cooper Kupp,SEA,WR,4,89,82,75,88
86,Zachariah Branch,ATL,WR,4,84,85,84,86
87,Devaughn Vele,NO,WR,4,90,87,81,81
88,Rashod Bateman,BAL,WR,4,88,88,86,79
89,Germie Bernard,PIT,WR,4,91,90,87,72
90,Xavier Legette,CAR,WR,4,86,86,82,96
91,Keon Coleman,BUF,WR,4,94,92,94,92
92,Jack Bech,LV,WR,4,87,89,99,104
93,Jahan Dotson,ATL,WR,4,96,95,96,87
94,Andrei Iosivas,CIN,WR,4,102,93,93,94
95,Tyquan Thornton,KC,WR,4,111,94,85,93
96,Troy Franklin,DEN,WR,4,98,96,98,107
97,Kyle Williams,NE,WR,4,97,98,103,101
98,Zavion Thomas,CHI,WR,4,92,100,111,98
99,Tory Horton,SEA,WR,4,99,97,101,103
100,Tank Dell,HOU,WR,4,93,102,113,95
101,Skyler Bell,BUF,WR,4,100,99,102,108
102,DeMario Douglas,NE,WR,4,115,104,95,89
103,Kendrick Bourne,ARI,WR,4,105,105,105,102
104,KaVontae Turpin,DAL,WR,4,104,103,107,111
105,Marvin Mims,DEN,WR,4,116,101,89,114
106,Malik Benson,LV,WR,4,95,109,127,100
107,Bryce Lance,NO,WR,4,113,106,100,113
108,Xavier Hutchinson,HOU,WR,4,121,108,97,106
109,Jalen Tolbert,MIA,WR,4,103,110,118,110
110,Roman Wilson,PIT,WR,4,109,107,110,116
111,Odell Beckham,NYG,WR,4,101,113,130,109
112,Hollywood Brown,PHI,WR,4,108,112,116,117
113,Mack Hollins,NE,WR,4,127,114,106,99
114,Elijah Sarratt,BAL,WR,4,107,111,115,128
115,Chimere Dike,TEN,WR,4,119,115,114,112
116,Elic Ayomanor,TEN,WR,4,118,116,112,123
117,Kalif Raymond,CHI,WR,4,132,119,108,105
118,Brenen Thompson,LAC,WR,4,112,120,125,125
119,Isaiah Bond,CLE,WR,4,120,118,117,126
120,Colbie Young,CIN,WR,4,110,122,134,119
121,Olamide Zaccheaus,ATL,WR,4,129,117,104,129
122,Joshua Palmer,BUF,WR,4,130,125,124,97
123,Treylon Burks,WAS,WR,4,125,124,126,115
124,Jalen Royals,KC,WR,4,122,121,120,131
125,CJ Daniels,LAR,WR,4,117,126,136,127
126,Deion Burks,IND,WR,4,114,129,142,122
127,Christian Kirk,SF,WR,4,128,123,122,134
128,Darius Slayton,FA,WR,3,106,-156,119,121
129,Jahdae Walker,CHI,WR,4,123,132,146,120
130,Luke McCaffrey,WAS,WR,4,136,127,123,133
131,Tez Johnson,TB,WR,4,142,128,121,132
132,Isaiah Williams,NYJ,WR,3,124,-157,109,130
133,Tutu Atwell,LAR,WR,4,131,130,133,136
134,Kevin Coleman,MIA,WR,4,139,131,129,140
135,John Metchie,CAR,WR,4,137,136,137,137
136,Demarcus Robinson,SF,WR,3,-152,134,135,124
137,Savion Williams,GB,WR,4,143,135,131,144
138,Dyami Brown,WAS,WR,4,134,140,141,145
139,Devontez Walker,BAL,WR,4,138,138,143,142
140,Kaden Wetjen,PIT,WR,3,126,137,149,-157
141,Jaylin Lane,WAS,WR,4,148,139,132,138
142,Konata Mumpfield,LAR,WR,3,133,-158,128,139
143,Jordan Whittington,LAR,WR,4,150,143,138,135
144,Dont'e Thornton,LV,WR,3,-151,133,140,149
145,Barion Brown,NO,WR,3,-153,141,139,141
146,Tai Felton,MIN,WR,3,-154,142,144,148
147,Jimmy Horn,CAR,WR,3,141,145,153,-160
148,Ashton Dulin,IND,WR,3,-155,144,145,151
149,Cedric Tillman,NO,WR,3,145,146,-191,118
150,KeAndre Lambert-Smith,LAC,WR,4,149,148,148,154
151,Jalen Brooks,ARI,WR,3,135,149,170,-158
152,Dohnte Meyers,CIN,WR,3,144,151,159,-161
153,Reggie Virgil,ARI,WR,2,-156,147,147,-163
154,Efton Chism,NE,WR,2,-157,150,151,-164
155,Tay Martin,DET,WR,3,146,-160,168,153
156,Jacob Cowing,SF,WR,2,-162,-162,150,146
157,Xavier Smith,LAR,WR,2,-160,154,156,-167
158,Devin Duvernay,ARI,WR,2,-158,152,167,-165
159,Brandon Aiyuk,SF,WR,1,140,-159,-190,-159
160,Darius Cooper,PHI,WR,2,-166,-166,157,143
161,Lil'Jordan Humphrey,DEN,WR,2,-159,153,169,-166
162,Tim Patrick,NYJ,WR,1,-163,-163,152,-169
163,JuJu Smith-Schuster,FA,WR,1,147,-161,-192,-162
164,Jared Wayne,HOU,WR,1,-164,-164,154,-170
165,LaJohntay Wester,BAL,WR,2,-161,155,179,-168
166,Elijah Moore,PHI,WR,1,-165,-165,155,-171
167,Derius Davis,LAC,WR,1,-167,-167,158,-172
168,Laquon Treadwell,IND,WR,2,-172,-172,164,152
169,Arian Smith,NYJ,WR,1,-168,-168,160,-173
170,Josh Cameron,JAC,WR,1,-169,-169,161,-174
171,Jonathan Mingo,DAL,WR,1,-170,-170,162,-175
172,Jordan Watkins,SF,WR,1,-171,-171,163,-176
173,Malachi Corley,CLE,WR,1,-173,-173,165,-177
174,Skyy Moore,GB,WR,1,-174,-174,166,-178
175,Kameron Johnson,TB,WR,1,-175,-175,171,-179
176,Camden Brown,DAL,WR,1,-176,-176,172,-180
177,Ben Skowronek,PIT,WR,1,-177,-177,173,-181
178,Bo Melton,GB,WR,1,-178,-178,174,-182
179,Myles Price,MIN,WR,1,-179,-179,175,-183
180,J. Michael Sturdivant,GB,WR,1,-180,-180,176,-184
181,Brycen Tremayne,CAR,WR,1,-181,-181,177,-185
182,CJ Williams,JAC,WR,1,-182,-182,178,-186
183,Dareke Young,LV,WR,1,-183,-183,180,-187
184,Tom Kennedy,DET,WR,1,-193,-193,-193,147
185,Chris Blair,ATL,WR,1,-184,-184,181,-188
186,Tyrell Shavers,BUF,WR,1,-185,-185,182,-189
187,Tyreek Hill,FA,WR,1,-194,-194,-194,150
188,Tylan Wallace,CLE,WR,1,-186,-186,183,-190
189,Nick Westbrook-Ikhine,IND,WR,1,-195,-195,-195,155
190,Ryan Miller,MIA,WR,1,-187,-187,184,-191
191,Dominic Lovett,DET,WR,1,-196,-196,-196,156
192,Simi Fehoko,ARI,WR,1,-188,-188,185,-192
193,Ke'Shawn Williams,CIN,WR,1,-189,-189,186,-193
194,David Sills,TB,WR,1,-190,-190,187,-194
195,Montorie Foster,SEA,WR,1,-191,-191,188,-195
196,Braxton Berrios,NYG,WR,1,-192,-192,189,-196
