Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,QB1,Josh Allen,BUF,QB,7,1,1,1,0.00
2,QB2,Drake Maye,NE,QB,11,1,2,2,0.00
3,QB3,Joe Burrow,CIN,QB,6,1,3,3,0.00
4,QB4,Lamar Jackson,BAL,QB,13,1,4,4,0.00
5,QB5,Jalen Hurts,PHI,QB,10,2,5,5,0.00
6,QB6,Jayden Daniels,WAS,QB,7,2,6,6,0.00
7,QB7,Trevor Lawrence,JAC,QB,7,2,7,7,0.00
8,QB8,Caleb Williams,CHI,QB,10,2,8,8,0.00
9,QB9,Justin Herbert,LAC,QB,7,3,9,9,0.00
10,QB10,Brock Purdy,SF,QB,8,3,10,10,0.00
11,QB11,Bo Nix,DEN,QB,10,3,11,11,0.00
12,QB12,Jared Goff,DET,QB,6,3,12,12,0.00
13,QB13,Dak Prescott,DAL,QB,14,3,13,13,0.00
14,QB14,Patrick Mahomes II,KC,QB,5,3,14,14,0.00
15,QB15,Kyler Murray,MIN,QB,6,3,15,15,0.00
16,QB16,Matthew Stafford,LAR,QB,11,4,16,16,0.00
17,QB17,Jaxson Dart,NYG,QB,8,4,17,17,0.00
18,QB18,Jordan Love,GB,QB,11,4,18,18,0.00
19,QB19,Baker Mayfield,TB,QB,10,4,19,19,0.00
20,QB20,Malik Willis,MIA,QB,6,4,20,20,0.00
21,QB21,Tyler Shough,NO,QB,8,4,21,21,0.00
22,QB22,Sam Darnold,SEA,QB,11,4,22,22,0.00
23,QB23,Aaron Rodgers,PIT,QB,9,4,23,23,0.00
24,QB24,Daniel Jones,IND,QB,13,5,24,24,0.00
25,QB25,C.J. Stroud,HOU,QB,8,5,25,25,0.00
26,QB26,Cam Ward,TEN,QB,9,5,26,26,0.00
27,QB27,Bryce Young,CAR,QB,5,5,27,27,0.00
28,QB28,Geno Smith,NYJ,QB,13,5,28,28,0.00
29,QB29,Jacoby Brissett,ARI,QB,14,5,29,29,0.00
30,QB30,Fernando Mendoza,LV,QB,13,5,30,30,0.00
31,QB31,Michael Penix Jr.,ATL,QB,11,5,31,31,0.00
32,QB32,Tua Tagovailoa,ATL,QB,11,5,32,32,0.00
33,QB33,Shedeur Sanders,CLE,QB,11,5,33,33,0.00
34,QB34,Deshaun Watson,CLE,QB,11,5,34,34,0.00
35,QB35,Kirk Cousins,LV,QB,13,6,35,35,0.00
36,QB36,Carson Beck,ARI,QB,14,6,36,36,0.00
37,QB37,J.J. McCarthy,MIN,QB,6,6,37,37,0.00
38,QB38,Mac Jones,SF,QB,8,6,38,38,0.00
39,QB39,Justin Fields,KC,QB,5,6,39,39,0.00
40,QB40,Ty Simpson,LAR,QB,11,6,40,40,0.00
41,QB41,Anthony Richardson Sr.,IND,QB,13,6,41,41,0.00
42,QB42,Cade Klubnik,NYJ,QB,13,6,42,42,0.00
43,QB43,Jameis Winston,NYG,QB,8,6,43,43,0.00
44,QB44,Joe Flacco,CIN,QB,6,6,44,44,0.00
45,QB45,Marcus Mariota,WAS,QB,7,6,45,45,0.00
46,QB46,Tyrod Taylor,GB,QB,11,6,46,46,0.00
47,QB47,Davis Mills,HOU,QB,8,6,47,47,0.00
48,QB48,Taylen Green,CLE,QB,11,7,48,48,0.00
49,QB49,Tyson Bagent,CHI,QB,10,7,49,49,0.00
50,QB50,Carson Wentz,MIN,QB,6,7,50,50,0.00
51,QB51,Tyler Huntley,BAL,QB,13,7,51,51,0.00
52,QB52,Trey Lance,LAC,QB,7,7,52,52,0.00
53,QB53,Gardner Minshew II,ARI,QB,14,7,53,53,0.00
54,QB54,Spencer Rattler,NO,QB,8,7,54,54,0.00
55,QB55,Quinn Ewers,JAC,QB,7,7,55,55,0.00
56,QB56,Jarrett Stidham,DEN,QB,10,7,56,56,0.00
57,QB57,Jalen Milroe,SEA,QB,11,7,57,57,0.00
58,QB58,Jack Strand,ATL,QB,11,7,58,58,0.00
59,QB59,Sam Howell,DAL,QB,14,7,59,59,0.00
60,QB60,Joshua Dobbs,DET,QB,6,7,60,60,0.00
61,QB61,Kenny Pickett,CAR,QB,5,7,61,61,0.00
62,QB62,Andy Dalton,PHI,QB,10,7,62,62,0.00
