Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,TE1,Trey McBride,ARI,TE,14,1,1,1,0.00
2,TE2,Colston Loveland,CHI,TE,10,1,2,2,0.00
3,TE3,Tyler Warren,IND,TE,13,1,3,3,0.00
4,TE4,Brock Bowers,LV,TE,13,1,4,4,0.00
5,TE5,Kyle Pitts Sr.,ATL,TE,11,2,5,5,0.00
6,TE6,Harold Fannin Jr.,CLE,TE,11,2,6,6,0.00
7,TE7,Sam LaPorta,DET,TE,6,2,7,7,0.00
8,TE8,Travis Kelce,KC,TE,5,2,8,8,0.00
9,TE9,George Kittle,SF,TE,8,2,9,9,0.00
10,TE10,Tucker Kraft,GB,TE,11,3,10,10,0.00
11,TE11,Dalton Kincaid,BUF,TE,7,3,11,11,0.00
12,TE12,Dallas Goedert,PHI,TE,10,3,12,12,0.00
13,TE13,Mark Andrews,BAL,TE,13,3,13,13,0.00
14,TE14,Juwan Johnson,NO,TE,8,3,14,14,0.00
15,TE15,Isaiah Likely,NYG,TE,8,3,15,15,0.00
16,TE16,Jake Ferguson,DAL,TE,14,3,16,16,0.00
17,TE17,Brenton Strange,JAC,TE,7,4,17,17,0.00
18,TE18,Hunter Henry,NE,TE,11,4,18,18,0.00
19,TE19,Dalton Schultz,HOU,TE,8,4,19,19,0.00
20,TE20,Chig Okonkwo,WAS,TE,7,4,20,20,0.00
21,TE21,T.J. Hockenson,MIN,TE,6,4,21,21,0.00
22,TE22,AJ Barner,SEA,TE,11,4,22,22,0.00
23,TE23,Pat Freiermuth,PIT,TE,9,4,23,23,0.00
24,TE24,Cade Otton,TB,TE,10,4,24,24,0.00
25,TE25,Michael Mayer,LV,TE,13,4,25,25,0.00
26,TE26,Terrance Ferguson,LAR,TE,11,4,26,26,0.00
27,TE27,Gunnar Helm,TEN,TE,9,5,27,27,0.00
28,TE28,Evan Engram,DEN,TE,10,5,28,28,0.00
29,TE29,Kenyon Sadiq,NYJ,TE,13,5,29,29,0.00
30,TE30,Oronde Gadsden II,LAC,TE,7,5,30,30,0.00
31,TE31,Greg Dulcich,MIA,TE,6,5,31,31,0.00
32,TE32,Colby Parkinson,LAR,TE,11,5,32,32,0.00
33,TE33,Charlie Kolar,LAC,TE,7,5,33,33,0.00
34,TE34,David Njoku,LAC,TE,7,5,34,34,0.00
35,TE35,Darnell Washington,PIT,TE,9,5,35,35,0.00
36,TE36,Mike Gesicki,CIN,TE,6,5,36,36,0.00
37,TE37,Darren Waller,CAR,TE,5,5,37,37,0.00
38,TE38,Tyler Higbee,LAR,TE,11,5,38,38,0.00
39,TE39,Mason Taylor,NYJ,TE,13,6,39,39,0.00
40,TE40,Elijah Arroyo,SEA,TE,11,6,40,40,0.00
41,TE41,Cole Kmet,CHI,TE,10,6,41,41,0.00
42,TE42,Dawson Knox,BUF,TE,7,6,42,42,0.00
43,TE43,Erick All Jr.,CIN,TE,6,6,43,43,0.00
44,TE44,Eli Raridon,NE,TE,11,6,44,44,0.00
45,TE45,Eli Stowers,PHI,TE,10,6,45,45,0.00
46,TE46,Theo Johnson,NYG,TE,8,6,46,46,0.00
47,TE47,Oscar Delp,NO,TE,8,6,47,47,0.00
48,TE48,Jake Tonges,SF,TE,8,6,48,48,0.00
49,TE49,Max Klare,LAR,TE,11,6,49,49,0.00
50,TE50,Noah Gray,KC,TE,5,6,50,50,0.00
51,TE51,Jonnu Smith,GB,TE,11,6,51,51,0.00
52,TE52,Matt Hibner,BAL,TE,13,6,52,52,0.00
53,TE53,Ja'Tavion Sanders,CAR,TE,5,6,53,53,0.00
54,TE54,Tommy Tremble,CAR,TE,5,7,54,54,0.00
55,TE55,Noah Fant,NO,TE,8,7,55,55,0.00
56,TE56,Ben Sinnott,WAS,TE,7,7,56,56,0.00
57,TE57,Elijah Higgins,ARI,TE,14,7,57,57,0.00
58,TE58,Mitchell Evans,CAR,TE,5,7,58,58,0.00
59,TE59,Marlin Klein,HOU,TE,8,7,59,59,0.00
60,TE60,Austin Hooper,ATL,TE,11,7,60,60,0.00
61,TE61,Daniel Bellinger,TEN,TE,9,7,61,61,0.00
62,TE62,John Bates,WAS,TE,7,7,62,62,0.00
63,TE63,Jackson Hawes,BUF,TE,7,7,63,63,0.00
64,TE64,Nate Boerkircher,JAC,TE,7,7,64,64,0.00
65,TE65,Will Kacmarek,MIA,TE,6,7,65,65,0.00
66,TE66,Adam Trautman,DEN,TE,10,7,66,66,0.00
67,TE67,Luke Schoonmaker,DAL,TE,14,7,67,67,0.00
68,TE68,Tanner Koziol,JAC,TE,7,7,68,68,0.00
69,TE69,Josh Oliver,MIN,TE,6,7,69,69,0.00
70,TE70,Brock Wright,DET,TE,6,7,70,70,0.00
71,TE71,Luke Musgrave,GB,TE,11,7,71,71,0.00
72,TE72,Cade Stover,HOU,TE,8,8,72,72,0.00
73,TE73,Zach Ertz,FA,TE,,8,73,73,0.00
74,TE74,Foster Moreau,HOU,TE,8,8,74,74,0.00
75,TE75,Sam Roush,CHI,TE,10,8,75,75,0.00
76,TE76,Drew Sample,CIN,TE,6,8,76,76,0.00
77,TE77,Durham Smythe,BAL,TE,13,8,77,77,0.00
78,TE78,Mo Alie-Cox,IND,TE,13,8,78,78,0.00
79,TE79,Jack Endries,CIN,TE,6,8,79,79,0.00
80,TE80,Seydou Traore,MIA,TE,6,8,80,80,0.00
81,TE81,Davis Allen,LAR,TE,11,8,81,81,0.00
