Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,QB1,Josh Allen,BUF,QB,7,1,1,1,0.00
2,QB2,Drake Maye,NE,QB,11,1,2,2,0.00
3,QB3,Lamar Jackson,BAL,QB,13,1,3,3,0.00
4,QB4,Joe Burrow,CIN,QB,6,1,4,4,0.00
5,QB5,Jalen Hurts,PHI,QB,10,1,5,5,0.00
6,QB6,Justin Herbert,LAC,QB,7,2,6,6,0.00
7,QB7,Jayden Daniels,WAS,QB,7,2,7,7,0.00
8,QB8,Trevor Lawrence,JAC,QB,7,2,8,8,0.00
9,QB9,Dak Prescott,DAL,QB,14,2,9,9,0.00
10,QB10,Caleb Williams,CHI,QB,10,2,10,10,0.00
11,QB11,Brock Purdy,SF,QB,8,2,11,11,0.00
12,QB12,Jaxson Dart,NYG,QB,8,3,12,12,0.00
13,QB13,Bo Nix,DEN,QB,10,3,13,13,0.00
14,QB14,Baker Mayfield,TB,QB,10,3,14,14,0.00
15,QB15,Matthew Stafford,LAR,QB,11,3,15,15,0.00
16,QB16,Patrick Mahomes II,KC,QB,5,3,16,16,0.00
17,QB17,Jared Goff,DET,QB,6,3,17,17,0.00
18,QB18,Jordan Love,GB,QB,11,3,18,18,0.00
19,QB19,Kyler Murray,MIN,QB,6,3,19,19,0.00
20,QB20,C.J. Stroud,HOU,QB,8,3,20,20,0.00
21,QB21,Sam Darnold,SEA,QB,11,4,21,21,0.00
22,QB22,Tyler Shough,NO,QB,8,4,22,22,0.00
23,QB23,Bryce Young,CAR,QB,5,4,23,23,0.00
24,QB24,Malik Willis,MIA,QB,6,4,24,24,0.00
25,QB25,Cam Ward,TEN,QB,9,4,25,25,0.00
26,QB26,Daniel Jones,IND,QB,13,4,26,26,0.00
27,QB27,Fernando Mendoza,LV,QB,13,4,27,27,0.00
28,QB28,Geno Smith,NYJ,QB,13,4,28,28,0.00
29,QB29,Aaron Rodgers,PIT,QB,9,4,29,29,0.00
30,QB30,Michael Penix Jr.,ATL,QB,11,4,30,30,0.00
31,QB31,Jacoby Brissett,ARI,QB,14,4,31,31,0.00
32,QB32,Kirk Cousins,LV,QB,13,5,32,32,0.00
33,QB33,J.J. McCarthy,MIN,QB,6,5,33,33,0.00
34,QB34,Deshaun Watson,CLE,QB,11,5,34,34,0.00
35,QB35,Shedeur Sanders,CLE,QB,11,5,35,35,0.00
36,QB36,Tua Tagovailoa,ATL,QB,11,5,36,36,0.00
37,QB37,Carson Beck,ARI,QB,14,5,37,37,0.00
38,QB38,Justin Fields,KC,QB,5,5,38,38,0.00
39,QB39,Ty Simpson,LAR,QB,11,5,39,39,0.00
40,QB40,Mac Jones,SF,QB,8,5,40,40,0.00
41,QB41,Anthony Richardson Sr.,IND,QB,13,5,41,41,0.00
42,QB42,Joe Milton III,DAL,QB,14,5,42,42,0.00
43,QB43,Jameis Winston,NYG,QB,8,5,43,43,0.00
44,QB44,Marcus Mariota,WAS,QB,7,5,44,44,0.00
