Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,TE1,Trey McBride,ARI,TE,14,1,1,1,0.00
2,TE2,Brock Bowers,LV,TE,13,1,2,2,0.00
3,TE3,Colston Loveland,CHI,TE,10,1,3,3,0.00
4,TE4,Tyler Warren,IND,TE,13,1,4,4,0.00
5,TE5,Kyle Pitts Sr.,ATL,TE,11,1,5,5,0.00
6,TE6,Harold Fannin Jr.,CLE,TE,11,2,6,6,0.00
7,TE7,Tucker Kraft,GB,TE,11,2,7,7,0.00
8,TE8,Sam LaPorta,DET,TE,6,2,8,8,0.00
9,TE9,Dalton Kincaid,BUF,TE,7,2,9,9,0.00
10,TE10,Oronde Gadsden II,LAC,TE,7,2,10,10,0.00
11,TE11,Jake Ferguson,DAL,TE,14,2,11,11,0.00
12,TE12,Dallas Goedert,PHI,TE,10,3,12,12,0.00
13,TE13,Travis Kelce,KC,TE,5,3,13,13,0.00
14,TE14,Isaiah Likely,NYG,TE,8,3,14,14,0.00
15,TE15,Hunter Henry,NE,TE,11,3,15,15,0.00
16,TE16,Mark Andrews,BAL,TE,13,3,16,16,0.00
17,TE17,George Kittle,SF,TE,8,3,17,17,0.00
18,TE18,Juwan Johnson,NO,TE,8,3,18,18,0.00
19,TE19,Brenton Strange,JAC,TE,7,3,19,19,0.00
20,TE20,Dalton Schultz,HOU,TE,8,4,20,20,0.00
21,TE21,T.J. Hockenson,MIN,TE,6,4,21,21,0.00
22,TE22,Kenyon Sadiq,NYJ,TE,13,4,22,22,0.00
23,TE23,Greg Dulcich,MIA,TE,6,4,23,23,0.00
24,TE24,Chig Okonkwo,WAS,TE,7,4,24,24,0.00
25,TE25,Terrance Ferguson,LAR,TE,11,4,25,25,0.00
26,TE26,AJ Barner,SEA,TE,11,4,26,26,0.00
27,TE27,Colby Parkinson,LAR,TE,11,4,27,27,0.00
28,TE28,Gunnar Helm,TEN,TE,9,4,28,28,0.00
29,TE29,Cade Otton,TB,TE,10,4,29,29,0.00
30,TE30,Eli Stowers,PHI,TE,10,4,30,30,0.00
31,TE31,Mason Taylor,NYJ,TE,13,5,31,31,0.00
32,TE32,Justin Joly,DEN,TE,10,5,32,32,0.00
33,TE33,Max Klare,LAR,TE,11,5,33,33,0.00
34,TE34,Theo Johnson,NYG,TE,8,5,34,34,0.00
35,TE35,David Njoku,LAC,TE,7,5,35,35,0.00
36,TE36,Evan Engram,DEN,TE,10,5,36,36,0.00
37,TE37,Mike Gesicki,CIN,TE,6,5,37,37,0.00
38,TE38,Pat Freiermuth,PIT,TE,9,5,38,38,0.00
39,TE39,Jake Tonges,SF,TE,8,5,39,39,0.00
40,TE40,John Bates,WAS,TE,7,5,40,40,0.00
41,TE41,Noah Gray,KC,TE,5,5,41,41,0.00
