Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,RB1,Jahmyr Gibbs,DET,RB,6,1,1,1,0.00
2,RB2,Bijan Robinson,ATL,RB,11,1,2,2,0.00
3,WR1,Ja'Marr Chase,CIN,WR,6,1,3,3,0.00
4,WR2,Puka Nacua,LAR,WR,11,1,4,4,0.00
5,WR3,Jaxon Smith-Njigba,SEA,WR,11,2,5,5,0.00
6,WR4,Amon-Ra St. Brown,DET,WR,6,2,6,6,0.00
7,RB3,Jonathan Taylor,IND,RB,13,2,7,7,0.00
8,RB4,Christian McCaffrey,SF,RB,8,2,8,8,0.00
9,WR5,CeeDee Lamb,DAL,WR,14,2,9,9,0.00
10,RB5,James Cook III,BUF,RB,7,3,10,10,0.00
11,WR6,Justin Jefferson,MIN,WR,6,3,11,11,0.00
12,RB6,Derrick Henry,BAL,RB,13,3,12,12,0.00
13,RB7,Saquon Barkley,PHI,RB,10,3,13,13,0.00
14,WR7,A.J. Brown,NE,WR,11,3,14,14,0.00
15,RB8,De'Von Achane,MIA,RB,6,3,15,15,0.00
16,RB9,Ashton Jeanty,LV,RB,13,3,16,16,0.00
17,WR8,Nico Collins,HOU,WR,8,3,17,17,0.00
18,WR9,Chris Olave,NO,WR,8,4,18,18,0.00
19,TE1,Trey McBride,ARI,TE,14,4,19,19,0.00
20,RB10,Omarion Hampton,LAC,RB,7,4,20,20,0.00
21,RB11,Kenneth Walker III,KC,RB,5,4,21,21,0.00
22,TE2,Colston Loveland,CHI,TE,10,4,22,22,0.00
23,RB12,Chase Brown,CIN,RB,6,4,23,23,0.00
24,RB13,Kyren Williams,LAR,RB,11,4,24,24,0.00
25,WR10,Drake London,ATL,WR,11,4,25,25,0.00
26,QB1,Josh Allen,BUF,QB,7,4,26,26,0.00
27,WR11,DeVonta Smith,PHI,WR,10,4,27,27,0.00
28,WR12,George Pickens,DAL,WR,14,5,28,28,0.00
29,WR13,Malik Nabers,NYG,WR,8,5,29,29,0.00
30,WR14,Zay Flowers,BAL,WR,13,5,30,30,0.00
31,WR15,Rashee Rice,KC,WR,5,5,31,31,0.00
32,RB14,Jeremiyah Love,ARI,RB,14,5,32,32,0.00
33,WR16,Garrett Wilson,NYJ,WR,13,5,33,33,0.00
34,RB15,Javonte Williams,DAL,RB,14,5,34,34,0.00
35,RB16,Breece Hall,NYJ,RB,13,5,35,35,0.00
36,WR17,Tee Higgins,CIN,WR,6,5,36,36,0.00
