Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,TE1,Trey McBride,ARI,TE,14,1,1,1,0.00
2,TE2,Colston Loveland,CHI,TE,10,1,2,2,0.00
3,TE3,Brock Bowers,LV,TE,13,1,3,3,0.00
4,TE4,Tyler Warren,IND,TE,13,1,4,4,0.00
5,TE5,Kyle Pitts Sr.,ATL,TE,11,1,5,5,0.00
6,TE6,Harold Fannin Jr.,CLE,TE,11,2,6,6,0.00
7,TE7,Tucker Kraft,GB,TE,11,2,7,7,0.00
8,TE8,Travis Kelce,KC,TE,5,2,8,8,0.00
9,TE9,Sam LaPorta,DET,TE,6,2,9,9,0.00
10,TE10,George Kittle,SF,TE,8,2,10,10,0.00
11,TE11,Jake Ferguson,DAL,TE,14,2,11,11,0.00
12,TE12,Mark Andrews,BAL,TE,13,3,12,12,0.00
13,TE13,Dalton Kincaid,BUF,TE,7,3,13,13,0.00
14,TE14,Dallas Goedert,PHI,TE,10,3,14,14,0.00
15,TE15,Isaiah Likely,NYG,TE,8,3,15,15,0.00
16,TE16,Juwan Johnson,NO,TE,8,3,16,16,0.00
17,TE17,Hunter Henry,NE,TE,11,3,17,17,0.00
18,TE18,Dalton Schultz,HOU,TE,8,3,18,18,0.00
19,TE19,T.J. Hockenson,MIN,TE,6,3,19,19,0.00
20,TE20,Chig Okonkwo,WAS,TE,7,4,20,20,0.00
21,TE21,Brenton Strange,JAC,TE,7,4,21,21,0.00
22,TE22,Kenyon Sadiq,NYJ,TE,13,4,22,22,0.00
23,TE23,AJ Barner,SEA,TE,11,4,23,23,0.00
24,TE24,Cade Otton,TB,TE,10,4,24,24,0.00
25,TE25,Pat Freiermuth,PIT,TE,9,4,25,25,0.00
26,TE26,Terrance Ferguson,LAR,TE,11,4,26,26,0.00
27,TE27,Michael Mayer,LV,TE,13,4,27,27,0.00
28,TE28,Oronde Gadsden II,LAC,TE,7,4,28,28,0.00
29,TE29,Greg Dulcich,MIA,TE,6,4,29,29,0.00
30,TE30,Gunnar Helm,TEN,TE,9,4,30,30,0.00
31,TE31,Darren Waller,CAR,TE,5,5,31,31,0.00
32,TE32,Mike Gesicki,CIN,TE,6,5,32,32,0.00
33,TE33,Eli Stowers,PHI,TE,10,5,33,33,0.00
34,TE34,David Njoku,LAC,TE,7,5,34,34,0.00
35,TE35,Elijah Arroyo,SEA,TE,11,5,35,35,0.00
36,TE36,Colby Parkinson,LAR,TE,11,5,36,36,0.00
37,TE37,Evan Engram,DEN,TE,10,5,37,37,0.00
38,TE38,Mason Taylor,NYJ,TE,13,5,38,38,0.00
39,TE39,Charlie Kolar,LAC,TE,7,5,39,39,0.00
40,TE40,Eli Raridon,NE,TE,11,5,40,40,0.00
41,TE41,Matt Hibner,BAL,TE,13,5,41,41,0.00
42,TE42,Theo Johnson,NYG,TE,8,5,42,42,0.00
43,TE43,Oscar Delp,NO,TE,8,5,43,43,0.00
44,TE44,Darnell Washington,PIT,TE,9,5,44,44,0.00
45,TE45,Erick All Jr.,CIN,TE,6,6,45,45,0.00
46,TE46,Jake Tonges,SF,TE,8,6,46,46,0.00
47,TE47,Dawson Knox,BUF,TE,7,6,47,47,0.00
48,TE48,Ben Sinnott,WAS,TE,7,6,48,48,0.00
49,TE49,Cole Kmet,CHI,TE,10,6,49,49,0.00
50,TE50,Jonnu Smith,GB,TE,11,6,50,50,0.00
51,TE51,Noah Gray,KC,TE,5,6,51,51,0.00
52,TE52,Ja'Tavion Sanders,CAR,TE,5,6,52,52,0.00
53,TE53,Marlin Klein,HOU,TE,8,6,53,53,0.00
54,TE54,Zach Ertz,FA,TE,,6,54,54,0.00
55,TE55,Max Klare,LAR,TE,11,6,55,55,0.00
56,TE56,Tyler Higbee,LAR,TE,11,6,56,56,0.00
57,TE57,Noah Fant,NO,TE,8,6,57,57,0.00
58,TE58,Tanner Koziol,JAC,TE,7,6,58,58,0.00
59,TE59,Josh Oliver,MIN,TE,6,6,59,59,0.00
60,TE60,Daniel Bellinger,TEN,TE,9,6,60,60,0.00
61,TE61,Taysom Hill,FA,TE,,6,61,61,0.00
62,TE62,Justin Joly,MIA,TE,6,7,62,62,0.00
63,TE63,Mitchell Evans,CAR,TE,5,7,63,63,0.00
64,TE64,Elijah Higgins,ARI,TE,14,7,64,64,0.00
65,TE65,Austin Hooper,ATL,TE,11,7,65,65,0.00
66,TE66,Will Kacmarek,MIA,TE,6,7,66,66,0.00
67,TE67,Jackson Hawes,BUF,TE,7,7,67,67,0.00
68,TE68,Mo Alie-Cox,IND,TE,13,7,68,68,0.00
69,TE69,Tommy Tremble,CAR,TE,5,7,69,69,0.00
70,TE70,Ian Thomas,LV,TE,13,7,70,70,0.00
71,TE71,Adam Trautman,DEN,TE,10,7,71,71,0.00
72,TE72,Sam Roush,CHI,TE,10,7,72,72,0.00
73,TE73,Luke Schoonmaker,DAL,TE,14,7,73,73,0.00
74,TE74,Cade Stover,HOU,TE,8,7,74,74,0.00
75,TE75,Joe Royer,CLE,TE,11,7,75,75,0.00
76,TE76,Brock Wright,DET,TE,6,7,76,76,0.00
77,TE77,Hunter Long,ARI,TE,14,7,77,77,0.00
78,TE78,Jared Wiley,KC,TE,5,7,78,78,0.00
79,TE79,Riley Nowakowski,PIT,TE,9,7,79,79,0.00
80,TE80,Josh Whyle,GB,TE,11,7,80,80,0.00
