Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,TE1,Colston Loveland,CHI,TE,10,1,1,1,0.00
2,TE2,Trey McBride,ARI,TE,14,1,2,2,0.00
3,TE3,Brock Bowers,LV,TE,13,1,3,3,0.00
4,TE4,Tucker Kraft,GB,TE,11,1,4,4,0.00
5,TE5,Tyler Warren,IND,TE,13,2,5,5,0.00
6,TE6,Kyle Pitts Sr.,ATL,TE,11,2,6,6,0.00
7,TE7,Sam LaPorta,DET,TE,6,2,7,7,0.00
8,TE8,Harold Fannin Jr.,CLE,TE,11,2,8,8,0.00
9,TE9,George Kittle,SF,TE,8,2,9,9,0.00
10,TE10,Dalton Kincaid,BUF,TE,7,3,10,10,0.00
11,TE11,Travis Kelce,KC,TE,5,3,11,11,0.00
12,TE12,Dallas Goedert,PHI,TE,10,3,12,12,0.00
13,TE13,Mark Andrews,BAL,TE,13,3,13,13,0.00
14,TE14,Isaiah Likely,NYG,TE,8,3,14,14,0.00
15,TE15,Jake Ferguson,DAL,TE,14,3,15,15,0.00
16,TE16,Hunter Henry,NE,TE,11,3,16,16,0.00
17,TE17,Brenton Strange,JAC,TE,7,4,17,17,0.00
18,TE18,Dalton Schultz,HOU,TE,8,4,18,18,0.00
19,TE19,Juwan Johnson,NO,TE,8,4,19,19,0.00
20,TE20,AJ Barner,SEA,TE,11,4,20,20,0.00
21,TE21,Terrance Ferguson,LAR,TE,11,4,21,21,0.00
22,TE22,T.J. Hockenson,MIN,TE,6,4,22,22,0.00
23,TE23,Chig Okonkwo,WAS,TE,7,4,23,23,0.00
24,TE24,Pat Freiermuth,PIT,TE,9,4,24,24,0.00
25,TE25,Kenyon Sadiq,NYJ,TE,13,4,25,25,0.00
26,TE26,Cade Otton,TB,TE,10,4,26,26,0.00
27,TE27,Michael Mayer,LV,TE,13,5,27,27,0.00
28,TE28,Oronde Gadsden II,LAC,TE,7,5,28,28,0.00
29,TE29,Greg Dulcich,MIA,TE,6,5,29,29,0.00
30,TE30,Gunnar Helm,TEN,TE,9,5,30,30,0.00
31,TE31,Evan Engram,DEN,TE,10,5,31,31,0.00
32,TE32,Darren Waller,CAR,TE,5,5,32,32,0.00
33,TE33,David Njoku,LAC,TE,7,5,33,33,0.00
34,TE34,Colby Parkinson,LAR,TE,11,5,34,34,0.00
35,TE35,Mike Gesicki,CIN,TE,6,5,35,35,0.00
36,TE36,Charlie Kolar,LAC,TE,7,5,36,36,0.00
37,TE37,Elijah Arroyo,SEA,TE,11,5,37,37,0.00
38,TE38,Mason Taylor,NYJ,TE,13,5,38,38,0.00
39,TE39,Darnell Washington,PIT,TE,9,6,39,39,0.00
40,TE40,Eli Stowers,PHI,TE,10,6,40,40,0.00
41,TE41,Eli Raridon,NE,TE,11,6,41,41,0.00
42,TE42,Theo Johnson,NYG,TE,8,6,42,42,0.00
43,TE43,Dawson Knox,BUF,TE,7,6,43,43,0.00
44,TE44,Cole Kmet,CHI,TE,10,6,44,44,0.00
45,TE45,Oscar Delp,NO,TE,8,6,45,45,0.00
46,TE46,Erick All Jr.,CIN,TE,6,6,46,46,0.00
47,TE47,Matt Hibner,BAL,TE,13,6,47,47,0.00
48,TE48,Tyler Higbee,LAR,TE,11,6,48,48,0.00
49,TE49,Jake Tonges,SF,TE,8,6,49,49,0.00
50,TE50,Noah Gray,KC,TE,5,6,50,50,0.00
51,TE51,Jonnu Smith,GB,TE,11,6,51,51,0.00
52,TE52,Ben Sinnott,WAS,TE,7,6,52,52,0.00
53,TE53,Max Klare,LAR,TE,11,6,53,53,0.00
54,TE54,Ja'Tavion Sanders,CAR,TE,5,7,54,54,0.00
55,TE55,Noah Fant,NO,TE,8,7,55,55,0.00
56,TE56,Daniel Bellinger,TEN,TE,9,7,56,56,0.00
57,TE57,Marlin Klein,HOU,TE,8,7,57,57,0.00
58,TE58,Mitchell Evans,CAR,TE,5,7,58,58,0.00
59,TE59,Josh Oliver,MIN,TE,6,7,59,59,0.00
60,TE60,Tommy Tremble,CAR,TE,5,7,60,60,0.00
61,TE61,Tanner Koziol,JAC,TE,7,7,61,61,0.00
62,TE62,Jackson Hawes,BUF,TE,7,7,62,62,0.00
63,TE63,Austin Hooper,ATL,TE,11,7,63,63,0.00
64,TE64,Foster Moreau,HOU,TE,8,7,64,64,0.00
65,TE65,Elijah Higgins,ARI,TE,14,7,65,65,0.00
66,TE66,John Bates,WAS,TE,7,7,66,66,0.00
67,TE67,Adam Trautman,DEN,TE,10,7,67,67,0.00
68,TE68,Will Kacmarek,MIA,TE,6,7,68,68,0.00
69,TE69,Luke Schoonmaker,DAL,TE,14,7,69,69,0.00
70,TE70,Justin Joly,MIA,TE,6,7,70,70,0.00
71,TE71,Brock Wright,DET,TE,6,7,71,71,0.00
72,TE72,Luke Musgrave,GB,TE,11,7,72,72,0.00
