Rank,Player,Team,Position,Sources,Justin Boone,Patrick Thorman,Jeff Ratcliffe,Sean Koerner
1,Christian McCaffrey,SF,RB,4,1,1,1,1
2,Jahmyr Gibbs,DET,RB,4,2,2,3,4
3,Jonathan Taylor,IND,RB,4,3,3,2,3
4,Bijan Robinson,ATL,RB,4,4,4,4,2
5,Jaxon Smith-Njigba,SEA,WR,4,5,6,5,5
6,Amon-Ra St. Brown,DET,WR,4,6,5,6,7
7,Puka Nacua,LAR,WR,4,7,7,7,6
8,Derrick Henry,BAL,RB,4,8,8,8,10
9,Rico Dowdle,PIT,RB,4,9,10,9,8
10,Saquon Barkley,PHI,RB,4,10,9,10,16
11,James Cook III,BUF,RB,4,12,11,11,11
12,Trey McBride,ARI,TE,4,13,12,12,12
13,Rashee Rice,KC,WR,4,14,13,13,13
14,CeeDee Lamb,DAL,WR,4,15,15,14,14
15,Chase Brown,CIN,RB,4,16,16,16,9
16,Davante Adams,LAR,WR,4,19,14,15,22
17,Emanuel Wilson,SEA,RB,4,20,17,19,19
18,TreVeyon Henderson,NE,RB,4,11,20,20,23
19,Kyren Williams,LAR,RB,4,18,21,17,17
20,Nico Collins,HOU,WR,4,17,26,22,15
21,Tee Higgins,CIN,WR,4,22,18,18,26
22,Emeka Egbuka,TB,WR,4,24,22,24,18
23,Ashton Jeanty,LV,RB,4,29,19,21,21
24,Jaylen Warren,PIT,RB,4,23,25,23,20
25,Javonte Williams,DAL,RB,4,21,23,25,30
26,George Pickens,DAL,WR,4,30,24,26,24
27,D'Andre Swift,CHI,RB,4,26,27,27,27
28,Tetairoa McMillan,CAR,WR,4,27,28,28,28
29,George Kittle,SF,TE,4,28,29,29,29
30,Breece Hall,NYJ,RB,4,34,31,30,25
31,Stefon Diggs,WAS,WR,4,25,35,32,39
32,Jameson Williams,DET,WR,4,35,32,36,32
33,Chris Olave,NO,WR,4,32,36,35,44
34,Quinshon Judkins,CLE,RB,4,41,42,31,31
35,Woody Marks,HOU,RB,4,31,43,33,42
36,Alvin Kamara,NO,RB,4,46,33,34,33
37,Brock Bowers,LV,TE,4,37,38,38,38
38,Justin Jefferson,MIN,WR,4,38,39,37,36
39,Zay Flowers,BAL,WR,4,40,37,39,37
40,DeVonta Smith,PHI,WR,4,36,40,40,41
41,A.J. Brown,NE,WR,4,39,41,41,35
42,David Montgomery,HOU,RB,4,43,30,42,49
43,Aaron Jones Sr.,MIN,RB,4,42,34,43,47
44,Travis Etienne Jr.,NO,RB,4,33,51,47,43
45,Michael Wilson,ARI,WR,4,44,44,44,40
46,Wan'Dale Robinson,TEN,WR,4,47,45,45,46
47,Kareem Hunt,FA,RB,4,54,47,49,34
48,Rome Odunze,CHI,WR,4,45,46,46,54
49,Travis Kelce,KC,TE,4,49,48,48,48
50,Tyler Warren,IND,TE,4,48,50,50,50
51,Kenneth Walker III,KC,RB,4,50,49,51,51
52,DK Metcalf,PIT,WR,4,51,52,52,57
53,Michael Pittman Jr.,PIT,WR,4,52,57,56,45
54,Jauan Jennings,MIN,WR,4,53,56,54,56
