Rank,Player,Team,Position,Sources,Justin Boone,Patrick Thorman,Jeff Ratcliffe,Sean Koerner
1,Christian McCaffrey,SF,RB,4,1,1,1,1
2,Jahmyr Gibbs,DET,RB,4,2,2,3,4
3,Jonathan Taylor,IND,RB,4,3,3,2,3
4,Bijan Robinson,ATL,RB,4,4,4,4,2
5,Derrick Henry,BAL,RB,4,5,5,5,7
6,Rico Dowdle,PIT,RB,4,6,7,6,5
7,Saquon Barkley,PHI,RB,4,7,6,7,9
8,James Cook III,BUF,RB,4,9,8,8,8
9,Chase Brown,CIN,RB,4,10,9,9,6
10,Emanuel Wilson,SEA,RB,4,12,10,11,11
11,TreVeyon Henderson,NE,RB,4,8,12,12,14
12,Kyren Williams,LAR,RB,4,11,13,10,10
13,Ashton Jeanty,LV,RB,4,16,11,13,13
14,Jaylen Warren,PIT,RB,4,14,15,14,12
15,Javonte Williams,DAL,RB,4,13,14,15,17
16,D'Andre Swift,CHI,RB,4,15,16,16,16
17,Breece Hall,NYJ,RB,4,19,18,17,15
18,Quinshon Judkins,CLE,RB,4,20,21,18,18
19,Woody Marks,HOU,RB,4,17,22,19,21
20,Alvin Kamara,NO,RB,4,23,19,20,19
21,David Montgomery,HOU,RB,4,22,17,21,24
22,Aaron Jones Sr.,MIN,RB,4,21,20,22,23
23,Travis Etienne Jr.,NO,RB,4,18,25,23,22
24,Kareem Hunt,FA,RB,4,25,23,24,20
25,Kenneth Walker III,KC,RB,4,24,24,25,25
26,Tyrone Tracy Jr.,NYG,RB,4,27,27,26,26
27,Sean Tucker,TB,RB,4,26,28,28,29
28,Bam Knight,ARI,RB,4,30,26,27,27
29,Bhayshul Tuten,JAC,RB,4,28,29,29,28
30,Zach Charbonnet,SEA,RB,4,29,30,30,33
31,Rachaad White,WAS,RB,4,33,32,31,30
32,Rhamondre Stevenson,NE,RB,4,31,34,34,31
33,Tony Pollard,TEN,RB,4,35,31,32,32
34,Kenny Gainwell,TB,RB,4,32,35,33,34
35,Tyjae Spears,TEN,RB,4,34,33,35,35
36,Kyle Monangai,CHI,RB,4,36,36,36,37
37,Michael Carter,TEN,RB,4,38,37,38,36
38,Devin Singletary,NYG,RB,4,37,38,37,38
39,Tyler Allgeier,ARI,RB,4,39,40,39,39
40,Blake Corum,LAR,RB,4,41,39,40,41
41,Brian Robinson Jr.,ATL,RB,4,40,41,41,40
42,Devin Neal,FA,RB,4,45,45,46,42
43,Chuba Hubbard,CAR,RB,4,46,46,42,43
44,Jordan Mason,MIN,RB,4,43,48,43,45
45,Chris Brooks,GB,RB,4,49,42,45,44
46,Nick Chubb,FA,RB,4,44,47,44,47
47,Isaiah Davis,NYJ,RB,4,47,43,47,49
48,Keaton Mitchell,LAC,RB,4,42,50,48,46
49,Brashard Smith,KC,RB,4,50,44,50,51
50,Ty Johnson,BUF,RB,4,48,49,49,50
51,Justice Hill,BAL,RB,4,51,51,51,52
52,Kyle Juszczyk,SF,RB,4,54,54,55,48
53,Tank Bigsby,PHI,RB,4,52,52,53,57
54,Raheem Mostert,LV,RB,4,56,53,52,54
55,Dylan Sampson,CLE,RB,4,53,58,54,53
56,Malik Davis,DAL,RB,4,55,57,58,56
57,Kaleb Johnson,GB,RB,4,58,59,57,55
58,Jerome Ford,WAS,RB,4,62,56,56,58
59,Terrell Jennings,FA,RB,4,60,55,60,64
60,Will Shipley,PHI,RB,4,59,60,62,65
61,LeQuint Allen Jr.,JAC,RB,4,66,63,59,59
62,Ray Davis,BUF,RB,4,57,65,63,67
63,Tahj Brooks,CIN,RB,4,64,62,61,63
64,George Holani,SEA,RB,4,61,66,64,61
65,Ameer Abdullah,JAC,RB,4,65,61,65,62
66,Hunter Luepke,DAL,RB,4,63,67,67,60
67,Tyler Goodson,ATL,RB,4,67,68,69,71
68,Trevor Etienne,CAR,RB,4,70,71,66,66
69,Dare Ogunbowale,LV,RB,4,68,70,68,69
70,Clyde Edwards-Helaire,FA,RB,3,69,64,-80,73
71,Jermar Jefferson,MIN,RB,4,74,74,73,70
72,Dylan Laube,LV,RB,4,79,72,71,76
73,Patrick Ricard,NYG,RB,4,73,77,74,75
74,Zavier Scott,CHI,RB,4,75,76,72,79
75,C.J. Ham,FA,RB,4,76,73,77,85
76,Pierre Strong Jr.,GB,RB,3,81,78,-84,68
77,Kendall Milton,CIN,RB,2,71,-86,70,-89
78,Reggie Gilliam,NE,RB,3,77,80,-82,80
79,Jakob Johnson,FA,RB,2,72,-87,-81,81
80,British Brooks,HOU,RB,4,78,84,76,82
81,Gary Brightwell,FA,RB,3,91,69,-91,72
82,Brittain Brown,CHI,RB,3,80,79,-83,83
83,Julius Chestnut,TEN,RB,4,84,83,75,84
84,Owen Wright,FA,RB,2,82,75,-85,-90
85,Isaac Guerendo,SF,RB,4,83,82,78,86
86,Kene Nwangwu,NYJ,RB,3,85,-88,79,78
87,Sione Vaki,DET,RB,3,86,85,-86,77
88,Eric Gray,FA,RB,2,87,-89,-87,74
89,Kalel Mullings,TEN,RB,2,90,81,-90,-92
90,Trey Sermon,ATL,RB,2,88,-90,-88,87
91,Dante Miller,FA,RB,1,89,-91,-89,-91
92,Lew Nichols III,PIT,RB,1,-92,-92,-92,88
