Rank,Player,Team,Position,Sources,Justin Boone,Patrick Thorman,Jeff Ratcliffe,Sean Koerner
1,Trey McBride,ARI,TE,4,1,1,1,1
2,George Kittle,SF,TE,4,2,2,2,2
3,Brock Bowers,LV,TE,4,3,3,3,3
4,Travis Kelce,KC,TE,4,5,4,4,4
5,Tyler Warren,IND,TE,4,4,5,5,5
6,Kyle Pitts Sr.,ATL,TE,4,7,6,6,6
7,Mark Andrews,BAL,TE,4,9,7,7,7
8,Hunter Henry,NE,TE,4,6,8,8,10
9,Dallas Goedert,PHI,TE,4,8,9,9,11
10,Jake Ferguson,DAL,TE,4,10,10,10,8
11,Theo Johnson,NYG,TE,4,11,11,11,9
12,Cade Otton,TB,TE,4,12,12,12,12
13,Dalton Schultz,HOU,TE,4,13,13,13,14
14,Juwan Johnson,NO,TE,4,14,14,14,13
15,AJ Barner,SEA,TE,4,16,16,16,15
16,Harold Fannin Jr.,CLE,TE,4,17,15,15,17
17,Colston Loveland,CHI,TE,4,15,17,18,19
18,Mason Taylor,NYJ,TE,4,18,18,17,16
19,Mike Gesicki,CIN,TE,4,21,19,20,21
20,Noah Fant,NO,TE,4,19,20,19,24
21,Isaiah Likely,NYG,TE,4,22,22,21,20
22,Brock Wright,DET,TE,4,24,23,22,18
23,Brenton Strange,JAC,TE,4,20,21,23,28
24,Dawson Knox,BUF,TE,4,23,26,24,23
25,T.J. Hockenson,MIN,TE,4,25,27,25,22
26,Taysom Hill,FA,TE,4,27,25,28,27
27,Darnell Washington,PIT,TE,4,29,24,27,32
28,David Njoku,LAC,TE,4,26,29,26,31
29,Colby Parkinson,LAR,TE,4,28,32,31,25
30,Chig Okonkwo,WAS,TE,4,30,28,29,30
31,Michael Mayer,LV,TE,4,35,30,30,26
32,Pat Freiermuth,PIT,TE,4,31,33,32,33
33,Jonnu Smith,GB,TE,4,32,31,33,34
34,Terrance Ferguson,LAR,TE,4,34,35,34,29
35,Luke Musgrave,GB,TE,4,33,36,35,36
36,Ja'Tavion Sanders,CAR,TE,4,36,37,36,37
37,Gunnar Helm,TEN,TE,4,38,34,38,38
38,Cole Kmet,CHI,TE,4,40,39,37,35
39,Elijah Arroyo,SEA,TE,4,37,38,39,41
40,Elijah Higgins,ARI,TE,4,42,40,40,40
41,Austin Hooper,ATL,TE,4,39,42,42,43
42,Davis Allen,LAR,TE,4,43,44,41,39
43,Noah Gray,KC,TE,4,44,41,43,45
44,Tommy Tremble,CAR,TE,4,45,43,44,46
45,John FitzPatrick,FA,TE,4,47,47,45,42
46,Jackson Hawes,BUF,TE,4,41,48,48,48
47,Daniel Bellinger,TEN,TE,4,46,46,46,47
48,Jeremy Ruckert,NYJ,TE,4,48,51,47,44
49,Foster Moreau,HOU,TE,4,50,45,50,50
50,Johnny Mundt,PHI,TE,4,53,54,49,49
51,Tanner Hudson,CIN,TE,4,54,49,51,58
52,Cade Stover,HOU,TE,4,49,55,55,54
53,Charlie Kolar,LAC,TE,4,51,50,54,62
54,Luke Schoonmaker,DAL,TE,4,55,52,56,53
55,Josh Whyle,GB,TE,4,52,60,52,51
56,Mitchell Evans,CAR,TE,4,56,56,53,52
57,Mo Alie-Cox,IND,TE,4,60,53,59,56
58,Drew Sample,CIN,TE,4,59,57,57,61
59,Josh Oliver,MIN,TE,4,58,58,63,57
60,Grant Calcaterra,PHI,TE,4,61,59,60,59
61,Luke Farrell,SF,TE,4,57,61,62,64
62,Charlie Woerner,ATL,TE,4,62,63,61,60
63,Quintin Morris,JAC,TE,4,66,65,58,55
64,Kylen Granson,TEN,TE,4,67,64,64,63
65,Keleki Latu,BUF,TE,4,64,67,67,65
66,Connor Heyward,LV,TE,4,63,66,65,78
67,Ross Dwelley,FA,TE,4,69,62,66,74
68,Brevyn Spann-Ford,DAL,TE,4,68,69,69,66
69,Ian Thomas,LV,TE,4,70,70,70,69
70,Drew Ogletree,IND,TE,4,73,71,68,68
71,Durham Smythe,BAL,TE,4,71,73,73,73
72,Jake Tonges,SF,TE,4,65,78,71,77
73,Jack Westover,WAS,TE,4,75,75,75,67
74,Robert Tonyan,PIT,TE,4,74,77,72,70
75,Payne Durham,TB,TE,4,72,68,76,85
76,Andrew Beck,NYJ,RB,4,77,74,80,76
77,Nick Kallerup,SEA,TE,4,76,83,79,71
78,Josiah Deguara,FA,TE,4,78,81,78,72
79,Zaire Mitchell-Paden,HOU,TE,4,79,76,77,84
80,Teagan Quitoriano,ARI,TE,4,82,72,81,82
81,Robbie Ouzts,SEA,TE,2,-84,-84,74,75
82,David Martin-Robinson,TEN,TE,4,80,79,83,90
83,Blake Whiteheart,CLE,TE,4,81,82,84,88
84,Jack Stoll,FA,TE,2,-85,-85,82,80
85,Chris Manhertz,NYG,TE,4,83,80,85,89
86,Devin Culp,FA,TE,2,-86,-86,86,86
87,Jordan Franks,FA,TE,1,-88,-88,-88,79
88,Stone Smartt,NO,TE,2,-87,-87,87,87
89,Nikola Kalinic,CHI,TE,1,-89,-89,-89,81
90,Ben Sims,MIA,TE,1,-90,-90,-90,83
