Rank,Player,Team,Position,Sources,Justin Boone,Patrick Thorman,Jeff Ratcliffe,Sean Koerner
1,Jaxon Smith-Njigba,SEA,WR,4,1,2,1,1
2,Amon-Ra St. Brown,DET,WR,4,2,1,2,3
3,Puka Nacua,LAR,WR,4,3,3,3,2
4,Rashee Rice,KC,WR,4,4,4,4,4
5,CeeDee Lamb,DAL,WR,4,5,6,5,5
6,Davante Adams,LAR,WR,4,7,5,6,8
7,Nico Collins,HOU,WR,4,6,10,8,6
8,Tee Higgins,CIN,WR,4,8,7,7,10
9,Emeka Egbuka,TB,WR,4,9,8,9,7
10,George Pickens,DAL,WR,4,12,9,10,9
11,Tetairoa McMillan,CAR,WR,4,11,11,11,11
12,Stefon Diggs,WAS,WR,4,10,13,12,16
13,Jameson Williams,DET,WR,4,14,12,14,12
14,Chris Olave,NO,WR,4,13,14,13,19
15,Justin Jefferson,MIN,WR,4,16,16,15,14
16,Zay Flowers,BAL,WR,4,18,15,16,15
17,DeVonta Smith,PHI,WR,4,15,17,17,18
18,A.J. Brown,NE,WR,4,17,18,18,13
19,Michael Wilson,ARI,WR,4,19,19,19,17
20,Wan'Dale Robinson,TEN,WR,4,21,20,20,21
21,Rome Odunze,CHI,WR,4,20,21,21,23
22,DK Metcalf,PIT,WR,4,22,22,22,25
23,Michael Pittman Jr.,PIT,WR,4,23,25,24,20
24,Jauan Jennings,MIN,WR,4,24,24,23,24
25,Romeo Doubs,NE,WR,4,25,23,25,22
26,Alec Pierce,IND,WR,4,26,27,26,26
27,Jakobi Meyers,JAC,WR,4,29,26,27,28
28,Khalil Shakir,BUF,WR,4,27,31,29,27
29,Christian Watson,GB,WR,4,30,30,28,33
30,Darnell Mooney,NYG,WR,4,31,29,30,31
31,Ricky Pearsall,SF,WR,4,28,32,31,32
32,Parker Washington,JAC,WR,4,35,28,32,29
33,Xavier Worthy,KC,WR,4,33,33,33,30
34,Jordan Addison,MIN,WR,4,32,34,34,37
35,Tre Tucker,LV,WR,4,34,35,35,34
36,DJ Moore,BUF,WR,4,36,37,36,36
37,Luther Burden III,CHI,WR,4,37,36,39,39
38,Andrei Iosivas,CIN,WR,4,38,38,38,40
39,Tez Johnson,TB,WR,4,43,40,37,38
40,Greg Dortch,BUF,WR,4,41,39,40,45
41,Rashid Shaheed,SEA,WR,4,40,42,41,42
42,Josh Downs,IND,WR,4,42,41,43,41
43,Kayshon Boutte,HOU,WR,4,39,44,44,46
44,Chimere Dike,TEN,WR,4,47,47,48,35
45,Mack Hollins,NE,WR,4,44,48,47,43
46,Jerry Jeudy,CLE,WR,4,48,46,42,47
47,Cooper Kupp,SEA,WR,4,49,45,46,44
48,Darius Slayton,NYG,WR,4,46,43,45,56
49,Jayden Higgins,HOU,WR,4,45,51,49,48
50,Chris Godwin Jr.,TB,WR,4,54,49,50,50
51,Adonai Mitchell,NYJ,WR,4,50,50,53,53
52,DeAndre Hopkins,BAL,WR,4,53,54,51,49
53,Van Jefferson,WAS,WR,4,57,52,55,51
54,Jalen Coker,CAR,WR,4,55,53,52,57
55,Joshua Palmer,BUF,WR,4,51,55,60,54
56,Xavier Legette,CAR,WR,4,56,57,54,55
57,Dontayvion Wicks,PHI,WR,4,63,56,59,52
58,Hollywood Brown,PHI,WR,4,58,60,56,61
59,Tyrell Shavers,BUF,WR,4,52,61,66,60
60,DeMario Douglas,NE,WR,4,60,59,58,59
61,Devaughn Vele,NO,WR,4,61,58,61,63
62,Cedric Tillman,NO,WR,4,64,64,57,65
63,Roman Wilson,FA,WR,4,65,63,62,67
64,Gabe Davis,FA,WR,4,62,66,70,62
65,John Metchie III,CAR,WR,4,69,65,68,58
66,Isaiah Hodgins,FA,WR,4,59,72,69,64
67,Tyler Lockett,LV,WR,4,67,67,63,72
68,Calvin Austin III,NYG,WR,4,66,71,64,74
69,Sterling Shepard,FA,WR,4,73,69,65,69
70,KhaDarel Hodge,SF,WR,4,75,68,71,66
71,Tim Patrick,NYJ,WR,4,77,62,76,71
72,Christian Kirk,SF,WR,4,68,77,74,73
73,Jalen Nailor,LV,WR,4,72,76,67,77
74,Kalif Raymond,CHI,WR,4,79,74,77,75
75,Elijah Moore,PHI,WR,4,70,70,73,99
76,Mitch Tinsley,HOU,WR,4,78,78,83,70
77,David Sills V,TB,WR,4,82,73,75,80
78,Isaac TeSlaa,DET,WR,4,80,82,78,78
79,Xavier Weaver,FA,WR,4,83,81,79,76
80,Demarcus Robinson,SF,WR,4,84,75,80,87
81,Isaiah Williams,NYJ,WR,4,88,83,82,68
82,Xavier Hutchinson,HOU,WR,4,76,84,88,83
83,Olamide Zaccheaus,ATL,WR,4,81,80,72,98
84,Jaylin Noel,HOU,WR,4,74,86,84,91
85,KaVontae Turpin,DAL,WR,4,89,79,87,82
86,Kyle Williams,NE,WR,4,71,90,81,102
87,Mason Kinsey,FA,WR,4,94,85,94,79
88,Jalin Hyatt,NYG,WR,4,87,92,86,88
89,Ryan Flournoy,DAL,WR,4,92,87,85,90
90,Tyquan Thornton,KC,WR,4,85,91,96,86
91,Jordan Whittington,LAR,WR,4,91,89,91,85
92,Dyami Brown,WAS,WR,4,93,96,90,81
93,Kendrick Bourne,ARI,WR,4,86,97,89,93
94,Jahan Dotson,ATL,WR,4,90,94,92,97
95,JuJu Smith-Schuster,FA,WR,4,97,95,97,84
96,Mason Tipton,NO,WR,4,96,88,100,96
97,Isaiah Bond,CLE,WR,4,98,93,93,94
98,Savion Williams,GB,WR,4,99,98,98,92
99,Dont'e Thornton Jr.,LV,WR,4,101,99,99,89
100,Tylan Wallace,CLE,WR,4,95,100,103,100
101,Jack Bech,LV,WR,4,100,101,95,103
102,Arian Smith,NYJ,WR,4,104,102,104,95
103,Malachi Corley,CLE,WR,4,102,103,102,104
104,Xavier Restrepo,TEN,WR,4,103,108,108,106
105,Andre Baccellia,FA,WR,4,105,109,110,101
106,Jimmy Horn Jr.,CAR,WR,4,106,111,106,107
107,Brycen Tremayne,CAR,WR,4,108,104,105,118
108,Adam Thielen,FA,WR,4,113,105,101,117
109,Charlie Jones,NYG,WR,4,109,106,111,113
110,Ashton Dulin,IND,WR,4,111,107,109,121
111,Devontez Walker,BAL,WR,4,107,116,118,111
112,James Proche II,FA,WR,4,115,110,117,114
113,Allen Lazard,FA,WR,4,110,125,113,105
114,Konata Mumpfield,LAR,WR,4,114,115,112,115
115,Dante Pettis,FA,WR,4,120,112,114,110
116,Cody White,FA,WR,4,118,121,115,112
117,Austin Trammell,JAC,WR,4,116,118,119,116
118,Bo Melton,GB,WR,4,112,120,116,123
119,Kameron Johnson,TB,WR,4,124,117,107,131
120,Kevin Austin Jr.,NO,WR,3,117,-128,126,109
121,Ben Skowronek,PIT,WR,4,119,123,121,119
122,Malik Heath,FA,WR,2,122,-129,-130,108
123,Gage Larvadain,FA,WR,4,123,126,124,120
124,Gunner Olszewski,NYG,WR,3,121,122,-129,125
125,Darius Cooper,PHI,WR,4,126,119,120,133
126,LaJohntay Wester,BAL,WR,3,125,-130,122,122
127,Ryan Miller,MIA,WR,4,127,124,123,129
128,Jake Bobo,SEA,WR,1,-133,113,-133,-139
