Rank,Player,Team,Position
1,Trey McBride,ARI,TE
2,George Kittle,SF,TE
3,Brock Bowers,LV,TE
4,Travis Kelce,KC,TE
5,Tyler Warren,IND,TE
6,Kyle Pitts Sr.,ATL,TE
7,Mark Andrews,BAL,TE
8,Hunter Henry,NE,TE
9,Dallas Goedert,PHI,TE
10,Jake Ferguson,DAL,TE
11,Theo Johnson,NYG,TE
12,Cade Otton,TB,TE
13,Dalton Schultz,HOU,TE
14,Juwan Johnson,NO,TE
15,AJ Barner,SEA,TE
16,Harold Fannin Jr.,CLE,TE
17,Colston Loveland,CHI,TE
18,Mason Taylor,NYJ,TE
19,Mike Gesicki,CIN,TE
20,Noah Fant,NO,TE
21,Isaiah Likely,NYG,TE
22,Brock Wright,DET,TE
23,Brenton Strange,JAC,TE
24,Dawson Knox,BUF,TE
25,T.J. Hockenson,MIN,TE
26,Taysom Hill,FA,TE
27,Darnell Washington,PIT,TE
28,David Njoku,LAC,TE
29,Colby Parkinson,LAR,TE
30,Chig Okonkwo,WAS,TE
31,Michael Mayer,LV,TE
32,Pat Freiermuth,PIT,TE
33,Jonnu Smith,GB,TE
34,Terrance Ferguson,LAR,TE
35,Luke Musgrave,GB,TE
36,Ja'Tavion Sanders,CAR,TE
37,Gunnar Helm,TEN,TE
38,Cole Kmet,CHI,TE
39,Elijah Arroyo,SEA,TE
40,Elijah Higgins,ARI,TE
41,Austin Hooper,ATL,TE
42,Davis Allen,LAR,TE
43,Noah Gray,KC,TE
44,Tommy Tremble,CAR,TE
45,John FitzPatrick,FA,TE
46,Jackson Hawes,BUF,TE
47,Daniel Bellinger,TEN,TE
48,Jeremy Ruckert,NYJ,TE
49,Foster Moreau,HOU,TE
50,Johnny Mundt,PHI,TE
51,Tanner Hudson,CIN,TE
52,Cade Stover,HOU,TE
53,Charlie Kolar,LAC,TE
54,Luke Schoonmaker,DAL,TE
55,Josh Whyle,GB,TE
56,Mitchell Evans,CAR,TE
57,Mo Alie-Cox,IND,TE
58,Drew Sample,CIN,TE
59,Josh Oliver,MIN,TE
60,Grant Calcaterra,PHI,TE
61,Luke Farrell,SF,TE
62,Charlie Woerner,ATL,TE
63,Quintin Morris,JAC,TE
64,Kylen Granson,TEN,TE
65,Keleki Latu,BUF,TE
66,Connor Heyward,LV,TE
67,Ross Dwelley,FA,TE
68,Brevyn Spann-Ford,DAL,TE
69,Ian Thomas,LV,TE
70,Drew Ogletree,IND,TE
71,Durham Smythe,BAL,TE
72,Jake Tonges,SF,TE
73,Jack Westover,WAS,TE
74,Robert Tonyan,PIT,TE
75,Payne Durham,TB,TE
76,Andrew Beck,NYJ,RB
77,Nick Kallerup,SEA,TE
78,Josiah Deguara,FA,TE
79,Zaire Mitchell-Paden,HOU,TE
80,Teagan Quitoriano,ARI,TE
81,Robbie Ouzts,SEA,TE
82,David Martin-Robinson,TEN,TE
83,Blake Whiteheart,CLE,TE
84,Jack Stoll,FA,TE
85,Chris Manhertz,NYG,TE
86,Devin Culp,FA,TE
87,Jordan Franks,FA,TE
88,Stone Smartt,NO,TE
89,Nikola Kalinic,CHI,TE
90,Ben Sims,MIA,TE
