Rank,Player,Team,Position
1,Jaxon Smith-Njigba,SEA,WR
2,Amon-Ra St. Brown,DET,WR
3,Puka Nacua,LAR,WR
4,Rashee Rice,KC,WR
5,CeeDee Lamb,DAL,WR
6,Davante Adams,LAR,WR
7,Nico Collins,HOU,WR
8,Tee Higgins,CIN,WR
9,Emeka Egbuka,TB,WR
10,George Pickens,DAL,WR
11,Tetairoa McMillan,CAR,WR
12,Stefon Diggs,WAS,WR
13,Jameson Williams,DET,WR
14,Chris Olave,NO,WR
15,Justin Jefferson,MIN,WR
16,Zay Flowers,BAL,WR
17,DeVonta Smith,PHI,WR
18,A.J. Brown,NE,WR
19,Michael Wilson,ARI,WR
20,Wan'Dale Robinson,TEN,WR
21,Rome Odunze,CHI,WR
22,DK Metcalf,PIT,WR
23,Michael Pittman Jr.,PIT,WR
24,Jauan Jennings,MIN,WR
25,Romeo Doubs,NE,WR
26,Alec Pierce,IND,WR
27,Jakobi Meyers,JAC,WR
28,Khalil Shakir,BUF,WR
29,Christian Watson,GB,WR
30,Darnell Mooney,NYG,WR
31,Ricky Pearsall,SF,WR
32,Parker Washington,JAC,WR
33,Xavier Worthy,KC,WR
34,Jordan Addison,MIN,WR
35,Tre Tucker,LV,WR
36,DJ Moore,BUF,WR
37,Luther Burden III,CHI,WR
38,Andrei Iosivas,CIN,WR
39,Tez Johnson,TB,WR
40,Greg Dortch,BUF,WR
41,Rashid Shaheed,SEA,WR
42,Josh Downs,IND,WR
43,Kayshon Boutte,HOU,WR
44,Chimere Dike,TEN,WR
45,Mack Hollins,NE,WR
46,Jerry Jeudy,CLE,WR
47,Cooper Kupp,SEA,WR
48,Darius Slayton,NYG,WR
49,Jayden Higgins,HOU,WR
50,Chris Godwin Jr.,TB,WR
51,Adonai Mitchell,NYJ,WR
52,DeAndre Hopkins,BAL,WR
53,Van Jefferson,WAS,WR
54,Jalen Coker,CAR,WR
55,Joshua Palmer,BUF,WR
56,Xavier Legette,CAR,WR
57,Dontayvion Wicks,PHI,WR
58,Hollywood Brown,PHI,WR
59,Tyrell Shavers,BUF,WR
60,DeMario Douglas,NE,WR
61,Devaughn Vele,NO,WR
62,Cedric Tillman,NO,WR
63,Roman Wilson,FA,WR
64,Gabe Davis,FA,WR
65,John Metchie III,CAR,WR
66,Isaiah Hodgins,FA,WR
67,Tyler Lockett,LV,WR
68,Calvin Austin III,NYG,WR
69,Sterling Shepard,FA,WR
70,KhaDarel Hodge,SF,WR
71,Tim Patrick,NYJ,WR
72,Christian Kirk,SF,WR
73,Jalen Nailor,LV,WR
74,Kalif Raymond,CHI,WR
75,Elijah Moore,PHI,WR
76,Mitch Tinsley,HOU,WR
77,David Sills V,TB,WR
78,Isaac TeSlaa,DET,WR
79,Xavier Weaver,FA,WR
80,Demarcus Robinson,SF,WR
81,Isaiah Williams,NYJ,WR
82,Xavier Hutchinson,HOU,WR
83,Olamide Zaccheaus,ATL,WR
84,Jaylin Noel,HOU,WR
85,KaVontae Turpin,DAL,WR
86,Kyle Williams,NE,WR
87,Mason Kinsey,FA,WR
88,Jalin Hyatt,NYG,WR
89,Ryan Flournoy,DAL,WR
90,Tyquan Thornton,KC,WR
91,Jordan Whittington,LAR,WR
92,Dyami Brown,WAS,WR
93,Kendrick Bourne,ARI,WR
94,Jahan Dotson,ATL,WR
95,JuJu Smith-Schuster,FA,WR
96,Mason Tipton,NO,WR
97,Isaiah Bond,CLE,WR
98,Savion Williams,GB,WR
99,Dont'e Thornton Jr.,LV,WR
100,Tylan Wallace,CLE,WR
101,Jack Bech,LV,WR
102,Arian Smith,NYJ,WR
103,Malachi Corley,CLE,WR
104,Xavier Restrepo,TEN,WR
105,Andre Baccellia,FA,WR
106,Jimmy Horn Jr.,CAR,WR
107,Brycen Tremayne,CAR,WR
108,Adam Thielen,FA,WR
109,Charlie Jones,NYG,WR
110,Ashton Dulin,IND,WR
111,Devontez Walker,BAL,WR
112,James Proche II,FA,WR
113,Allen Lazard,FA,WR
114,Konata Mumpfield,LAR,WR
115,Dante Pettis,FA,WR
116,Cody White,FA,WR
117,Austin Trammell,JAC,WR
118,Bo Melton,GB,WR
119,Kameron Johnson,TB,WR
120,Kevin Austin Jr.,NO,WR
121,Ben Skowronek,PIT,WR
122,Malik Heath,FA,WR
123,Gage Larvadain,FA,WR
124,Gunner Olszewski,NYG,WR
125,Darius Cooper,PHI,WR
126,LaJohntay Wester,BAL,WR
127,Ryan Miller,MIA,WR
128,Jake Bobo,SEA,WR
129,Xavier Gipson,FA,WR
130,Brennan Presley,LAR,WR
131,Alex Bachman,LAR,WR
132,Devin Duvernay,ARI,WR
133,Nikko Remigio,KC,WR
134,Jamal Agnew,FA,WR
135,Scotty Miller,CHI,WR
136,Ke'Shawn Williams,CIN,WR
137,Skyy Moore,GB,WR
138,Anthony Gould,FA,WR
139,Dalen Cambre,NYG,WR
