Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:57 PM),Patrick Thorman (Sun 12:34 PM),Jeff Ratcliffe (Sun 12:59 PM),Sean Koerner (Sun 12:56 PM)
1,Jahmyr Gibbs,DET,RB,4,1,1,1,1
2,Bijan Robinson,ATL,RB,4,2,3,2,2
3,Christian McCaffrey,SF,RB,4,4,2,5,3
4,Ja'Marr Chase,CIN,WR,4,3,4,3,4
5,Puka Nacua,LAR,WR,4,6,5,4,5
6,Jonathan Taylor,IND,RB,4,5,7,7,7
7,Amon-Ra St. Brown,DET,WR,4,7,6,6,9
8,Jaxon Smith-Njigba,SEA,WR,4,9,9,8,6
9,De'Von Achane,MIA,RB,4,10,8,10,8
10,Saquon Barkley,PHI,RB,4,8,10,9,11
11,Derrick Henry,BAL,RB,4,12,12,12,10
12,Omarion Hampton,LAC,RB,4,11,11,11,16
13,Javonte Williams,DAL,RB,4,13,13,14,14
14,James Cook,BUF,RB,4,14,15,15,12
15,Chase Brown,CIN,RB,4,16,14,13,15
16,Kenneth Walker III,KC,RB,4,19,17,16,13
17,CeeDee Lamb,DAL,WR,4,15,18,17,18
18,Chris Olave,NO,WR,4,17,19,18,22
19,Ashton Jeanty,LV,RB,4,21,16,23,17
20,Justin Jefferson,MIN,WR,4,18,22,21,19
21,Travis Etienne,NO,RB,4,22,20,19,23
22,D'Andre Swift,CHI,RB,4,24,23,20,24
23,Nico Collins,HOU,WR,4,20,26,22,26
24,Rhamondre Stevenson,NE,RB,4,27,21,24,21
25,George Pickens,DAL,WR,4,23,25,26,25
26,Breece Hall,NYJ,RB,4,29,24,25,20
27,A.J. Brown,NE,WR,4,25,29,27,28
28,Zay Flowers,BAL,WR,4,28,28,28,31
29,DeVonta Smith,PHI,WR,4,26,31,29,29
30,Kyren Williams,LAR,RB,4,30,27,30,32
31,Bucky Irving,TB,RB,4,33,30,31,27
32,Cam Skattebo,NYG,RB,4,34,32,33,30
33,Tee Higgins,CIN,WR,4,31,34,34,34
34,Garrett Wilson,NYJ,WR,4,32,36,38,35
35,David Montgomery,HOU,RB,4,39,33,36,33
36,Tetairoa McMillan,CAR,WR,4,35,35,35,42
37,Ladd McConkey,LAC,WR,4,36,37,37,37
38,Rashee Rice,KC,WR,4,37,40,39,38
39,Trey McBride,ARI,TE,4,38,41,41,41
40,Davante Adams,LAR,WR,4,40,38,44,40
41,Jaylen Warren,PIT,RB,4,45,43,42,39
42,Drake London,ATL,WR,4,43,48,32,52
43,Jaylen Waddle,DEN,WR,4,44,47,43,47
44,Jadarian Price,SEA,RB,4,42,45,47,55
45,Luther Burden,CHI,WR,4,49,46,55,36
46,Jameson Williams,DET,WR,4,47,57,48,44
47,Jeremiyah Love,ARI,RB,4,41,53,50,51
48,Colston Loveland,CHI,TE,4,48,50,46,50
49,Emeka Egbuka,TB,WR,4,52,44,51,46
50,Chuba Hubbard,CAR,RB,4,66,39,40,54
51,Christian Watson,GB,WR,4,51,52,49,48
52,Rico Dowdle,PIT,RB,4,46,51,61,45
53,Parker Washington,JAC,WR,4,53,42,56,57
54,MarShawn Lloyd,GB,RB,4,55,49,52,58
55,Quinshon Judkins,CLE,RB,4,59,55,54,43
56,Tyler Warren,IND,TE,4,54,56,53,56
57,Malik Nabers,NYG,WR,4,50,59,45,69
58,Tony Pollard,TEN,RB,4,60,54,68,49
59,Bhayshul Tuten,JAC,RB,4,64,58,58,53
60,Mike Evans,SF,WR,4,56,63,59,59
61,Sam LaPorta,DET,TE,4,57,61,57,66
62,DK Metcalf,PIT,WR,4,58,62,62,62
63,Terry McLaurin,WAS,WR,4,61,67,60,65
64,Chris Godwin,TB,WR,4,63,64,66,63
65,Tucker Kraft,GB,TE,4,65,66,64,61
66,DJ Moore,BUF,WR,4,62,65,65,67
67,Marvin Harrison,ARI,WR,4,69,69,67,64
68,J.K. Dobbins,DEN,RB,4,67,71,70,74
69,Quentin Johnston,LAC,WR,4,68,68,71,73
70,Jordan Mason,MIN,RB,4,71,74,69,60
71,Rome Odunze,CHI,WR,4,73,73,63,79
72,Josh Downs,IND,WR,4,72,70,74,78
73,Courtland Sutton,DEN,WR,4,76,80,72,77
74,Jayden Reed,GB,WR,4,77,79,80,68
75,Kenny Gainwell,TB,RB,4,75,84,75,71
76,Aaron Jones,MIN,RB,4,90,60,79,81
77,Michael Wilson,ARI,WR,4,70,83,76,82
78,Jordan Addison,MIN,WR,4,78,78,83,75
79,Michael Pittman,PIT,WR,4,79,77,77,83
80,Wan'Dale Robinson,TEN,WR,4,81,75,85,80
81,Dallas Goedert,PHI,TE,4,74,87,81,98
82,Michael Mayer,LV,TE,4,80,76,100,72
83,Tre Tucker,LV,WR,4,88,82,89,70
84,Jacory Croskey-Merritt,WAS,RB,4,89,81,78,84
85,Juwan Johnson,NO,TE,4,84,72,87,89
86,Blake Corum,LAR,RB,4,83,85,94,88
87,Brian Thomas,JAC,WR,4,82,92,82,92
88,Harold Fannin,CLE,TE,4,85,89,84,90
89,Jakobi Meyers,JAC,WR,4,91,86,88,100
90,Travis Kelce,KC,TE,4,93,90,93,87
91,Carnell Tate,TEN,WR,4,92,99,86,91
92,Jonathon Brooks,CAR,RB,4,86,95,106,85
93,Rachaad White,WAS,RB,4,94,88,95,95
94,Jalen Coker,CAR,WR,4,97,93,90,86
95,Kyle Pitts,ATL,TE,4,95,101,73,101
96,Matthew Golden,GB,WR,4,87,91,99,106
97,Mark Andrews,BAL,TE,4,106,98,102,76
98,Isaiah Likely,NYG,TE,4,96,103,92,103
99,Chris Rodriguez,JAC,RB,4,98,94,91,116
100,RJ Harvey,DEN,RB,4,105,97,98,97
101,Stefon Diggs,WAS,WR,4,102,100,101,99
102,Romeo Doubs,NE,WR,4,99,108,104,102
103,Rashid Shaheed,SEA,WR,4,100,102,103,115
104,Alec Pierce,IND,WR,4,101,120,96,93
105,Xavier Worthy,KC,WR,4,103,110,105,110
106,Dalton Kincaid,BUF,TE,4,107,107,108,109
107,Tyjae Spears,TEN,RB,4,128,96,119,94
108,Tyler Allgeier,ARI,RB,4,104,116,97,123
109,George Kittle,SF,TE,4,111,111,112,107
110,Deebo Samuel,SF,WR,4,110,112,116,108
111,Khalil Shakir,BUF,WR,4,115,113,113,105
112,KC Concepcion,CLE,WR,4,113,115,107,112
113,Jake Ferguson,DAL,TE,4,114,114,109,117
114,Devaughn Vele,NO,WR,4,116,105,118,120
115,De'Zhaun Stribling,SF,WR,4,108,122,114,113
116,Dalton Schultz,HOU,TE,4,118,109,111,121
117,Hunter Henry,NE,TE,4,112,117,122,114
118,Kyle Monangai,CHI,RB,4,131,104,110,119
119,Keenan Allen,IND,WR,4,120,106,123,122
120,George Holani,SEA,RB,4,109,119,141,104
121,Jalen Nailor,LV,WR,4,117,118,121,118
122,Brenton Strange,JAC,TE,4,126,121,115,111
123,Adonai Mitchell,NYJ,WR,4,119,127,117,131
124,Woody Marks,HOU,RB,4,141,123,128,96
125,Dontayvion Wicks,PHI,WR,4,121,128,120,129
126,Cooper Kupp,SEA,WR,4,125,131,127,127
127,Cade Otton,TB,TE,4,132,124,129,125
128,T.J. Hockenson,MIN,TE,4,134,125,126,124
129,Malik Washington,MIA,WR,4,124,132,132,126
130,Jerry Jeudy,CLE,WR,4,127,129,130,132
131,Makai Lemon,PHI,WR,4,123,137,125,137
132,AJ Barner,SEA,TE,4,130,130,133,130
133,Terrance Ferguson,LAR,TE,4,122,136,134,144
134,Denzel Boston,CLE,WR,4,133,135,124,145
135,Rashod Bateman,BAL,WR,4,142,126,139,138
136,Tre' Harris,LAC,WR,4,129,138,140,135
137,Pat Freiermuth,PIT,TE,4,148,133,137,133
138,Greg Dulcich,MIA,TE,4,140,134,142,134
139,Kayshon Boutte,HOU,WR,4,136,143,135,139
140,Jauan Jennings,MIN,WR,4,137,141,143,140
141,Chig Okonkwo,WAS,TE,4,138,142,131,154
142,Mike Washington,LV,RB,4,143,151,136,147
143,Ja'Kobi Lane,BAL,WR,4,135,148,138,167
144,Malachi Fields,NYG,WR,3,-161,159,145,128
145,Caleb Douglas,MIA,WR,4,149,140,152,141
146,Pat Bryant,DEN,WR,3,-150,139,148,150
147,Colby Parkinson,LAR,TE,3,-156,154,144,146
148,Keaton Mitchell,LAC,RB,4,145,147,146,157
149,Ryan Flournoy,DAL,WR,4,139,150,150,143
150,Chris Bell,MIA,WR,4,144,161,149,161
151,Gunnar Helm,TEN,TE,3,-151,144,153,142
152,Evan Engram,DEN,TE,3,-153,146,151,156
153,Mike Gesicki,CIN,TE,3,-158,156,147,136
154,Dylan Sampson,CLE,RB,4,146,152,157,162
155,Calvin Ridley,TEN,WR,3,-152,145,156,149
156,Braelon Allen,NYJ,RB,4,147,166,166,151
157,Justice Hill,BAL,RB,3,-157,155,165,158
158,Samaje Perine,CIN,RB,3,-155,153,167,152
159,Darnell Mooney,NYG,WR,3,-175,175,163,148
160,Tank Bigsby,PHI,RB,3,-163,162,155,192
161,Chris Brooks,GB,RB,3,-159,157,169,155
162,Charlie Kolar,LAC,TE,3,-165,164,154,163
163,Mason Taylor,NYJ,TE,3,-164,163,162,165
164,Ted Hurst,TB,WR,3,-154,149,181,159
165,Brian Robinson,ATL,RB,3,-160,158,158,171
166,Isaac TeSlaa,DET,WR,3,-162,160,161,177
167,Darren Waller,CAR,TE,3,-166,165,164,179
168,Jaylin Noel,HOU,WR,3,-172,172,160,173
169,DeMario Douglas,NE,WR,3,-173,173,172,160
170,Xavier Legette,CAR,WR,3,-170,170,174,172
171,Andrei Iosivas,CIN,WR,3,-167,167,176,180
172,Tyquan Thornton,KC,WR,3,-168,168,168,186
173,Darnell Washington,PIT,TE,3,-176,176,175,164
174,Omar Cooper,NYJ,WR,3,-180,180,171,175
175,David Njoku,LAC,TE,3,-179,179,159,183
176,Xavier Hutchinson,HOU,WR,3,-177,177,173,168
177,Emmett Johnson,KC,RB,3,-188,188,170,169
178,Jack Bech,LV,WR,3,-178,178,178,170
179,Najee Harris,NYG,RB,3,-169,169,211,166
180,Kendre Miller,NO,RB,3,-187,187,190,153
181,Keon Coleman,BUF,WR,3,-181,181,188,178
182,Kimani Vidal,LAC,RB,3,-196,196,185,187
183,Kendrick Bourne,ARI,WR,3,-184,184,187,189
184,Jahan Dotson,ATL,WR,3,-174,174,179,221
185,Oronde Gadsden,LAC,TE,3,-205,205,184,176
186,Travis Hunter,JAC,WR,3,-189,189,183,211
187,Theo Johnson,NYG,TE,3,-183,183,182,205
188,Ray Davis,BUF,RB,3,-171,171,198,203
189,Kalif Raymond,CHI,WR,3,-186,186,191,194
190,Kenyon Sadiq,NYJ,TE,3,-208,208,202,210
191,Zachariah Branch,ATL,WR,3,-215,215,177,209
192,Tyler Higbee,LAR,TE,3,-199,199,205,182
193,Erick All,CIN,TE,3,-182,182,186,223
194,Elijah Arroyo,SEA,TE,3,-219,219,213,199
195,Jonah Coleman,DEN,RB,3,-203,203,180,197
196,Germie Bernard,PIT,WR,3,-211,211,193,193
197,Elic Ayomanor,TEN,WR,3,-198,198,194,202
198,Jacob Saylors,DET,RB,3,-197,197,215,196
