Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:57 PM),Patrick Thorman (Sun 12:07 PM),Jeff Ratcliffe (Sun 12:59 PM),Sean Koerner (Sun 12:40 PM)
1,Jahmyr Gibbs,DET,RB,4,1,1,1,1
2,Bijan Robinson,ATL,RB,4,2,3,2,2
3,Christian McCaffrey,SF,RB,4,3,2,3,3
4,Jonathan Taylor,IND,RB,4,4,4,4,4
5,De'Von Achane,MIA,RB,4,6,5,6,5
6,Saquon Barkley,PHI,RB,4,5,6,5,7
7,Derrick Henry,BAL,RB,4,8,8,8,6
8,Omarion Hampton,LAC,RB,4,7,7,7,12
9,Javonte Williams,DAL,RB,4,9,9,10,10
10,James Cook,BUF,RB,4,10,11,11,8
11,Chase Brown,CIN,RB,4,11,10,9,11
12,Kenneth Walker III,KC,RB,4,12,13,12,9
13,Ashton Jeanty,LV,RB,4,13,12,15,13
14,Travis Etienne,NO,RB,4,14,14,13,16
15,D'Andre Swift,CHI,RB,4,15,16,14,17
16,Rhamondre Stevenson,NE,RB,4,16,15,16,15
17,Breece Hall,NYJ,RB,4,17,17,17,14
18,Kyren Williams,LAR,RB,4,18,18,18,20
19,Bucky Irving,TB,RB,4,19,19,19,18
20,Cam Skattebo,NYG,RB,4,20,20,20,19
21,David Montgomery,HOU,RB,4,21,21,21,21
22,Jaylen Warren,PIT,RB,4,24,23,23,22
23,Jadarian Price,SEA,RB,4,23,24,24,29
24,Jeremiyah Love,ARI,RB,4,22,27,25,26
25,Chuba Hubbard,CAR,RB,4,30,22,22,28
26,Rico Dowdle,PIT,RB,4,25,26,29,24
27,MarShawn Lloyd,GB,RB,4,26,25,26,30
28,Quinshon Judkins,CLE,RB,4,27,29,27,23
29,Tony Pollard,TEN,RB,4,28,28,30,25
30,Bhayshul Tuten,JAC,RB,4,29,30,28,27
31,J.K. Dobbins,DEN,RB,4,31,32,32,33
32,Jordan Mason,MIN,RB,4,32,33,31,31
33,Kenny Gainwell,TB,RB,4,33,35,33,32
34,Aaron Jones,MIN,RB,4,37,31,35,34
35,Jacory Croskey-Merritt,WAS,RB,4,36,34,34,35
36,Blake Corum,LAR,RB,4,34,36,37,37
37,Jonathon Brooks,CAR,RB,4,35,39,41,36
38,Rachaad White,WAS,RB,4,38,37,38,39
39,Chris Rodriguez,JAC,RB,4,39,38,36,43
40,RJ Harvey,DEN,RB,4,41,41,40,41
41,Tyjae Spears,TEN,RB,4,43,40,43,38
42,Tyler Allgeier,ARI,RB,4,40,43,39,45
43,Kyle Monangai,CHI,RB,4,44,42,42,44
44,George Holani,SEA,RB,4,42,44,46,42
45,Woody Marks,HOU,RB,4,45,45,44,40
46,Mike Washington,LV,RB,4,46,47,45,46
47,Keaton Mitchell,LAC,RB,4,47,46,47,51
48,Dylan Sampson,CLE,RB,4,48,48,49,53
49,Braelon Allen,NYJ,RB,4,49,54,52,47
50,Justice Hill,BAL,RB,4,51,50,51,52
51,Samaje Perine,CIN,RB,4,55,49,53,48
52,Tank Bigsby,PHI,RB,4,50,53,48,59
53,Chris Brooks,GB,RB,4,54,51,54,50
54,Brian Robinson,ATL,RB,4,52,52,50,56
55,Emmett Johnson,KC,RB,4,53,58,55,55
56,Najee Harris,NYG,RB,4,56,55,61,54
57,Kendre Miller,NO,RB,4,61,57,58,49
58,Kimani Vidal,LAC,RB,4,57,60,57,57
59,Ray Davis,BUF,RB,4,58,56,59,63
60,Jonah Coleman,DEN,RB,4,60,63,56,61
61,Jacob Saylors,DET,RB,4,62,61,63,60
62,Kaelon Black,SF,RB,4,59,65,62,68
63,Kaleb Johnson,GB,RB,4,68,59,67,64
64,Emanuel Wilson,SEA,RB,4,63,66,64,66
65,Corey Kiner,NE,RB,4,65,68,66,58
66,Jaylen Wright,MIA,RB,4,64,67,65,69
67,Emari Demercado,DAL,RB,4,66,70,77,62
68,Kyle Juszczyk,SF,RB,4,67,69,74,67
69,Seth McGowan,IND,RB,4,72,64,70,75
70,Sione Vaki,DET,RB,4,77,62,79,73
71,Brashard Smith,KC,RB,4,73,75,72,70
72,Ollie Gordon,MIA,RB,4,74,73,69,76
73,Isaiah Davis,NYJ,RB,4,75,72,73,74
74,Kaytron Allen,WAS,RB,4,71,81,68,72
75,Tyrone Tracy,NYG,RB,3,69,-99,60,65
76,Devin Singletary,NYG,RB,4,78,71,76,78
77,Lan Larison,NE,RB,4,70,74,71,93
78,Hunter Luepke,DAL,RB,4,84,76,81,79
79,Demond Claiborne,MIN,RB,4,76,83,78,86
80,Rasheen Ali,BAL,RB,4,79,90,84,71
81,Will Shipley,PHI,RB,4,88,78,80,85
82,Tahj Brooks,CIN,RB,4,83,86,86,81
83,Bam Knight,ARI,RB,3,81,82,-93,84
84,Roschon Johnson,CHI,RB,4,85,80,85,89
85,LeQuint Allen,JAC,RB,3,80,-100,75,77
86,Dylan Laube,LV,RB,4,87,88,91,82
87,Ameer Abdullah,JAC,RB,4,89,79,87,98
88,Raheim Sanders,CLE,RB,4,82,93,88,92
89,Alec Ingold,LAC,RB,4,104,77,82,91
90,Josh Williams,TB,RB,3,93,84,-98,94
91,AJ Dillon,CAR,RB,2,90,-102,-95,80
92,CJ Donaldson,NO,RB,3,98,87,-102,88
93,Eli Heidenreich,PIT,RB,2,86,-101,-94,99
94,Julius Chestnut,TEN,RB,2,92,-104,-97,83
95,Frank Gore,BUF,RB,3,94,91,-99,104
96,British Brooks,HOU,RB,4,109,92,90,90
97,Reggie Gilliam,NE,RB,2,91,-103,-96,97
98,Patrick Ricard,NYG,RB,4,106,95,89,96
99,Ronnie Rivers,LAR,RB,4,97,98,92,103
100,Andrew Beck,NYJ,RB,2,95,-105,-100,95
101,Israel Abanikanda,DAL,RB,2,99,-107,-103,87
102,Adam Prentice,DEN,RB,2,105,89,-108,-109
103,Tyler Badie,DEN,RB,1,96,-106,-101,-105
104,Jawhar Jordan,HOU,RB,1,-110,85,-111,-110
105,DeeJay Dallas,MIN,RB,2,100,-108,-104,101
106,Michael Burton,CLE,RB,3,108,96,-110,102
107,Pierre Strong,GB,RB,1,101,-109,-105,-106
108,Nate Carter,KC,RB,1,-111,94,-112,-111
109,Jaleel McLaughlin,CLE,RB,1,102,-110,-106,-107
110,Audric Estime,NO,RB,1,-113,-113,83,-113
111,Salvon Ahmed,CHI,RB,1,103,-111,-107,-108
112,Max Bredeson,MIN,RB,2,107,-112,-109,100
113,DJ Herman,MIA,LB,1,-112,97,-113,-112
