Rank,Player,Team,Position,Sources,Justin Boone (Sun 8:31 AM),Patrick Thorman (Sat 10:10 AM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM)
1,Jahmyr Gibbs,DET,RB,4,1,1,1,1
2,Bijan Robinson,ATL,RB,4,2,3,2,2
3,Christian McCaffrey,SF,RB,4,3,2,3,3
4,Jonathan Taylor,IND,RB,4,5,4,4,4
5,De'Von Achane,MIA,RB,4,6,5,5,5
6,Saquon Barkley,PHI,RB,4,4,6,8,6
7,Omarion Hampton,LAC,RB,4,7,7,7,12
8,Javonte Williams,DAL,RB,4,8,8,11,8
9,Chase Brown,CIN,RB,4,11,9,6,11
10,Derrick Henry,BAL,RB,4,9,10,13,7
11,Kenneth Walker III,KC,RB,4,12,11,10,10
12,James Cook,BUF,RB,4,10,13,12,9
13,Ashton Jeanty,LV,RB,4,13,12,9,13
14,Travis Etienne,NO,RB,4,14,14,15,16
15,Rhamondre Stevenson,NE,RB,4,16,15,16,15
16,D'Andre Swift,CHI,RB,4,15,16,14,18
17,Breece Hall,NYJ,RB,4,17,17,17,14
18,Bucky Irving,TB,RB,4,19,18,18,17
19,Kyren Williams,LAR,RB,4,18,19,19,20
20,Cam Skattebo,NYG,RB,4,20,20,20,19
21,David Montgomery,HOU,RB,4,21,21,23,22
22,Jaylen Warren,PIT,RB,4,23,23,21,21
23,Jeremiyah Love,ARI,RB,4,22,24,22,26
24,Jadarian Price,SEA,RB,4,24,25,25,30
25,Rico Dowdle,PIT,RB,4,25,29,27,23
26,Chuba Hubbard,CAR,RB,4,30,22,26,27
27,Quinshon Judkins,CLE,RB,4,27,28,24,25
28,Tony Pollard,TEN,RB,4,28,26,29,24
29,MarShawn Lloyd,GB,RB,4,26,27,28,31
30,Bhayshul Tuten,JAC,RB,4,29,30,30,28
31,Kenny Gainwell,TB,RB,4,32,32,31,29
32,Jordan Mason,MIN,RB,4,33,31,33,32
33,J.K. Dobbins,DEN,RB,4,31,34,34,38
34,Aaron Jones,MIN,RB,4,36,33,32,34
35,Jonathon Brooks,CAR,RB,4,34,37,35,37
36,Rachaad White,WAS,RB,4,37,36,36,36
37,RJ Harvey,DEN,RB,4,39,35,39,35
38,Blake Corum,LAR,RB,4,35,39,38,41
39,Jacory Croskey-Merritt,WAS,RB,4,38,38,37,40
40,Tyjae Spears,TEN,RB,4,40,42,40,33
41,George Holani,SEA,RB,4,42,44,41,42
42,Chris Rodriguez,JAC,RB,4,41,41,45,45
43,Kyle Monangai,CHI,RB,4,44,40,43,44
44,Tyler Allgeier,ARI,RB,4,43,43,44,43
45,Woody Marks,HOU,RB,4,45,45,42,39
46,Mike Washington,LV,RB,4,46,47,46,46
47,Dylan Sampson,CLE,RB,4,48,46,47,50
48,Keaton Mitchell,LAC,RB,4,47,49,49,51
49,Justice Hill,BAL,RB,4,51,48,48,48
50,Samaje Perine,CIN,RB,3,-53,50,50,47
51,Chris Brooks,GB,RB,3,-54,51,53,49
52,Braelon Allen,NYJ,RB,4,49,54,52,54
53,Tank Bigsby,PHI,RB,4,50,52,55,60
54,Brian Robinson,ATL,RB,4,52,56,51,56
55,Najee Harris,NYG,RB,3,-56,55,57,52
56,Emmett Johnson,KC,RB,3,-57,57,54,53
57,Ray Davis,BUF,RB,3,-55,53,58,64
58,Kendre Miller,NO,RB,3,-58,58,60,58
59,Kimani Vidal,LAC,RB,3,-61,61,56,55
60,Jonah Coleman,DEN,RB,3,-59,59,59,72
61,Kaleb Johnson,GB,RB,3,-60,60,64,66
62,Jacob Saylors,DET,RB,3,-62,62,67,62
63,Emari Demercado,DAL,RB,3,-63,63,66,61
64,Kyle Juszczyk,SF,RB,3,-66,66,63,65
65,Jaylen Wright,MIA,RB,3,-65,65,65,69
66,Kaelon Black,SF,RB,3,-67,67,61,73
67,Isaiah Davis,NYJ,RB,3,-68,68,70,75
68,Emanuel Wilson,SEA,RB,3,-71,71,69,70
69,Corey Kiner,NE,RB,3,-75,75,68,59
70,Devin Singletary,NYG,RB,3,-69,69,73,78
71,Sione Vaki,DET,RB,3,-72,72,75,71
72,Lan Larison,NE,RB,3,-64,64,79,98
73,Ollie Gordon,MIA,RB,3,-73,73,74,77
74,Brashard Smith,KC,RB,3,-77,77,71,68
75,Hunter Luepke,DAL,RB,3,-74,74,80,76
76,Seth McGowan,IND,RB,3,-76,76,72,83
77,Alec Ingold,LAC,RB,3,-70,70,91,85
78,Will Shipley,PHI,RB,3,-78,78,81,82
79,Kaytron Allen,WAS,RB,3,-83,83,77,84
80,Nicholas Singleton,TEN,RB,3,-80,80,78,95
81,Rasheen Ali,BAL,RB,3,-89,89,82,67
82,Bam Knight,ARI,RB,2,-81,81,-104,79
83,Demond Claiborne,MIN,RB,3,-84,84,83,93
84,Tyrone Tracy,NYG,RB,2,-101,-101,62,63
85,Ameer Abdullah,JAC,RB,2,-79,79,84,-108
86,Dylan Laube,LV,RB,3,-90,90,86,80
87,Roschon Johnson,CHI,RB,3,-82,82,93,99
88,Josh Williams,TB,RB,3,-85,85,92,101
89,Tahj Brooks,CIN,RB,3,-91,91,89,91
90,Patrick Ricard,NYG,RB,3,-88,88,101,89
91,DJ Giddens,IND,RB,3,-92,92,88,90
92,LeQuint Allen,JAC,RB,2,-102,-102,76,74
93,Jawhar Jordan,HOU,RB,1,-86,86,-105,-109
94,Adam Prentice,DEN,RB,1,-87,87,-106,-110
95,AJ Dillon,CAR,RB,2,-104,-104,87,81
96,British Brooks,HOU,RB,3,-95,95,100,97
97,Michael Burton,CLE,RB,2,-94,94,-108,94
98,Raheim Sanders,CLE,RB,3,-98,98,90,102
99,Frank Gore,BUF,RB,2,-93,93,-107,104
100,Ronnie Rivers,LAR,RB,3,-96,96,103,106
101,CJ Donaldson,NO,RB,3,-99,99,98,103
102,Alvin Kamara,NO,RB,1,-111,-111,-111,57
103,Julius Chestnut,TEN,RB,2,-105,-105,94,96
104,Israel Abanikanda,DAL,RB,2,-107,-107,96,88
105,Connor Heyward,LV,RB,1,-103,-103,85,-113
106,Eli Heidenreich,PIT,RB,2,-108,-108,97,86
107,Nate Carter,KC,RB,1,-97,97,-109,-111
108,Reggie Gilliam,NE,RB,2,-106,-106,95,105
109,DJ Herman,MIA,LB,1,-100,100,-110,-112
110,Andrew Beck,NYJ,RB,2,-110,-110,102,92
111,Max Bredeson,MIN,RB,1,-112,-112,-112,87
112,Tyler Badie,DEN,RB,1,-109,-109,99,-114
113,Pierre Strong,GB,RB,1,-113,-113,-113,100
114,DeeJay Dallas,MIN,RB,1,-114,-114,-114,107
