Rank,Player,Team,Position,Sources,Patrick Thorman (Sat 10:10 AM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM),Tyler Orginski (Sat 9:55 AM)
1,Jahmyr Gibbs,DET,RB,4,1,1,1,1
2,Bijan Robinson,ATL,RB,4,4,2,2,2
3,Christian McCaffrey,SF,RB,4,2,4,4,3
4,Jonathan Taylor,IND,RB,4,3,3,3,4
5,Derrick Henry,BAL,RB,4,5,5,5,8
6,Saquon Barkley,PHI,RB,4,6,6,7,6
7,De'Von Achane,MIA,RB,4,8,9,9,5
8,Javonte Williams,DAL,RB,4,7,8,8,10
9,Omarion Hampton,LAC,RB,4,9,7,11,7
10,James Cook,BUF,RB,4,10,10,6,11
11,Chase Brown,CIN,RB,4,11,12,12,9
12,Kenneth Walker III,KC,RB,4,12,11,10,12
13,Ashton Jeanty,LV,RB,4,13,13,13,13
14,D'Andre Swift,CHI,RB,4,15,14,17,14
15,Travis Etienne,NO,RB,4,14,16,15,17
16,Breece Hall,NYJ,RB,4,18,15,14,15
17,Rhamondre Stevenson,NE,RB,4,17,17,16,18
18,Kyren Williams,LAR,RB,4,16,18,19,16
19,Bucky Irving,TB,RB,4,19,19,18,19
20,David Montgomery,HOU,RB,4,20,20,21,21
21,Cam Skattebo,NYG,RB,4,21,21,20,20
22,Jadarian Price,SEA,RB,4,23,22,27,22
23,Jaylen Warren,PIT,RB,4,24,24,22,24
24,Quinshon Judkins,CLE,RB,4,27,23,25,26
25,Chuba Hubbard,CAR,RB,4,22,28,31,25
26,Jeremiyah Love,ARI,RB,4,26,27,30,23
27,Tony Pollard,TEN,RB,4,29,25,24,29
28,MarShawn Lloyd,GB,RB,4,25,30,28,27
29,Rico Dowdle,PIT,RB,4,31,26,23,30
30,Bhayshul Tuten,JAC,RB,4,28,29,26,28
31,Jordan Mason,MIN,RB,4,30,31,29,32
32,J.K. Dobbins,DEN,RB,4,32,32,33,31
33,Jacory Croskey-Merritt,WAS,RB,4,33,34,32,34
34,Blake Corum,LAR,RB,4,35,35,34,36
35,Aaron Jones,MIN,RB,4,37,33,37,35
36,Kenny Gainwell,TB,RB,4,40,36,36,33
37,Jonathon Brooks,CAR,RB,4,36,37,35,39
38,Chris Rodriguez,JAC,RB,4,34,38,40,38
39,Rachaad White,WAS,RB,4,39,39,39,37
40,Kyle Monangai,CHI,RB,4,38,41,44,43
41,RJ Harvey,DEN,RB,4,41,44,42,40
42,Woody Marks,HOU,RB,4,43,42,38,44
43,Tyler Allgeier,ARI,RB,4,42,40,45,42
44,Tyjae Spears,TEN,RB,4,45,43,41,41
45,George Holani,SEA,RB,4,44,45,43,47
46,Mike Washington,LV,RB,4,46,46,46,45
47,Keaton Mitchell,LAC,RB,4,47,47,49,46
48,Brian Robinson,ATL,RB,4,50,48,50,49
49,Samaje Perine,CIN,RB,4,49,52,48,52
50,Braelon Allen,NYJ,RB,4,51,49,51,51
51,Tank Bigsby,PHI,RB,4,48,50,55,54
52,Dylan Sampson,CLE,RB,4,52,51,58,48
53,Justice Hill,BAL,RB,4,53,53,53,50
54,Chris Brooks,GB,RB,4,55,56,47,53
55,Emmett Johnson,KC,RB,4,59,54,54,56
56,Najee Harris,NYG,RB,3,54,55,52,-71
57,Ray Davis,BUF,RB,4,57,57,65,55
58,Kimani Vidal,LAC,RB,4,62,58,56,62
59,Kaleb Johnson,GB,RB,4,56,63,64,60
60,Kendre Miller,NO,RB,4,58,62,59,64
61,Jonah Coleman,DEN,RB,4,60,59,68,58
62,Jacob Saylors,DET,RB,4,61,64,60,69
63,Kaelon Black,SF,RB,4,64,61,67,63
64,Emanuel Wilson,SEA,RB,4,66,65,66,61
65,Emari Demercado,DAL,RB,3,63,67,61,-72
66,Corey Kiner,NE,RB,4,68,66,57,70
67,Jaylen Wright,MIA,RB,4,65,68,70,65
68,Seth McGowan,IND,RB,4,67,69,78,66
69,Devin Singletary,NYG,RB,4,71,70,76,67
70,Ollie Gordon,MIA,RB,3,69,71,73,-73
71,Sione Vaki,DET,RB,3,70,75,69,-74
72,Isaiah Davis,NYJ,RB,4,72,74,74,68
73,Tyrone Tracy,NYG,RB,3,-101,60,63,57
74,Brashard Smith,KC,RB,3,74,73,71,-76
75,Kyle Juszczyk,SF,RB,3,75,72,75,-77
76,Nicholas Singleton,TEN,RB,3,73,76,86,-75
77,Kaytron Allen,WAS,RB,3,77,77,79,-79
78,Hunter Luepke,DAL,RB,3,78,82,82,-80
79,Lan Larison,NE,RB,3,76,80,91,-78
80,Demond Claiborne,MIN,RB,3,80,81,89,-82
81,Will Shipley,PHI,RB,3,79,88,84,-81
82,Rasheen Ali,BAL,RB,3,94,79,72,-96
83,Dylan Laube,LV,RB,3,90,84,81,-92
84,Roschon Johnson,CHI,RB,3,81,90,101,-83
85,Raheim Sanders,CLE,RB,3,88,89,90,-90
86,Tahj Brooks,CIN,RB,3,89,87,93,-91
87,Josh Williams,TB,RB,3,83,94,98,-85
88,Ameer Abdullah,JAC,RB,2,84,86,-108,-86
89,LeQuint Allen,JAC,RB,2,-102,78,77,-103
90,Alec Ingold,LAC,RB,3,82,93,104,-84
91,Bam Knight,ARI,RB,2,85,-102,83,-87
92,Alvin Kamara,NO,RB,2,-110,-110,62,59
93,CJ Donaldson,NO,RB,3,86,96,99,-88
94,DJ Giddens,IND,RB,3,91,91,94,-93
95,AJ Dillon,CAR,RB,2,-103,83,80,-104
96,British Brooks,HOU,RB,3,95,99,85,-97
97,DJ Herman,MIA,LB,1,87,-103,-109,-89
98,Ronnie Rivers,LAR,RB,3,96,100,95,-98
99,Julius Chestnut,TEN,RB,2,-105,92,87,-106
100,Frank Gore,BUF,RB,2,93,-105,97,-95
101,Nate Carter,KC,RB,1,92,-104,-110,-94
102,Connor Heyward,LV,RB,1,-104,85,-113,-105
103,Michael Burton,CLE,RB,2,98,-107,102,-100
104,Reggie Gilliam,NE,RB,2,-108,98,92,-109
105,Israel Abanikanda,DAL,RB,2,-107,97,100,-108
106,Adam Prentice,DEN,RB,1,97,-106,-111,-99
107,Eli Heidenreich,PIT,RB,2,-106,95,107,-107
108,Patrick Ricard,NYG,RB,2,100,-109,105,-102
109,Jawhar Jordan,HOU,RB,1,99,-108,-112,-101
110,DeeJay Dallas,MIN,RB,1,-111,-111,88,-111
111,Tyler Badie,DEN,RB,1,-109,101,-114,-110
112,Pierre Strong,GB,RB,1,-112,-112,96,-112
113,Andrew Beck,NYJ,RB,1,-113,-113,103,-113
114,Max Bredeson,MIN,RB,1,-114,-114,106,-114
