Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:57 PM),Patrick Thorman (Sun 12:34 PM),Jeff Ratcliffe (Sun 12:59 PM),Sean Koerner (Sun 12:40 PM)
1,Trey McBride,ARI,TE,4,1,1,1,1
2,Colston Loveland,CHI,TE,4,2,2,2,2
3,Tyler Warren,IND,TE,4,3,3,3,3
4,Sam LaPorta,DET,TE,4,4,4,4,5
5,Tucker Kraft,GB,TE,4,5,5,5,4
6,Dallas Goedert,PHI,TE,4,6,8,7,11
7,Michael Mayer,LV,TE,4,7,7,12,6
8,Juwan Johnson,NO,TE,4,8,6,9,9
9,Harold Fannin,CLE,TE,4,9,9,8,10
10,Travis Kelce,KC,TE,4,10,10,11,8
11,Kyle Pitts,ATL,TE,4,11,12,6,12
12,Mark Andrews,BAL,TE,4,13,11,13,7
13,Isaiah Likely,NYG,TE,4,12,13,10,13
14,Dalton Kincaid,BUF,TE,4,14,14,14,15
15,George Kittle,SF,TE,4,15,16,17,14
16,Jake Ferguson,DAL,TE,4,17,17,15,18
17,Dalton Schultz,HOU,TE,4,18,15,16,19
18,Hunter Henry,NE,TE,4,16,18,19,17
19,Brenton Strange,JAC,TE,4,20,19,18,16
20,Cade Otton,TB,TE,4,22,20,21,21
21,T.J. Hockenson,MIN,TE,4,23,21,20,20
22,AJ Barner,SEA,TE,4,21,22,23,22
23,Terrance Ferguson,LAR,TE,4,19,25,24,27
24,Pat Freiermuth,PIT,TE,4,26,23,25,23
25,Greg Dulcich,MIA,TE,4,25,24,26,24
26,Chig Okonkwo,WAS,TE,4,24,26,22,29
27,Colby Parkinson,LAR,TE,4,27,29,27,28
28,Gunnar Helm,TEN,TE,4,29,27,30,26
29,Evan Engram,DEN,TE,4,28,28,29,30
30,Mike Gesicki,CIN,TE,4,30,30,28,25
31,Charlie Kolar,LAC,TE,4,32,32,31,31
32,Mason Taylor,NYJ,TE,4,34,31,33,33
33,Darren Waller,CAR,TE,4,31,33,34,35
34,Darnell Washington,PIT,TE,4,37,34,35,32
35,David Njoku,LAC,TE,4,38,35,32,37
36,Oronde Gadsden,LAC,TE,4,35,41,37,34
37,Theo Johnson,NYG,TE,4,39,37,36,41
38,Kenyon Sadiq,NYJ,TE,4,33,42,40,43
39,Tyler Higbee,LAR,TE,4,40,40,41,36
40,Erick All,CIN,TE,4,42,36,38,46
41,Elijah Arroyo,SEA,TE,4,36,44,44,40
42,Dawson Knox,BUF,TE,4,44,38,39,44
43,Cole Kmet,CHI,TE,4,43,39,46,39
44,Jake Tonges,SF,TE,4,41,43,45,45
45,Noah Fant,NO,TE,4,46,46,42,38
46,Noah Gray,KC,TE,4,47,45,43,49
47,Tommy Tremble,CAR,TE,4,48,47,47,42
48,Daniel Bellinger,TEN,TE,4,49,48,49,51
49,Josh Oliver,MIN,TE,4,51,50,50,47
50,Elijah Higgins,ARI,TE,4,52,49,48,50
51,Eli Raridon,NE,TE,4,45,53,53,53
52,Mitchell Evans,CAR,TE,4,58,52,54,52
53,Jonnu Smith,GB,TE,4,53,57,57,57
54,Drew Sample,CIN,TE,4,61,51,52,62
55,Adam Trautman,DEN,TE,4,62,54,58,54
56,Austin Hooper,ATL,TE,4,50,59,59,64
