Rank,Player,Team,Position,Sources,Patrick Thorman (Sat 11:04 AM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM),Tyler Orginski (Sat 9:55 AM)
1,Colston Loveland,CHI,TE,4,1,2,1,2
2,Trey McBride,ARI,TE,4,2,1,2,1
3,Tyler Warren,IND,TE,4,3,3,3,3
4,Tucker Kraft,GB,TE,4,4,5,4,6
5,Sam LaPorta,DET,TE,4,5,4,6,4
6,Dallas Goedert,PHI,TE,4,6,6,12,8
7,Juwan Johnson,NO,TE,4,7,8,8,9
8,Harold Fannin,CLE,TE,4,8,7,10,7
9,Kyle Pitts,ATL,TE,4,10,10,11,5
10,Travis Kelce,KC,TE,4,9,11,7,10
11,Mark Andrews,BAL,TE,4,13,9,5,12
12,Michael Mayer,LV,TE,4,12,13,9,13
13,Isaiah Likely,NYG,TE,4,11,12,17,11
14,Dalton Kincaid,BUF,TE,4,14,14,13,14
15,George Kittle,SF,TE,4,15,15,14,17
16,Hunter Henry,NE,TE,4,16,16,16,18
17,Jake Ferguson,DAL,TE,4,17,18,18,15
18,Brenton Strange,JAC,TE,4,19,17,15,19
19,Dalton Schultz,HOU,TE,4,18,19,20,16
20,T.J. Hockenson,MIN,TE,4,22,20,21,20
21,AJ Barner,SEA,TE,4,21,21,19,23
22,Terrance Ferguson,LAR,TE,4,20,22,25,24
23,Cade Otton,TB,TE,4,23,23,22,22
24,Pat Freiermuth,PIT,TE,4,25,24,23,26
25,Chig Okonkwo,WAS,TE,4,24,27,30,21
26,Greg Dulcich,MIA,TE,4,26,26,26,25
27,Colby Parkinson,LAR,TE,4,28,25,28,27
28,Mike Gesicki,CIN,TE,3,29,28,24,-31
29,Gunnar Helm,TEN,TE,4,30,29,27,28
30,Evan Engram,DEN,TE,4,27,30,31,30
31,Charlie Kolar,LAC,TE,4,33,31,29,29
32,Darren Waller,CAR,TE,3,32,32,33,-33
33,Mason Taylor,NYJ,TE,3,31,35,34,-32
34,Darnell Washington,PIT,TE,3,34,34,32,-34
35,David Njoku,LAC,TE,3,35,33,44,-35
36,Theo Johnson,NYG,TE,3,36,38,39,-36
37,Oronde Gadsden,LAC,TE,3,41,36,35,-41
38,Tyler Higbee,LAR,TE,3,39,40,36,-39
39,Cole Kmet,CHI,TE,3,40,41,37,-40
40,Dawson Knox,BUF,TE,3,37,43,43,-37
41,Kenyon Sadiq,NYJ,TE,3,42,37,42,-42
42,Elijah Arroyo,SEA,TE,3,44,39,40,-44
43,Jake Tonges,SF,TE,3,43,42,46,-43
44,Noah Fant,NO,TE,3,47,44,38,-47
45,Tommy Tremble,CAR,TE,3,46,45,41,-46
46,Noah Gray,KC,TE,3,45,47,48,-45
47,Josh Oliver,MIN,TE,3,49,46,45,-49
48,Mitchell Evans,CAR,TE,3,50,51,50,-50
49,Elijah Higgins,ARI,TE,3,51,48,52,-51
50,Daniel Bellinger,TEN,TE,3,48,50,58,-48
51,Eli Raridon,NE,TE,3,53,49,53,-53
52,Adam Trautman,DEN,TE,3,57,52,51,-57
53,Drew Sample,CIN,TE,3,52,54,64,-52
54,Brevyn Spann-Ford,DAL,TE,3,54,55,59,-54
55,Jonnu Smith,GB,TE,3,56,53,57,-56
56,Erick All,CIN,TE,2,38,-92,47,-38
57,Ian Thomas,LV,TE,3,55,60,66,-55
58,Durham Smythe,BAL,TE,3,58,57,63,-58
59,Mo Alie-Cox,IND,TE,3,61,58,54,-61
60,Austin Hooper,ATL,TE,3,59,56,67,-59
61,Foster Moreau,HOU,TE,3,64,61,56,-64
62,Jackson Hawes,BUF,TE,3,62,64,60,-62
63,Johnny Mundt,PHI,TE,3,63,62,61,-63
64,Brock Wright,DET,TE,3,70,59,55,-70
65,John Bates,WAS,TE,3,66,68,62,-66
66,Will Kacmarek,MIA,TE,3,65,65,70,-65
67,Ben Sinnott,WAS,TE,3,69,63,65,-69
68,Nate Boerkircher,JAC,TE,3,67,66,68,-67
69,Cade Stover,HOU,TE,3,60,73,80,-60
70,Josh Whyle,GB,TE,3,68,69,73,-68
71,Luke Schoonmaker,DAL,TE,3,71,71,69,-71
72,Matt Hibner,BAL,TE,2,73,-93,49,-73
73,Marlin Klein,HOU,TE,3,74,67,86,-74
74,Blake Whiteheart,CLE,TE,3,72,70,87,-72
75,Davis Allen,LAR,TE,3,75,72,78,-75
76,Nate Adkins,DEN,TE,3,76,75,74,-76
77,Drew Ogletree,IND,TE,3,77,79,76,-77
78,Payne Durham,TB,TE,3,80,78,72,-80
79,Tanner Koziol,JAC,TE,2,-86,74,71,-86
80,Luke Farrell,SF,TE,3,81,77,81,-81
81,Hunter Long,ARI,TE,3,84,76,75,-84
82,Sam Roush,CHI,TE,3,82,80,88,-82
83,Jeremy Ruckert,NYJ,TE,3,85,81,79,-85
84,Quintin Morris,JAC,TE,3,83,86,83,-83
85,Jake Briningstool,KC,TE,2,-87,82,85,-87
86,E.J. Jenkins,PHI,TE,2,-89,85,77,-89
87,Charlie Woerner,ATL,TE,3,79,83,111,-79
88,Kylen Granson,TEN,TE,2,-90,87,84,-90
89,Robert Tonyan,PIT,TE,2,-88,84,101,-88
90,Connor Heyward,LV,TE,1,78,-94,-112,-78
91,Jack Endries,CIN,TE,2,-91,88,92,-91
92,Justin Joly,MIA,TE,1,-95,-95,82,-95
93,Eric Saubert,SEA,TE,2,-92,89,102,-92
94,Gavin Bartholomew,MIN,TE,2,-94,91,95,-94
95,Nick Muse,ATL,TE,1,-96,-96,89,-96
96,Carsen Ryan,CLE,TE,2,-93,90,107,-93
97,Ko Kieft,TB,TE,1,-97,-97,90,-97
98,Treyton Welch,NO,TE,1,-98,-98,91,-98
99,David Martin-Robinson,TEN,TE,1,-99,-99,93,-99
100,Tanner Hudson,CIN,TE,1,-100,-100,94,-100
101,Bauer Sharp,TB,TE,1,-101,-101,96,-101
102,Tyler Conklin,DET,TE,1,-102,-102,97,-102
103,Josh Cuevas,BAL,TE,1,-103,-103,98,-103
104,Cameron Latu,NE,TE,1,-104,-104,99,-104
105,Seydou Traore,MIA,TE,1,-105,-105,100,-105
106,Jared Wiley,KC,TE,1,-106,-106,103,-106
107,Thomas Fidone,NYG,TE,1,-107,-107,104,-107
108,Dallen Bentley,DEN,TE,1,-108,-108,105,-108
109,Carter Runyon,LV,TE,1,-109,-109,106,-109
110,Colson Yankoff,WAS,TE,1,-110,-110,108,-110
111,Tanner Arkin,NE,TE,1,-111,-111,109,-111
112,Chris Manhertz,NYG,TE,1,-112,-112,110,-112
