Rank,Player,Team,Position,Sources,Justin Boone (Sun 8:31 AM),Patrick Thorman (Sat 10:45 AM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM)
1,Ja'Marr Chase,CIN,WR,4,1,1,1,1
2,Puka Nacua,LAR,WR,4,2,2,2,2
3,Amon-Ra St. Brown,DET,WR,4,3,3,3,3
4,Jaxon Smith-Njigba,SEA,WR,4,4,4,4,4
5,CeeDee Lamb,DAL,WR,4,5,5,5,5
6,Chris Olave,NO,WR,4,6,6,6,6
7,Justin Jefferson,MIN,WR,4,7,7,7,7
8,Nico Collins,HOU,WR,4,8,8,8,9
9,George Pickens,DAL,WR,4,9,9,9,8
10,DeVonta Smith,PHI,WR,4,11,10,10,10
11,A.J. Brown,NE,WR,4,10,12,11,11
12,Zay Flowers,BAL,WR,4,12,11,13,13
13,Tee Higgins,CIN,WR,4,13,13,16,12
14,Garrett Wilson,NYJ,WR,4,14,14,12,14
15,Tetairoa McMillan,CAR,WR,4,15,15,17,17
16,Ladd McConkey,LAC,WR,4,16,16,18,16
17,Rashee Rice,KC,WR,4,17,17,15,18
18,Drake London,ATL,WR,4,19,18,14,24
19,Davante Adams,LAR,WR,4,18,19,20,19
20,Jaylen Waddle,DEN,WR,4,20,21,19,22
21,Luther Burden,CHI,WR,4,22,24,21,15
22,Malik Nabers,NYG,WR,4,23,22,23,20
23,Jameson Williams,DET,WR,4,21,28,22,21
24,Emeka Egbuka,TB,WR,4,25,23,24,23
25,Parker Washington,JAC,WR,4,26,20,26,28
26,Christian Watson,GB,WR,4,24,26,25,27
27,Mike Evans,SF,WR,4,27,29,27,26
28,Chris Godwin,TB,WR,4,31,25,29,25
29,Terry McLaurin,WAS,WR,4,29,27,28,32
30,DK Metcalf,PIT,WR,4,28,31,31,29
31,DJ Moore,BUF,WR,4,30,30,30,31
32,Marvin Harrison,ARI,WR,4,33,37,33,30
33,Quentin Johnston,LAC,WR,4,32,32,38,35
34,Josh Downs,IND,WR,4,34,34,32,36
35,Wan'Dale Robinson,TEN,WR,4,39,33,40,34
36,Michael Pittman,PIT,WR,4,40,35,34,38
37,Rome Odunze,CHI,WR,4,36,36,36,43
38,Michael Wilson,ARI,WR,4,35,39,37,41
39,Jayden Reed,GB,WR,4,38,42,39,33
40,Jordan Addison,MIN,WR,4,41,38,41,40
41,Tre Tucker,LV,WR,4,44,40,42,37
42,Jakobi Meyers,JAC,WR,4,45,41,45,46
43,Brian Thomas,JAC,WR,4,42,46,43,47
44,Carnell Tate,TEN,WR,4,46,45,44,44
45,Jalen Coker,CAR,WR,4,47,44,46,42
46,Matthew Golden,GB,WR,4,43,43,48,51
47,Stefon Diggs,WAS,WR,4,51,47,47,45
48,Alec Pierce,IND,WR,4,50,49,50,50
49,Romeo Doubs,NE,WR,4,48,53,49,49
50,Rashid Shaheed,SEA,WR,4,49,48,54,58
51,KC Concepcion,CLE,WR,4,55,50,51,52
52,Khalil Shakir,BUF,WR,4,56,51,52,48
53,Xavier Worthy,KC,WR,4,52,52,53,54
54,Deebo Samuel,SF,WR,4,54,54,56,53
55,De'Zhaun Stribling,SF,WR,4,53,58,55,55
56,Devaughn Vele,NO,WR,4,57,55,57,56
57,Jalen Nailor,LV,WR,4,58,57,58,60
58,Keenan Allen,IND,WR,4,59,56,61,57
59,Adonai Mitchell,NYJ,WR,4,60,61,59,64
60,Malik Washington,MIA,WR,4,63,59,63,59
61,Dontayvion Wicks,PHI,WR,4,61,62,60,62
62,Jerry Jeudy,CLE,WR,4,65,60,62,63
63,Cooper Kupp,SEA,WR,4,64,63,65,61
64,Makai Lemon,PHI,WR,4,62,65,64,69
65,Tre' Harris,LAC,WR,4,66,67,68,65
66,Denzel Boston,CLE,WR,4,67,64,66,72
67,Jauan Jennings,MIN,WR,4,70,69,67,67
68,Kayshon Boutte,HOU,WR,4,69,72,69,66
69,Courtland Sutton,DEN,WR,3,37,-150,35,39
70,Ryan Flournoy,DAL,WR,4,71,71,72,70
71,Caleb Douglas,MIA,WR,4,74,70,73,68
72,Rashod Bateman,BAL,WR,4,72,66,71,81
73,Pat Bryant,DEN,WR,3,-77,68,74,73
74,Ja'Kobi Lane,BAL,WR,4,68,77,70,83
75,Malachi Fields,NYG,WR,4,75,74,76,71
76,Chris Bell,MIA,WR,4,73,75,77,74
77,Calvin Ridley,TEN,WR,3,-79,76,75,79
78,Jaylin Noel,HOU,WR,4,76,81,78,82
79,Isaac TeSlaa,DET,WR,3,-80,78,80,84
80,Xavier Legette,CAR,WR,3,-81,79,82,80
81,DeMario Douglas,NE,WR,3,-83,82,79,78
82,Andrei Iosivas,CIN,WR,3,-82,80,83,91
83,Jack Bech,LV,WR,3,-87,86,85,77
84,Xavier Hutchinson,HOU,WR,3,-88,87,84,76
85,Darnell Mooney,NYG,WR,3,-86,85,81,92
86,Tyquan Thornton,KC,WR,3,-85,84,86,94
87,Kendrick Bourne,ARI,WR,3,-89,88,88,87
88,Jahan Dotson,ATL,WR,3,-84,83,92,104
89,Omar Cooper,NYJ,WR,3,-90,89,87,95
90,Kalif Raymond,CHI,WR,3,-91,90,91,89
91,Keon Coleman,BUF,WR,3,-94,93,89,85
92,Ted Hurst,TB,WR,2,-78,73,-164,75
93,Roman Wilson,PIT,WR,3,-92,91,100,97
94,Travis Hunter,JAC,WR,3,-93,92,93,101
95,Germie Bernard,PIT,WR,3,-102,101,90,90
96,Bryce Lance,NO,WR,3,-97,96,96,102
97,Odell Beckham,NYG,WR,3,-99,98,102,96
98,Cyrus Allen,KC,WR,3,-95,94,103,112
99,Elic Ayomanor,TEN,WR,3,-98,97,98,118
100,Joshua Palmer,BUF,WR,3,-103,102,97,106
101,KaVontae Turpin,DAL,WR,3,-100,99,104,109
102,Troy Franklin,DEN,WR,3,-110,109,95,88
103,Treylon Burks,WAS,WR,3,-96,95,113,116
104,Marvin Mims,DEN,WR,3,-101,100,106,110
105,Jalen Tolbert,MIA,WR,3,-104,103,110,98
106,Zachariah Branch,ATL,WR,3,-106,105,94,111
107,Tez Johnson,TB,WR,3,-108,107,108,99
108,Olamide Zaccheaus,ATL,WR,3,-105,104,112,108
109,Kyle Williams,NE,WR,3,-116,115,101,86
110,Demarcus Robinson,SF,WR,3,-107,106,105,115
111,Mack Hollins,NE,WR,3,-109,108,107,107
112,Isaiah Williams,NYJ,WR,3,-111,110,109,100
113,Antonio Williams,WAS,WR,3,-121,120,99,93
114,Jordan Whittington,LAR,WR,3,-112,111,111,114
115,Malik Benson,LV,WR,3,-115,114,114,105
116,Ashton Dulin,IND,WR,3,-113,112,115,119
117,Hollywood Brown,PHI,WR,3,-114,113,116,120
118,Barion Brown,NO,WR,3,-118,117,117,125
119,Isaiah Bond,CLE,WR,3,-117,116,122,126
120,Devontez Walker,BAL,WR,3,-120,119,118,131
121,Chimere Dike,TEN,WR,3,-122,121,125,121
122,Brenen Thompson,LAC,WR,3,-125,124,119,123
123,Jimmy Horn,CAR,WR,3,-126,125,124,117
124,Konata Mumpfield,LAR,WR,3,-124,123,120,128
125,Tai Felton,MIN,WR,3,-123,122,130,134
126,Colbie Young,CIN,WR,3,-133,132,123,113
127,Elijah Sarratt,BAL,WR,3,-128,127,129,127
128,Zavion Thomas,CHI,WR,3,-131,130,126,122
129,Kevin Austin,NO,WR,2,-119,118,-165,129
130,Xavier Smith,LAR,WR,3,-143,142,121,103
131,Laquon Treadwell,IND,WR,3,-132,131,139,142
132,Dohnte Meyers,CIN,WR,2,-127,126,-166,132
133,Tom Kennedy,DET,WR,3,-129,128,146,148
134,Luke McCaffrey,WAS,WR,3,-144,143,127,124
135,Skyler Bell,BUF,WR,3,-141,140,133,133
136,Skyy Moore,GB,WR,3,-137,136,137,143
137,Jonathan Mingo,DAL,WR,3,-135,134,140,149
138,KhaDarel Hodge,SF,WR,3,-134,133,145,153
139,Jaylin Lane,WAS,WR,3,-145,144,138,138
140,Brycen Tremayne,CAR,WR,3,-130,129,152,172
141,Tay Martin,DET,WR,3,-149,148,142,130
142,Josh Cameron,JAC,WR,2,-151,-151,128,140
143,Jahdae Walker,CHI,WR,2,-152,-152,131,136
144,Jalen Brooks,ARI,WR,3,-142,141,148,152
145,John Metchie,CAR,WR,2,-153,-153,132,137
146,Darius Cooper,PHI,WR,2,-138,137,136,-180
147,Kameron Johnson,TB,WR,3,-146,145,149,145
148,Devin Duvernay,ARI,WR,2,-136,135,151,-179
149,Jalen Royals,KC,WR,2,-155,-155,135,139
150,Kaden Wetjen,PIT,WR,2,-156,-156,141,144
151,Braxton Berrios,NYG,WR,3,-139,138,162,178
152,Deion Burks,IND,WR,2,-158,-158,144,141
153,KeAndre Lambert-Smith,LAC,WR,2,-159,-159,147,135
154,Dyami Brown,WAS,WR,1,-140,139,-167,-181
155,Jared Wayne,HOU,WR,3,-148,147,160,166
156,Kevin Coleman,MIA,WR,3,-150,149,153,167
157,Ryan Miller,MIA,WR,3,-147,146,161,171
158,Derius Davis,LAC,WR,2,-157,-157,143,162
159,Reggie Virgil,ARI,WR,1,-154,-154,134,-182
160,Tylan Wallace,CLE,WR,2,-160,-160,150,150
161,Bo Melton,GB,WR,2,-162,-162,155,146
162,Malachi Corley,CLE,WR,2,-161,-161,154,154
163,Jacob Cowing,SF,WR,2,-163,-163,156,158
164,Ben Skowronek,PIT,WR,2,-165,-165,158,155
165,Lil'Jordan Humphrey,DEN,WR,2,-166,-166,159,151
166,Elijah Moore,PHI,WR,2,-164,-164,157,160
167,Velus Jones,SEA,WR,1,-168,-168,-168,147
168,Nikko Remigio,KC,WR,2,-167,-167,163,157
169,J. Michael Sturdivant,GB,WR,1,-169,-169,-169,156
170,Arian Smith,NYJ,WR,1,-170,-170,-170,159
171,LaJohntay Wester,BAL,WR,1,-171,-171,-171,161
172,Ke'Shawn Williams,CIN,WR,1,-172,-172,-172,163
173,Montorie Foster,SEA,WR,1,-173,-173,-173,164
174,Dareke Young,LV,WR,1,-174,-174,-174,165
175,Britain Covey,PHI,WR,1,-175,-175,-175,168
176,Simi Fehoko,ARI,WR,1,-176,-176,-176,169
177,Cody White,LV,WR,1,-177,-177,-177,170
178,Chris Moore,BAL,WR,1,-178,-178,-178,173
179,Chris Blair,ATL,WR,1,-179,-179,-179,174
180,Kaden Davis,CHI,WR,1,-180,-180,-180,175
181,Dalen Cambre,NYG,WR,1,-181,-181,-181,176
182,Greg Dortch,BUF,WR,1,-182,-182,-182,177
