Rank,Player,Team,Position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Christian McCaffrey,SF,RB
4,Jonathan Taylor,IND,RB
5,De'Von Achane,MIA,RB
6,Saquon Barkley,PHI,RB
7,Derrick Henry,BAL,RB
8,Omarion Hampton,LAC,RB
9,Javonte Williams,DAL,RB
10,James Cook,BUF,RB
11,Chase Brown,CIN,RB
12,Kenneth Walker III,KC,RB
13,Ashton Jeanty,LV,RB
14,Travis Etienne,NO,RB
15,D'Andre Swift,CHI,RB
16,Rhamondre Stevenson,NE,RB
17,Breece Hall,NYJ,RB
18,Kyren Williams,LAR,RB
19,Bucky Irving,TB,RB
20,Cam Skattebo,NYG,RB
21,David Montgomery,HOU,RB
22,Jaylen Warren,PIT,RB
23,Jadarian Price,SEA,RB
24,Jeremiyah Love,ARI,RB
25,Chuba Hubbard,CAR,RB
26,Rico Dowdle,PIT,RB
27,MarShawn Lloyd,GB,RB
28,Quinshon Judkins,CLE,RB
29,Tony Pollard,TEN,RB
30,Bhayshul Tuten,JAC,RB
31,J.K. Dobbins,DEN,RB
32,Jordan Mason,MIN,RB
33,Kenny Gainwell,TB,RB
34,Aaron Jones,MIN,RB
35,Jacory Croskey-Merritt,WAS,RB
36,Blake Corum,LAR,RB
37,Jonathon Brooks,CAR,RB
38,Rachaad White,WAS,RB
39,Chris Rodriguez,JAC,RB
40,RJ Harvey,DEN,RB
41,Tyjae Spears,TEN,RB
42,Tyler Allgeier,ARI,RB
43,Kyle Monangai,CHI,RB
44,George Holani,SEA,RB
45,Woody Marks,HOU,RB
46,Mike Washington,LV,RB
47,Keaton Mitchell,LAC,RB
48,Dylan Sampson,CLE,RB
49,Braelon Allen,NYJ,RB
50,Justice Hill,BAL,RB
51,Samaje Perine,CIN,RB
52,Tank Bigsby,PHI,RB
53,Chris Brooks,GB,RB
54,Brian Robinson,ATL,RB
55,Emmett Johnson,KC,RB
56,Najee Harris,NYG,RB
57,Kendre Miller,NO,RB
58,Kimani Vidal,LAC,RB
59,Ray Davis,BUF,RB
60,Jonah Coleman,DEN,RB
61,Jacob Saylors,DET,RB
62,Kaelon Black,SF,RB
63,Kaleb Johnson,GB,RB
64,Emanuel Wilson,SEA,RB
65,Corey Kiner,NE,RB
66,Jaylen Wright,MIA,RB
67,Emari Demercado,DAL,RB
68,Kyle Juszczyk,SF,RB
69,Seth McGowan,IND,RB
70,Sione Vaki,DET,RB
71,Brashard Smith,KC,RB
72,Ollie Gordon,MIA,RB
73,Isaiah Davis,NYJ,RB
74,Kaytron Allen,WAS,RB
75,Tyrone Tracy,NYG,RB
76,Devin Singletary,NYG,RB
77,Lan Larison,NE,RB
78,Hunter Luepke,DAL,RB
79,Demond Claiborne,MIN,RB
80,Rasheen Ali,BAL,RB
81,Will Shipley,PHI,RB
82,Tahj Brooks,CIN,RB
83,Bam Knight,ARI,RB
84,Roschon Johnson,CHI,RB
85,LeQuint Allen,JAC,RB
86,Dylan Laube,LV,RB
87,Ameer Abdullah,JAC,RB
88,Raheim Sanders,CLE,RB
89,Alec Ingold,LAC,RB
90,Josh Williams,TB,RB
91,AJ Dillon,CAR,RB
92,CJ Donaldson,NO,RB
93,Eli Heidenreich,PIT,RB
94,Julius Chestnut,TEN,RB
95,Frank Gore,BUF,RB
96,British Brooks,HOU,RB
97,Reggie Gilliam,NE,RB
98,Patrick Ricard,NYG,RB
99,Ronnie Rivers,LAR,RB
100,Andrew Beck,NYJ,RB
101,Israel Abanikanda,DAL,RB
102,Adam Prentice,DEN,RB
103,Tyler Badie,DEN,RB
104,Jawhar Jordan,HOU,RB
105,DeeJay Dallas,MIN,RB
106,Michael Burton,CLE,RB
107,Pierre Strong,GB,RB
108,Nate Carter,KC,RB
109,Jaleel McLaughlin,CLE,RB
110,Audric Estime,NO,RB
111,Salvon Ahmed,CHI,RB
112,Max Bredeson,MIN,RB
113,DJ Herman,MIA,LB
