Rank,Player,Team,Position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Christian McCaffrey,SF,RB
4,Jonathan Taylor,IND,RB
5,De'Von Achane,MIA,RB
6,Saquon Barkley,PHI,RB
7,Omarion Hampton,LAC,RB
8,Javonte Williams,DAL,RB
9,Chase Brown,CIN,RB
10,Derrick Henry,BAL,RB
11,Kenneth Walker III,KC,RB
12,James Cook,BUF,RB
13,Ashton Jeanty,LV,RB
14,Travis Etienne,NO,RB
15,Rhamondre Stevenson,NE,RB
16,D'Andre Swift,CHI,RB
17,Breece Hall,NYJ,RB
18,Bucky Irving,TB,RB
19,Kyren Williams,LAR,RB
20,Cam Skattebo,NYG,RB
21,David Montgomery,HOU,RB
22,Jaylen Warren,PIT,RB
23,Jeremiyah Love,ARI,RB
24,Jadarian Price,SEA,RB
25,Rico Dowdle,PIT,RB
26,Chuba Hubbard,CAR,RB
27,Quinshon Judkins,CLE,RB
28,Tony Pollard,TEN,RB
29,MarShawn Lloyd,GB,RB
30,Bhayshul Tuten,JAC,RB
31,Kenny Gainwell,TB,RB
32,Jordan Mason,MIN,RB
33,J.K. Dobbins,DEN,RB
34,Aaron Jones,MIN,RB
35,Jonathon Brooks,CAR,RB
36,Rachaad White,WAS,RB
37,RJ Harvey,DEN,RB
38,Blake Corum,LAR,RB
39,Jacory Croskey-Merritt,WAS,RB
40,Tyjae Spears,TEN,RB
41,George Holani,SEA,RB
42,Chris Rodriguez,JAC,RB
43,Kyle Monangai,CHI,RB
44,Tyler Allgeier,ARI,RB
45,Woody Marks,HOU,RB
46,Mike Washington,LV,RB
47,Dylan Sampson,CLE,RB
48,Keaton Mitchell,LAC,RB
49,Justice Hill,BAL,RB
50,Samaje Perine,CIN,RB
51,Chris Brooks,GB,RB
52,Braelon Allen,NYJ,RB
53,Tank Bigsby,PHI,RB
54,Brian Robinson,ATL,RB
55,Najee Harris,NYG,RB
56,Emmett Johnson,KC,RB
57,Ray Davis,BUF,RB
58,Kendre Miller,NO,RB
59,Kimani Vidal,LAC,RB
60,Jonah Coleman,DEN,RB
61,Kaleb Johnson,GB,RB
62,Jacob Saylors,DET,RB
63,Emari Demercado,DAL,RB
64,Kyle Juszczyk,SF,RB
65,Jaylen Wright,MIA,RB
66,Kaelon Black,SF,RB
67,Isaiah Davis,NYJ,RB
68,Emanuel Wilson,SEA,RB
69,Corey Kiner,NE,RB
70,Devin Singletary,NYG,RB
71,Sione Vaki,DET,RB
72,Lan Larison,NE,RB
73,Ollie Gordon,MIA,RB
74,Brashard Smith,KC,RB
75,Hunter Luepke,DAL,RB
76,Seth McGowan,IND,RB
77,Alec Ingold,LAC,RB
78,Will Shipley,PHI,RB
79,Kaytron Allen,WAS,RB
80,Nicholas Singleton,TEN,RB
81,Rasheen Ali,BAL,RB
82,Bam Knight,ARI,RB
83,Demond Claiborne,MIN,RB
84,Tyrone Tracy,NYG,RB
85,Ameer Abdullah,JAC,RB
86,Dylan Laube,LV,RB
87,Roschon Johnson,CHI,RB
88,Josh Williams,TB,RB
89,Tahj Brooks,CIN,RB
90,Patrick Ricard,NYG,RB
91,DJ Giddens,IND,RB
92,LeQuint Allen,JAC,RB
93,Jawhar Jordan,HOU,RB
94,Adam Prentice,DEN,RB
95,AJ Dillon,CAR,RB
96,British Brooks,HOU,RB
97,Michael Burton,CLE,RB
98,Raheim Sanders,CLE,RB
99,Frank Gore,BUF,RB
100,Ronnie Rivers,LAR,RB
101,CJ Donaldson,NO,RB
102,Alvin Kamara,NO,RB
103,Julius Chestnut,TEN,RB
104,Israel Abanikanda,DAL,RB
105,Connor Heyward,LV,RB
106,Eli Heidenreich,PIT,RB
107,Nate Carter,KC,RB
108,Reggie Gilliam,NE,RB
109,DJ Herman,MIA,LB
110,Andrew Beck,NYJ,RB
111,Max Bredeson,MIN,RB
112,Tyler Badie,DEN,RB
113,Pierre Strong,GB,RB
114,DeeJay Dallas,MIN,RB
