Rank,Player,Team,Position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Christian McCaffrey,SF,RB
4,Jonathan Taylor,IND,RB
5,Derrick Henry,BAL,RB
6,Saquon Barkley,PHI,RB
7,De'Von Achane,MIA,RB
8,Javonte Williams,DAL,RB
9,Omarion Hampton,LAC,RB
10,James Cook,BUF,RB
11,Chase Brown,CIN,RB
12,Kenneth Walker III,KC,RB
13,Ashton Jeanty,LV,RB
14,D'Andre Swift,CHI,RB
15,Travis Etienne,NO,RB
16,Breece Hall,NYJ,RB
17,Rhamondre Stevenson,NE,RB
18,Kyren Williams,LAR,RB
19,Bucky Irving,TB,RB
20,David Montgomery,HOU,RB
21,Cam Skattebo,NYG,RB
22,Jadarian Price,SEA,RB
23,Jaylen Warren,PIT,RB
24,Quinshon Judkins,CLE,RB
25,Chuba Hubbard,CAR,RB
26,Jeremiyah Love,ARI,RB
27,Tony Pollard,TEN,RB
28,MarShawn Lloyd,GB,RB
29,Rico Dowdle,PIT,RB
30,Bhayshul Tuten,JAC,RB
31,Jordan Mason,MIN,RB
32,J.K. Dobbins,DEN,RB
33,Jacory Croskey-Merritt,WAS,RB
34,Blake Corum,LAR,RB
35,Aaron Jones,MIN,RB
36,Kenny Gainwell,TB,RB
37,Jonathon Brooks,CAR,RB
38,Chris Rodriguez,JAC,RB
39,Rachaad White,WAS,RB
40,Kyle Monangai,CHI,RB
41,RJ Harvey,DEN,RB
42,Woody Marks,HOU,RB
43,Tyler Allgeier,ARI,RB
44,Tyjae Spears,TEN,RB
45,George Holani,SEA,RB
46,Mike Washington,LV,RB
47,Keaton Mitchell,LAC,RB
48,Brian Robinson,ATL,RB
49,Samaje Perine,CIN,RB
50,Braelon Allen,NYJ,RB
51,Tank Bigsby,PHI,RB
52,Dylan Sampson,CLE,RB
53,Justice Hill,BAL,RB
54,Chris Brooks,GB,RB
55,Emmett Johnson,KC,RB
56,Najee Harris,NYG,RB
57,Ray Davis,BUF,RB
58,Kimani Vidal,LAC,RB
59,Kaleb Johnson,GB,RB
60,Kendre Miller,NO,RB
61,Jonah Coleman,DEN,RB
62,Jacob Saylors,DET,RB
63,Kaelon Black,SF,RB
64,Emanuel Wilson,SEA,RB
65,Emari Demercado,DAL,RB
66,Corey Kiner,NE,RB
67,Jaylen Wright,MIA,RB
68,Seth McGowan,IND,RB
69,Devin Singletary,NYG,RB
70,Ollie Gordon,MIA,RB
71,Sione Vaki,DET,RB
72,Isaiah Davis,NYJ,RB
73,Tyrone Tracy,NYG,RB
74,Brashard Smith,KC,RB
75,Kyle Juszczyk,SF,RB
76,Nicholas Singleton,TEN,RB
77,Kaytron Allen,WAS,RB
78,Hunter Luepke,DAL,RB
79,Lan Larison,NE,RB
80,Demond Claiborne,MIN,RB
81,Will Shipley,PHI,RB
82,Rasheen Ali,BAL,RB
83,Dylan Laube,LV,RB
84,Roschon Johnson,CHI,RB
85,Raheim Sanders,CLE,RB
86,Tahj Brooks,CIN,RB
87,Josh Williams,TB,RB
88,Ameer Abdullah,JAC,RB
89,LeQuint Allen,JAC,RB
90,Alec Ingold,LAC,RB
91,Bam Knight,ARI,RB
92,Alvin Kamara,NO,RB
93,CJ Donaldson,NO,RB
94,DJ Giddens,IND,RB
95,AJ Dillon,CAR,RB
96,British Brooks,HOU,RB
97,DJ Herman,MIA,LB
98,Ronnie Rivers,LAR,RB
99,Julius Chestnut,TEN,RB
100,Frank Gore,BUF,RB
101,Nate Carter,KC,RB
102,Connor Heyward,LV,RB
103,Michael Burton,CLE,RB
104,Reggie Gilliam,NE,RB
105,Israel Abanikanda,DAL,RB
106,Adam Prentice,DEN,RB
107,Eli Heidenreich,PIT,RB
108,Patrick Ricard,NYG,RB
109,Jawhar Jordan,HOU,RB
110,DeeJay Dallas,MIN,RB
111,Tyler Badie,DEN,RB
112,Pierre Strong,GB,RB
113,Andrew Beck,NYJ,RB
114,Max Bredeson,MIN,RB
