Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Jahmyr Gibbs","DET","RB",1,6,"ACTIVE"
2,"Bijan Robinson","ATL","RB",2,11,"ACTIVE"
3,"Christian McCaffrey","SF","RB",3,8,"ACTIVE"
4,"Jonathan Taylor","IND","RB",4,13,"ACTIVE"
5,"Ja'Marr Chase","CIN","WR",1,6,"ACTIVE"
6,"De'Von Achane","MIA","RB",5,6,"ACTIVE"
7,"Puka Nacua","LAR","WR",2,11,"ACTIVE"
8,"Saquon Barkley","PHI","RB",6,10,"ACTIVE"
9,"Amon-Ra St. Brown","DET","WR",3,6,"ACTIVE"
10,"Omarion Hampton","LAC","RB",7,7,"ACTIVE"
11,"Derrick Henry","BAL","RB",8,13,"ACTIVE"
12,"Javonte Williams","DAL","RB",9,14,"ACTIVE"
13,"Jaxon Smith-Njigba","SEA","WR",4,11,"ACTIVE"
14,"CeeDee Lamb","DAL","WR",5,14,"ACTIVE"
15,"Chase Brown","CIN","RB",10,6,"ACTIVE"
16,"James Cook","BUF","RB",11,7,"ACTIVE"
17,"Kenneth Walker III","KC","RB",12,5,"ACTIVE"
18,"Ashton Jeanty","LV","RB",13,13,"ACTIVE"
19,"Chris Olave","NO","WR",6,8,"ACTIVE"
20,"Travis Etienne Jr.","NO","RB",14,8,"ACTIVE"
21,"Breece Hall","NYJ","RB",15,13,"ACTIVE"
22,"Justin Jefferson","MIN","WR",7,6,"ACTIVE"
23,"Nico Collins","HOU","WR",8,8,"ACTIVE"
24,"D'Andre Swift","CHI","RB",16,10,"ACTIVE"
25,"George Pickens","DAL","WR",9,14,"ACTIVE"
26,"Rhamondre Stevenson","NE","RB",17,11,"ACTIVE"
27,"DeVonta Smith","PHI","WR",10,10,"ACTIVE"
28,"Kyren Williams","LAR","RB",18,11,"ACTIVE"
29,"A.J. Brown","NE","WR",11,11,"ACTIVE"
30,"Zay Flowers","BAL","WR",12,13,"ACTIVE"
31,"Trey McBride","ARI","TE",1,14,"ACTIVE"
32,"Tee Higgins","CIN","WR",13,6,"ACTIVE"
33,"Tetairoa McMillan","CAR","WR",14,5,"ACTIVE"
34,"Garrett Wilson","NYJ","WR",15,13,"ACTIVE"
35,"Bucky Irving","TB","RB",19,10,"ACTIVE"
36,"Rashee Rice","KC","WR",16,5,"ACTIVE"
37,"David Montgomery","HOU","RB",20,8,"ACTIVE"
38,"Ladd McConkey","LAC","WR",17,7,"ACTIVE"
39,"Drake London","ATL","WR",18,11,"ACTIVE"
40,"Davante Adams","LAR","WR",19,11,"ACTIVE"
41,"Jaylen Warren","PIT","RB",21,9,"ACTIVE"
42,"Luther Burden III","CHI","WR",20,10,"ACTIVE"
43,"Jadarian Price","SEA","RB",22,11,"ACTIVE"
44,"Jaylen Waddle","DEN","WR",21,10,"ACTIVE"
45,"Emeka Egbuka","TB","WR",22,10,"ACTIVE"
46,"Jameson Williams","DET","WR",23,6,"ACTIVE"
47,"Chuba Hubbard","CAR","RB",23,5,"ACTIVE"
48,"Cam Skattebo","NYG","RB",24,8,"ACTIVE"
49,"Malik Nabers","NYG","WR",24,8,"QUEST"
50,"Christian Watson","GB","WR",25,11,"ACTIVE"
51,"Parker Washington","JAX","WR",26,7,"ACTIVE"
52,"Jeremiyah Love","ARI","RB",25,14,"QUEST"
53,"Colston Loveland","CHI","TE",2,10,"ACTIVE"
54,"Quinshon Judkins","CLE","RB",26,11,"ACTIVE"
55,"Tyler Warren","IND","TE",3,13,"ACTIVE"
56,"D.K. Metcalf","PIT","WR",27,9,"ACTIVE"
57,"Mike Evans","SF","WR",28,8,"ACTIVE"
58,"MarShawn Lloyd","GB","RB",27,11,"ACTIVE"
59,"Rico Dowdle","PIT","RB",28,9,"ACTIVE"
60,"Terry McLaurin","WAS","WR",29,7,"ACTIVE"
61,"Tony Pollard","TEN","RB",29,9,"ACTIVE"
62,"Sam LaPorta","DET","TE",4,6,"ACTIVE"
63,"Tucker Kraft","GB","TE",5,11,"ACTIVE"
64,"Bhayshul Tuten","JAX","RB",30,7,"ACTIVE"
65,"DJ Moore","BUF","WR",30,7,"ACTIVE"
66,"Chris Godwin","TB","WR",31,10,"ACTIVE"
67,"Rome Odunze","CHI","WR",32,10,"QUEST"
68,"Quentin Johnston","LAC","WR",33,7,"ACTIVE"
