Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Jahmyr Gibbs","DET","RB",1,6,"ACTIVE"
2,"Bijan Robinson","ATL","RB",2,11,"ACTIVE"
3,"Jonathan Taylor","IND","RB",3,13,"ACTIVE"
4,"Christian McCaffrey","SF","RB",4,8,"ACTIVE"
5,"Derrick Henry","BAL","RB",5,13,"ACTIVE"
6,"Saquon Barkley","PHI","RB",6,10,"ACTIVE"
7,"De'Von Achane","MIA","RB",7,6,"ACTIVE"
8,"Javonte Williams","DAL","RB",8,14,"ACTIVE"
9,"Omarion Hampton","LAC","RB",9,7,"ACTIVE"
10,"James Cook","BUF","RB",10,7,"ACTIVE"
11,"Chase Brown","CIN","RB",11,6,"ACTIVE"
12,"Ja'Marr Chase","CIN","WR",1,6,"ACTIVE"
13,"Puka Nacua","LAR","WR",2,11,"ACTIVE"
14,"Ashton Jeanty","LV","RB",12,13,"ACTIVE"
15,"Kenneth Walker III","KC","RB",13,5,"ACTIVE"
16,"Breece Hall","NYJ","RB",14,13,"ACTIVE"
17,"Amon-Ra St. Brown","DET","WR",3,6,"ACTIVE"
18,"Travis Etienne Jr.","NO","RB",15,8,"ACTIVE"
19,"D'Andre Swift","CHI","RB",16,10,"ACTIVE"
20,"Rhamondre Stevenson","NE","RB",17,11,"ACTIVE"
21,"Jaxon Smith-Njigba","SEA","WR",4,11,"ACTIVE"
22,"CeeDee Lamb","DAL","WR",5,14,"ACTIVE"
23,"Bucky Irving","TB","RB",18,10,"ACTIVE"
24,"Chris Olave","NO","WR",6,8,"ACTIVE"
25,"David Montgomery","HOU","RB",19,8,"ACTIVE"
26,"Justin Jefferson","MIN","WR",7,6,"ACTIVE"
27,"Kyren Williams","LAR","RB",20,11,"ACTIVE"
28,"Jeremiyah Love","ARI","RB",21,14,"QUEST"
29,"Chris Rodriguez Jr.","JAX","RB",22,7,"ACTIVE"
30,"Chuba Hubbard","CAR","RB",23,5,"ACTIVE"
31,"Nico Collins","HOU","WR",8,8,"ACTIVE"
32,"George Pickens","DAL","WR",9,14,"ACTIVE"
33,"DeVonta Smith","PHI","WR",10,10,"ACTIVE"
34,"Jaylen Warren","PIT","RB",24,9,"ACTIVE"
35,"Jadarian Price","SEA","RB",25,11,"ACTIVE"
36,"A.J. Brown","NE","WR",11,11,"ACTIVE"
37,"Zay Flowers","BAL","WR",12,13,"ACTIVE"
38,"Tony Pollard","TEN","RB",26,9,"ACTIVE"
39,"Quinshon Judkins","CLE","RB",27,11,"ACTIVE"
40,"Cam Skattebo","NYG","RB",28,8,"ACTIVE"
41,"Tee Higgins","CIN","WR",13,6,"ACTIVE"
42,"Tetairoa McMillan","CAR","WR",14,5,"ACTIVE"
43,"Garrett Wilson","NYJ","WR",15,13,"ACTIVE"
44,"Rashee Rice","KC","WR",16,5,"ACTIVE"
45,"Ladd McConkey","LAC","WR",17,7,"ACTIVE"
46,"Drake London","ATL","WR",18,11,"ACTIVE"
47,"Davante Adams","LAR","WR",19,11,"ACTIVE"
48,"Luther Burden III","CHI","WR",20,10,"ACTIVE"
49,"Jaylen Waddle","DEN","WR",21,10,"ACTIVE"
50,"MarShawn Lloyd","GB","RB",29,11,"ACTIVE"
51,"Trey McBride","ARI","TE",1,14,"ACTIVE"
52,"Emeka Egbuka","TB","WR",22,10,"ACTIVE"
53,"Jameson Williams","DET","WR",23,6,"ACTIVE"
54,"Malik Nabers","NYG","WR",24,8,"QUEST"
55,"Christian Watson","GB","WR",25,11,"ACTIVE"
56,"Rico Dowdle","PIT","RB",30,9,"ACTIVE"
57,"Parker Washington","JAX","WR",26,7,"ACTIVE"
58,"Bhayshul Tuten","JAX","RB",31,7,"ACTIVE"
59,"D.K. Metcalf","PIT","WR",27,9,"ACTIVE"
60,"Jordan Mason","MIN","RB",32,6,"ACTIVE"
61,"Mike Evans","SF","WR",28,8,"ACTIVE"
62,"Colston Loveland","CHI","TE",2,10,"ACTIVE"
63,"Terry McLaurin","WAS","WR",29,7,"ACTIVE"
64,"J.K. Dobbins","DEN","RB",33,10,"ACTIVE"
65,"Jacory Croskey-Merritt","WAS","RB",34,7,"ACTIVE"
66,"Tyler Warren","IND","TE",3,13,"ACTIVE"
67,"Kenneth Gainwell","TB","RB",35,10,"ACTIVE"
68,"DJ Moore","BUF","WR",30,7,"ACTIVE"
