Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Joe Burrow","CIN","QB",1,6,"ACTIVE"
2,"Lamar Jackson","BAL","QB",2,13,"ACTIVE"
3,"Jalen Hurts","PHI","QB",3,10,"ACTIVE"
4,"Justin Herbert","LAC","QB",4,7,"ACTIVE"
5,"Josh Allen","BUF","QB",5,7,"ACTIVE"
6,"Dak Prescott","DAL","QB",6,14,"ACTIVE"
7,"Jared Goff","DET","QB",7,6,"ACTIVE"
8,"Trevor Lawrence","JAX","QB",8,7,"ACTIVE"
9,"Caleb Williams","CHI","QB",9,10,"ACTIVE"
10,"Jaxson Dart","NYG","QB",10,8,"ACTIVE"
11,"Matthew Stafford","LAR","QB",11,11,"ACTIVE"
12,"Kyler Murray","MIN","QB",12,6,"ACTIVE"
13,"Drake Maye","NE","QB",13,11,"ACTIVE"
14,"Baker Mayfield","TB","QB",14,10,"ACTIVE"
15,"Brock Purdy","SF","QB",15,8,"ACTIVE"
16,"Jayden Daniels","WAS","QB",16,7,"ACTIVE"
17,"Tyler Shough","NO","QB",17,8,"ACTIVE"
18,"Bo Nix","DEN","QB",18,10,"ACTIVE"
19,"Jordan Love","GB","QB",19,11,"ACTIVE"
20,"Patrick Mahomes","KC","QB",20,5,"ACTIVE"
21,"Malik Willis","MIA","QB",21,6,"ACTIVE"
22,"Daniel Jones","IND","QB",22,13,"ACTIVE"
23,"Bryce Young","CAR","QB",23,5,"ACTIVE"
24,"Sam Darnold","SEA","QB",24,11,"ACTIVE"
25,"C.J. Stroud","HOU","QB",25,8,"ACTIVE"
26,"Jacoby Brissett","ARI","QB",26,14,"ACTIVE"
27,"Aaron Rodgers","PIT","QB",27,9,"ACTIVE"
28,"Kirk Cousins","LV","QB",28,13,"ACTIVE"
29,"Cam Ward","TEN","QB",29,9,"ACTIVE"
30,"Geno Smith","NYJ","QB",30,13,"ACTIVE"
31,"Deshaun Watson","CLE","QB",31,11,"ACTIVE"
32,"Cooper Rush","ATL","QB",32,11,"ACTIVE"
