Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Jahmyr Gibbs","DET","RB",1,6,"ACTIVE"
4,"Bijan Robinson","ATL","RB",2,11,"ACTIVE"
5,"Christian McCaffrey","SF","RB",3,8,"ACTIVE"
6,"De'Von Achane","MIA","RB",4,6,"ACTIVE"
8,"Jonathan Taylor","IND","RB",5,13,"ACTIVE"
11,"Saquon Barkley","PHI","RB",6,10,"ACTIVE"
13,"Omarion Hampton","LAC","RB",7,7,"ACTIVE"
14,"Chase Brown","CIN","RB",8,6,"ACTIVE"
16,"Kenneth Walker III","KC","RB",9,5,"ACTIVE"
17,"Javonte Williams","DAL","RB",10,14,"ACTIVE"
20,"Derrick Henry","BAL","RB",11,13,"ACTIVE"
21,"James Cook","BUF","RB",12,7,"ACTIVE"
23,"Ashton Jeanty","LV","RB",13,13,"ACTIVE"
24,"Rhamondre Stevenson","NE","RB",14,11,"ACTIVE"
27,"Travis Etienne Jr.","NO","RB",15,8,"ACTIVE"
35,"Breece Hall","NYJ","RB",16,13,"ACTIVE"
38,"D'Andre Swift","CHI","RB",17,10,"ACTIVE"
39,"Kyren Williams","LAR","RB",18,11,"ACTIVE"
44,"Bucky Irving","TB","RB",19,10,"ACTIVE"
49,"Jaylen Warren","PIT","RB",20,9,"ACTIVE"
54,"David Montgomery","HOU","RB",21,8,"ACTIVE"
56,"Jadarian Price","SEA","RB",22,11,"ACTIVE"
57,"Cam Skattebo","NYG","RB",23,8,"ACTIVE"
59,"Chuba Hubbard","CAR","RB",24,5,"ACTIVE"
60,"Jeremiyah Love","ARI","RB",25,14,"QUEST"
64,"Quinshon Judkins","CLE","RB",26,11,"ACTIVE"
65,"MarShawn Lloyd","GB","RB",27,11,"ACTIVE"
70,"Bhayshul Tuten","JAX","RB",28,7,"ACTIVE"
71,"Rico Dowdle","PIT","RB",29,9,"ACTIVE"
73,"Tony Pollard","TEN","RB",30,9,"ACTIVE"
90,"Kenneth Gainwell","TB","RB",31,10,"ACTIVE"
96,"J.K. Dobbins","DEN","RB",32,10,"ACTIVE"
100,"Blake Corum","LAR","RB",33,11,"ACTIVE"
104,"Aaron Jones","MIN","RB",34,6,"ACTIVE"
106,"Jordan Mason","MIN","RB",35,6,"ACTIVE"
109,"Rachaad White","WAS","RB",36,7,"ACTIVE"
113,"Tyjae Spears","TEN","RB",37,9,"ACTIVE"
116,"RJ Harvey","DEN","RB",38,10,"ACTIVE"
125,"Jonathon Brooks","CAR","RB",39,5,"ACTIVE"
126,"Jacory Croskey-Merritt","WAS","RB",40,7,"ACTIVE"
127,"George Holani","SEA","RB",41,11,"ACTIVE"
134,"Tyler Allgeier","ARI","RB",42,14,"ACTIVE"
138,"Woody Marks","HOU","RB",43,8,"ACTIVE"
143,"Kyle Monangai","CHI","RB",44,10,"ACTIVE"
144,"Mike Washington Jr.","LV","RB",45,13,"ACTIVE"
146,"Keaton Mitchell","LAC","RB",46,7,"ACTIVE"
148,"Najee Harris","NYG","RB",47,8,"ACTIVE"
152,"Justice Hill","BAL","RB",48,13,"ACTIVE"
155,"Dylan Sampson","CLE","RB",49,11,"ACTIVE"
156,"Chris Rodriguez Jr.","JAX","RB",50,7,"ACTIVE"
163,"Samaje Perine","CIN","RB",51,6,"ACTIVE"
169,"Chris Brooks","GB","RB",52,11,"ACTIVE"
171,"Braelon Allen","NYJ","RB",53,13,"ACTIVE"
172,"Brian Robinson","ATL","RB",54,11,"ACTIVE"
175,"Emmett Johnson","KC","RB",55,5,"ACTIVE"
181,"Tank Bigsby","PHI","RB",56,10,"ACTIVE"
182,"Ray Davis","BUF","RB",57,7,"ACTIVE"
184,"Jacob Saylors","DET","RB",58,6,"ACTIVE"
192,"Jonah Coleman","DEN","RB",59,10,"ACTIVE"
193,"Corey Kiner","NE","RB",60,11,"ACTIVE"
196,"Kimani Vidal","LAC","RB",61,7,"ACTIVE"
202,"Emanuel Wilson","SEA","RB",62,11,"ACTIVE"
206,"Kendre Miller","NO","RB",63,8,"ACTIVE"
208,"Jaylen Wright","MIA","RB",64,6,"ACTIVE"
211,"Kaelon Black","SF","RB",65,8,"ACTIVE"
216,"Tyrone Tracy","NYG","RB",66,8,"ACTIVE"
217,"Brashard Smith","KC","RB",67,5,"ACTIVE"
223,"Isaiah Davis","NYJ","RB",68,13,"ACTIVE"
231,"Nicholas Singleton","TEN","RB",69,9,"ACTIVE"
232,"Seth McGowan","IND","RB",70,13,"ACTIVE"
233,"Kyle Juszczyk","SF","RB",71,8,"ACTIVE"
235,"Kaytron Allen","WAS","RB",72,7,"ACTIVE"
238,"Kaleb Johnson","GB","RB",73,11,"ACTIVE"
239,"Emari Demercado","DAL","RB",74,14,"ACTIVE"
240,"Ollie Gordon II","MIA","RB",75,6,"ACTIVE"
241,"Demond Claiborne","MIN","RB",76,6,"ACTIVE"
242,"Hunter Luepke","DAL","RB",77,14,"ACTIVE"
243,"Rasheen Ali","BAL","RB",78,13,"ACTIVE"
244,"Devin Singletary","NYG","RB",79,8,"ACTIVE"
245,"Sione Vaki","DET","RB",80,6,"ACTIVE"
246,"Bam Knight","ARI","RB",81,14,"ACTIVE"
247,"Lan Larison","NE","RB",82,11,"ACTIVE"
248,"LeQuint Allen","JAX","RB",83,7,"QUEST"
249,"Dylan Laube","LV","RB",84,13,"ACTIVE"
250,"Ameer Abdullah","JAX","RB",85,7,"ACTIVE"
