Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Jahmyr Gibbs","DET","RB",1,6,"ACTIVE"
2,"Bijan Robinson","ATL","RB",2,11,"ACTIVE"
3,"Jonathan Taylor","IND","RB",3,13,"ACTIVE"
4,"Christian McCaffrey","SF","RB",4,8,"ACTIVE"
5,"Derrick Henry","BAL","RB",5,13,"ACTIVE"
6,"Saquon Barkley","PHI","RB",6,10,"ACTIVE"
7,"De'Von Achane","MIA","RB",7,6,"ACTIVE"
8,"Javonte Williams","DAL","RB",8,14,"ACTIVE"
9,"Omarion Hampton","LAC","RB",9,7,"ACTIVE"
10,"James Cook","BUF","RB",10,7,"ACTIVE"
11,"Chase Brown","CIN","RB",11,6,"ACTIVE"
14,"Ashton Jeanty","LV","RB",12,13,"ACTIVE"
15,"Kenneth Walker III","KC","RB",13,5,"ACTIVE"
16,"Breece Hall","NYJ","RB",14,13,"ACTIVE"
18,"Travis Etienne Jr.","NO","RB",15,8,"ACTIVE"
19,"D'Andre Swift","CHI","RB",16,10,"ACTIVE"
20,"Rhamondre Stevenson","NE","RB",17,11,"ACTIVE"
23,"Bucky Irving","TB","RB",18,10,"ACTIVE"
25,"David Montgomery","HOU","RB",19,8,"ACTIVE"
27,"Kyren Williams","LAR","RB",20,11,"ACTIVE"
28,"Jeremiyah Love","ARI","RB",21,14,"QUEST"
29,"Chris Rodriguez Jr.","JAX","RB",22,7,"ACTIVE"
30,"Chuba Hubbard","CAR","RB",23,5,"ACTIVE"
34,"Jaylen Warren","PIT","RB",24,9,"ACTIVE"
35,"Jadarian Price","SEA","RB",25,11,"ACTIVE"
38,"Tony Pollard","TEN","RB",26,9,"ACTIVE"
39,"Quinshon Judkins","CLE","RB",27,11,"ACTIVE"
40,"Cam Skattebo","NYG","RB",28,8,"ACTIVE"
50,"MarShawn Lloyd","GB","RB",29,11,"ACTIVE"
56,"Rico Dowdle","PIT","RB",30,9,"ACTIVE"
58,"Bhayshul Tuten","JAX","RB",31,7,"ACTIVE"
60,"Jordan Mason","MIN","RB",32,6,"ACTIVE"
64,"J.K. Dobbins","DEN","RB",33,10,"ACTIVE"
65,"Jacory Croskey-Merritt","WAS","RB",34,7,"ACTIVE"
67,"Kenneth Gainwell","TB","RB",35,10,"ACTIVE"
70,"Aaron Jones","MIN","RB",36,6,"ACTIVE"
79,"Blake Corum","LAR","RB",37,11,"ACTIVE"
87,"Jonathon Brooks","CAR","RB",38,5,"ACTIVE"
94,"Rachaad White","WAS","RB",39,7,"ACTIVE"
96,"Tyler Allgeier","ARI","RB",40,14,"ACTIVE"
114,"Tyjae Spears","TEN","RB",41,9,"ACTIVE"
115,"Kyle Monangai","CHI","RB",42,10,"ACTIVE"
117,"RJ Harvey","DEN","RB",43,10,"ACTIVE"
118,"Woody Marks","HOU","RB",44,8,"ACTIVE"
120,"George Holani","SEA","RB",45,11,"ACTIVE"
122,"Mike Washington Jr.","LV","RB",46,13,"ACTIVE"
123,"Najee Harris","NYG","RB",47,8,"ACTIVE"
128,"Keaton Mitchell","LAC","RB",48,7,"ACTIVE"
133,"Tank Bigsby","PHI","RB",49,10,"ACTIVE"
135,"Braelon Allen","NYJ","RB",50,13,"ACTIVE"
137,"Brian Robinson","ATL","RB",51,11,"ACTIVE"
142,"Samaje Perine","CIN","RB",52,6,"ACTIVE"
150,"Justice Hill","BAL","RB",53,13,"ACTIVE"
153,"Chris Brooks","GB","RB",54,11,"ACTIVE"
155,"Dylan Sampson","CLE","RB",55,11,"ACTIVE"
157,"Kaelon Black","SF","RB",56,8,"ACTIVE"
160,"Kendre Miller","NO","RB",57,8,"ACTIVE"
162,"Emmett Johnson","KC","RB",58,5,"ACTIVE"
167,"Jacob Saylors","DET","RB",59,6,"ACTIVE"
168,"Ray Davis","BUF","RB",60,7,"ACTIVE"
175,"Corey Kiner","NE","RB",61,11,"ACTIVE"
189,"Jonah Coleman","DEN","RB",62,10,"ACTIVE"
190,"Emanuel Wilson","SEA","RB",63,11,"ACTIVE"
194,"Kimani Vidal","LAC","RB",64,7,"ACTIVE"
198,"Emari Demercado","DAL","RB",65,14,"ACTIVE"
199,"Jaylen Wright","MIA","RB",66,6,"ACTIVE"
201,"Seth McGowan","IND","RB",67,13,"ACTIVE"
204,"Brashard Smith","KC","RB",68,5,"ACTIVE"
208,"Tyrone Tracy","NYG","RB",69,8,"ACTIVE"
212,"Isaiah Davis","NYJ","RB",70,13,"ACTIVE"
214,"Kaytron Allen","WAS","RB",71,7,"ACTIVE"
215,"Kaleb Johnson","GB","RB",72,11,"ACTIVE"
216,"Nicholas Singleton","TEN","RB",73,9,"ACTIVE"
222,"Ollie Gordon II","MIA","RB",74,6,"ACTIVE"
231,"Rasheen Ali","BAL","RB",75,13,"ACTIVE"
232,"Kyle Juszczyk","SF","RB",76,8,"ACTIVE"
236,"Roschon Johnson","CHI","RB",77,10,"ACTIVE"
239,"Demond Claiborne","MIN","RB",78,6,"ACTIVE"
240,"Devin Singletary","NYG","RB",79,8,"ACTIVE"
241,"Hunter Luepke","DAL","RB",80,14,"ACTIVE"
246,"Tahj Brooks","CIN","RB",81,6,"ACTIVE"
247,"Sione Vaki","DET","RB",82,6,"ACTIVE"
248,"Bam Knight","ARI","RB",83,14,"ACTIVE"
249,"Lan Larison","NE","RB",84,11,"ACTIVE"
250,"Raheim Sanders","CLE","RB",85,11,"ACTIVE"
