Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
22,"Trey McBride","ARI","TE",1,14,"ACTIVE"
46,"Colston Loveland","CHI","TE",2,10,"ACTIVE"
48,"Tyler Warren","IND","TE",3,13,"ACTIVE"
52,"Sam LaPorta","DET","TE",4,6,"ACTIVE"
55,"Tucker Kraft","GB","TE",5,11,"ACTIVE"
61,"Dallas Goedert","PHI","TE",6,10,"ACTIVE"
68,"Michael Mayer","LV","TE",7,13,"ACTIVE"
74,"Juwan Johnson","NO","TE",8,8,"ACTIVE"
77,"Harold Fannin Jr.","CLE","TE",9,11,"ACTIVE"
81,"Travis Kelce","KC","TE",10,5,"ACTIVE"
82,"Kyle Pitts","ATL","TE",11,11,"ACTIVE"
83,"Mark Andrews","BAL","TE",12,13,"ACTIVE"
85,"Isaiah Likely","NYG","TE",13,8,"ACTIVE"
95,"Dalton Kincaid","BUF","TE",14,7,"ACTIVE"
97,"George Kittle","SF","TE",15,8,"ACTIVE"
98,"Jake Ferguson","DAL","TE",16,14,"ACTIVE"
105,"Hunter Henry","NE","TE",17,11,"ACTIVE"
110,"Dalton Schultz","HOU","TE",18,8,"ACTIVE"
111,"Brenton Strange","JAX","TE",19,7,"ACTIVE"
117,"Chigoziem Okonkwo","WAS","TE",20,7,"ACTIVE"
120,"T.J. Hockenson","MIN","TE",21,6,"ACTIVE"
122,"AJ Barner","SEA","TE",22,11,"ACTIVE"
128,"Terrance Ferguson","LAR","TE",23,11,"ACTIVE"
130,"Cade Otton","TB","TE",24,10,"ACTIVE"
132,"Pat Freiermuth","PIT","TE",25,9,"ACTIVE"
140,"Charlie Kolar","LAC","TE",26,7,"ACTIVE"
141,"Greg Dulcich","MIA","TE",27,6,"ACTIVE"
142,"Gunnar Helm","TEN","TE",28,9,"ACTIVE"
147,"Evan Engram","DEN","TE",29,10,"ACTIVE"
149,"Colby Parkinson","LAR","TE",30,11,"ACTIVE"
160,"Mike Gesicki","CIN","TE",31,6,"ACTIVE"
173,"Darren Waller","CAR","TE",32,5,"ACTIVE"
177,"Mason Taylor","NYJ","TE",33,13,"ACTIVE"
185,"Darnell Washington","PIT","TE",34,9,"ACTIVE"
194,"Kenyon Sadiq","NYJ","TE",35,13,"ACTIVE"
197,"David Njoku","LAC","TE",36,7,"ACTIVE"
199,"Theo Johnson","NYG","TE",37,8,"ACTIVE"
200,"Tyler Higbee","LAR","TE",38,11,"ACTIVE"
203,"Elijah Arroyo","SEA","TE",39,11,"ACTIVE"
204,"Cole Kmet","CHI","TE",40,10,"ACTIVE"
205,"Dawson Knox","BUF","TE",41,7,"ACTIVE"
212,"Oronde Gadsden II","LAC","TE",42,7,"ACTIVE"
214,"Erick All","CIN","TE",43,6,"ACTIVE"
220,"Jake Tonges","SF","TE",44,8,"ACTIVE"
224,"Tommy Tremble","CAR","TE",45,5,"ACTIVE"
228,"Noah Fant","NO","TE",46,8,"ACTIVE"
229,"Noah Gray","KC","TE",47,5,"ACTIVE"
234,"Elijah Higgins","ARI","TE",48,14,"ACTIVE"
236,"Josh Oliver","MIN","TE",49,6,"ACTIVE"
237,"Eli Raridon","NE","TE",50,11,"ACTIVE"
