Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
51,"Trey McBride","ARI","TE",1,14,"ACTIVE"
62,"Colston Loveland","CHI","TE",2,10,"ACTIVE"
66,"Tyler Warren","IND","TE",3,13,"ACTIVE"
71,"Sam LaPorta","DET","TE",4,6,"ACTIVE"
73,"Tucker Kraft","GB","TE",5,11,"ACTIVE"
75,"Dallas Goedert","PHI","TE",6,10,"ACTIVE"
81,"Michael Mayer","LV","TE",7,13,"ACTIVE"
82,"Juwan Johnson","NO","TE",8,8,"ACTIVE"
89,"Harold Fannin Jr.","CLE","TE",9,11,"ACTIVE"
93,"Travis Kelce","KC","TE",10,5,"ACTIVE"
97,"Kyle Pitts","ATL","TE",11,11,"ACTIVE"
101,"Mark Andrews","BAL","TE",12,13,"ACTIVE"
104,"Isaiah Likely","NYG","TE",13,8,"ACTIVE"
107,"Dalton Kincaid","BUF","TE",14,7,"ACTIVE"
109,"George Kittle","SF","TE",15,8,"ACTIVE"
113,"Jake Ferguson","DAL","TE",16,14,"ACTIVE"
116,"Hunter Henry","NE","TE",17,11,"ACTIVE"
119,"Dalton Schultz","HOU","TE",18,8,"ACTIVE"
121,"Brenton Strange","JAX","TE",19,7,"ACTIVE"
132,"Chigoziem Okonkwo","WAS","TE",20,7,"ACTIVE"
134,"T.J. Hockenson","MIN","TE",21,6,"ACTIVE"
136,"AJ Barner","SEA","TE",22,11,"ACTIVE"
138,"Terrance Ferguson","LAR","TE",23,11,"ACTIVE"
140,"Cade Otton","TB","TE",24,10,"ACTIVE"
141,"Pat Freiermuth","PIT","TE",25,9,"ACTIVE"
146,"Charlie Kolar","LAC","TE",26,7,"ACTIVE"
151,"Greg Dulcich","MIA","TE",27,6,"ACTIVE"
156,"Gunnar Helm","TEN","TE",28,9,"ACTIVE"
163,"Evan Engram","DEN","TE",29,10,"ACTIVE"
171,"Colby Parkinson","LAR","TE",30,11,"ACTIVE"
176,"Mike Gesicki","CIN","TE",31,6,"ACTIVE"
182,"Darren Waller","CAR","TE",32,5,"ACTIVE"
188,"Mason Taylor","NYJ","TE",33,13,"ACTIVE"
197,"Darnell Washington","PIT","TE",34,9,"ACTIVE"
203,"Kenyon Sadiq","NYJ","TE",35,13,"ACTIVE"
205,"David Njoku","LAC","TE",36,7,"ACTIVE"
206,"Theo Johnson","NYG","TE",37,8,"ACTIVE"
210,"Tyler Higbee","LAR","TE",38,11,"ACTIVE"
217,"Elijah Arroyo","SEA","TE",39,11,"ACTIVE"
218,"Cole Kmet","CHI","TE",40,10,"ACTIVE"
220,"Dawson Knox","BUF","TE",41,7,"ACTIVE"
223,"Oronde Gadsden II","LAC","TE",42,7,"ACTIVE"
228,"Erick All","CIN","TE",43,6,"ACTIVE"
230,"Jake Tonges","SF","TE",44,8,"ACTIVE"
234,"Tommy Tremble","CAR","TE",45,5,"ACTIVE"
238,"Noah Fant","NO","TE",46,8,"ACTIVE"
242,"Noah Gray","KC","TE",47,5,"ACTIVE"
243,"Elijah Higgins","ARI","TE",48,14,"ACTIVE"
244,"Josh Oliver","MIN","TE",49,6,"ACTIVE"
245,"Eli Raridon","NE","TE",50,11,"ACTIVE"
