Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
2,"Ja'Marr Chase","CIN","WR",1,6,"ACTIVE"
3,"Puka Nacua","LAR","WR",2,11,"ACTIVE"
7,"Amon-Ra St. Brown","DET","WR",3,6,"ACTIVE"
9,"Jaxon Smith-Njigba","SEA","WR",4,11,"ACTIVE"
10,"CeeDee Lamb","DAL","WR",5,14,"ACTIVE"
12,"Chris Olave","NO","WR",6,8,"ACTIVE"
15,"Justin Jefferson","MIN","WR",7,6,"ACTIVE"
18,"Nico Collins","HOU","WR",8,8,"ACTIVE"
19,"George Pickens","DAL","WR",9,14,"ACTIVE"
25,"DeVonta Smith","PHI","WR",10,10,"ACTIVE"
26,"A.J. Brown","NE","WR",11,11,"ACTIVE"
28,"Zay Flowers","BAL","WR",12,13,"ACTIVE"
29,"Tee Higgins","CIN","WR",13,6,"ACTIVE"
30,"Tetairoa McMillan","CAR","WR",14,5,"ACTIVE"
31,"Garrett Wilson","NYJ","WR",15,13,"ACTIVE"
32,"Rashee Rice","KC","WR",16,5,"ACTIVE"
33,"Ladd McConkey","LAC","WR",17,7,"ACTIVE"
34,"Drake London","ATL","WR",18,11,"ACTIVE"
36,"Davante Adams","LAR","WR",19,11,"ACTIVE"
37,"Luther Burden III","CHI","WR",20,10,"ACTIVE"
40,"Jaylen Waddle","DEN","WR",21,10,"ACTIVE"
41,"Emeka Egbuka","TB","WR",22,10,"ACTIVE"
42,"Jameson Williams","DET","WR",23,6,"ACTIVE"
43,"Malik Nabers","NYG","WR",24,8,"QUEST"
45,"Christian Watson","GB","WR",25,11,"ACTIVE"
47,"Parker Washington","JAX","WR",26,7,"ACTIVE"
50,"D.K. Metcalf","PIT","WR",27,9,"ACTIVE"
51,"Mike Evans","SF","WR",28,8,"ACTIVE"
53,"Terry McLaurin","WAS","WR",29,7,"ACTIVE"
58,"DJ Moore","BUF","WR",30,7,"ACTIVE"
62,"Chris Godwin","TB","WR",31,10,"ACTIVE"
63,"Rome Odunze","CHI","WR",32,10,"QUEST"
66,"Quentin Johnston","LAC","WR",33,7,"ACTIVE"
67,"Marvin Harrison Jr.","ARI","WR",34,14,"ACTIVE"
69,"Courtland Sutton","DEN","WR",35,10,"ACTIVE"
72,"Michael Wilson","ARI","WR",36,14,"ACTIVE"
75,"Jayden Reed","GB","WR",37,11,"ACTIVE"
76,"Josh Downs","IND","WR",38,13,"ACTIVE"
78,"Michael Pittman Jr.","PIT","WR",39,9,"ACTIVE"
79,"Jordan Addison","MIN","WR",40,6,"ACTIVE"
80,"Wan'Dale Robinson","TEN","WR",41,9,"ACTIVE"
84,"Brian Thomas Jr.","JAX","WR",42,7,"ACTIVE"
86,"Carnell Tate","TEN","WR",43,9,"ACTIVE"
87,"Jakobi Meyers","JAX","WR",44,7,"ACTIVE"
88,"Tre Tucker","LV","WR",45,13,"ACTIVE"
89,"Matthew Golden","GB","WR",46,11,"ACTIVE"
91,"Alec Pierce","IND","WR",47,13,"ACTIVE"
92,"Jalen Coker","CAR","WR",48,5,"ACTIVE"
93,"Xavier Worthy","KC","WR",49,5,"ACTIVE"
94,"Stefon Diggs","WAS","WR",50,7,"ACTIVE"
99,"Rashid Shaheed","SEA","WR",51,11,"ACTIVE"
101,"Romeo Doubs","NE","WR",52,11,"ACTIVE"
102,"De'Zhaun Stribling","SF","WR",53,8,"ACTIVE"
103,"Khalil Shakir","BUF","WR",54,7,"ACTIVE"
107,"KC Concepcion","CLE","WR",55,11,"ACTIVE"
108,"Deebo Samuel","SF","WR",56,8,"ACTIVE"
112,"Devaughn Vele","NO","WR",57,8,"ACTIVE"
114,"Jalen Nailor","LV","WR",58,13,"ACTIVE"
115,"Adonai Mitchell","NYJ","WR",59,13,"ACTIVE"
118,"Dontayvion Wicks","PHI","WR",60,10,"ACTIVE"
119,"Keenan Allen","IND","WR",61,13,"ACTIVE"
121,"Cooper Kupp","SEA","WR",62,11,"ACTIVE"
123,"Makai Lemon","PHI","WR",63,10,"ACTIVE"
124,"Jerry Jeudy","CLE","WR",64,11,"ACTIVE"
129,"Denzel Boston","CLE","WR",65,11,"ACTIVE"
131,"Kayshon Boutte","HOU","WR",66,8,"ACTIVE"
133,"Malik Washington","MIA","WR",67,6,"ACTIVE"
135,"Tre Harris","LAC","WR",68,7,"ACTIVE"
136,"Ja'Kobi Lane","BAL","WR",69,13,"ACTIVE"
137,"Caleb Douglas","MIA","WR",70,6,"ACTIVE"
139,"Rashod Bateman","BAL","WR",71,13,"ACTIVE"
145,"Jauan Jennings","MIN","WR",72,6,"ACTIVE"
150,"Malachi Fields","NYG","WR",73,8,"ACTIVE"
151,"Chris Bell","MIA","WR",74,6,"ACTIVE"
153,"Ryan Flournoy","DAL","WR",75,14,"ACTIVE"
154,"Calvin Ridley","TEN","WR",76,9,"ACTIVE"
157,"Pat Bryant","DEN","WR",77,10,"ACTIVE"
158,"Jaylin Noel","HOU","WR",78,8,"ACTIVE"
159,"Demario Douglas","NE","WR",79,11,"ACTIVE"
161,"Darnell Mooney","NYG","WR",80,8,"ACTIVE"
162,"Isaac TeSlaa","DET","WR",81,6,"ACTIVE"
164,"Xavier Legette","CAR","WR",82,5,"ACTIVE"
165,"Xavier Hutchinson","HOU","WR",83,8,"ACTIVE"
166,"Tyquan Thornton","KC","WR",84,5,"ACTIVE"
167,"Jack Bech","LV","WR",85,13,"ACTIVE"
168,"Omar Cooper Jr.","NYJ","WR",86,13,"ACTIVE"
170,"Treylon Burks","WAS","WR",87,7,"ACTIVE"
174,"Andrei Iosivas","CIN","WR",88,6,"ACTIVE"
176,"Ted Hurst","TB","WR",89,10,"ACTIVE"
178,"Germie Bernard","PIT","WR",90,9,"ACTIVE"
179,"Kendrick Bourne","ARI","WR",91,14,"ACTIVE"
180,"Keon Coleman","BUF","WR",92,7,"ACTIVE"
183,"Jahan Dotson","ATL","WR",93,11,"ACTIVE"
186,"Kalif Raymond","CHI","WR",94,10,"ACTIVE"
187,"Joshua Palmer","BUF","WR",95,7,"ACTIVE"
188,"Bryce Lance","NO","WR",96,8,"ACTIVE"
189,"Tez Johnson","TB","WR",97,10,"ACTIVE"
190,"Zachariah Branch","ATL","WR",98,11,"ACTIVE"
191,"Troy Franklin","DEN","WR",99,10,"ACTIVE"
195,"Odell Beckham Jr.","NYG","WR",100,8,"ACTIVE"
198,"KaVontae Turpin","DAL","WR",101,14,"ACTIVE"
201,"Elic Ayomanor","TEN","WR",102,9,"ACTIVE"
207,"Dohnte Meyers","CIN","WR",103,6,"ACTIVE"
209,"Kyle Williams","NE","WR",104,11,"ACTIVE"
210,"Roman Wilson","PIT","WR",105,9,"ACTIVE"
213,"Travis Hunter","JAX","WR",106,7,"ACTIVE"
215,"Marvin Mims Jr.","DEN","WR",107,10,"ACTIVE"
218,"Jalen Tolbert","MIA","WR",108,6,"ACTIVE"
219,"Cyrus Allen","KC","WR",109,5,"ACTIVE"
221,"Demarcus Robinson","SF","WR",110,8,"ACTIVE"
222,"Mack Hollins","NE","WR",111,11,"ACTIVE"
225,"Ashton Dulin","IND","WR",112,13,"ACTIVE"
226,"Isaiah Williams","NYJ","WR",113,13,"ACTIVE"
227,"Barion Brown","NO","WR",114,8,"ACTIVE"
