Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
12,"Ja'Marr Chase","CIN","WR",1,6,"ACTIVE"
13,"Puka Nacua","LAR","WR",2,11,"ACTIVE"
17,"Amon-Ra St. Brown","DET","WR",3,6,"ACTIVE"
21,"Jaxon Smith-Njigba","SEA","WR",4,11,"ACTIVE"
22,"CeeDee Lamb","DAL","WR",5,14,"ACTIVE"
24,"Chris Olave","NO","WR",6,8,"ACTIVE"
26,"Justin Jefferson","MIN","WR",7,6,"ACTIVE"
31,"Nico Collins","HOU","WR",8,8,"ACTIVE"
32,"George Pickens","DAL","WR",9,14,"ACTIVE"
33,"DeVonta Smith","PHI","WR",10,10,"ACTIVE"
36,"A.J. Brown","NE","WR",11,11,"ACTIVE"
37,"Zay Flowers","BAL","WR",12,13,"ACTIVE"
41,"Tee Higgins","CIN","WR",13,6,"ACTIVE"
42,"Tetairoa McMillan","CAR","WR",14,5,"ACTIVE"
43,"Garrett Wilson","NYJ","WR",15,13,"ACTIVE"
44,"Rashee Rice","KC","WR",16,5,"ACTIVE"
45,"Ladd McConkey","LAC","WR",17,7,"ACTIVE"
46,"Drake London","ATL","WR",18,11,"ACTIVE"
47,"Davante Adams","LAR","WR",19,11,"ACTIVE"
48,"Luther Burden III","CHI","WR",20,10,"ACTIVE"
49,"Jaylen Waddle","DEN","WR",21,10,"ACTIVE"
52,"Emeka Egbuka","TB","WR",22,10,"ACTIVE"
53,"Jameson Williams","DET","WR",23,6,"ACTIVE"
54,"Malik Nabers","NYG","WR",24,8,"QUEST"
55,"Christian Watson","GB","WR",25,11,"ACTIVE"
57,"Parker Washington","JAX","WR",26,7,"ACTIVE"
59,"D.K. Metcalf","PIT","WR",27,9,"ACTIVE"
61,"Mike Evans","SF","WR",28,8,"ACTIVE"
63,"Terry McLaurin","WAS","WR",29,7,"ACTIVE"
68,"DJ Moore","BUF","WR",30,7,"ACTIVE"
69,"Chris Godwin","TB","WR",31,10,"ACTIVE"
72,"Rome Odunze","CHI","WR",32,10,"QUEST"
74,"Quentin Johnston","LAC","WR",33,7,"ACTIVE"
76,"Marvin Harrison Jr.","ARI","WR",34,14,"ACTIVE"
77,"Courtland Sutton","DEN","WR",35,10,"ACTIVE"
78,"Jayden Reed","GB","WR",36,11,"ACTIVE"
80,"Michael Wilson","ARI","WR",37,14,"ACTIVE"
83,"Josh Downs","IND","WR",38,13,"ACTIVE"
84,"Michael Pittman Jr.","PIT","WR",39,9,"ACTIVE"
85,"Jordan Addison","MIN","WR",40,6,"ACTIVE"
86,"Wan'Dale Robinson","TEN","WR",41,9,"ACTIVE"
88,"Brian Thomas Jr.","JAX","WR",42,7,"ACTIVE"
90,"Jakobi Meyers","JAX","WR",43,7,"ACTIVE"
91,"Carnell Tate","TEN","WR",44,9,"ACTIVE"
92,"Tre Tucker","LV","WR",45,13,"ACTIVE"
95,"Matthew Golden","GB","WR",46,11,"ACTIVE"
98,"Alec Pierce","IND","WR",47,13,"ACTIVE"
99,"Jalen Coker","CAR","WR",48,5,"ACTIVE"
100,"Xavier Worthy","KC","WR",49,5,"ACTIVE"
102,"Stefon Diggs","WAS","WR",50,7,"ACTIVE"
103,"Rashid Shaheed","SEA","WR",51,11,"ACTIVE"
105,"Romeo Doubs","NE","WR",52,11,"ACTIVE"
106,"De'Zhaun Stribling","SF","WR",53,8,"ACTIVE"
108,"Khalil Shakir","BUF","WR",54,7,"ACTIVE"
110,"Deebo Samuel","SF","WR",55,8,"ACTIVE"
111,"KC Concepcion","CLE","WR",56,11,"ACTIVE"
112,"Devaughn Vele","NO","WR",57,8,"ACTIVE"
124,"Jalen Nailor","LV","WR",58,13,"ACTIVE"
125,"Adonai Mitchell","NYJ","WR",59,13,"ACTIVE"
126,"Dontayvion Wicks","PHI","WR",60,10,"ACTIVE"
127,"Keenan Allen","IND","WR",61,13,"ACTIVE"
129,"Cooper Kupp","SEA","WR",62,11,"ACTIVE"
130,"Makai Lemon","PHI","WR",63,10,"ACTIVE"
131,"Jerry Jeudy","CLE","WR",64,11,"ACTIVE"
139,"Denzel Boston","CLE","WR",65,11,"ACTIVE"
143,"Kayshon Boutte","HOU","WR",66,8,"ACTIVE"
144,"Malik Washington","MIA","WR",67,6,"ACTIVE"
145,"Tre Harris","LAC","WR",68,7,"ACTIVE"
147,"Ja'Kobi Lane","BAL","WR",69,13,"ACTIVE"
148,"Caleb Douglas","MIA","WR",70,6,"ACTIVE"
149,"Rashod Bateman","BAL","WR",71,13,"ACTIVE"
152,"Jauan Jennings","MIN","WR",72,6,"ACTIVE"
154,"Malachi Fields","NYG","WR",73,8,"ACTIVE"
158,"Chris Bell","MIA","WR",74,6,"ACTIVE"
159,"Ryan Flournoy","DAL","WR",75,14,"ACTIVE"
161,"Calvin Ridley","TEN","WR",76,9,"ACTIVE"
164,"Pat Bryant","DEN","WR",77,10,"ACTIVE"
165,"Jaylin Noel","HOU","WR",78,8,"ACTIVE"
166,"Demario Douglas","NE","WR",79,11,"ACTIVE"
169,"Darnell Mooney","NYG","WR",80,8,"ACTIVE"
170,"Isaac TeSlaa","DET","WR",81,6,"ACTIVE"
172,"Xavier Legette","CAR","WR",82,5,"ACTIVE"
173,"Xavier Hutchinson","HOU","WR",83,8,"ACTIVE"
174,"Tyquan Thornton","KC","WR",84,5,"ACTIVE"
177,"Jack Bech","LV","WR",85,13,"ACTIVE"
178,"Omar Cooper Jr.","NYJ","WR",86,13,"ACTIVE"
179,"Treylon Burks","WAS","WR",87,7,"ACTIVE"
180,"Andrei Iosivas","CIN","WR",88,6,"ACTIVE"
181,"Ted Hurst","TB","WR",89,10,"ACTIVE"
183,"Germie Bernard","PIT","WR",90,9,"ACTIVE"
184,"Kendrick Bourne","ARI","WR",91,14,"ACTIVE"
185,"Keon Coleman","BUF","WR",92,7,"ACTIVE"
186,"Jahan Dotson","ATL","WR",93,11,"ACTIVE"
187,"Kalif Raymond","CHI","WR",94,10,"ACTIVE"
191,"Joshua Palmer","BUF","WR",95,7,"ACTIVE"
192,"Bryce Lance","NO","WR",96,8,"ACTIVE"
193,"Tez Johnson","TB","WR",97,10,"ACTIVE"
195,"KaVontae Turpin","DAL","WR",98,14,"ACTIVE"
196,"Troy Franklin","DEN","WR",99,10,"ACTIVE"
200,"Zachariah Branch","ATL","WR",100,11,"ACTIVE"
202,"Odell Beckham Jr.","NYG","WR",101,8,"ACTIVE"
207,"Kyle Williams","NE","WR",102,11,"ACTIVE"
209,"Elic Ayomanor","TEN","WR",103,9,"ACTIVE"
211,"Dohnte Meyers","CIN","WR",104,6,"ACTIVE"
213,"Roman Wilson","PIT","WR",105,9,"ACTIVE"
219,"Marvin Mims Jr.","DEN","WR",106,10,"ACTIVE"
221,"Travis Hunter","JAX","WR",107,7,"ACTIVE"
224,"Jalen Tolbert","MIA","WR",108,6,"ACTIVE"
225,"Cyrus Allen","KC","WR",109,5,"ACTIVE"
226,"Demarcus Robinson","SF","WR",110,8,"ACTIVE"
227,"Mack Hollins","NE","WR",111,11,"ACTIVE"
229,"Ashton Dulin","IND","WR",112,13,"ACTIVE"
233,"Isaiah Williams","NYJ","WR",113,13,"ACTIVE"
235,"Barion Brown","NO","WR",114,8,"ACTIVE"
237,"Jordan Whittington","LAR","WR",115,11,"ACTIVE"
