Rank,Player,Team,Position,Sources,Patrick Thorman (Sun 12:32 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:41 PM)
1,Jahmyr Gibbs,DET,RB,3,1,1,1
2,Bijan Robinson,ATL,RB,3,2,2,2
3,Derrick Henry,BAL,RB,3,3,3,5
4,Kenneth Walker III,KC,RB,3,6,4,3
5,Christian McCaffrey,SF,RB,3,4,6,4
6,Jonathan Taylor,IND,RB,3,7,5,6
7,James Cook,BUF,RB,3,5,7,7
8,Javonte Williams,DAL,RB,3,8,8,8
9,Ashton Jeanty,LV,RB,3,9,9,9
10,Saquon Barkley,PHI,RB,3,10,10,10
11,Kyren Williams,LAR,RB,3,11,11,14
12,Jaxon Smith-Njigba,SEA,WR,3,16,12,13
13,Amon-Ra St. Brown,DET,WR,3,15,16,15
14,Bucky Irving,TB,RB,3,12,17,19
15,Omarion Hampton,LAC,RB,3,18,13,21
16,Breece Hall,NYJ,RB,3,20,15,12
17,De'Von Achane,MIA,RB,3,14,18,18
18,David Montgomery,HOU,RB,3,19,19,11
19,CeeDee Lamb,DAL,WR,3,17,23,16
20,Ja'Marr Chase,CIN,WR,3,13,25,22
21,D'Andre Swift,CHI,RB,3,23,14,28
22,Chase Brown,CIN,RB,3,21,21,20
23,Justin Jefferson,MIN,WR,3,22,24,17
24,Aaron Jones,MIN,RB,3,24,20,25
25,Chuba Hubbard,CAR,RB,3,29,22,23
26,Rhamondre Stevenson,NE,RB,3,28,26,29
27,Jadarian Price,SEA,RB,3,25,27,30
28,George Pickens,DAL,WR,3,27,31,26
29,MarShawn Lloyd,GB,RB,3,30,28,33
30,Davante Adams,LAR,WR,3,26,35,32
31,Chris Olave,NO,WR,3,31,34,31
32,Cam Skattebo,NYG,RB,3,35,29,35
33,Jacory Croskey-Merritt,WAS,RB,3,33,30,36
34,J.K. Dobbins,DEN,RB,3,36,38,24
35,DJ Moore,BUF,WR,3,34,32,37
36,Malik Nabers,NYG,WR,3,37,41,27
37,Garrett Wilson,NYJ,WR,3,38,40,34
38,Christian Watson,GB,WR,3,32,42,44
39,Travis Etienne,NO,RB,3,42,33,47
40,Quinshon Judkins,CLE,RB,3,39,43,39
41,DeVonta Smith,PHI,WR,3,40,44,38
42,Bhayshul Tuten,JAC,RB,3,45,36,45
43,Jameson Williams,DET,WR,3,41,47,41
44,Tetairoa McMillan,CAR,WR,3,48,45,40
45,Parker Washington,JAC,WR,3,44,46,43
46,Jaylen Warren,PIT,RB,3,47,50,42
47,Rashee Rice,KC,WR,3,43,49,49
48,Jeremiyah Love,ARI,RB,3,52,37,52
49,Mike Evans,SF,WR,3,46,48,55
50,DK Metcalf,PIT,WR,3,49,56,48
51,Jaylen Waddle,DEN,WR,3,51,53,51
52,Emeka Egbuka,TB,WR,3,53,51,53
53,Tee Higgins,CIN,WR,3,50,54,59
54,Luther Burden,CHI,WR,3,57,57,46
55,Blake Corum,LAR,RB,3,58,52,61
56,Drake London,ATL,WR,3,54,61,54
57,Quentin Johnston,LAC,WR,3,60,59,50
58,Trey McBride,ARI,TE,3,68,39,68
59,Terry McLaurin,WAS,WR,3,55,60,57
60,Colston Loveland,CHI,TE,3,56,55,71
61,Rico Dowdle,PIT,RB,3,61,62,58
62,Dalton Kincaid,BUF,TE,3,71,58,56
63,Kyle Monangai,CHI,RB,3,62,63,63
64,Matthew Golden,GB,WR,3,64,64,67
65,Deebo Samuel,SF,WR,3,65,66,60
66,Tony Pollard,TEN,RB,3,66,67,62
67,Jalen Coker,CAR,WR,3,67,65,64
68,Ladd McConkey,LAC,WR,3,59,70,69
69,Kaelon Black,SF,RB,3,63,68,66
70,Stefon Diggs,WAS,WR,3,72,69,70
71,Mark Andrews,BAL,TE,3,73,71,73
72,Chris Godwin,TB,WR,3,69,74,78
73,Xavier Worthy,KC,WR,3,75,73,76
74,Sam LaPorta,DET,TE,3,74,77,77
75,Tyler Warren,IND,TE,3,77,72,82
76,Courtland Sutton,DEN,WR,3,70,79,85
77,Dallas Goedert,PHI,TE,3,80,76,81
78,Jayden Reed,GB,WR,3,83,81,72
79,Tucker Kraft,GB,TE,3,81,78,80
80,Travis Kelce,KC,TE,3,86,75,86
81,Rome Odunze,CHI,WR,3,78,80,96
82,Isaiah Likely,NYG,TE,3,91,82,74
83,Tyler Allgeier,ARI,RB,3,89,84,79
84,TreVeyon Henderson,NE,RB,3,79,89,84
85,George Kittle,SF,TE,3,82,90,91
86,Romeo Doubs,NE,WR,3,88,91,83
87,Jakobi Meyers,JAC,WR,3,90,83,94
88,Alec Pierce,IND,WR,3,85,88,93
89,Khalil Shakir,BUF,WR,3,97,87,75
90,Kenny Gainwell,TB,RB,3,92,85,89
91,Josh Downs,IND,WR,3,94,86,88
92,Michael Wilson,ARI,WR,3,93,94,90
93,Dalton Schultz,HOU,TE,3,95,92,87
94,Michael Mayer,LV,TE,3,87,95,95
95,Jordan Addison,MIN,WR,3,76,96,108
96,Woody Marks,HOU,RB,3,100,97,92
97,Rachaad White,WAS,RB,3,84,110,103
98,KC Concepcion,CLE,WR,3,106,93,98
99,George Holani,SEA,RB,3,99,102,100
100,Brian Thomas,JAC,WR,3,96,104,107
101,Hunter Henry,NE,TE,3,101,106,102
102,Juwan Johnson,NO,TE,3,102,100,104
103,Jonathon Brooks,CAR,RB,3,103,99,112
104,Marvin Harrison,ARI,WR,3,109,98,106
105,Carnell Tate,TEN,WR,3,111,105,97
106,Rashod Bateman,BAL,WR,3,108,101,116
107,Devaughn Vele,NO,WR,3,107,109,109
108,Tre Tucker,LV,WR,3,98,107,117
109,Kayshon Boutte,HOU,WR,3,113,103,110
