Rank,Player,Team,Position,Sources,Justin Boone (Sun 11:46 AM),Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:36 PM)
1,Jahmyr Gibbs,DET,RB,4,1,1,2,1
2,Bijan Robinson,ATL,RB,4,2,2,1,2
3,Christian McCaffrey,SF,RB,4,3,3,3,3
4,Kenneth Walker III,KC,RB,4,4,5,4,4
5,Derrick Henry,BAL,RB,4,5,4,6,7
6,Ashton Jeanty,LV,RB,4,7,6,8,6
7,Jonathan Taylor,IND,RB,4,8,8,5,5
8,James Cook,BUF,RB,4,6,7,7,8
9,Javonte Williams,DAL,RB,4,9,9,9,9
10,Saquon Barkley,PHI,RB,4,10,10,11,10
11,De'Von Achane,MIA,RB,4,11,11,10,11
12,Kyren Williams,LAR,RB,4,13,13,13,17
13,Breece Hall,NYJ,RB,4,12,17,14,12
14,Chase Brown,CIN,RB,4,15,14,12,14
15,Bucky Irving,TB,RB,4,16,12,15,16
16,Omarion Hampton,LAC,RB,4,17,15,16,18
17,Aaron Jones,MIN,RB,4,19,16,18,15
18,David Montgomery,HOU,RB,4,18,18,19,13
19,D'Andre Swift,CHI,RB,4,14,19,17,21
20,Chuba Hubbard,CAR,RB,4,20,21,21,19
21,Rhamondre Stevenson,NE,RB,4,22,20,20,20
22,Cam Skattebo,NYG,RB,4,21,23,22,23
23,Jadarian Price,SEA,RB,4,24,22,25,24
24,MarShawn Lloyd,GB,RB,4,25,24,26,26
25,Travis Etienne,NO,RB,4,26,25,23,27
26,Jaylen Warren,PIT,RB,4,28,27,28,25
27,Jeremiyah Love,ARI,RB,4,27,29,24,29
28,Jacory Croskey-Merritt,WAS,RB,4,29,26,27,30
29,Bhayshul Tuten,JAC,RB,4,23,31,29,31
30,J.K. Dobbins,DEN,RB,4,31,30,31,22
31,Quinshon Judkins,CLE,RB,4,30,28,30,28
32,Rico Dowdle,PIT,RB,4,32,33,32,33
33,Kenny Gainwell,TB,RB,4,38,32,34,32
34,Kyle Monangai,CHI,RB,4,34,34,33,38
35,Tony Pollard,TEN,RB,4,37,36,36,36
36,Blake Corum,LAR,RB,4,33,39,35,41
37,TreVeyon Henderson,NE,RB,4,36,37,38,37
38,Kaelon Black,SF,RB,4,35,40,39,40
39,Rachaad White,WAS,RB,4,39,35,40,42
40,Tyler Allgeier,ARI,RB,4,41,38,41,35
41,Tyjae Spears,TEN,RB,4,43,42,37,34
42,Woody Marks,HOU,RB,4,40,43,42,39
43,George Holani,SEA,RB,4,44,41,44,43
44,Jonathon Brooks,CAR,RB,4,42,45,43,45
45,Chris Brooks,GB,RB,4,45,46,45,44
46,Justice Hill,BAL,RB,4,50,44,46,46
47,Keaton Mitchell,LAC,RB,4,47,47,47,48
48,Braelon Allen,NYJ,RB,4,46,49,48,49
49,Chris Rodriguez,JAC,RB,4,48,50,49,50
50,Devin Singletary,NYG,RB,3,-51,48,52,51
51,Alvin Kamara,NO,RB,3,-52,51,50,47
52,Emmett Johnson,KC,RB,4,49,53,51,52
53,Samaje Perine,CIN,RB,3,-53,52,54,56
54,Brian Robinson,ATL,RB,3,-54,54,53,54
55,Jonah Coleman,DEN,RB,3,-55,55,57,53
56,Mike Washington,LV,RB,3,-56,56,55,57
57,Raheim Sanders,CLE,RB,3,-59,59,56,59
58,Kaytron Allen,WAS,RB,3,-58,58,59,60
59,DeeJay Dallas,MIN,RB,3,-57,57,63,65
60,Sione Vaki,DET,RB,3,-60,60,58,62
61,Emari Demercado,DAL,RB,3,-62,62,61,63
62,Ray Davis,BUF,RB,3,-63,63,60,70
63,Kimani Vidal,LAC,RB,3,-61,61,66,72
64,Demond Claiborne,MIN,RB,3,-70,70,64,55
65,Kyle Juszczyk,SF,RB,3,-65,65,73,64
66,Will Shipley,PHI,RB,3,-64,64,74,67
