Rank,Player,Team,Position,Sources,Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:36 PM)
1,Jahmyr Gibbs,DET,RB,3,1,1,1
2,Bijan Robinson,ATL,RB,3,2,2,2
3,Derrick Henry,BAL,RB,3,3,3,5
4,Kenneth Walker III,KC,RB,3,6,4,3
5,Christian McCaffrey,SF,RB,3,4,6,4
6,Jonathan Taylor,IND,RB,3,7,5,6
7,James Cook,BUF,RB,3,5,7,7
8,Javonte Williams,DAL,RB,3,8,8,8
9,Ashton Jeanty,LV,RB,3,9,9,9
10,Saquon Barkley,PHI,RB,3,10,10,10
11,Kyren Williams,LAR,RB,3,11,11,13
12,Bucky Irving,TB,RB,3,12,15,15
13,Omarion Hampton,LAC,RB,3,14,12,17
14,Breece Hall,NYJ,RB,3,16,14,12
15,De'Von Achane,MIA,RB,3,13,16,14
16,David Montgomery,HOU,RB,3,15,17,11
17,D'Andre Swift,CHI,RB,3,18,13,21
18,Chase Brown,CIN,RB,3,17,19,16
19,Aaron Jones,MIN,RB,3,19,18,20
20,Chuba Hubbard,CAR,RB,3,22,20,18
21,Rhamondre Stevenson,NE,RB,3,21,21,22
22,Jadarian Price,SEA,RB,3,20,22,23
23,MarShawn Lloyd,GB,RB,3,23,23,24
24,Cam Skattebo,NYG,RB,3,25,24,25
25,Jacory Croskey-Merritt,WAS,RB,3,24,25,26
26,J.K. Dobbins,DEN,RB,3,26,29,19
27,Travis Etienne,NO,RB,3,28,26,30
28,Quinshon Judkins,CLE,RB,3,27,30,27
29,Bhayshul Tuten,JAC,RB,3,29,27,29
30,Jaylen Warren,PIT,RB,3,30,31,28
31,Jeremiyah Love,ARI,RB,3,31,28,31
32,Blake Corum,LAR,RB,3,32,32,33
33,Rico Dowdle,PIT,RB,3,33,33,32
34,Kyle Monangai,CHI,RB,3,34,34,35
35,Tony Pollard,TEN,RB,3,36,35,34
36,Kaelon Black,SF,RB,3,35,36,36
37,Tyler Allgeier,ARI,RB,3,39,37,37
38,TreVeyon Henderson,NE,RB,3,37,39,38
39,Kenny Gainwell,TB,RB,3,40,38,39
40,Woody Marks,HOU,RB,3,42,40,40
41,Rachaad White,WAS,RB,3,38,43,43
42,George Holani,SEA,RB,3,41,42,42
43,Jonathon Brooks,CAR,RB,3,43,41,44
44,Tyjae Spears,TEN,RB,3,44,46,41
45,Chris Rodriguez,JAC,RB,3,46,45,46
46,Chris Brooks,GB,RB,3,47,47,45
47,Braelon Allen,NYJ,RB,3,49,44,47
48,Keaton Mitchell,LAC,RB,3,48,48,48
49,Justice Hill,BAL,RB,3,45,51,49
50,Brian Robinson,ATL,RB,3,50,49,50
51,Emmett Johnson,KC,RB,3,52,50,52
52,Alvin Kamara,NO,RB,3,57,52,51
53,Devin Singletary,NYG,RB,3,51,54,58
54,Jonah Coleman,DEN,RB,3,53,56,54
55,Samaje Perine,CIN,RB,3,54,55,55
56,Mike Washington,LV,RB,3,55,53,59
57,Raheim Sanders,CLE,RB,3,58,57,56
58,Kaytron Allen,WAS,RB,3,56,58,60
59,Sione Vaki,DET,RB,3,60,59,61
60,Emari Demercado,DAL,RB,3,61,62,63
61,Demond Claiborne,MIN,RB,3,68,64,53
62,Tank Bigsby,PHI,RB,3,63,61,66
63,Emanuel Wilson,SEA,RB,3,67,60,64
64,DeeJay Dallas,MIN,RB,3,59,69,65
65,Kimani Vidal,LAC,RB,3,62,66,67
66,Ray Davis,BUF,RB,3,64,63,69
67,Sean Tucker,TB,RB,3,71,65,62
68,Seth McGowan,IND,RB,3,66,68,72
69,Tyler Badie,DEN,RB,3,69,71,70
70,Jaylen Wright,MIA,RB,3,74,67,75
71,Will Shipley,PHI,RB,3,70,74,73
72,Ollie Gordon,MIA,RB,3,73,73,77
73,Tyrone Tracy,NYG,RB,3,77,72,74
74,Kaleb Johnson,GB,RB,3,72,75,80
75,Hunter Luepke,DAL,RB,3,75,76,76
76,Najee Harris,NYG,RB,2,-98,70,57
77,Kyle Juszczyk,SF,RB,3,78,77,78
78,Isaiah Davis,NYJ,RB,3,76,79,84
79,Frank Gore,BUF,RB,2,65,-105,71
80,Brashard Smith,KC,RB,3,84,80,82
81,Jaleel McLaughlin,CLE,RB,3,81,87,79
82,Jacob Saylors,DET,RB,3,80,83,87
83,Rasheen Ali,BAL,RB,3,79,82,92
84,AJ Dillon,CAR,RB,2,-99,78,68
85,LeQuint Allen,JAC,RB,3,85,85,86
86,Dylan Laube,LV,RB,3,82,92,83
87,Jordan James,SF,RB,3,83,91,89
88,Tahj Brooks,CIN,RB,3,88,86,91
89,Roschon Johnson,CHI,RB,2,86,81,-103
90,Corey Kiner,NE,RB,2,-100,84,81
91,Nicholas Singleton,TEN,RB,3,87,93,88
92,CJ Donaldson,NO,RB,3,95,89,85
93,Ameer Abdullah,JAC,RB,3,92,88,96
94,Julius Chestnut,TEN,RB,3,91,98,94
95,Tyler Goodson,DAL,RB,2,89,95,-104
96,Alec Ingold,LAC,RB,3,97,90,101
97,Patrick Ricard,NYG,RB,3,96,94,98
98,DJ Giddens,IND,RB,2,90,99,-105
99,Bam Knight,ARI,RB,2,93,-106,99
100,Max Bredeson,MIN,RB,2,-102,97,100
101,Travis Homer,PIT,RB,2,-104,101,93
102,Ronnie Rivers,LAR,RB,1,-101,96,-107
103,Reggie Gilliam,NE,RB,2,-107,104,90
104,Adam Prentice,DEN,RB,1,94,-107,-106
105,Michael Burton,CLE,RB,2,-106,103,95
106,British Brooks,HOU,RB,1,-103,100,-108
107,Eli Heidenreich,PIT,RB,2,-105,102,102
