Rank,Player,Team,Position,Sources,Justin Boone (Sun 11:46 AM),Patrick Thorman (Sun 12:32 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:36 PM)
1,Trey McBride,ARI,TE,4,1,1,1,1
2,Colston Loveland,CHI,TE,4,2,2,2,3
3,Dalton Kincaid,BUF,TE,4,3,3,3,2
4,Mark Andrews,BAL,TE,4,4,4,5,4
5,Tyler Warren,IND,TE,4,6,5,4,9
6,Sam LaPorta,DET,TE,4,5,8,6,7
7,Dallas Goedert,PHI,TE,4,7,7,10,6
8,Michael Mayer,LV,TE,4,10,6,7,11
9,Isaiah Likely,NYG,TE,4,8,13,8,5
10,Travis Kelce,KC,TE,4,9,9,11,10
11,Dalton Schultz,HOU,TE,4,12,11,9,8
12,Tucker Kraft,GB,TE,4,11,12,12,12
13,George Kittle,SF,TE,4,13,10,13,13
14,Juwan Johnson,NO,TE,4,14,14,14,15
15,Harold Fannin,CLE,TE,4,16,16,15,14
16,Hunter Henry,NE,TE,4,15,15,17,18
17,Jake Ferguson,DAL,TE,4,18,19,16,19
18,Brenton Strange,JAC,TE,4,17,20,19,17
19,Kyle Pitts,ATL,TE,4,21,22,18,16
20,Pat Freiermuth,PIT,TE,4,19,17,20,26
21,T.J. Hockenson,MIN,TE,4,20,21,21,21
22,Cade Otton,TB,TE,4,22,23,22,24
23,Evan Engram,DEN,TE,4,27,24,23,20
24,Colby Parkinson,LAR,TE,3,-31,18,28,22
25,Mike Gesicki,CIN,TE,4,23,27,25,25
26,AJ Barner,SEA,TE,4,24,25,24,30
27,Terrance Ferguson,LAR,TE,4,25,26,30,27
28,David Njoku,LAC,TE,4,28,30,26,23
29,Kenyon Sadiq,NYJ,TE,4,26,31,27,31
30,Greg Dulcich,MIA,TE,4,29,29,29,32
31,Gunnar Helm,TEN,TE,3,-32,28,31,28
32,Darren Waller,CAR,TE,4,30,33,32,37
33,Mason Taylor,NYJ,TE,3,-33,32,33,36
34,Cole Kmet,CHI,TE,3,-34,34,36,38
35,Noah Fant,NO,TE,3,-35,35,34,39
36,John Bates,WAS,TE,3,-37,37,39,35
37,Darnell Washington,PIT,TE,3,-36,36,37,42
38,Oronde Gadsden,LAC,TE,3,-40,40,35,34
39,Tommy Tremble,CAR,TE,3,-38,38,40,40
40,Dawson Knox,BUF,TE,3,-39,39,38,41
41,Jonnu Smith,GB,TE,3,-41,41,41,44
42,Josh Oliver,MIN,TE,3,-46,46,42,29
43,Theo Johnson,NYG,TE,3,-42,42,43,47
44,Ben Sinnott,WAS,TE,3,-43,43,46,48
45,Charlie Kolar,LAC,TE,3,-44,44,45,52
46,Noah Gray,KC,TE,3,-45,45,47,50
47,Tyler Higbee,LAR,TE,3,-53,53,44,33
48,Eli Raridon,NE,TE,3,-48,48,48,46
49,Elijah Arroyo,SEA,TE,3,-47,47,49,54
50,Durham Smythe,BAL,TE,3,-52,52,50,49
51,Adam Trautman,DEN,TE,3,-49,49,52,59
52,Brevyn Spann-Ford,DAL,TE,3,-51,51,54,55
53,Drew Sample,CIN,TE,3,-56,56,51,43
54,Foster Moreau,HOU,TE,3,-54,54,53,51
55,Luke Farrell,SF,TE,3,-50,50,61,58
56,Mitchell Evans,CAR,TE,3,-55,55,56,62
57,Brock Wright,DET,TE,3,-57,57,58,63
58,Cade Stover,HOU,TE,3,-59,59,63,56
59,Blake Whiteheart,CLE,TE,3,-58,58,59,65
60,Davis Allen,LAR,TE,3,-69,69,57,45
61,Nate Boerkircher,JAC,TE,3,-61,61,60,70
62,Erick All,CIN,TE,3,-67,67,55,57
63,Daniel Bellinger,TEN,TE,3,-62,62,62,69
64,Mo Alie-Cox,IND,TE,3,-63,63,68,73
65,Jeremy Ruckert,NYJ,TE,3,-66,66,66,67
66,Matt Hibner,BAL,TE,2,-60,60,-101,53
67,Austin Hooper,ATL,TE,3,-68,68,70,64
68,Jackson Hawes,BUF,TE,3,-65,65,65,79
69,Charlie Woerner,ATL,TE,3,-64,64,75,80
70,Quintin Morris,JAC,TE,3,-73,73,67,68
71,Elijah Higgins,ARI,TE,3,-74,74,69,78
72,Johnny Mundt,PHI,TE,3,-75,75,72,72
73,Marlin Klein,HOU,TE,3,-79,79,71,61
74,Colson Yankoff,WAS,TE,3,-72,72,78,77
75,Luke Schoonmaker,DAL,TE,2,-83,-83,64,60
76,Hunter Long,ARI,TE,3,-76,76,76,74
77,Will Kacmarek,MIA,TE,3,-80,80,73,66
78,Nate Adkins,DEN,TE,3,-77,77,77,75
79,Sam Roush,CHI,TE,3,-78,78,79,93
80,Jake Briningstool,KC,TE,2,-84,-84,74,82
81,Max Klare,LAR,TE,2,-85,-85,80,81
82,Connor Heyward,LV,TE,1,-70,70,-102,-106
83,Tanner Hudson,CIN,TE,1,-71,71,-103,-107
84,Ian Thomas,LV,TE,2,-88,-88,83,76
85,Eric Saubert,SEA,TE,2,-86,-86,81,85
86,Josh Whyle,GB,TE,3,-81,81,88,94
87,Tyler Conklin,DET,TE,2,-87,-87,82,87
88,Brayden Willis,SF,TE,2,-91,-91,86,71
89,Jack Endries,CIN,TE,2,-89,-89,84,86
90,Josh Cuevas,BAL,TE,3,-82,82,87,105
91,Chris Manhertz,NYG,TE,2,-90,-90,85,89
92,Drew Ogletree,IND,TE,2,-92,-92,89,84
93,Payne Durham,TB,TE,2,-93,-93,90,91
94,Chris Myarick,LV,TE,2,-94,-94,91,88
95,Carsen Ryan,CLE,TE,2,-96,-96,93,102
96,Mark Redman,GB,TE,2,-97,-97,94,99
97,Nick Muse,ATL,TE,1,-95,-95,92,-108
98,Gavin Bartholomew,MIN,TE,2,-99,-99,96,95
99,Seydou Traore,MIA,TE,2,-98,-98,95,103
100,Cameron Latu,NE,TE,2,-100,-100,97,100
101,Treyton Welch,NO,TE,1,-104,-104,-104,83
102,Jelani Woods,NYJ,TE,2,-101,-101,98,101
103,Robert Tonyan,PIT,TE,2,-103,-103,100,97
104,E.J. Jenkins,PHI,TE,2,-102,-102,99,104
105,Keleki Latu,BUF,TE,1,-105,-105,-105,90
106,Ko Kieft,TB,TE,1,-106,-106,-106,92
107,Bauer Sharp,TB,TE,1,-107,-107,-107,96
108,David Martin-Robinson,TEN,TE,1,-108,-108,-108,98
